Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,96.85,96.85,96.85,96.85,000,96.85
2012-12-24,96.50,98.45,96.05,96.85,30100,96.85
2012-12-21,98.60,98.60,96.00,96.55,7600,96.55
2012-12-20,98.50,100.65,96.05,97.75,61500,97.75
2012-12-19,96.90,98.00,95.50,97.30,23500,97.30
2012-12-18,97.70,97.70,95.00,96.10,17900,96.10
2012-12-17,95.00,98.60,95.00,95.65,16200,95.65
2012-12-14,96.40,97.35,94.60,95.60,35600,95.60
2012-12-13,98.25,99.50,96.05,96.40,21700,96.40
2012-12-12,96.90,100.10,96.90,97.70,38700,97.70
2012-12-11,101.30,101.30,97.05,97.65,48900,97.65
2012-12-10,96.00,105.00,95.05,100.10,117800,100.10
2012-12-07,100.00,100.00,96.00,96.60,26400,96.60
2012-12-06,100.70,100.90,99.00,99.70,31800,99.70
2012-12-05,104.80,106.00,98.55,99.60,184100,99.60
2012-12-04,94.00,100.80,91.90,98.55,396400,98.55
2012-12-03,94.10,94.85,92.50,92.95,25400,92.95
2012-11-30,92.10,93.00,90.80,92.65,36700,92.65
2012-11-29,93.10,93.85,91.85,92.55,39600,92.55
2012-11-28,92.35,92.35,92.35,92.35,000,92.35
2012-11-27,90.20,93.35,85.05,92.35,39200,92.35
2012-11-26,90.20,91.90,89.00,90.55,29500,90.55
2012-11-23,90.20,91.45,89.25,90.65,21200,90.65
2012-11-22,88.65,91.90,88.20,90.20,19700,90.20
2012-11-21,88.00,90.20,87.80,89.20,30900,89.20
2012-11-20,91.40,91.60,87.60,88.65,44800,88.65
2012-11-19,91.00,92.90,89.65,90.70,23500,90.70
2012-11-16,90.00,92.00,90.00,90.45,20300,90.45
2012-11-15,92.80,94.85,88.65,90.00,26600,90.00
2012-11-14,94.25,94.25,94.25,94.25,000,94.25
2012-11-13,94.25,94.25,94.25,94.25,000,94.25
2012-11-12,95.00,96.55,94.00,94.25,28100,94.25
2012-11-09,95.30,96.90,94.20,95.40,48200,95.40
2012-11-08,94.55,96.35,93.35,95.15,46700,95.15
2012-11-07,92.70,97.90,91.15,94.70,185300,94.70
2012-11-06,92.80,94.00,91.60,91.90,28600,91.90
2012-11-05,91.50,94.35,90.25,93.30,45000,93.30
2012-11-02,93.40,94.50,90.00,91.50,60100,90.00
2012-11-01,94.00,95.80,92.10,92.80,168200,91.28
2012-10-31,87.00,93.70,87.00,92.60,94900,91.08
2012-10-30,90.15,91.40,87.70,88.20,18500,86.75
2012-10-29,92.00,92.45,88.55,89.85,17700,88.38
2012-10-26,92.75,92.75,92.75,92.75,000,91.23
2012-10-25,91.65,95.00,88.65,92.75,93300,91.23
2012-10-24,92.50,92.50,92.50,92.50,000,90.98
2012-10-23,94.00,94.90,90.40,92.50,102700,90.98
2012-10-22,88.50,94.15,86.55,92.85,243200,91.33
2012-10-19,86.75,88.20,86.05,87.50,36800,86.07
2012-10-18,87.00,87.80,86.25,87.10,33400,85.67
2012-10-17,88.50,88.50,86.05,87.00,36400,85.57
2012-10-16,87.00,89.00,85.55,86.65,39900,85.23
2012-10-15,85.10,86.30,84.10,85.75,21300,84.34
2012-10-12,85.55,87.35,84.15,84.55,32100,83.16
2012-10-11,84.10,86.60,83.40,86.15,71600,84.74
2012-10-10,87.50,88.55,83.70,84.05,68600,82.67
2012-10-09,80.70,88.65,79.90,87.40,459200,85.97
2012-10-08,79.00,82.00,78.80,79.55,31100,78.25
2012-10-05,80.50,80.85,78.05,79.70,37600,78.39
2012-10-04,78.80,80.50,77.10,79.85,31200,78.54
2012-10-03,75.75,79.50,75.75,77.40,33900,76.13
2012-10-02,77.45,77.45,77.45,77.45,000,76.18
2012-10-01,78.00,79.00,77.00,77.45,21800,76.18
2012-09-28,79.90,80.00,78.00,78.60,21600,77.31
2012-09-27,78.50,79.90,76.40,78.65,11700,77.36
2012-09-26,76.60,82.45,76.50,79.15,60500,77.85
2012-09-25,78.65,78.70,76.35,77.20,9500,75.93
2012-09-24,80.80,80.80,76.50,76.60,12100,75.34
2012-09-21,77.50,79.00,76.50,77.90,11200,76.62
2012-09-20,77.00,77.80,76.65,77.10,3000,75.84
2012-09-19,77.55,77.55,77.55,77.55,000,76.28
2012-09-18,78.05,79.00,77.00,77.55,17900,76.28
2012-09-17,78.30,79.25,78.00,78.55,20300,77.26
2012-09-14,79.90,81.65,78.65,78.95,27300,77.66
2012-09-13,79.20,81.90,78.70,79.45,47600,78.15
2012-09-12,81.20,83.20,79.00,79.95,65500,78.64
2012-09-11,78.05,84.30,78.05,82.10,151400,80.75
2012-09-10,76.00,82.20,75.05,79.60,176600,78.30
2012-09-07,74.90,75.00,72.65,74.45,17100,73.23
2012-09-06,73.00,74.50,72.00,74.15,21700,72.93
2012-09-05,76.40,76.50,70.75,72.40,28100,71.21
2012-09-04,76.80,78.00,75.55,76.05,91200,74.80
2012-09-03,71.50,76.80,70.80,75.70,127700,74.46
2012-08-31,72.50,73.20,70.80,71.50,16200,70.33
2012-08-30,71.15,72.05,69.75,71.60,14300,70.43
2012-08-29,73.25,73.25,70.25,70.50,10600,69.34
2012-08-28,70.80,73.35,70.70,71.60,24900,70.43
2012-08-27,71.50,72.00,70.65,71.25,10600,70.08
2012-08-24,72.20,73.00,70.50,71.10,84200,69.93
2012-08-23,72.65,74.30,71.00,71.55,28800,70.38
2012-08-22,73.25,73.50,71.95,73.15,33400,71.95
2012-08-21,72.15,73.25,71.95,72.40,16500,71.21
2012-08-20,72.15,72.15,72.15,72.15,000,70.97
2012-08-17,72.55,74.00,71.25,72.15,6800,70.97
2012-08-16,71.00,73.55,68.55,72.50,22200,71.31
2012-08-15,70.95,70.95,70.95,70.95,000,69.79
2012-08-14,71.65,72.25,70.25,70.95,7600,69.79
2012-08-13,72.50,73.95,71.10,71.65,14400,70.48
2012-08-10,73.30,73.30,71.90,72.05,17800,70.87
2012-08-09,73.00,73.00,72.00,72.20,20900,71.02
2012-08-08,72.95,73.00,72.45,72.50,7400,71.31
2012-08-07,72.70,73.30,72.05,72.45,6300,71.26
2012-08-06,75.70,75.70,72.20,72.70,33300,71.51
2012-08-03,73.00,74.45,71.70,73.70,8500,72.49
2012-08-02,74.50,75.00,73.75,74.10,7400,72.89
2012-08-01,72.10,75.85,72.00,75.10,16600,72.39
2012-07-31,74.60,74.60,73.50,73.95,8800,71.28
2012-07-30,73.10,74.80,72.75,74.15,18500,71.48
2012-07-27,74.70,75.00,73.00,73.90,23900,71.24
2012-07-26,74.25,74.55,72.00,74.10,23600,71.43
2012-07-25,74.05,74.25,72.65,73.45,23200,70.80
2012-07-24,74.25,74.25,74.00,74.05,12600,71.38
2012-07-23,72.55,74.35,72.55,74.05,11700,71.38
2012-07-20,74.90,74.90,73.10,73.50,5800,70.85
2012-07-19,73.90,75.55,73.75,74.10,80900,71.43
2012-07-18,72.10,73.90,71.80,73.45,16000,70.80
2012-07-17,77.00,77.00,71.55,72.50,20800,69.89
2012-07-16,73.40,75.90,72.60,73.65,41700,71.00
2012-07-13,72.00,72.85,71.30,71.70,5600,69.12
2012-07-12,73.50,73.70,71.00,72.40,5900,69.79
2012-07-11,74.00,74.85,72.55,73.00,26200,70.37
2012-07-10,75.15,75.30,73.10,74.10,16400,71.43
2012-07-09,76.20,76.50,75.10,75.45,6700,72.73
2012-07-06,78.00,78.00,75.55,76.20,16500,73.45
2012-07-05,78.00,78.50,76.60,77.95,27600,75.14
2012-07-04,77.70,78.40,76.50,78.00,60700,75.19
2012-07-03,76.90,78.20,75.00,77.50,89800,74.71
2012-07-02,74.90,76.50,73.25,75.60,46600,72.88
2012-06-29,74.00,74.50,72.05,74.00,34800,71.33
2012-06-28,73.75,74.00,72.05,72.95,19400,70.32
2012-06-27,72.00,73.75,72.00,73.30,10800,70.66
2012-06-26,71.95,72.60,71.55,72.30,7200,69.69
2012-06-25,72.05,73.30,71.35,71.75,111500,69.16
2012-06-22,73.50,74.00,72.10,72.85,13600,70.22
2012-06-21,73.35,74.00,72.90,73.30,32000,70.66
2012-06-20,71.30,74.35,71.15,72.90,19200,70.27
2012-06-19,71.00,72.90,70.25,71.90,8800,69.31
2012-06-18,72.50,73.25,69.00,71.25,13900,68.68
2012-06-15,70.30,73.25,69.90,72.35,20000,69.74
2012-06-14,70.20,71.00,70.20,70.55,3900,68.01
2012-06-13,71.50,72.90,70.25,70.60,31500,68.06
2012-06-12,70.05,72.50,70.05,72.00,15600,69.41
2012-06-11,74.50,75.50,70.25,70.65,48800,68.10
2012-06-08,69.00,75.00,68.80,73.85,147300,71.19
2012-06-07,70.00,71.20,68.25,70.25,35600,67.72
2012-06-06,69.00,69.60,68.30,69.15,17900,66.66
2012-06-05,68.00,69.40,67.25,68.05,14200,65.60
2012-06-04,66.60,68.50,65.50,67.95,16700,65.50
2012-06-01,66.55,68.50,65.95,67.30,36100,64.87
2012-05-31,66.25,66.90,66.00,66.60,8100,64.20
2012-05-30,67.40,67.40,65.55,66.10,18000,63.72
2012-05-29,66.25,66.85,65.50,66.00,3600,63.62
2012-05-28,67.75,69.00,66.20,66.40,23100,64.01
2012-05-25,65.50,69.90,64.85,67.25,33100,64.83
2012-05-24,63.00,66.20,63.00,65.20,29800,62.85
2012-05-23,66.20,67.00,64.50,64.85,35600,62.51
2012-05-22,66.25,66.90,64.20,64.90,31100,62.56
2012-05-21,64.95,66.50,64.95,65.80,9600,63.43
2012-05-18,66.95,66.95,64.00,65.00,52200,62.66
2012-05-17,65.05,67.40,65.00,66.70,41600,64.30
2012-05-16,70.00,70.75,65.35,66.30,67400,63.91
2012-05-15,66.75,70.80,64.70,68.45,73600,65.98
2012-05-14,67.85,67.85,65.15,65.65,52600,63.28
2012-05-11,69.75,70.00,67.40,67.90,54700,65.45
2012-05-10,71.00,71.70,69.50,70.35,26700,67.81
2012-05-09,70.05,71.25,70.00,70.00,42500,67.48
2012-05-08,71.00,71.80,70.15,70.60,27200,68.06
2012-05-07,70.00,71.80,70.00,71.00,68800,68.44
2012-05-04,71.05,72.00,70.20,70.95,69900,68.39
2012-05-03,72.45,74.30,71.00,71.20,51400,68.63
2012-05-02,72.20,72.50,71.10,72.25,36900,69.65
2012-05-01,72.25,72.25,72.25,72.25,000,69.65
2012-04-30,68.80,72.50,68.80,71.75,85400,69.16
2012-04-27,68.60,69.95,68.30,69.30,20500,66.80
2012-04-26,68.00,69.50,67.75,69.05,20600,66.56
2012-04-25,69.90,69.90,68.00,68.70,16200,66.22
2012-04-24,68.05,69.40,68.05,68.80,15300,66.32
2012-04-23,70.00,70.50,68.05,68.55,33100,66.08
2012-04-20,70.90,70.90,68.50,69.00,34300,66.51
2012-04-19,68.35,70.30,68.05,70.05,47200,67.53
2012-04-18,67.50,70.90,66.70,68.50,139100,66.03
2012-04-17,64.10,67.00,63.55,66.75,31500,64.34
2012-04-16,65.30,65.95,64.55,64.75,25500,62.42
2012-04-13,65.70,66.35,64.95,65.95,38200,63.57
2012-04-12,65.60,66.20,64.75,65.70,44300,63.33
2012-04-11,63.90,66.50,63.70,64.35,187900,62.03
2012-04-10,62.50,63.00,61.20,62.60,32400,60.34
2012-04-09,61.10,63.00,60.55,61.80,20700,59.57
2012-04-06,61.15,61.15,61.15,61.15,000,58.95
2012-04-05,61.15,61.15,61.15,61.15,000,58.95
2012-04-04,62.15,62.15,60.10,61.15,13200,58.95
2012-04-03,60.05,61.15,60.05,60.80,16200,58.61
2012-04-02,60.00,61.20,60.00,60.75,13100,58.56
2012-03-30,59.00,61.15,58.60,60.50,19600,58.32
2012-03-29,58.05,58.95,58.00,58.50,6300,56.39
2012-03-28,59.00,59.50,57.60,58.35,27600,56.25
2012-03-27,60.00,60.00,58.70,59.00,41200,56.87
2012-03-26,61.60,62.90,58.60,59.55,19000,57.40
