Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,377.55,377.55,377.55,377.55,000,377.55
2012-12-24,375.55,382.75,375.50,377.55,154100,377.55
2012-12-21,382.75,384.20,377.15,379.10,241000,379.10
2012-12-20,389.85,389.90,383.15,385.10,213500,385.10
2012-12-19,386.05,394.70,385.00,388.90,441500,388.90
2012-12-18,382.00,389.90,377.50,384.45,354300,384.45
2012-12-17,379.75,383.75,375.00,380.10,228400,380.10
2012-12-14,379.00,383.00,373.70,377.90,249200,377.90
2012-12-13,383.55,387.65,376.00,378.50,295500,378.50
2012-12-12,386.05,389.20,381.25,383.05,235700,383.05
2012-12-11,391.25,395.75,383.00,385.70,362900,385.70
2012-12-10,394.05,395.90,388.20,391.15,276800,391.15
2012-12-07,397.05,402.00,390.45,392.75,448400,392.75
2012-12-06,393.70,398.40,387.55,396.45,476300,396.45
2012-12-05,399.65,403.70,388.10,389.95,641600,389.95
2012-12-04,393.05,403.85,393.00,397.15,630900,397.15
2012-12-03,383.65,397.30,382.85,392.00,802400,392.00
2012-11-30,380.15,387.50,379.15,381.35,412200,381.35
2012-11-29,383.35,387.50,376.00,378.10,500700,378.10
2012-11-28,381.85,381.85,381.85,381.85,000,381.85
2012-11-27,381.00,387.90,378.90,381.85,391500,381.85
2012-11-26,372.95,388.80,369.00,378.30,675400,378.30
2012-11-23,379.00,379.00,368.10,371.35,234000,371.35
2012-11-22,375.90,378.50,371.55,374.00,217900,374.00
2012-11-21,375.05,379.50,370.10,374.10,210400,374.10
2012-11-20,379.65,383.50,371.75,373.90,241500,373.90
2012-11-19,384.45,386.90,375.00,377.35,231500,377.35
2012-11-16,385.35,397.00,380.00,383.40,368400,383.40
2012-11-15,390.00,393.40,381.00,385.35,314000,385.35
2012-11-14,381.05,381.05,381.05,381.05,000,381.05
2012-11-13,381.05,381.05,381.05,381.05,000,381.05
2012-11-12,398.25,398.90,380.00,381.05,431200,381.05
2012-11-09,411.95,413.10,394.00,396.40,440700,396.40
2012-11-08,418.20,420.00,409.50,411.00,474100,411.00
2012-11-07,426.75,431.90,420.10,421.75,379200,421.75
2012-11-06,438.00,439.85,423.55,426.70,326700,426.70
2012-11-05,439.80,443.30,435.25,437.65,184100,437.65
2012-11-02,443.95,450.50,438.70,440.95,320000,440.95
2012-11-01,441.85,452.80,440.55,443.95,283900,443.95
2012-10-31,441.00,445.10,435.50,440.40,202300,440.40
2012-10-30,449.65,452.80,434.10,439.20,250600,439.20
2012-10-29,452.95,459.00,444.50,447.45,208900,447.45
2012-10-26,458.95,458.95,458.95,458.95,000,458.95
2012-10-25,462.70,464.75,454.35,458.95,218400,458.95
2012-10-24,462.75,462.75,462.75,462.75,000,462.75
2012-10-23,462.05,470.70,460.55,462.75,324100,462.75
2012-10-22,467.00,467.00,460.00,462.40,210900,462.40
2012-10-19,467.20,475.40,462.00,467.70,351000,467.70
2012-10-18,469.40,475.90,465.20,473.25,667900,473.25
2012-10-17,456.60,470.95,454.70,467.45,546100,467.45
2012-10-16,459.90,468.60,451.00,453.20,538200,453.20
2012-10-15,458.95,464.85,456.00,458.40,279100,458.40
2012-10-12,466.00,467.00,455.00,458.70,386600,458.70
2012-10-11,461.70,467.65,455.10,463.95,493200,463.95
2012-10-10,471.95,471.95,452.25,458.40,573400,458.40
2012-10-09,464.25,482.00,464.25,471.55,665600,471.55
2012-10-08,463.00,480.00,458.65,461.90,562100,461.90
2012-10-05,485.50,486.40,460.75,470.45,664500,470.45
2012-10-04,476.00,486.40,468.90,483.30,1505500,483.30
2012-10-03,445.00,474.70,444.10,472.80,1851500,472.80
2012-10-02,445.80,445.80,445.80,445.80,000,445.80
2012-10-01,440.85,448.00,437.80,445.80,459600,445.80
2012-09-28,437.00,448.00,435.15,437.80,605800,437.80
2012-09-27,447.95,459.20,431.10,435.10,2256200,435.10
2012-09-26,430.65,451.90,428.50,447.25,1380200,447.25
2012-09-25,440.20,448.20,428.05,433.10,1031900,433.10
2012-09-24,430.00,454.10,425.15,442.50,1950100,442.50
2012-09-21,419.10,434.80,418.05,430.40,932700,430.40
2012-09-20,436.00,436.00,414.20,417.15,634500,417.15
2012-09-19,432.95,432.95,432.95,432.95,000,432.95
2012-09-18,433.85,444.00,430.15,432.95,1235600,432.95
2012-09-17,420.00,438.70,416.00,433.95,1183400,433.95
2012-09-14,418.00,427.90,414.40,418.80,749300,418.80
2012-09-13,419.15,426.00,410.25,413.95,638400,413.95
2012-09-12,423.90,429.55,415.50,419.25,659700,419.25
2012-09-11,427.80,432.10,421.00,423.95,616800,420.35
2012-09-10,425.00,437.95,417.70,432.70,1049900,429.03
2012-09-07,428.80,433.45,418.15,423.10,823500,419.51
2012-09-06,414.00,428.90,411.35,424.95,1153300,421.34
2012-09-05,420.00,423.80,411.10,414.75,921800,411.23
2012-09-04,394.95,425.40,391.25,422.30,1440900,418.71
2012-09-03,412.00,412.00,389.50,393.55,435800,390.21
2012-08-31,473.70,473.70,394.25,400.85,631200,397.45
2012-08-30,377.70,404.75,372.20,399.75,811500,396.36
2012-08-29,379.15,392.00,374.35,378.50,575400,375.29
2012-08-28,384.60,385.55,372.20,380.80,393700,377.57
2012-08-27,397.40,400.05,383.20,386.95,427900,383.66
2012-08-24,407.00,407.00,395.00,397.65,479600,394.27
2012-08-23,410.60,417.90,402.00,406.00,559600,402.55
2012-08-22,423.35,427.90,408.50,409.45,541500,405.97
2012-08-21,425.00,428.80,421.10,423.85,794000,420.25
2012-08-20,421.55,421.55,421.55,421.55,000,417.97
2012-08-17,407.95,424.30,406.30,421.55,1461300,417.97
2012-08-16,414.20,414.20,401.00,404.85,426600,401.41
2012-08-15,410.55,410.55,410.55,410.55,000,407.06
2012-08-14,405.00,413.00,404.70,410.55,599600,407.06
2012-08-13,395.80,406.50,392.70,404.50,710000,401.07
2012-08-10,391.40,400.70,387.05,394.80,562500,391.45
2012-08-09,397.70,400.00,389.00,393.30,609000,389.96
2012-08-08,391.00,405.95,389.65,394.15,1448400,390.80
2012-08-07,393.20,397.80,387.00,390.90,434600,387.58
2012-08-06,395.90,398.80,390.00,392.65,542700,389.32
2012-08-03,384.75,393.90,381.20,389.55,485900,386.24
2012-08-02,389.90,396.40,382.00,388.70,541800,385.40
2012-08-01,380.05,394.20,372.60,389.65,788800,386.34
2012-07-31,377.75,386.00,367.70,381.35,499200,378.11
2012-07-30,370.00,380.00,370.00,375.90,382600,372.71
2012-07-27,365.00,370.90,362.35,368.15,515400,365.02
2012-07-26,384.25,384.25,355.00,359.35,827400,356.30
2012-07-25,386.20,388.00,374.25,381.90,743700,378.66
2012-07-24,397.50,400.50,319.85,391.85,549700,388.52
2012-07-23,408.00,409.40,395.50,397.80,478000,394.42
2012-07-20,418.00,421.70,408.25,412.75,555500,409.25
2012-07-19,418.25,422.65,414.25,416.15,591600,412.62
2012-07-18,413.90,418.90,402.30,416.40,1088700,412.86
2012-07-17,422.00,428.00,412.95,415.65,890900,412.12
2012-07-16,426.00,432.75,416.40,420.30,1191800,416.73
2012-07-13,420.00,432.00,418.50,428.00,1227000,424.37
2012-07-12,405.15,423.40,405.15,417.60,660700,414.05
2012-07-11,419.00,430.40,416.85,421.15,1034700,417.57
2012-07-10,408.00,423.90,406.95,421.15,1066800,417.57
2012-07-09,411.95,413.80,403.50,407.30,646500,403.84
2012-07-06,422.80,425.75,412.05,414.85,811200,411.33
2012-07-05,405.70,424.80,402.50,422.70,1507600,419.11
2012-07-04,398.00,411.95,398.00,407.15,1210600,403.69
2012-07-03,395.80,401.95,392.10,396.05,570900,392.69
2012-07-02,391.00,401.70,386.05,394.35,901200,391.00
2012-06-29,385.05,395.30,382.90,389.75,1171600,386.44
2012-06-28,350.00,389.75,347.70,379.05,2695700,375.83
2012-06-27,351.10,357.45,346.40,356.05,714600,353.03
2012-06-26,350.00,352.00,346.00,350.75,406600,347.77
2012-06-25,350.00,357.00,346.80,350.40,422900,347.42
2012-06-22,350.05,357.50,347.05,352.10,521300,349.11
2012-06-21,350.00,354.95,346.40,352.70,498200,349.71
2012-06-20,353.00,359.85,351.15,354.80,450800,351.79
2012-06-19,354.30,355.75,347.25,352.65,380400,349.66
2012-06-18,350.00,365.00,348.00,356.20,769600,353.18
2012-06-15,347.25,352.00,345.05,348.55,316700,345.59
2012-06-14,350.00,352.95,341.05,346.60,551000,343.66
2012-06-13,352.35,356.50,342.75,351.35,613800,348.37
2012-06-12,342.00,354.90,337.00,351.35,934100,348.37
2012-06-11,350.00,357.40,342.00,344.70,678800,341.77
2012-06-08,340.50,350.90,333.35,348.80,906300,345.84
2012-06-07,339.80,344.20,336.10,341.10,609800,338.20
2012-06-06,331.95,339.70,328.45,337.65,677100,334.78
2012-06-05,338.30,340.00,326.10,329.35,703800,326.55
2012-06-04,349.95,349.95,320.10,333.40,1258000,330.57
2012-06-01,356.55,361.95,347.60,352.55,637500,349.56
2012-05-31,362.00,363.05,351.20,358.30,840700,355.26
2012-05-30,376.00,377.90,363.00,366.60,501100,363.49
2012-05-29,375.15,385.95,371.70,378.15,992600,374.94
2012-05-28,373.95,376.00,362.45,373.40,548400,370.23
2012-05-25,369.05,375.00,367.15,370.00,412100,366.86
2012-05-24,359.00,370.50,354.35,366.10,698900,362.99
2012-05-23,370.00,370.90,355.00,358.45,485500,355.41
2012-05-22,380.00,382.90,363.85,369.50,677500,366.36
2012-05-21,370.90,379.95,354.00,376.10,641600,372.91
2012-05-18,355.00,369.00,350.00,367.30,748400,364.18
2012-05-17,354.00,362.00,350.00,358.35,581900,355.31
2012-05-16,356.00,356.00,345.20,351.35,606100,348.37
2012-05-15,345.15,366.25,345.15,361.00,804700,357.93
2012-05-14,357.70,360.85,344.40,350.65,455900,347.67
2012-05-11,360.35,363.70,349.00,354.05,554900,351.04
2012-05-10,368.00,374.80,359.15,361.80,595400,358.73
2012-05-09,370.00,377.80,363.00,365.95,678000,362.84
2012-05-08,394.85,396.70,372.15,376.65,961600,373.45
2012-05-07,372.60,396.50,360.15,393.65,716500,390.31
2012-05-04,403.00,403.00,383.95,387.55,526900,384.26
2012-05-03,406.00,410.95,402.25,404.05,418300,400.62
2012-05-02,415.00,419.50,407.00,408.85,479700,405.38
2012-05-01,414.30,414.30,414.30,414.30,000,410.78
2012-04-30,410.35,419.40,406.85,414.05,418500,410.53
2012-04-27,413.75,419.80,401.00,406.85,680500,403.40
2012-04-26,410.00,416.90,406.10,412.15,709200,408.65
2012-04-25,420.00,424.00,405.30,411.00,779400,407.51
2012-04-24,421.25,424.10,414.30,419.60,557400,416.04
2012-04-23,425.00,430.30,418.00,419.35,763400,415.79
2012-04-20,435.00,436.55,418.80,420.75,755800,417.18
2012-04-19,437.90,440.00,431.05,436.75,478700,433.04
