Date,Open,High,Low,Close,Volume,Adj Close
2013-01-23,268.30,271.05,263.55,269.15,1297000,269.15
2013-01-22,275.75,278.70,267.50,269.75,1670100,269.75
2013-01-21,268.20,275.80,265.35,274.65,1226900,274.65
2013-01-18,267.40,270.80,264.15,267.00,931500,267.00
2013-01-17,264.00,268.80,261.60,266.45,921600,266.45
2013-01-16,267.40,272.45,261.50,263.00,1418100,263.00
2013-01-15,270.00,272.00,265.15,267.50,1310500,267.50
2013-01-14,262.20,273.60,255.70,271.05,2173100,271.05
2013-01-11,270.95,272.65,259.65,261.50,1272200,261.50
2013-01-10,276.00,278.10,268.80,271.85,1432700,271.85
2013-01-09,277.90,281.00,274.05,275.25,1135300,275.25
2013-01-08,279.70,279.80,272.80,277.10,1367900,277.10
2013-01-07,278.20,282.70,277.65,279.40,1129100,279.40
2013-01-04,285.05,285.05,274.65,276.70,1726000,276.70
2013-01-03,286.90,287.30,279.35,280.70,1408000,280.70
2013-01-02,278.20,286.50,277.15,285.35,2819200,285.35
2013-01-01,273.30,277.45,272.80,275.90,949200,275.90
2012-12-31,272.40,274.50,270.50,271.35,797500,271.35
2012-12-28,271.75,273.95,269.15,272.15,1300700,272.15
2012-12-27,272.70,277.75,268.00,270.35,3153900,270.35
2012-12-26,275.00,276.00,271.05,272.80,1545400,272.80
2012-12-25,274.65,274.65,274.65,274.65,000,274.65
2012-12-24,274.00,276.80,265.25,274.65,3295400,274.65
2012-12-21,278.15,284.40,270.65,272.95,9211500,272.95
2012-12-20,292.60,293.25,269.00,271.00,8325500,271.00
2012-12-19,282.05,296.80,280.00,291.70,3957600,291.70
2012-12-18,282.55,285.35,278.00,282.65,2524300,282.65
2012-12-17,270.00,281.80,268.50,280.20,2191300,280.20
2012-12-14,265.00,271.50,260.95,269.40,1603800,269.40
2012-12-13,276.00,277.50,263.60,265.80,1856400,265.80
2012-12-12,273.05,279.40,271.05,275.45,2439600,275.45
2012-12-11,267.10,274.90,262.00,271.95,2475200,271.95
2012-12-10,264.00,268.65,261.00,266.90,1404500,266.90
2012-12-07,262.00,268.90,258.10,263.25,3546900,263.25
2012-12-06,250.00,264.15,242.10,261.85,4634600,261.85
2012-12-05,250.00,260.00,248.00,249.25,2082100,249.25
2012-12-04,260.00,266.55,251.40,254.40,3256600,254.40
2012-12-03,241.20,262.80,240.25,259.15,3592600,259.15
2012-11-30,232.25,241.85,231.50,239.75,1541300,239.75
2012-11-29,232.55,234.70,228.80,230.75,1024900,230.75
2012-11-28,232.40,232.40,232.40,232.40,000,232.40
2012-11-27,228.50,234.50,228.50,232.40,802500,232.40
2012-11-26,227.00,231.00,225.25,228.60,723800,228.60
2012-11-23,224.00,228.95,222.65,226.10,817700,226.10
2012-11-22,225.20,226.95,220.20,223.85,689700,223.85
2012-11-21,222.00,226.60,219.30,225.10,793000,225.10
2012-11-20,226.00,227.65,218.00,222.20,1293300,222.20
2012-11-19,226.00,228.65,222.00,225.50,939300,225.50
2012-11-16,237.15,241.70,223.70,225.30,1984600,225.30
2012-11-15,224.40,237.50,221.15,235.85,1743300,235.85
2012-11-14,226.00,226.00,226.00,226.00,000,226.00
2012-11-13,226.00,226.00,226.00,226.00,000,226.00
2012-11-12,225.90,228.50,224.70,226.00,525900,226.00
2012-11-09,226.95,229.75,224.20,225.20,703100,225.20
2012-11-08,228.00,229.45,222.40,226.95,1084700,226.95
2012-11-07,228.50,233.50,227.25,228.90,1601600,228.90
2012-11-06,224.95,229.95,224.35,227.90,1018400,227.90
2012-11-05,225.20,228.30,221.30,224.30,1291900,224.30
2012-11-02,227.10,231.25,224.00,225.10,1813900,225.10
2012-11-01,215.90,226.40,215.45,225.60,2295400,225.60
2012-10-31,215.00,218.20,214.50,215.35,849400,215.35
2012-10-30,215.60,219.80,212.25,214.80,1237800,214.80
2012-10-29,217.50,219.90,214.00,215.75,835900,215.75
2012-10-26,221.80,221.80,221.80,221.80,000,221.80
2012-10-25,224.40,225.50,218.50,221.80,3305700,221.80
2012-10-24,223.90,223.90,223.90,223.90,000,223.90
2012-10-23,224.75,226.90,222.00,223.90,4266700,223.90
2012-10-22,215.00,224.20,212.10,223.35,2147300,223.35
2012-10-19,219.50,220.90,213.80,216.15,1388300,216.15
2012-10-18,215.00,221.85,212.50,220.75,1839800,220.75
2012-10-17,216.00,218.25,210.00,213.85,1848300,213.85
2012-10-16,218.00,226.70,213.20,214.35,2676900,214.35
2012-10-15,222.85,224.80,217.65,221.00,1686500,221.00
2012-10-12,225.00,231.30,221.30,222.65,3194100,222.65
2012-10-11,212.00,227.70,208.40,225.35,5009200,225.35
2012-10-10,218.90,219.05,210.15,211.15,3312800,211.15
2012-10-09,227.95,232.35,218.80,220.30,2939000,220.30
2012-10-08,234.80,238.55,225.70,227.35,3374000,227.35
2012-10-05,228.60,237.45,220.00,235.55,8486400,235.55
2012-10-04,209.10,227.80,209.10,225.15,5853800,225.15
2012-10-03,199.20,212.45,198.15,208.60,6568000,208.60
2012-10-02,198.10,198.10,198.10,198.10,000,198.10
2012-10-01,201.00,202.35,195.00,198.10,1225000,198.10
2012-09-28,197.85,203.75,197.85,201.15,2154100,201.15
2012-09-27,198.95,201.00,195.60,196.30,1322400,196.30
2012-09-26,200.35,202.35,196.55,198.25,2520800,198.25
2012-09-25,199.50,204.90,192.20,200.30,3107600,200.30
2012-09-24,203.70,208.90,197.65,199.00,3191600,199.00
2012-09-21,200.00,204.50,198.50,203.05,3616900,203.05
2012-09-20,196.00,202.70,191.20,199.70,4631800,199.70
2012-09-19,196.30,196.30,196.30,196.30,000,196.30
2012-09-18,192.50,201.30,190.40,196.30,2523200,196.30
2012-09-17,190.10,194.50,186.20,192.50,2551600,192.50
2012-09-14,180.00,190.65,178.75,188.95,3958600,188.95
2012-09-13,175.60,183.70,174.70,177.75,3115200,177.75
2012-09-12,180.00,180.20,174.00,175.80,2815000,175.80
2012-09-11,170.00,180.80,166.60,179.50,6983500,179.50
2012-09-10,155.00,171.45,153.10,170.10,5988300,170.10
2012-09-07,154.00,157.60,153.00,155.15,2180700,155.15
2012-09-06,155.35,156.60,151.70,153.55,1825400,153.55
2012-09-05,157.15,158.50,152.60,154.40,1844700,154.40
2012-09-04,156.80,159.00,152.75,158.15,1547300,158.15
2012-09-03,157.00,160.40,155.30,157.10,1322300,157.10
2012-08-31,155.00,157.80,151.50,155.80,2047900,155.80
2012-08-30,155.00,157.50,152.60,155.35,2640400,155.35
2012-08-29,156.25,157.90,153.20,154.60,1951000,154.60
2012-08-28,159.00,159.40,151.50,155.90,4609600,155.90
2012-08-27,175.00,175.20,158.10,159.10,3734100,159.10
2012-08-24,178.00,178.20,172.65,174.75,1198300,174.75
2012-08-23,181.05,183.35,177.25,178.50,1156300,178.50
2012-08-22,185.50,186.50,180.55,181.85,704300,181.85
2012-08-21,183.05,185.95,181.35,185.75,1001400,185.75
2012-08-17,190.30,193.35,182.10,183.00,1941800,183.00
2012-08-16,192.00,195.30,189.70,190.45,2965400,190.45
2012-08-14,183.00,192.75,183.00,191.80,2731400,191.80
2012-08-10,178.00,179.85,175.50,178.55,982100,178.55
2012-08-09,181.00,183.50,175.10,178.00,3326500,178.00
2012-08-08,182.95,187.20,180.00,180.60,2037200,180.60
2012-08-07,182.00,184.45,180.65,182.70,943900,182.70
2012-08-06,180.00,184.80,180.00,181.30,1068400,181.30
2012-08-03,185.20,185.20,177.00,179.80,1766000,179.80
2012-08-02,185.30,187.80,183.50,185.25,1410800,185.25
2012-08-01,181.45,187.55,180.30,185.00,1941600,185.00
2012-07-31,178.75,182.50,176.60,180.95,1954800,180.95
2012-07-27,182.30,187.40,170.90,173.90,2715400,173.90
2012-07-26,192.50,194.20,178.80,182.15,4102200,182.15
2012-07-25,195.15,195.15,187.65,189.75,1657500,189.75
2012-07-24,192.00,194.95,190.20,192.00,1913800,192.00
2012-07-23,194.00,195.75,189.00,192.30,1600200,192.30
2012-07-20,196.00,198.80,192.10,196.10,2185800,196.10
2012-07-19,200.00,204.50,193.80,195.60,4937700,195.60
2012-07-18,196.00,201.90,187.10,198.70,15392500,198.70
2012-07-17,212.50,213.95,193.10,193.70,6337300,193.70
2012-07-16,221.90,223.50,211.10,211.55,1973600,211.55
2012-07-13,225.00,227.45,221.60,222.05,1371400,222.05
2012-07-12,226.60,228.35,222.75,224.10,1641500,224.10
2012-07-11,228.00,233.40,226.80,229.00,1403200,229.00
2012-07-10,224.00,230.35,221.60,228.70,2213600,228.70
