Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,61.10,61.10,61.10,61.10,000,61.10
2012-12-24,61.10,61.95,59.75,61.10,3819800,61.10
2012-12-21,65.00,66.45,60.85,61.10,6919000,61.10
2012-12-20,69.00,69.75,64.70,65.20,11906100,65.20
2012-12-19,64.15,68.90,64.10,68.60,7451500,68.60
2012-12-18,64.30,65.45,63.35,64.15,3237600,64.15
2012-12-17,61.40,63.60,61.25,63.30,2878200,63.30
2012-12-14,61.50,62.40,60.60,61.40,2852300,61.40
2012-12-13,63.45,63.85,60.85,61.20,2869700,61.20
2012-12-12,64.00,64.30,61.60,63.25,4576500,63.25
2012-12-11,61.20,64.10,60.60,63.40,8257600,63.40
2012-12-10,58.45,61.10,58.00,60.80,5505300,60.80
2012-12-07,58.00,59.20,57.10,58.05,5498300,58.05
2012-12-06,53.90,57.95,52.75,57.60,5004300,57.60
2012-12-05,55.30,55.80,53.50,53.85,1849600,53.85
2012-12-04,54.55,56.10,53.50,55.10,4346000,55.10
2012-12-03,53.85,54.85,53.20,54.45,3167800,54.45
2012-11-30,50.80,53.50,50.80,53.10,3058700,53.10
2012-11-29,50.40,50.95,49.85,50.80,1612700,50.80
2012-11-28,49.85,49.85,49.85,49.85,000,49.85
2012-11-27,47.35,50.25,47.20,49.85,1584500,49.85
2012-11-26,47.10,47.25,46.75,47.00,452800,47.00
2012-11-23,47.35,47.50,46.40,46.75,743200,46.75
2012-11-22,47.10,47.50,46.60,46.90,432200,46.90
2012-11-21,46.95,47.40,46.50,46.90,495000,46.90
2012-11-20,47.60,48.00,46.45,46.80,570400,46.80
2012-11-19,47.70,47.95,46.90,47.50,639200,47.50
2012-11-16,48.50,49.40,46.60,47.50,1139700,47.50
2012-11-15,48.10,48.85,47.40,48.40,580200,48.40
2012-11-14,47.95,47.95,47.95,47.95,000,47.95
2012-11-13,47.95,47.95,47.95,47.95,000,47.95
2012-11-12,49.15,49.15,47.50,47.95,752300,47.95
2012-11-09,49.55,49.85,48.50,48.70,774400,48.70
2012-11-08,49.40,49.70,48.90,49.30,592000,49.30
2012-11-07,50.00,50.40,49.20,50.00,1072700,50.00
2012-11-06,48.50,49.90,48.50,49.65,1257800,49.65
2012-11-05,49.25,49.85,48.55,48.75,722400,48.75
2012-11-02,50.00,50.45,49.05,49.45,1042100,49.45
2012-11-01,48.05,49.80,47.90,49.40,1465900,49.40
2012-10-31,48.15,48.65,47.55,48.20,842800,48.20
2012-10-30,47.95,48.30,46.30,48.00,1831000,48.00
2012-10-29,47.75,48.50,47.00,47.85,1189600,47.85
2012-10-26,47.75,47.75,47.75,47.75,000,47.75
2012-10-25,48.15,48.85,47.30,47.75,3454900,47.75
2012-10-24,47.90,47.90,47.90,47.90,000,47.90
2012-10-23,48.30,49.20,47.55,47.90,5912300,47.90
2012-10-22,47.55,48.60,47.00,48.20,1587400,48.20
2012-10-19,51.10,51.10,48.50,48.95,3290800,48.95
2012-10-18,49.45,50.60,49.25,50.15,1589400,50.15
2012-10-17,49.95,50.40,48.50,49.20,1449300,49.20
2012-10-16,51.00,52.35,48.90,49.55,1712600,49.55
2012-10-15,50.45,52.10,49.90,51.55,1931500,51.55
2012-10-12,50.00,51.30,49.75,50.45,1520000,50.45
2012-10-11,48.95,50.80,48.00,50.45,3513400,50.45
2012-10-10,51.60,51.70,49.20,49.45,2354900,49.45
2012-10-09,53.00,53.50,51.30,51.60,2075400,51.60
2012-10-08,53.90,54.50,51.90,52.30,2394500,52.30
2012-10-05,55.50,55.80,52.65,53.45,3296800,53.45
2012-10-04,52.85,55.50,52.85,55.20,4472000,55.20
2012-10-03,51.65,53.30,51.50,52.70,2750500,52.70
2012-10-02,51.85,51.85,51.85,51.85,000,51.85
2012-10-01,53.00,53.45,51.15,51.85,1549000,51.85
2012-09-28,53.10,54.00,52.80,52.95,2328800,52.95
2012-09-27,50.95,53.40,50.45,52.80,4338500,52.80
2012-09-26,51.00,52.50,50.05,50.95,2582000,50.95
