Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,917.70,917.70,917.70,917.70,000,917.70
2012-12-24,924.90,935.00,896.05,917.70,10900,917.70
2012-12-21,932.40,934.70,903.50,918.00,8500,918.00
2012-12-20,930.00,938.00,924.00,926.90,4800,926.90
2012-12-19,921.00,947.50,913.00,928.40,14500,928.40
2012-12-18,925.15,949.75,922.20,930.20,16800,930.20
2012-12-17,886.00,938.00,885.20,925.35,31900,925.35
2012-12-14,920.10,920.20,885.35,890.75,12600,890.75
2012-12-13,907.95,931.90,905.00,909.95,36800,909.95
2012-12-12,870.05,924.00,870.05,900.65,53600,900.65
2012-12-11,891.40,892.35,873.00,878.35,22300,878.35
2012-12-10,866.95,906.95,853.65,883.15,107100,883.15
2012-12-07,859.80,863.00,841.75,857.15,7200,857.15
2012-12-06,849.75,870.00,840.55,851.00,20200,851.00
2012-12-05,863.25,863.30,837.00,838.90,5500,838.90
2012-12-04,861.80,868.70,850.60,854.50,8100,854.50
2012-12-03,858.25,872.00,855.05,858.95,12300,858.95
2012-11-30,849.65,865.70,845.00,859.95,63900,859.95
2012-11-29,842.00,866.00,835.00,838.40,16500,838.40
2012-11-28,840.80,840.80,840.80,840.80,000,840.80
2012-11-27,850.00,850.00,809.25,840.80,24200,840.80
2012-11-26,845.25,864.55,830.00,833.20,15600,833.20
2012-11-23,836.35,880.10,829.05,841.00,71400,841.00
2012-11-22,815.80,842.70,809.00,827.60,39400,827.60
2012-11-21,811.45,819.00,805.15,810.15,9100,810.15
2012-11-20,813.05,829.00,808.00,818.40,12000,818.40
2012-11-19,812.00,823.00,807.00,808.15,9700,808.15
2012-11-16,833.60,840.00,806.50,812.45,16300,812.45
2012-11-15,807.00,829.15,807.00,827.70,26100,827.70
2012-11-14,802.50,802.50,802.50,802.50,000,802.50
2012-11-13,802.50,802.50,802.50,802.50,000,802.50
2012-11-12,817.95,820.55,785.00,802.50,10700,802.50
2012-11-09,823.50,824.95,806.00,813.60,14000,813.60
2012-11-08,829.80,837.00,815.00,816.50,16800,816.50
2012-11-07,827.50,872.00,819.00,828.55,163400,828.55
2012-11-06,829.65,840.00,817.75,827.85,52200,827.85
2012-11-05,820.00,829.00,816.00,823.30,10100,823.30
2012-11-02,821.00,835.00,810.05,816.60,15800,816.60
2012-11-01,814.80,835.00,803.15,818.30,21600,818.30
2012-10-31,815.50,829.75,815.10,820.50,10300,820.50
