Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,331.85,331.85,331.85,331.85,000,331.85
2012-12-24,327.90,333.40,320.20,331.85,2600,331.85
2012-12-21,319.00,327.85,318.25,325.60,2600,325.60
2012-12-20,322.00,330.00,319.20,322.85,8600,322.85
2012-12-19,324.45,325.20,317.50,318.85,6200,318.85
2012-12-18,322.60,329.10,322.60,327.55,10100,327.55
2012-12-17,332.25,333.70,321.50,322.75,1200,322.75
2012-12-14,330.15,331.00,324.15,328.70,600,328.70
2012-12-13,335.00,335.80,327.25,328.50,400,328.50
2012-12-12,336.70,341.95,327.00,332.00,5400,332.00
2012-12-11,340.00,340.00,330.00,332.90,81300,332.90
2012-12-10,333.75,345.90,332.00,340.00,51800,340.00
2012-12-07,342.00,348.00,330.30,338.40,58100,338.40
2012-12-06,361.15,361.15,326.30,342.85,600,342.85
2012-12-05,337.25,338.00,334.00,337.55,600,337.55
2012-12-04,340.00,340.00,328.05,330.55,14200,330.55
2012-12-03,340.00,340.00,334.00,337.80,1600,337.80
2012-11-30,341.00,341.00,332.70,334.85,36800,334.85
2012-11-29,337.00,347.30,337.00,340.45,224900,340.45
2012-11-28,340.05,340.05,340.05,340.05,000,340.05
2012-11-27,340.00,341.90,336.00,340.05,8800,340.05
2012-11-26,338.55,346.00,338.00,339.15,12700,339.15
2012-11-23,346.00,349.70,338.05,346.15,43000,346.15
2012-11-22,345.70,350.00,340.00,345.90,600,345.90
2012-11-21,345.00,346.90,335.60,338.50,11700,338.50
2012-11-20,351.20,351.20,340.00,340.95,600,340.95
2012-11-19,351.20,355.00,337.00,340.70,13100,340.70
2012-11-16,358.25,364.90,346.00,348.20,19500,348.20
2012-11-15,361.65,371.70,357.00,357.85,1400,357.85
2012-11-14,371.15,371.15,371.15,371.15,000,371.15
2012-11-13,371.15,371.15,371.15,371.15,000,371.15
2012-11-12,373.85,383.75,369.30,371.15,3500,371.15
2012-11-09,376.95,379.95,369.65,375.00,4600,375.00
2012-11-08,371.05,381.85,371.05,374.95,1300,374.95
2012-11-07,375.00,382.00,375.00,377.50,2000,377.50
2012-11-06,365.00,384.80,365.00,373.70,600,373.70
2012-11-05,381.50,389.00,375.00,376.50,1000,376.50
2012-11-02,385.00,385.05,381.00,384.00,1200,384.00
2012-11-01,385.20,401.85,381.70,383.80,800,383.80
2012-10-31,366.00,391.00,366.00,389.45,8500,389.45
