Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,393.75,393.75,393.75,393.75,000,393.75
2012-12-24,398.10,406.00,389.05,393.75,30900,393.75
2012-12-21,399.35,408.00,396.40,397.15,29200,397.15
2012-12-20,407.50,407.50,400.40,401.20,10400,401.20
2012-12-19,409.30,412.90,404.10,405.20,19700,405.20
2012-12-18,412.15,414.30,407.55,408.30,21900,408.30
2012-12-17,412.45,415.00,408.50,412.00,14900,412.00
2012-12-14,410.20,415.00,408.50,413.00,11600,413.00
2012-12-13,415.10,417.00,409.00,410.25,15500,410.25
2012-12-12,414.40,417.95,411.00,413.80,22400,413.80
2012-12-11,419.65,419.65,412.50,414.80,14500,414.80
2012-12-10,420.00,420.50,416.00,416.75,25700,416.75
2012-12-07,419.35,425.00,418.00,419.90,20900,419.90
2012-12-06,428.65,428.65,412.10,418.60,18300,418.60
2012-12-05,425.25,428.05,418.05,418.90,46600,418.90
2012-12-04,422.40,431.00,418.20,423.45,52600,423.45
2012-12-03,420.00,427.40,415.00,418.50,33200,418.50
2012-11-30,426.60,428.35,411.40,418.10,40600,418.10
2012-11-29,422.30,432.40,419.75,422.35,40700,422.35
2012-11-28,421.35,421.35,421.35,421.35,000,421.35
2012-11-27,415.00,427.00,412.00,421.35,29700,421.35
2012-11-26,408.60,415.00,408.60,411.35,11800,411.35
2012-11-23,417.55,417.55,408.80,412.50,8400,412.50
2012-11-22,418.00,418.25,411.00,414.85,16500,414.85
2012-11-21,406.90,412.00,406.90,410.25,7700,410.25
2012-11-20,410.00,412.85,406.00,410.30,24500,410.30
2012-11-19,409.00,410.85,404.65,407.45,10900,407.45
2012-11-16,413.05,419.50,408.00,409.55,12300,409.55
2012-11-15,419.00,419.00,411.55,413.85,15500,413.85
2012-11-14,414.60,414.60,414.60,414.60,000,414.60
2012-11-13,414.60,414.60,414.60,414.60,000,414.60
2012-11-12,410.00,418.45,410.00,414.60,30500,414.60
2012-11-09,411.10,417.90,411.00,411.30,12900,411.30
2012-11-08,410.05,418.00,405.10,415.25,23600,415.25
2012-11-07,412.95,413.00,410.50,411.10,31600,411.10
2012-11-06,418.90,421.65,410.65,412.70,16500,412.70
2012-11-05,408.55,419.80,408.55,417.60,19100,417.60
2012-11-02,425.00,427.40,413.05,415.75,26900,415.75
2012-11-01,417.70,429.00,414.95,421.80,192300,421.80
2012-10-31,412.05,420.10,404.25,409.15,88400,409.15
2012-10-30,412.40,418.70,408.00,413.80,10900,413.80
2012-10-29,427.20,428.40,412.65,415.45,11900,415.45
2012-10-26,421.60,421.60,421.60,421.60,000,421.60
2012-10-25,414.45,426.00,411.10,421.60,20000,421.60
2012-10-24,418.15,418.15,418.15,418.15,000,418.15
2012-10-23,425.00,428.75,415.00,418.15,29300,418.15
2012-10-22,420.90,426.25,420.00,424.80,66600,424.80
2012-10-19,419.95,426.75,418.15,421.30,44100,421.30
2012-10-18,416.95,420.00,413.00,418.85,26100,418.85
2012-10-17,416.40,416.40,410.10,414.10,37100,414.10
2012-10-16,404.95,414.40,402.25,411.60,89000,411.60
2012-10-15,400.35,406.40,399.05,404.90,19000,404.90
2012-10-12,401.10,408.00,398.10,399.80,24800,399.80
2012-10-11,398.95,403.00,391.35,400.65,45400,400.65
2012-10-10,399.95,400.70,394.50,395.20,26300,395.20
2012-10-09,403.00,408.05,396.05,400.35,44500,400.35
2012-10-08,405.30,412.00,401.05,402.15,23300,402.15
2012-10-05,421.00,421.75,403.20,407.05,40000,407.05
2012-10-04,415.70,430.00,413.15,418.30,90100,418.30
2012-10-03,407.45,418.00,400.35,410.45,43400,410.45
2012-10-02,407.05,407.05,407.05,407.05,000,407.05
2012-10-01,400.35,415.50,400.30,407.05,43900,407.05
2012-09-28,405.40,410.25,398.10,403.05,77200,403.05
2012-09-27,403.20,408.80,395.50,400.10,216800,400.10
2012-09-26,401.00,404.90,395.55,401.25,124400,401.25
2012-09-25,413.05,413.05,413.05,413.05,000,413.05
2012-09-24,413.05,413.05,413.05,413.05,000,413.05
2012-09-21,413.05,413.05,413.05,413.05,000,413.05
2012-09-20,413.05,413.05,413.05,413.05,000,413.05
2012-09-19,413.05,413.05,413.05,413.05,000,413.05
2012-09-18,413.05,413.05,413.05,413.05,000,413.05
2012-09-17,413.05,413.05,413.05,413.05,000,413.05
2012-09-14,413.05,413.05,413.05,413.05,000,413.05
2012-09-13,413.05,413.05,413.05,413.05,000,413.05
2012-09-12,413.05,413.05,413.05,413.05,000,413.05
2012-09-11,413.05,413.05,413.05,413.05,000,413.05
2012-09-10,413.05,413.05,413.05,413.05,000,413.05
2012-09-07,413.05,413.05,413.05,413.05,000,413.05
2012-09-06,413.05,413.05,413.05,413.05,000,413.05
2012-09-05,413.05,413.05,413.05,413.05,000,413.05
2012-09-04,413.05,413.05,413.05,413.05,000,413.05
2012-09-03,413.05,413.05,413.05,413.05,000,413.05
2012-08-31,413.05,413.05,413.05,413.05,000,413.05
2012-08-30,413.05,413.05,413.05,413.05,000,413.05
2012-08-29,413.05,413.05,413.05,413.05,000,413.05
2012-08-28,413.05,413.05,413.05,413.05,000,413.05
2012-08-27,413.05,413.05,413.05,413.05,000,413.05
2012-08-24,413.05,413.05,413.05,413.05,000,413.05
2012-08-23,413.05,413.05,413.05,413.05,000,413.05
2012-08-22,413.05,413.05,413.05,413.05,000,413.05
2012-08-21,413.05,413.05,413.05,413.05,000,413.05
2012-08-20,413.05,413.05,413.05,413.05,000,413.05
2012-08-17,413.05,413.05,413.05,413.05,000,413.05
2012-08-16,413.05,413.05,413.05,413.05,000,413.05
2012-08-15,413.05,413.05,413.05,413.05,000,413.05
2012-08-14,413.05,413.05,413.05,413.05,000,413.05
2012-08-13,413.05,413.05,413.05,413.05,000,413.05
2012-08-10,413.05,413.05,413.05,413.05,000,413.05
2012-08-09,413.05,413.05,413.05,413.05,000,413.05
2012-08-08,413.05,413.05,413.05,413.05,000,413.05
2012-08-07,413.05,413.05,413.05,413.05,000,413.05
2012-08-06,413.05,413.05,413.05,413.05,000,413.05
2012-08-03,413.05,413.05,413.05,413.05,000,413.05
2012-08-02,413.05,413.05,413.05,413.05,000,413.05
2012-08-01,413.05,413.05,413.05,413.05,000,413.05
2012-07-31,413.05,413.05,413.05,413.05,000,413.05
2012-07-30,413.05,413.05,413.05,413.05,000,413.05
2012-07-27,413.05,413.05,413.05,413.05,000,413.05
2012-07-26,413.05,413.05,413.05,413.05,000,413.05
2012-07-25,413.05,413.05,413.05,413.05,000,413.05
2012-07-24,413.05,413.05,413.05,413.05,000,413.05
2012-07-23,413.05,413.05,413.05,413.05,000,413.05
2012-07-20,413.05,413.05,413.05,413.05,000,413.05
2012-07-19,413.05,413.05,413.05,413.05,000,413.05
2012-07-18,413.05,413.05,413.05,413.05,000,413.05
2012-07-17,413.05,413.05,413.05,413.05,000,413.05
2012-07-16,413.05,413.05,413.05,413.05,000,403.05
2012-07-13,413.05,413.05,413.05,413.05,000,403.05
2012-07-12,413.05,413.05,413.05,413.05,000,403.05
2012-07-11,413.05,413.05,413.05,413.05,000,403.05
2012-07-10,409.50,422.00,408.80,413.05,257900,403.05
2012-07-09,392.10,411.70,372.95,408.25,132300,398.37
2012-07-06,420.00,422.20,407.20,411.60,217000,401.64
2012-07-05,399.70,419.80,398.55,418.45,644700,408.32
2012-07-04,390.90,400.80,388.00,397.30,212400,387.68
2012-07-03,387.40,391.35,386.20,388.95,120700,379.53
2012-07-02,387.90,395.80,385.20,386.30,151100,376.95
2012-06-29,384.00,394.00,382.05,391.35,117000,381.88
2012-06-28,389.80,392.25,376.00,379.05,141400,369.87
2012-06-27,373.40,387.35,371.15,384.20,211500,374.90
2012-06-26,365.05,373.45,365.00,370.40,40000,361.43
2012-06-25,374.85,379.95,369.35,371.50,76300,362.51
2012-06-22,366.25,374.50,363.00,371.45,64600,362.46
2012-06-21,373.05,378.50,372.10,374.25,116000,365.19
2012-06-20,369.00,376.90,366.40,373.05,226300,364.02
2012-06-19,352.10,369.00,348.00,366.60,178400,357.72
2012-06-18,360.00,362.50,351.00,355.35,156500,346.75
2012-06-15,346.40,358.40,346.10,356.70,106800,348.06
2012-06-14,356.05,358.60,343.00,344.65,74200,336.31
2012-06-13,349.90,361.90,349.90,355.40,174000,346.80
2012-06-12,343.30,350.95,338.45,349.90,483900,341.43
2012-06-11,356.70,359.45,341.10,346.30,140900,337.92
2012-06-08,347.95,354.95,344.10,352.90,201800,344.36
2012-06-07,353.75,354.00,346.50,350.45,133300,341.97
2012-06-06,347.00,351.70,342.30,349.85,187500,341.38
2012-06-05,336.10,346.85,336.10,342.30,119300,334.01
2012-06-04,333.60,337.50,327.65,335.95,62800,327.82
2012-06-01,343.50,346.30,335.45,338.95,89400,330.74
2012-05-31,346.65,349.85,341.40,343.80,144600,335.48
2012-05-30,358.00,358.00,346.50,348.60,79000,340.16
2012-05-29,355.00,359.80,354.15,357.15,101300,348.50
2012-05-28,364.55,367.70,353.50,354.55,132800,345.97
2012-05-25,357.55,363.45,356.60,361.80,87800,353.04
2012-05-24,345.25,359.90,345.25,358.20,124500,349.53
2012-05-23,358.30,360.95,348.50,350.60,105600,342.11
2012-05-22,360.70,368.00,359.30,361.60,141900,352.85
2012-05-21,357.90,362.20,353.00,358.10,99100,349.43
2012-05-18,338.35,357.00,338.35,354.00,149200,345.43
2012-05-17,350.25,358.80,341.30,343.85,93800,335.53
2012-05-16,349.70,356.00,344.50,351.25,135400,342.75
2012-05-15,346.00,353.30,344.00,350.95,93400,342.45
2012-05-14,343.95,354.50,342.30,349.25,97800,340.79
2012-05-11,342.55,350.00,340.20,345.20,123200,336.84
2012-05-10,354.55,360.50,347.50,349.75,115600,341.28
2012-05-09,355.05,366.00,351.25,354.50,185400,345.92
2012-05-08,369.60,378.00,357.25,359.75,212800,351.04
2012-05-07,354.00,371.50,349.95,369.35,180900,360.41
2012-05-04,365.15,366.90,351.40,357.40,200200,348.75
2012-05-03,376.30,381.65,365.95,367.75,139100,358.85
2012-05-02,392.30,396.85,378.15,380.20,153000,371.00
2012-05-01,393.25,393.25,393.25,393.25,000,383.73
2012-04-30,396.75,397.60,389.00,392.15,105400,382.66
2012-04-27,412.00,413.40,386.00,394.45,305100,384.90
2012-04-26,408.50,416.50,406.10,411.35,737000,401.39
2012-04-25,398.90,413.50,393.40,408.30,950800,398.41
2012-04-24,393.30,407.90,381.00,395.70,631300,386.12
2012-04-23,393.00,401.80,384.65,389.00,615300,379.58
2012-04-20,395.00,402.60,382.00,390.40,590900,380.95
2012-04-19,380.00,398.40,376.05,395.40,491000,385.83
2012-04-18,389.95,393.90,378.00,381.00,394500,371.78
2012-04-17,369.00,387.00,367.00,385.45,751800,376.12
2012-04-16,362.00,371.00,356.00,368.90,348100,359.97
2012-04-13,366.70,371.80,356.25,359.45,301200,350.75
2012-04-12,347.40,364.90,347.40,363.50,339700,354.70
2012-04-11,342.45,354.00,321.30,346.85,133500,338.45
2012-04-10,352.55,355.95,345.00,350.05,167800,341.58
2012-04-09,366.25,366.25,347.25,349.05,169700,340.60
2012-04-06,364.40,364.40,364.40,364.40,000,355.58
2012-04-05,364.40,364.40,364.40,364.40,000,355.58
2012-04-04,363.25,377.80,363.00,364.40,260600,355.58
2012-04-03,364.95,371.95,364.10,367.45,346900,358.55
2012-04-02,358.90,364.50,356.00,361.45,155500,352.70
2012-03-30,342.10,358.50,342.10,355.70,114900,347.09
2012-03-29,346.65,351.95,337.45,340.25,179900,332.01
2012-03-28,352.35,364.20,349.00,350.70,161100,342.21
2012-03-27,357.10,365.00,352.00,354.00,116600,345.43
2012-03-26,366.90,366.90,354.00,355.95,90100,347.33
