Date,Open,High,Low,Close,Volume,Adj Close
2012-12-27,949.95,955.00,935.00,939.80,4100,939.80
2012-12-26,940.00,955.00,933.65,945.10,58600,945.10
2012-12-25,942.35,942.35,942.35,942.35,000,942.35
2012-12-24,947.85,952.00,940.00,942.35,1700,942.35
2012-12-21,948.80,963.00,935.00,940.85,21400,940.85
2012-12-20,945.00,950.00,928.90,938.05,8300,938.05
2012-12-19,949.35,950.00,935.00,942.90,2900,942.90
2012-12-18,942.00,947.50,930.00,931.75,3900,931.75
2012-12-17,942.00,951.90,935.00,938.75,5000,938.75
2012-12-14,940.00,945.00,925.00,939.60,3900,939.60
2012-12-13,946.95,946.95,930.00,932.65,12100,932.65
2012-12-12,941.20,948.95,936.25,944.25,5400,944.25
2012-12-11,940.10,950.00,940.00,944.00,14800,944.00
2012-12-10,940.15,955.00,935.20,942.25,18600,942.25
2012-12-07,945.55,948.00,929.50,937.70,7800,937.70
2012-12-06,977.00,977.00,941.60,945.55,4800,945.55
2012-12-05,963.00,968.95,951.20,956.70,4400,956.70
2012-12-04,964.00,974.00,956.00,956.00,3700,956.00
2012-12-03,964.00,979.00,958.00,965.50,8000,965.50
2012-11-30,942.00,968.00,942.00,964.35,37700,964.35
2012-11-29,952.00,964.00,945.20,954.20,12900,954.20
2012-11-28,930.85,930.85,930.85,930.85,000,930.85
2012-11-27,924.00,941.00,922.10,930.85,43700,930.85
2012-11-26,943.00,947.90,925.25,929.90,2300,929.90
2012-11-23,924.05,952.00,924.00,944.10,9800,944.10
2012-11-22,925.15,943.80,917.75,933.05,6400,933.05
2012-11-21,922.15,944.95,922.15,925.40,2900,925.40
2012-11-20,931.00,932.00,917.70,925.00,1300,925.00
2012-11-19,930.00,936.70,925.25,932.25,2400,932.25
2012-11-16,930.10,939.95,930.00,930.10,5600,930.10
2012-11-15,945.00,945.00,930.00,931.20,1800,931.20
2012-11-14,930.05,930.05,930.05,930.05,000,930.05
2012-11-13,930.05,930.05,930.05,930.05,000,930.05
2012-11-12,935.00,937.75,930.00,930.05,1600,930.05
2012-11-09,930.20,941.50,930.15,936.80,3100,936.80
2012-11-08,946.20,953.95,927.15,937.80,2400,937.80
2012-11-07,941.05,966.00,941.05,952.05,3600,952.05
2012-11-06,948.00,960.00,941.00,959.20,27800,959.20
2012-11-05,955.25,959.00,936.05,947.55,3400,947.55
2012-11-02,968.10,971.20,941.15,960.30,2800,960.30
2012-11-01,951.45,968.00,951.45,967.75,4100,967.75
2012-10-31,950.20,969.75,950.20,968.35,11900,968.35
2012-10-30,956.75,964.95,944.95,955.15,36300,955.15
2012-10-29,950.00,973.95,947.90,962.90,9500,962.90
2012-10-26,938.60,938.60,938.60,938.60,000,938.60
2012-10-25,940.00,944.95,933.00,938.60,10600,938.60
2012-10-24,933.05,933.05,933.05,933.05,000,933.05
2012-10-23,934.95,939.50,930.00,933.05,1800,933.05
2012-10-22,925.00,935.00,920.40,931.60,1100,931.60
2012-10-19,935.00,936.80,925.00,930.10,11800,930.10
2012-10-18,933.05,946.00,920.30,930.75,10400,930.75
2012-10-17,925.00,944.80,922.80,936.60,9900,936.60
2012-10-16,885.00,928.00,885.00,921.70,8800,921.70
2012-10-15,881.00,906.50,881.00,903.65,3400,903.65
2012-10-12,900.00,908.80,900.00,902.90,3800,902.90
2012-10-11,880.00,905.00,880.00,901.70,14200,901.70
2012-10-10,870.00,887.00,865.30,883.45,11800,883.45
2012-10-09,875.00,881.00,867.45,877.85,2700,877.85
2012-10-08,864.90,876.00,858.00,873.30,4400,873.30
2012-10-05,875.00,877.00,809.20,853.65,14600,853.65
2012-10-04,865.00,878.80,864.00,873.10,4300,873.10
2012-10-03,872.00,875.00,866.25,872.45,3200,872.45
2012-10-02,869.90,869.90,869.90,869.90,000,869.90
2012-10-01,875.00,879.00,865.00,869.90,5500,869.90
2012-09-28,870.00,879.00,867.00,870.50,2700,870.50
2012-09-27,870.00,876.95,868.10,870.35,1200,870.35
2012-09-26,882.00,882.00,864.00,867.35,6500,867.35
2012-09-25,880.00,889.05,875.00,884.60,2800,884.60
2012-09-24,885.00,885.00,871.20,874.10,5000,874.10
2012-09-21,885.00,889.90,875.05,880.70,9400,880.70
2012-09-20,880.05,887.00,876.25,881.95,500,881.95
2012-09-19,887.95,887.95,887.95,887.95,000,887.95
2012-09-18,878.10,892.00,870.00,887.95,2000,887.95
2012-09-17,896.00,905.00,881.00,884.75,5900,884.75
2012-09-14,894.45,897.95,890.00,891.90,3200,891.90
2012-09-13,895.00,895.00,885.20,889.65,6200,889.65
2012-09-12,885.30,904.00,882.00,893.40,2800,893.40
2012-09-11,908.00,963.60,885.20,891.90,2100,891.90
2012-09-10,884.95,897.90,884.95,890.45,2800,890.45
2012-09-07,898.95,900.00,890.00,890.50,3600,890.50
2012-09-06,891.35,915.95,875.00,890.70,31300,890.70
2012-09-05,880.00,904.90,880.00,900.05,12100,900.05
2012-09-04,875.00,894.00,870.00,886.10,2200,886.10
2012-09-03,880.00,888.95,860.00,878.85,2900,878.85
2012-08-31,873.00,888.00,869.05,885.65,2000,885.65
2012-08-30,852.40,889.00,852.00,884.40,23300,884.40
2012-08-29,862.35,871.00,851.00,852.85,1100,852.85
2012-08-28,873.95,873.95,862.00,863.25,1400,863.25
2012-08-27,874.00,875.00,865.15,868.25,12400,868.25
2012-08-24,876.75,883.95,865.70,868.05,1900,868.05
2012-08-23,880.00,903.05,870.00,875.70,3200,875.70
2012-08-22,870.00,876.00,863.00,872.70,2300,872.70
2012-08-21,868.00,881.00,860.10,869.80,2000,869.80
2012-08-20,863.30,863.30,863.30,863.30,000,863.30
2012-08-17,860.00,875.10,860.00,863.30,5900,863.30
2012-08-16,880.00,880.00,850.10,852.50,6900,852.50
2012-08-15,871.40,871.40,871.40,871.40,000,871.40
2012-08-14,868.95,876.00,859.00,871.40,700,871.40
2012-08-13,869.90,870.00,851.00,859.80,1700,859.80
2012-08-10,875.00,875.00,859.75,865.40,2500,865.40
2012-08-09,873.75,888.00,862.00,871.20,4500,871.20
2012-08-08,894.40,894.40,876.10,882.75,1700,882.75
2012-08-07,885.80,904.95,881.00,885.85,2700,885.85
2012-08-06,892.00,903.00,880.15,896.80,5100,896.80
2012-08-03,882.00,890.00,876.00,877.30,2200,877.30
2012-08-02,876.05,889.85,876.00,879.50,1100,879.50
2012-08-01,880.00,893.65,875.00,882.60,1900,882.60
2012-07-31,875.30,882.00,875.00,879.35,400,879.35
2012-07-30,886.00,886.00,871.30,880.25,2400,880.25
2012-07-27,888.05,908.75,888.05,898.75,1600,878.75
2012-07-26,913.95,913.95,877.05,887.35,3800,867.60
2012-07-25,885.00,925.00,885.00,912.10,909900,891.80
2012-07-24,877.85,888.00,873.10,880.60,1900,861.00
2012-07-23,882.00,882.00,869.00,875.65,2000,856.16
2012-07-20,875.00,884.00,870.05,874.60,2000,855.14
2012-07-19,879.95,883.95,870.00,871.60,500,852.20
2012-07-18,889.95,889.95,865.00,869.75,2200,850.40
2012-07-17,877.45,887.65,877.05,883.55,1400,863.89
2012-07-16,883.20,899.00,875.50,881.05,2700,861.44
2012-07-13,889.00,901.05,877.15,896.60,2500,876.65
2012-07-12,885.00,894.95,872.10,878.50,1800,858.95
2012-07-11,876.15,909.00,874.00,892.75,12400,872.88
2012-07-10,870.35,883.95,869.05,882.95,43100,863.30
2012-07-09,879.90,881.00,864.00,872.40,129400,852.99
2012-07-06,876.20,877.00,868.05,873.40,2700,853.96
2012-07-05,875.00,881.00,868.00,869.40,1300,850.05
2012-07-04,872.10,878.80,865.10,869.45,4800,850.10
2012-07-03,880.00,880.00,867.05,869.00,2400,849.66
2012-07-02,883.00,884.00,872.00,874.40,2300,854.94
2012-06-29,874.00,884.70,871.10,880.75,3300,861.15
2012-06-28,879.95,880.00,863.00,869.85,6100,850.49
2012-06-27,871.00,873.00,863.00,864.40,1200,845.16
2012-06-26,880.00,880.00,865.00,868.90,2200,849.56
2012-06-25,885.95,886.00,875.40,879.35,1400,859.78
2012-06-22,884.95,885.00,878.00,878.60,1100,859.05
2012-06-21,880.00,885.00,880.00,884.40,3300,864.72
2012-06-20,877.00,885.00,877.00,880.00,3900,860.42
2012-06-19,878.00,885.00,878.00,880.60,1300,861.00
2012-06-18,883.05,893.00,878.00,880.65,2200,861.05
2012-06-15,880.00,888.95,879.00,881.70,2600,862.08
2012-06-14,880.00,883.75,876.00,879.70,2200,860.12
2012-06-13,870.00,882.00,870.00,880.00,1100,860.42
2012-06-12,875.00,881.40,875.00,877.65,1500,858.12
2012-06-11,881.00,882.00,875.00,877.00,1900,857.48
2012-06-08,883.75,885.00,870.05,873.30,3800,853.87
2012-06-07,884.00,884.00,875.00,879.90,2000,860.32
2012-06-06,873.00,884.40,873.00,883.45,8100,863.79
2012-06-05,879.95,879.95,872.00,873.30,8100,853.87
2012-06-04,884.00,884.00,872.05,873.70,2800,854.26
2012-06-01,873.00,879.00,873.00,874.15,4800,854.70
2012-05-31,869.95,880.05,869.95,874.85,3700,855.38
2012-05-30,872.00,878.00,872.00,874.75,3700,855.28
2012-05-29,872.00,881.95,872.00,876.60,5000,857.09
2012-05-28,870.10,882.00,841.10,872.05,6300,852.64
