Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,11.30,11.30,11.30,11.30,000,11.30
2012-12-24,11.20,11.40,11.05,11.30,4493900,11.30
2012-12-21,11.60,11.60,10.85,10.95,10682400,10.95
2012-12-20,12.00,12.05,11.40,11.60,11069000,11.60
2012-12-19,10.55,12.00,10.50,11.85,32362000,11.85
2012-12-18,10.65,10.70,10.45,10.50,3400000,10.50
2012-12-17,10.55,10.65,10.50,10.60,3484200,10.60
2012-12-14,10.50,10.60,10.45,10.55,2855500,10.55
2012-12-13,10.70,10.80,10.45,10.55,5816300,10.55
2012-12-12,10.85,10.85,10.60,10.70,3989600,10.70
2012-12-11,10.95,11.05,10.70,10.75,6142100,10.75
2012-12-10,11.10,11.20,10.90,10.90,5183700,10.90
2012-12-07,11.10,11.20,11.00,11.05,7500700,11.05
2012-12-06,11.10,11.35,10.85,11.10,10213600,11.10
2012-12-05,11.15,11.35,11.05,11.10,13016300,11.10
2012-12-04,11.20,11.35,11.00,11.10,11943600,11.10
2012-12-03,11.30,11.55,11.05,11.20,14506400,11.20
2012-11-30,10.95,11.45,10.95,11.25,15899400,11.25
2012-11-29,11.30,11.30,10.65,10.95,46521000,10.95
2012-11-28,11.20,11.20,11.20,11.20,000,11.20
2012-11-27,11.40,11.40,11.15,11.20,12645700,11.20
2012-11-26,11.25,11.40,11.05,11.10,18400200,11.10
2012-11-23,11.20,11.30,11.00,11.15,11158900,11.15
2012-11-22,11.50,11.55,11.15,11.20,2944700,11.20
2012-11-21,11.05,11.45,11.05,11.40,5063300,11.40
2012-11-20,11.40,11.50,11.10,11.30,7969600,11.30
2012-11-19,11.50,11.55,11.30,11.40,4160400,11.40
2012-11-16,11.65,11.75,11.35,11.45,7331400,11.45
2012-11-15,11.90,11.95,11.50,11.60,4312700,11.60
2012-11-14,11.85,11.85,11.85,11.85,000,11.85
2012-11-13,11.85,11.85,11.85,11.85,000,11.85
2012-11-12,11.55,12.30,11.20,11.85,7472100,11.85
2012-11-09,11.75,11.80,11.40,11.50,4923600,11.50
2012-11-08,11.70,11.90,11.60,11.75,2440900,11.75
2012-11-07,11.85,12.05,11.70,11.75,5322400,11.75
2012-11-06,11.90,12.05,11.80,11.85,3956900,11.85
2012-11-05,12.30,12.30,11.85,11.95,3745000,11.95
2012-11-02,12.10,12.40,11.95,12.20,10214300,12.20
2012-11-01,11.50,12.10,11.45,12.00,11299100,12.00
2012-10-31,11.45,11.55,11.20,11.50,4348100,11.50
2012-10-30,11.30,11.60,11.25,11.50,11623100,11.50
2012-10-29,11.60,11.60,11.20,11.30,2972900,11.30
2012-10-26,11.45,11.45,11.45,11.45,000,11.45
2012-10-25,11.65,11.70,11.30,11.45,12305600,11.45
2012-10-24,11.70,11.70,11.70,11.70,000,11.70
2012-10-23,11.70,11.85,11.65,11.70,2385900,11.70
2012-10-22,11.95,12.00,11.55,11.70,5979900,11.70
2012-10-19,12.10,12.20,11.75,11.90,5018900,11.90
2012-10-18,12.30,12.30,12.00,12.10,2924300,12.10
2012-10-17,12.30,12.40,12.15,12.25,4987700,12.25
2012-10-16,11.15,12.45,11.15,12.10,4989400,12.10
2012-10-15,12.40,12.50,12.15,12.25,2338800,12.25
2012-10-12,12.65,12.75,12.35,12.40,4070600,12.40
2012-10-11,12.55,12.75,12.35,12.60,3993000,12.60
2012-10-10,12.90,12.95,12.50,12.55,8390300,12.55
2012-10-09,13.15,13.30,12.80,12.95,10666000,12.95
2012-10-08,13.00,13.30,12.65,12.95,8612400,12.95
2012-10-05,13.35,13.50,12.65,12.90,7480400,12.90
2012-10-04,13.30,13.55,13.15,13.25,7123600,13.25
2012-10-03,12.90,13.45,12.90,13.35,9444500,13.35
2012-10-02,12.85,12.85,12.85,12.85,000,12.85
