Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,200.15,200.15,200.15,200.15,000,200.15
2012-12-24,199.75,201.80,198.10,200.15,1514900,200.15
2012-12-21,204.00,204.70,198.90,199.75,2884700,199.75
2012-12-20,211.00,211.10,204.15,205.30,2340500,205.30
2012-12-19,207.00,212.00,206.50,211.10,2668400,211.10
2012-12-18,204.60,206.90,203.05,206.05,2421900,206.05
2012-12-17,205.30,207.85,201.50,204.15,2673700,204.15
2012-12-14,207.25,208.55,202.55,206.45,2837100,206.45
2012-12-13,212.90,213.90,203.20,206.55,2501300,206.55
2012-12-12,212.80,213.25,208.75,210.40,1654900,210.40
2012-12-11,207.50,214.40,207.10,211.55,4051600,211.55
2012-12-10,207.00,207.80,205.65,207.10,1389600,207.10
2012-12-07,207.00,209.65,205.25,206.25,1546800,206.25
2012-12-06,207.50,208.60,203.50,206.80,1529000,206.80
2012-12-05,206.90,208.40,205.50,207.20,1571800,207.20
2012-12-04,211.80,211.80,204.55,205.30,1579800,205.30
2012-12-03,206.60,211.95,206.60,209.50,1903200,209.50
2012-11-30,209.50,209.60,205.20,208.00,1249400,208.00
2012-11-29,205.80,209.60,205.05,207.95,1894100,207.95
2012-11-28,205.60,205.60,205.60,205.60,000,205.60
2012-11-27,202.00,206.35,201.85,205.60,1331000,205.60
2012-11-26,202.50,203.50,200.00,201.10,521600,201.10
2012-11-23,203.00,204.15,201.10,203.25,1366300,203.25
2012-11-22,201.30,204.25,199.20,202.10,2197200,202.10
2012-11-21,197.80,200.50,194.50,199.45,1053300,199.45
2012-11-20,201.85,204.00,194.20,195.75,1662100,195.75
2012-11-19,201.70,202.80,197.10,199.40,1511600,199.40
2012-11-16,208.70,208.95,200.30,202.80,1115100,202.80
2012-11-15,211.00,214.50,206.30,207.30,2342000,207.30
2012-11-14,211.25,211.25,211.25,211.25,000,211.25
2012-11-13,211.25,211.25,211.25,211.25,000,211.25
2012-11-12,216.00,216.30,210.55,211.25,931500,211.25
2012-11-09,218.00,218.45,213.15,213.90,680800,213.90
2012-11-08,216.40,219.65,215.55,218.05,1100700,218.05
2012-11-07,215.45,218.75,215.35,218.10,2095300,218.10
2012-11-06,210.05,215.90,209.65,215.45,2150500,215.45
2012-11-05,206.70,210.85,205.60,210.05,1253900,210.05
2012-11-02,206.10,208.80,206.00,207.40,1621400,207.40
2012-11-01,201.55,204.90,200.15,204.30,2083100,204.30
2012-10-31,203.55,205.00,202.05,202.70,1324200,202.70
2012-10-30,208.00,210.50,202.70,203.30,970600,203.30
2012-10-29,209.95,211.35,208.00,209.65,1151600,209.65
2012-10-26,206.10,206.10,206.10,206.10,000,206.10
2012-10-25,201.25,207.20,201.00,206.10,4318300,206.10
2012-10-24,203.10,203.10,203.10,203.10,000,203.10
2012-10-23,204.80,206.50,202.00,203.10,2174400,203.10
2012-10-22,206.00,206.55,201.80,203.20,2641300,203.20
2012-10-19,204.70,208.40,203.30,206.70,7395900,206.70
2012-10-18,205.70,207.95,201.65,203.25,6723500,203.25
2012-10-17,211.45,211.45,202.60,203.20,4916400,203.20
2012-10-16,215.00,216.65,208.85,209.45,1287900,209.45
2012-10-15,214.20,218.40,213.10,214.60,1780700,214.60
2012-10-12,209.00,217.40,209.00,214.85,2976900,214.85
2012-10-11,210.50,212.25,207.65,209.15,2512500,209.15
2012-10-10,210.50,214.70,209.30,209.75,2000000,209.75
2012-10-09,210.45,213.65,208.00,210.80,1407300,210.80
2012-10-08,216.30,216.30,208.70,209.55,1784600,209.55
2012-10-05,220.20,220.90,174.50,216.30,4498000,216.30
2012-10-04,216.30,223.00,215.00,218.10,5800100,218.10
2012-10-03,213.40,216.30,212.05,214.90,5340800,214.90
2012-10-02,209.50,209.50,209.50,209.50,000,209.50
2012-10-01,202.00,211.00,202.00,209.50,5410000,209.50
2012-09-28,202.80,204.50,200.85,202.00,4442300,202.00
2012-09-27,204.00,205.80,199.85,202.20,4590600,202.20
2012-09-26,193.25,203.10,193.20,202.50,4002600,202.50
2012-09-25,193.10,197.00,192.60,194.90,2095300,194.90
2012-09-24,195.00,195.40,192.00,194.00,2199100,194.00
2012-09-21,190.00,195.75,189.40,194.90,2582100,194.90
2012-09-20,190.00,194.45,189.10,191.25,2630300,191.25
2012-09-19,192.25,192.25,192.25,192.25,000,192.25
2012-09-18,194.00,194.00,190.10,192.25,1912600,192.25
2012-09-17,198.00,199.00,191.40,192.95,1917300,192.95
2012-09-14,194.00,197.95,192.00,197.35,2382200,197.35
2012-09-13,193.00,193.00,189.25,191.35,1420100,191.35
2012-09-12,191.70,194.25,190.35,191.70,1985000,191.70
2012-09-11,189.00,192.25,187.10,190.75,1570100,190.75
2012-09-10,190.25,191.95,188.10,189.70,1348300,189.70
2012-09-07,191.65,192.80,187.40,189.45,2181300,189.45
2012-09-06,179.25,190.40,179.25,189.25,4198600,189.25
2012-09-05,179.25,182.00,179.00,180.45,1889400,180.45
2012-09-04,180.35,182.65,178.45,181.30,2021900,181.30
2012-09-03,186.20,186.90,180.40,182.10,1621300,182.10
2012-08-31,188.30,190.00,183.55,185.30,1152400,185.30
2012-08-30,185.95,193.20,184.95,188.55,3703500,188.55
2012-08-29,186.80,188.90,185.05,187.20,988500,187.20
2012-08-28,189.45,189.75,185.10,186.55,1692900,186.55
2012-08-27,190.00,191.80,187.65,188.20,1318900,188.20
2012-08-24,189.20,192.30,188.60,190.10,1084100,190.10
2012-08-23,194.25,194.70,189.50,190.85,1448300,190.85
2012-08-22,194.30,195.00,192.55,193.10,917100,193.10
2012-08-21,189.05,195.50,189.05,194.25,2060700,194.25
2012-08-20,188.95,188.95,188.95,188.95,000,188.95
2012-08-17,191.00,193.45,186.50,188.95,1822600,188.95
2012-08-16,195.10,195.65,191.35,191.75,1915000,191.75
2012-08-15,194.90,194.90,194.90,194.90,000,194.90
2012-08-14,195.00,196.20,194.15,194.90,1366100,194.90
2012-08-13,194.40,197.95,194.40,196.60,2544700,196.60
2012-08-10,192.90,195.00,192.20,194.25,920000,194.25
2012-08-09,192.60,194.70,189.80,193.15,1053500,193.15
2012-08-08,191.20,193.95,190.85,192.45,2103500,192.45
2012-08-07,185.00,191.50,184.40,190.80,3606600,190.80
2012-08-06,184.40,185.90,184.00,185.00,1148900,185.00
2012-08-03,181.40,184.95,181.40,182.60,1784600,182.60
2012-08-02,185.15,186.00,182.40,183.90,1277500,183.90
2012-08-01,181.50,186.45,181.00,186.00,2382900,186.00
2012-07-31,180.00,181.85,178.15,180.45,2140600,180.45
2012-07-30,182.35,182.75,178.60,179.55,1583700,179.55
2012-07-27,180.50,183.80,180.20,181.95,4293500,180.55
2012-07-26,175.90,180.80,175.00,179.70,9564600,178.32
2012-07-25,167.25,176.80,167.25,174.30,6189000,172.96
