Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,68.75,68.75,68.75,68.75,000,68.75
2012-12-24,69.00,69.80,68.30,68.75,301600,68.75
2012-12-21,70.30,71.35,68.10,68.40,600300,68.40
2012-12-20,72.90,73.50,69.60,70.75,1192400,70.75
2012-12-19,68.75,73.00,68.45,72.40,2064800,72.40
2012-12-18,67.90,69.00,67.70,68.25,368400,68.25
2012-12-17,69.40,70.75,67.60,67.85,772200,67.85
2012-12-14,69.40,69.85,68.15,69.10,391300,69.10
2012-12-13,73.55,73.75,68.20,68.95,827300,68.95
2012-12-12,73.50,75.70,72.55,73.05,3364200,73.05
2012-12-11,69.25,74.80,69.15,72.90,4040300,72.90
2012-12-10,69.20,70.40,68.40,69.10,328100,69.10
2012-12-07,68.50,70.25,68.35,68.60,546500,68.60
2012-12-06,70.80,70.80,67.60,67.85,691400,67.85
2012-12-05,70.65,71.45,69.45,70.00,972000,70.00
2012-12-04,68.20,71.40,68.05,69.80,1249300,69.80
2012-12-03,67.80,69.35,67.25,68.25,374800,68.25
2012-11-30,66.15,68.95,66.15,67.00,585000,67.00
2012-11-29,69.70,71.25,67.55,67.95,626500,67.95
2012-11-28,69.20,69.20,69.20,69.20,000,69.20
2012-11-27,69.05,70.75,68.50,69.20,686900,69.20
2012-11-26,67.00,69.65,66.25,68.45,653500,68.45
2012-11-23,66.70,68.20,65.95,66.60,239100,66.60
2012-11-22,67.00,67.25,66.15,66.45,98700,66.45
2012-11-21,66.45,68.20,66.10,66.70,202300,66.70
2012-11-20,69.40,69.70,65.70,66.15,215000,66.15
2012-11-19,66.90,70.35,65.55,68.95,845400,68.95
2012-11-16,66.65,68.25,66.25,66.60,257300,66.60
2012-11-15,65.85,66.70,65.20,66.30,131900,66.30
2012-11-14,65.90,65.90,65.90,65.90,000,65.90
2012-11-13,65.90,65.90,65.90,65.90,000,65.90
2012-11-12,66.60,66.90,65.60,65.90,130200,65.90
2012-11-09,67.25,68.40,66.20,66.40,151200,66.40
2012-11-08,67.50,67.90,67.15,67.35,113200,67.35
2012-11-07,67.95,69.40,67.50,68.30,302600,68.30
2012-11-06,66.60,68.15,65.30,67.70,294400,67.70
