Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,119.95,119.95,119.95,119.95,000,119.95
2012-12-24,120.95,121.90,119.80,119.95,40600,119.95
2012-12-21,122.25,123.40,120.20,120.90,253300,120.90
2012-12-20,123.00,124.50,121.30,122.05,46500,122.05
2012-12-19,124.80,125.70,122.15,123.35,147100,123.35
2012-12-18,121.30,125.00,120.40,123.80,47700,123.80
2012-12-17,122.00,123.95,119.85,120.30,82300,120.30
2012-12-14,123.20,125.00,122.45,122.85,50200,122.85
2012-12-13,127.20,128.50,123.50,123.95,35800,123.95
2012-12-12,128.00,129.40,126.65,127.70,36600,127.70
2012-12-11,131.70,131.70,127.40,128.25,55300,128.25
2012-12-10,128.55,131.50,128.10,130.35,60800,130.35
2012-12-07,130.05,132.75,128.00,128.55,78900,128.55
2012-12-06,133.45,134.70,128.60,130.70,75800,130.70
2012-12-05,129.65,134.60,129.55,132.60,250900,132.60
2012-12-04,126.95,133.00,126.80,128.60,287500,128.60
2012-12-03,127.30,129.30,125.20,126.60,88800,126.60
2012-11-30,123.00,129.80,122.05,126.10,249800,126.10
2012-11-29,122.10,123.70,121.55,122.25,75600,122.25
2012-11-28,121.25,121.25,121.25,121.25,000,121.25
2012-11-27,124.75,127.45,119.30,121.25,198400,121.25
2012-11-26,124.40,125.30,122.50,123.70,100100,123.70
2012-11-23,120.10,124.95,116.50,122.05,126300,122.05
2012-11-22,116.80,123.70,116.30,119.95,214300,119.95
2012-11-21,116.90,118.40,114.00,115.95,89200,115.95
2012-11-20,118.90,120.45,115.55,116.20,34800,116.20
2012-11-19,120.10,121.75,117.00,117.70,59200,117.70
2012-11-16,123.40,124.80,121.00,121.10,45100,121.10
2012-11-15,124.00,125.50,120.15,123.40,90100,123.40
2012-11-14,121.60,121.60,121.60,121.60,000,121.60
2012-11-13,121.60,121.60,121.60,121.60,000,121.60
2012-11-12,121.00,123.45,120.00,121.60,129000,121.60
2012-11-09,119.70,123.10,119.00,119.60,160300,119.60
2012-11-08,120.00,122.00,119.10,119.55,61500,119.55
2012-11-07,123.00,125.00,120.30,120.95,98000,120.95
2012-11-06,124.75,124.75,121.65,122.10,90700,122.10
2012-11-05,126.00,127.45,123.45,124.80,90300,124.80
2012-11-02,130.05,133.40,126.55,127.20,207700,127.20
2012-11-01,127.00,131.40,126.70,128.15,60300,128.15
2012-10-31,130.85,131.00,126.50,127.20,66300,127.20
2012-10-30,131.30,132.60,130.00,130.55,24700,130.55
2012-10-29,132.75,134.00,130.30,131.80,24400,131.80
2012-10-26,135.00,135.00,135.00,135.00,000,135.00
2012-10-25,135.00,136.00,133.35,135.00,31800,135.00
2012-10-24,134.90,134.90,134.90,134.90,000,134.90
2012-10-23,137.00,139.45,134.50,134.90,80700,134.90
2012-10-22,138.70,141.25,136.40,137.50,67000,137.50
2012-10-19,136.00,142.40,135.35,138.80,349800,138.80
2012-10-18,131.00,136.50,126.00,135.80,84500,135.80
2012-10-17,134.40,134.95,129.45,130.35,71900,130.35
2012-10-16,137.65,138.00,133.00,133.30,72900,133.30
2012-10-15,136.70,139.70,136.10,137.10,77300,137.10
2012-10-12,134.45,139.00,133.60,135.80,82400,135.80
2012-10-11,136.60,136.60,133.00,133.80,103000,133.80
2012-10-10,138.80,139.00,135.45,136.00,59100,136.00
2012-10-09,144.50,145.10,138.60,139.10,85100,139.10
2012-10-08,142.00,148.10,141.30,143.40,130200,143.40
2012-10-05,145.65,145.65,138.70,141.45,116000,141.45
2012-10-04,136.65,148.85,136.05,142.65,453100,142.65
2012-10-03,138.00,138.70,134.10,135.95,64700,135.95
2012-10-02,137.50,137.50,137.50,137.50,000,137.50
2012-10-01,134.50,140.00,134.25,137.50,96600,137.50
2012-09-28,135.45,139.25,134.00,134.55,98400,134.55
