Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,92.10,92.10,92.10,92.10,000,92.10
2012-12-24,93.50,94.20,91.75,92.10,626800,92.10
2012-12-21,95.75,95.80,92.70,93.30,725700,93.30
2012-12-20,95.95,97.70,95.50,96.10,1240200,96.10
2012-12-19,96.50,97.95,95.50,96.15,2782200,96.15
2012-12-18,93.40,96.60,91.85,96.30,2466100,96.30
2012-12-17,91.00,93.50,90.85,93.15,1471600,93.15
2012-12-14,89.45,91.60,88.60,91.20,1363600,91.20
2012-12-13,94.70,94.70,89.00,89.35,1753200,89.35
2012-12-12,89.70,93.75,89.70,93.10,1979500,93.10
2012-12-11,90.50,91.65,88.25,89.95,890900,89.95
2012-12-10,93.00,93.00,89.20,90.05,1479400,90.05
2012-12-07,94.05,94.40,91.75,92.60,1228800,92.60
2012-12-06,92.85,94.10,91.85,93.30,1118400,93.30
2012-12-05,91.25,93.55,90.10,92.85,1576600,92.85
2012-12-04,92.00,92.60,89.70,91.15,1369800,91.15
2012-12-03,90.45,92.60,89.55,91.70,1658300,91.70
2012-11-30,90.40,90.90,88.20,90.00,1390800,90.00
2012-11-29,86.80,90.20,86.80,89.75,2219600,89.75
2012-11-28,86.90,86.90,86.90,86.90,000,86.90
2012-11-27,86.35,87.45,84.95,86.90,2551800,86.90
2012-11-26,82.85,84.95,82.00,84.65,1139700,84.65
2012-11-23,83.25,83.90,82.35,82.85,523700,82.85
2012-11-22,84.05,84.80,82.40,83.20,692700,83.20
2012-11-21,82.90,84.45,80.80,83.95,1314800,83.95
2012-11-20,85.05,85.85,82.20,82.75,1104600,82.75
2012-11-19,85.55,86.70,83.50,84.85,1222800,84.85
2012-11-16,86.40,88.45,84.80,85.50,1436400,85.50
2012-11-15,85.55,87.45,85.20,86.70,1204900,86.70
2012-11-14,86.50,86.50,86.50,86.50,000,86.50
2012-11-13,86.50,86.50,86.50,86.50,000,86.50
2012-11-12,83.50,87.00,81.85,86.50,2459200,86.50
2012-11-09,84.20,84.85,82.80,83.45,869000,83.45
2012-11-08,82.50,84.75,82.00,84.35,1434300,84.35
2012-11-07,83.00,84.35,82.70,83.55,666600,83.55
2012-11-06,82.35,83.90,81.75,83.15,826200,83.15
2012-11-05,84.35,84.85,81.80,82.35,920200,82.35
2012-11-02,83.50,85.30,83.50,84.35,1866500,84.35
2012-11-01,81.65,83.80,80.65,83.40,1217200,83.40
2012-10-31,82.25,82.60,79.80,81.55,1308100,81.55
2012-10-30,83.15,84.00,81.20,82.15,1604500,82.15
2012-10-29,81.50,84.15,81.50,83.15,1970600,83.15
2012-10-26,81.55,81.55,81.55,81.55,000,81.55
2012-10-25,78.00,82.80,76.80,81.55,2937800,81.55
2012-10-24,78.00,78.00,78.00,78.00,000,78.00
2012-10-23,79.25,80.25,76.70,78.00,4500000,78.00
2012-10-22,79.05,79.25,77.30,78.50,775200,78.50
2012-10-19,77.50,79.85,77.10,79.10,2150400,79.10
2012-10-18,76.00,77.90,75.70,77.15,1350400,77.15
