Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,26.55,26.55,26.55,26.55,000,26.55
2012-12-24,27.10,27.25,26.45,26.55,3668300,26.55
2012-12-21,27.10,27.30,26.90,27.10,2722900,27.10
2012-12-20,27.80,27.90,27.20,27.30,2227100,27.30
2012-12-19,27.70,28.10,27.55,27.80,6077900,27.80
2012-12-18,27.10,28.00,27.10,27.55,7222200,27.55
2012-12-17,27.25,27.90,27.20,27.60,10223100,27.60
2012-12-14,27.00,27.70,26.90,27.35,9913600,27.35
2012-12-13,26.60,27.45,26.60,27.00,11354700,27.00
2012-12-12,26.80,27.10,26.30,26.45,9836800,26.45
2012-12-11,27.50,27.80,26.45,26.65,8571500,26.65
2012-12-10,28.50,28.50,27.45,27.60,9292000,27.60
2012-12-07,28.90,28.95,27.90,28.15,7059800,28.15
2012-12-06,27.80,29.00,27.70,28.20,6327100,28.20
2012-12-05,27.55,27.75,27.35,27.55,2806600,27.55
2012-12-04,27.55,28.05,27.00,27.35,9697900,27.35
2012-12-03,28.40,28.70,27.55,27.75,5365600,27.75
2012-11-30,28.00,28.65,28.00,28.40,13303900,28.40
2012-11-29,27.85,28.15,27.50,27.95,7877900,27.95
2012-11-28,27.95,27.95,27.95,27.95,000,27.95
2012-11-27,27.40,28.10,27.40,27.95,9828100,27.95
2012-11-26,26.70,27.90,26.70,27.40,12105900,27.40
2012-11-23,26.50,27.00,26.00,26.85,9302600,26.85
2012-11-22,26.00,26.30,25.35,26.00,12445500,26.00
2012-11-21,24.20,26.15,24.20,25.40,12861900,25.40
2012-11-20,26.50,27.00,25.20,25.70,13611400,25.70
2012-11-19,27.50,27.50,26.00,26.25,21335200,26.25
2012-11-16,27.05,28.45,27.05,27.50,16306300,27.50
2012-11-15,26.90,28.45,26.70,28.25,28698000,28.25
2012-11-14,26.85,26.85,26.85,26.85,000,26.85
2012-11-13,26.85,26.85,26.85,26.85,000,26.85
2012-11-12,25.70,27.00,25.70,26.85,15039700,26.85
2012-11-09,25.60,25.75,24.70,25.70,38432100,25.70
2012-11-08,24.50,24.70,23.85,24.10,6617600,24.10
2012-11-07,24.30,24.90,24.10,24.80,4999200,24.80
2012-11-06,24.10,24.70,23.95,24.20,9627200,24.20
2012-11-05,24.00,24.35,23.90,24.05,4191400,24.05
2012-11-02,23.75,24.80,23.60,24.15,11390000,24.15
2012-11-01,23.45,23.75,23.30,23.60,1448100,23.60
2012-10-31,23.15,23.55,23.00,23.45,4272500,23.45
2012-10-30,23.00,23.60,23.00,23.10,3624800,23.10
2012-10-29,23.40,23.40,23.05,23.10,1780000,23.10
2012-10-26,23.20,23.20,23.20,23.20,000,23.20
2012-10-25,23.35,23.50,23.05,23.20,4114800,23.20
2012-10-24,23.35,23.35,23.35,23.35,000,23.35
2012-10-23,23.65,23.80,23.25,23.35,1622100,23.35
2012-10-22,23.50,23.70,23.20,23.50,1555800,23.50
2012-10-19,21.85,23.90,21.85,23.40,1261200,23.40
2012-10-18,23.40,23.60,23.25,23.45,1255100,23.45
2012-10-17,23.55,23.65,23.10,23.35,2579400,23.35
2012-10-16,24.30,24.30,23.35,23.45,1606600,23.45
2012-10-15,23.50,24.00,23.50,23.70,1130500,23.70
2012-10-12,24.15,24.40,23.70,23.85,2241500,23.85
2012-10-11,23.50,24.05,23.40,23.95,1975000,23.95
2012-10-10,23.80,24.45,23.75,23.80,1900200,23.80
2012-10-09,24.00,24.30,23.70,24.00,3209900,24.00
2012-10-08,24.55,24.70,24.05,24.15,3996100,24.15
2012-10-05,24.75,24.90,24.25,24.70,6825900,24.70
2012-10-04,24.55,24.90,24.50,24.70,4181800,24.70
2012-10-03,24.25,24.95,24.25,24.45,7755200,24.45
2012-10-02,24.00,24.00,24.00,24.00,000,24.00
2012-10-01,24.15,24.15,23.80,24.00,4110300,24.00
2012-09-28,23.90,24.40,23.85,24.10,4062600,24.10
2012-09-27,24.15,24.40,23.60,23.85,7773200,23.85
2012-09-26,24.30,24.75,22.30,24.15,7895100,24.15
2012-09-25,24.70,24.90,24.25,24.50,4302400,24.50
2012-09-24,24.00,24.70,24.00,24.45,7300000,24.45
2012-09-21,21.25,24.30,21.25,24.00,8543400,24.00
2012-09-20,23.50,23.85,22.50,23.60,8639600,23.60
2012-09-19,23.10,23.10,23.10,23.10,000,23.10
2012-09-18,23.00,23.35,22.80,23.10,4503800,23.10
2012-09-17,21.70,23.20,21.70,23.00,12008300,23.00
2012-09-14,21.30,22.40,21.20,21.90,20026200,21.90
2012-09-13,21.55,21.85,21.05,21.10,5399700,21.10
2012-09-12,21.00,21.60,20.90,21.55,7453100,21.55
2012-09-11,18.75,21.10,18.75,20.80,3964900,20.80
2012-09-10,21.45,21.45,21.00,21.10,2461900,21.10
2012-09-07,21.10,21.30,20.85,21.15,3785500,21.15
2012-09-06,20.80,20.80,20.65,20.70,1603200,20.70
2012-09-05,21.00,21.00,20.60,20.65,3634900,20.65
2012-09-04,20.80,21.20,20.70,21.00,5675900,21.00
2012-09-03,21.20,21.30,20.50,20.60,2432500,20.60
2012-08-31,20.60,21.10,20.35,20.60,5619200,20.60
2012-08-30,20.55,20.90,20.25,20.60,6086900,20.60
2012-08-29,21.45,21.45,20.30,20.55,6678900,20.55
2012-08-28,21.30,21.40,20.60,20.75,5921300,20.75
2012-08-27,21.85,21.95,21.30,21.30,3205900,21.30
2012-08-24,21.85,21.95,21.70,21.85,2200100,21.85
2012-08-23,22.60,22.60,21.90,22.00,2889400,22.00
2012-08-22,22.05,22.30,21.95,22.05,3403000,22.05
2012-08-21,22.75,22.75,21.90,22.05,6963800,22.05
2012-08-20,22.50,22.50,22.50,22.50,000,22.50
2012-08-17,23.15,23.15,22.25,22.50,8404700,22.50
2012-08-16,23.15,23.15,22.65,22.75,4885700,22.75
2012-08-15,22.90,22.90,22.90,22.90,000,22.90
2012-08-14,22.70,23.10,22.70,22.90,3273100,22.90
2012-08-13,22.95,23.05,22.60,23.00,2581300,23.00
2012-08-10,23.95,23.95,22.80,22.90,4430100,22.90
2012-08-09,23.20,23.20,22.60,22.95,3521400,22.95
2012-08-08,23.00,23.20,22.80,22.90,5553000,22.90
2012-08-07,22.75,23.10,22.60,23.00,3385300,23.00
2012-08-06,23.10,23.10,22.80,22.90,3237900,22.90
2012-08-03,23.00,23.10,22.55,22.75,5591500,22.75
2012-08-02,22.10,23.20,21.80,23.00,12188600,23.00
2012-08-01,21.85,22.30,21.80,22.05,5920700,22.05
2012-07-31,22.75,22.80,21.80,22.30,3749500,22.30
