Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,4361.00,4361.00,4361.00,4361.00,000,4361.00
2012-12-24,4375.00,4385.00,4335.00,4361.00,36400,4361.00
2012-12-21,4436.00,4436.00,4340.40,4356.20,45100,4356.20
2012-12-20,4435.00,4497.50,4410.00,4444.20,82300,4444.20
2012-12-19,4295.50,4447.95,4295.50,4429.85,80600,4429.85
2012-12-18,4260.00,4318.95,4253.60,4295.50,60600,4295.50
2012-12-17,4250.05,4274.15,4225.00,4249.40,40700,4249.40
2012-12-14,4326.90,4326.90,4263.00,4280.80,67100,4280.80
2012-12-13,4337.95,4342.95,4295.00,4309.60,63800,4309.60
2012-12-12,4326.00,4340.00,4283.95,4320.50,120400,4320.50
2012-12-11,4344.00,4344.00,4275.10,4300.20,46200,4300.20
2012-12-10,4330.00,4345.45,4300.25,4315.85,36600,4315.85
2012-12-07,4337.00,4367.00,4301.00,4312.55,41700,4312.55
2012-12-06,4372.00,4384.80,4335.00,4356.55,60700,4356.55
2012-12-05,4351.00,4414.40,4351.00,4377.85,148100,4377.85
2012-12-04,4371.90,4387.50,4322.00,4352.00,83200,4352.00
2012-12-03,4320.30,4382.95,4305.00,4346.65,63100,4346.65
2012-11-30,4305.05,4375.95,4290.40,4330.35,251000,4330.35
2012-11-29,4115.00,4374.45,4115.00,4319.80,218600,4319.80
2012-11-28,4123.90,4123.90,4123.90,4123.90,000,4123.90
2012-11-27,4071.25,4133.90,4071.25,4123.90,51000,4123.90
2012-11-26,4094.95,4121.90,4050.00,4083.40,49700,4083.40
2012-11-23,3968.00,4068.00,3968.00,4054.10,75800,4054.10
2012-11-22,3930.00,3989.00,3928.55,3968.05,68600,3968.05
2012-11-21,3854.00,3935.00,3836.05,3919.90,96100,3919.90
2012-11-20,3870.05,3928.95,3832.00,3849.95,51400,3849.95
2012-11-19,3960.00,3960.00,3850.00,3876.75,68400,3876.75
2012-11-16,4025.00,4038.85,3936.05,3951.05,44000,3951.05
2012-11-15,4050.25,4107.95,3990.25,4014.95,103800,4014.95
2012-11-14,4089.60,4089.60,4089.60,4089.60,000,4089.60
2012-11-13,4089.60,4089.60,4089.60,4089.60,000,4089.60
2012-11-12,4130.00,4160.00,4082.70,4089.60,38800,4089.60
2012-11-09,4161.25,4195.00,4100.10,4114.30,41500,4114.30
2012-11-08,4074.00,4199.85,4074.00,4178.10,87100,4178.10
2012-11-07,4105.10,4145.00,4091.85,4120.45,79900,4120.45
2012-11-06,3969.95,4109.00,3950.05,4095.35,147500,4095.35
2012-11-05,3893.00,3970.00,3881.20,3957.00,49200,3957.00
2012-11-02,3909.95,3920.00,3879.90,3903.30,37400,3903.30
2012-11-01,3865.00,3887.95,3841.35,3878.60,28200,3878.60
2012-10-31,3894.85,3909.90,3851.05,3871.20,24700,3871.20
2012-10-30,3921.00,3945.00,3872.60,3887.95,15600,3887.95
2012-10-29,3947.00,3947.00,3892.00,3931.55,24100,3931.55
2012-10-26,3896.15,3896.15,3896.15,3896.15,000,3886.65
2012-10-25,3910.00,3920.00,3871.35,3896.15,131300,3886.65
2012-10-24,3910.20,3910.20,3910.20,3910.20,000,3900.67
2012-10-23,3944.00,3944.00,3895.00,3910.20,38500,3900.67
2012-10-22,3884.70,3939.95,3843.00,3929.15,39200,3919.57
2012-10-19,3900.00,3923.70,3875.00,3881.70,47800,3872.24
2012-10-18,3914.00,3948.00,3901.00,3923.70,30000,3914.13
2012-10-17,3895.00,3942.00,3885.45,3908.80,50500,3899.27
2012-10-16,3888.00,3908.00,3862.50,3885.05,33600,3875.58
2012-10-15,3900.95,3918.00,3825.50,3873.85,30900,3864.40
2012-10-12,3886.00,3924.60,3872.00,3899.00,46300,3889.49
2012-10-11,3901.00,3929.00,3874.00,3895.30,51200,3885.80
2012-10-10,3861.25,3934.65,3861.25,3896.00,86600,3886.50
2012-10-09,3900.00,3918.00,3861.00,3891.60,50800,3882.11
2012-10-08,3834.50,3907.90,3820.90,3889.85,65500,3880.37
2012-10-05,3894.90,3899.00,3432.40,3811.25,176500,3801.96
2012-10-04,3905.00,3950.00,3851.05,3874.00,80700,3864.55
2012-10-03,3939.95,3955.85,3878.00,3908.05,74600,3898.52
2012-10-02,3939.65,3939.65,3939.65,3939.65,000,3930.04
2012-10-01,3958.00,3960.00,3900.00,3939.65,72000,3930.04
2012-09-28,3914.00,3966.40,3900.00,3934.80,82200,3925.21
2012-09-27,3900.00,3927.15,3853.00,3870.30,104900,3860.86
2012-09-26,3902.50,3955.00,3871.00,3893.15,90800,3883.66
2012-09-25,3970.00,4020.00,3919.95,3936.50,83600,3926.90
2012-09-24,3947.00,3999.00,3932.80,3979.90,77300,3970.20
2012-09-21,3902.20,3968.50,3891.05,3946.60,125700,3936.98
2012-09-20,3850.00,3938.30,3850.00,3895.75,61400,3886.25
2012-09-19,3900.50,3900.50,3900.50,3900.50,000,3890.99
2012-09-18,3885.00,3925.00,3871.70,3900.50,43900,3890.99
2012-09-17,3920.00,3925.95,3860.00,3884.55,41800,3875.08
2012-09-14,3899.00,3917.00,3862.35,3901.40,64500,3891.89
2012-09-13,3861.90,3875.00,3831.05,3849.50,46300,3840.11
2012-09-12,3765.05,3857.00,3765.05,3845.40,62500,3836.02
2012-09-11,3720.00,3780.00,3720.00,3776.15,28300,3766.94
2012-09-10,3779.95,3779.95,3721.00,3738.65,42700,3729.53
2012-09-07,3723.35,3775.55,3711.00,3770.50,52700,3761.31
2012-09-06,3641.10,3719.65,3625.20,3700.25,40000,3691.23
2012-09-05,3672.00,3680.00,3646.60,3651.35,25600,3642.45
2012-09-04,3649.00,3699.95,3636.50,3693.20,41200,3684.19
2012-09-03,3650.25,3681.25,3630.00,3651.00,58000,3642.10
2012-08-31,3701.00,3759.55,3630.25,3640.70,77000,3631.82
2012-08-30,3699.00,3806.65,3650.00,3696.35,112700,3687.34
2012-08-29,3730.00,3738.90,3671.15,3702.25,39500,3693.22
2012-08-28,3650.00,3749.85,3650.00,3725.95,116500,3716.86
2012-08-27,3682.75,3709.90,3652.05,3662.25,42300,3653.32
2012-08-24,3691.85,3691.85,3651.05,3676.55,30300,3667.59
2012-08-23,3700.00,3719.90,3682.45,3700.00,38700,3690.98
2012-08-22,3690.00,3727.80,3669.00,3692.05,50400,3683.05
2012-08-21,3671.50,3714.00,3646.35,3694.10,89500,3685.09
2012-08-20,3678.55,3678.55,3678.55,3678.55,000,3669.58
2012-08-17,3695.00,3730.60,3663.25,3678.55,103300,3669.58
2012-08-16,3765.15,3786.20,3695.00,3711.95,65500,3702.90
2012-08-15,3781.95,3781.95,3781.95,3781.95,000,3772.73
2012-08-14,3770.00,3817.00,3762.00,3781.95,58600,3772.73
2012-08-13,3696.00,3785.00,3691.00,3772.65,29000,3763.45
2012-08-10,3725.00,3753.85,3696.20,3713.40,84300,3704.35
2012-08-09,3750.00,3768.00,3730.85,3750.05,92600,3740.91
2012-08-08,3732.00,3758.00,3720.00,3731.40,52200,3722.30
2012-08-07,3740.25,3768.30,3720.10,3743.80,81400,3734.67
2012-08-06,3785.00,3789.95,3724.95,3748.10,100300,3738.96
2012-08-03,3625.00,3768.95,3625.00,3757.25,112600,3748.09
2012-08-02,3615.00,3698.80,3595.00,3651.30,75600,3642.40
2012-08-01,3627.60,3678.00,3611.10,3626.95,32400,3618.11
2012-07-31,3581.00,3668.70,3560.60,3642.30,74400,3633.42
2012-07-30,3520.00,3594.75,3510.00,3576.55,46800,3567.83
2012-07-27,3529.00,3547.90,3471.05,3506.10,63300,3497.55
2012-07-26,3549.95,3552.65,3450.00,3469.10,122100,3460.64
2012-07-25,3564.95,3584.00,3515.15,3528.35,64100,3519.75
2012-07-24,3600.00,3626.50,3551.00,3566.80,112900,3558.10
2012-07-23,3677.65,3680.00,3590.40,3602.55,163700,3593.77
2012-07-20,3621.05,3834.45,3621.05,3717.25,420600,3708.19
2012-07-19,3672.00,3694.90,3614.90,3619.15,105300,3610.33
