Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,427.15,427.15,427.15,427.15,000,427.15
2012-12-24,446.70,446.70,425.25,427.15,13500,427.15
2012-12-21,437.00,449.95,427.65,437.85,139500,437.85
2012-12-20,449.40,454.75,442.15,447.15,16200,447.15
2012-12-19,451.50,464.80,443.00,447.65,46800,447.65
2012-12-18,445.75,459.85,445.75,453.20,31900,453.20
2012-12-17,450.75,453.00,442.95,445.70,9200,445.70
2012-12-14,451.95,456.90,447.15,450.00,10100,450.00
2012-12-13,462.90,463.95,443.05,447.85,22500,447.85
2012-12-12,458.55,464.00,451.25,456.25,26500,456.25
2012-12-11,465.00,475.00,456.70,458.55,57000,458.55
2012-12-10,463.40,469.60,451.55,467.40,69600,467.40
2012-12-07,437.05,464.90,437.05,454.80,83700,454.80
2012-12-06,438.00,455.90,434.00,447.40,164800,447.40
2012-12-05,441.00,446.00,431.10,432.40,28400,432.40
2012-12-04,429.95,461.60,429.95,438.05,165900,438.05
2012-12-03,424.15,431.05,424.00,427.45,20900,427.45
2012-11-30,425.00,429.00,422.25,424.60,11200,424.60
2012-11-29,423.00,433.00,422.00,424.90,16100,424.90
2012-11-28,423.55,423.55,423.55,423.55,000,423.55
2012-11-27,428.00,432.50,421.00,423.55,15800,423.55
2012-11-26,408.60,432.90,403.90,429.55,60300,429.55
2012-11-23,413.25,420.45,403.50,407.20,17300,407.20
2012-11-22,411.30,422.00,408.25,417.05,21600,417.05
2012-11-21,400.05,417.80,395.05,409.25,51800,409.25
2012-11-20,414.00,414.40,398.10,399.50,25500,399.50
2012-11-19,419.00,424.40,406.90,410.00,25900,410.00
2012-11-16,426.55,434.90,412.65,419.35,20300,419.35
2012-11-15,432.05,434.40,426.00,431.30,13300,431.30
2012-11-14,429.95,429.95,429.95,429.95,000,429.95
2012-11-13,429.95,429.95,429.95,429.95,000,429.95
2012-11-12,425.80,431.55,425.05,429.95,35200,429.95
2012-11-09,429.80,436.65,420.00,426.40,34600,426.40
2012-11-08,423.00,436.00,422.45,428.55,48500,428.55
2012-11-07,418.35,428.90,415.50,426.80,88000,426.80
2012-11-06,413.80,422.00,410.00,414.90,26600,414.90
2012-11-05,418.20,425.50,411.30,414.80,57000,414.80
2012-11-02,411.50,429.00,405.20,415.15,171700,415.15
2012-11-01,395.00,411.90,395.00,406.45,40800,406.45
2012-10-31,401.05,406.90,395.20,397.50,30400,397.50
2012-10-30,407.30,412.70,392.55,400.50,46900,400.50
2012-10-29,408.00,419.30,405.00,406.20,50900,406.20
2012-10-26,416.80,416.80,416.80,416.80,000,416.80
2012-10-25,428.75,433.80,413.00,416.80,75400,416.80
2012-10-24,428.75,428.75,428.75,428.75,000,428.75
2012-10-23,441.05,448.90,423.55,428.75,116900,428.75
2012-10-22,411.40,447.80,406.20,439.80,434300,439.80
2012-10-19,380.00,414.40,380.00,410.10,544800,410.10
2012-10-18,378.25,384.00,376.20,377.80,77500,377.80
2012-10-17,374.00,384.15,372.15,377.65,73700,377.65
2012-10-16,370.95,388.80,366.00,370.65,97000,370.65
2012-10-15,362.05,375.00,362.05,369.45,32400,369.45
2012-10-12,362.90,369.50,355.00,365.20,58300,365.20
2012-10-11,374.50,375.40,363.95,366.75,81900,366.75
2012-10-10,360.20,390.80,358.10,372.05,301500,372.05
2012-10-09,352.00,366.40,352.00,363.20,47600,363.20
2012-10-08,352.30,364.70,350.05,352.55,35800,352.55
2012-10-05,362.00,367.95,347.00,350.55,49200,350.55
2012-10-04,381.65,382.40,356.35,363.70,43400,363.70
