Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,194.25,194.25,194.25,194.25,000,194.25
2012-12-24,193.45,196.80,192.60,194.25,1621100,194.25
2012-12-21,196.10,199.00,191.60,192.40,2780300,192.40
2012-12-20,188.45,197.55,187.20,195.40,4694500,195.40
2012-12-19,190.90,193.00,187.30,188.55,1234900,188.55
2012-12-18,188.00,193.00,183.50,190.45,2534700,190.45
2012-12-17,183.80,187.70,181.75,187.00,1870100,187.00
2012-12-14,188.00,190.00,182.25,183.35,2553800,183.35
2012-12-13,194.15,197.00,185.70,187.75,1729100,187.75
2012-12-12,191.95,195.30,190.60,193.80,1243800,193.80
2012-12-11,192.25,197.45,188.40,191.45,2002800,191.45
2012-12-10,193.45,195.00,190.55,192.00,1378700,192.00
2012-12-07,196.00,198.00,192.10,193.10,2023100,193.10
2012-12-06,195.15,197.80,190.65,195.65,2979100,195.65
2012-12-05,198.45,201.40,194.10,194.90,2841900,194.90
2012-12-04,192.00,198.40,191.65,197.60,4138800,197.60
2012-12-03,189.30,191.95,188.10,191.10,1849000,191.10
2012-11-30,185.20,189.90,184.00,188.00,2717600,188.00
2012-11-29,181.00,186.50,178.40,184.15,4564300,184.15
2012-11-28,180.15,180.15,180.15,180.15,000,180.15
2012-11-27,179.40,181.80,178.15,180.15,3087700,180.15
2012-11-26,171.00,179.80,167.65,178.90,2988900,178.90
2012-11-23,176.80,179.00,170.00,172.45,4505800,172.45
2012-11-22,178.00,182.00,175.10,176.25,2193800,176.25
2012-11-21,173.00,179.25,172.90,178.75,1935000,178.75
2012-11-20,177.00,179.65,169.65,172.10,2603800,172.10
2012-11-19,177.00,181.00,171.35,174.75,1820000,174.75
2012-11-16,174.00,182.85,173.75,176.65,3846500,176.65
2012-11-15,177.05,178.10,171.95,173.45,1425900,173.45
2012-11-14,178.75,178.75,178.75,178.75,000,178.75
2012-11-13,178.75,178.75,178.75,178.75,000,178.75
2012-11-12,170.60,179.85,170.50,178.75,2316500,178.75
2012-11-09,178.95,181.20,167.30,170.25,5683800,170.25
2012-11-08,174.75,180.00,174.15,178.55,2030200,178.55
2012-11-07,175.20,178.20,173.40,175.65,1550700,175.65
2012-11-06,169.85,176.25,169.60,175.35,2325600,175.35
2012-11-05,170.70,172.90,168.20,169.85,1347200,169.85
2012-11-02,170.95,173.10,167.75,170.30,2942500,170.30
