Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,357.15,357.15,357.15,357.15,000,357.15
2012-12-24,360.00,360.00,355.85,357.15,1100,357.15
2012-12-21,365.00,368.00,360.00,360.50,2700,360.50
2012-12-20,364.45,368.00,361.00,364.70,1300,364.70
2012-12-19,358.25,365.00,358.05,363.85,300,363.85
2012-12-18,368.00,368.00,356.00,361.20,1100,361.20
2012-12-17,358.25,363.90,358.25,363.90,000,363.90
2012-12-14,360.25,364.90,355.45,361.90,1500,361.90
2012-12-13,363.40,364.00,360.10,362.60,2700,362.60
2012-12-12,363.95,363.95,359.00,361.10,1300,361.10
2012-12-11,360.00,363.90,356.00,358.95,25600,358.95
2012-12-10,355.05,363.90,355.00,358.30,700,358.30
2012-12-07,368.00,368.95,358.10,359.75,800,359.75
2012-12-06,364.05,369.70,358.00,366.60,2900,366.60
2012-12-05,369.80,369.80,360.40,362.65,1000,362.65
2012-12-04,359.00,379.00,357.00,371.75,600,371.75
2012-12-03,356.00,363.00,355.05,357.70,3400,357.70
2012-11-30,355.30,363.95,352.00,361.95,2600,361.95
2012-11-29,370.00,379.95,352.00,355.30,14000,355.30
2012-11-28,367.85,367.85,367.85,367.85,000,367.85
2012-11-27,375.00,375.00,360.00,367.85,900,367.85
2012-11-26,365.00,369.00,360.55,368.00,200,368.00
2012-11-23,363.50,373.95,355.05,364.00,1500,364.00
2012-11-22,370.00,373.95,366.55,367.70,400,367.70
2012-11-21,360.00,372.70,360.00,365.05,1400,365.05
2012-11-20,364.95,366.95,355.05,358.70,700,358.70
2012-11-19,363.25,369.50,352.35,353.60,700,353.60
2012-11-16,375.00,377.45,362.00,362.65,800,362.65
2012-11-15,373.45,379.80,366.85,367.95,400,367.95
2012-11-14,370.30,370.30,370.30,370.30,000,370.30
2012-11-13,370.30,370.30,370.30,370.30,000,370.30
2012-11-12,379.00,386.00,367.65,370.30,500,370.30
2012-11-09,380.00,383.00,371.00,371.05,600,371.05
2012-11-08,370.20,383.00,370.20,375.80,400,375.80
2012-11-07,378.90,386.65,372.20,380.15,500,380.15
2012-11-06,373.00,373.20,364.00,370.30,900,370.30
2012-11-05,387.80,387.80,370.05,374.90,000,374.90
2012-11-02,373.50,379.10,373.50,373.50,400,373.50
2012-11-01,373.05,379.00,369.95,372.10,900,372.10
2012-10-31,376.05,379.90,372.60,373.80,300,373.80
2012-10-30,385.00,385.00,375.00,379.95,2900,379.95
2012-10-29,397.45,403.90,380.35,382.60,1200,382.60
2012-10-26,393.25,393.25,393.25,393.25,000,393.25
2012-10-25,399.00,402.75,391.40,393.25,9000,393.25
2012-10-24,396.05,396.05,396.05,396.05,000,396.05
2012-10-23,406.95,406.95,395.00,396.05,100,396.05
2012-10-22,398.00,407.00,394.95,398.45,1700,398.45
2012-10-19,399.75,399.80,390.50,395.85,900,395.85
2012-10-18,390.00,394.00,390.00,391.85,800,391.85
2012-10-17,388.35,391.95,380.60,389.95,1800,389.95
2012-10-16,389.00,392.80,381.00,381.05,700,381.05
2012-10-15,386.00,389.50,381.50,389.00,1100,389.00
2012-10-12,379.10,386.00,379.10,384.00,1000,384.00
2012-10-11,386.00,388.90,378.50,381.40,33300,381.40
2012-10-10,383.80,399.00,383.80,384.95,51100,384.95
2012-10-09,393.00,404.95,381.05,390.05,600,390.05
2012-10-08,385.00,385.00,380.00,380.45,1600,380.45
2012-10-05,405.00,405.00,376.75,381.90,2500,381.90
2012-10-04,407.95,409.70,401.10,401.10,300,401.10
2012-10-03,398.00,415.70,392.65,402.15,900,402.15
