Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,1342.65,1342.65,1342.65,1342.65,000,1342.65
2012-12-24,1322.05,1345.00,1322.05,1342.65,910500,1342.65
2012-12-21,1310.00,1341.60,1307.00,1321.25,1682400,1321.25
2012-12-20,1338.00,1339.95,1307.10,1318.60,1460100,1318.60
2012-12-19,1360.00,1362.40,1328.25,1334.90,1684400,1334.90
2012-12-18,1358.10,1363.30,1320.20,1353.95,1771600,1353.95
2012-12-17,1351.00,1365.95,1345.05,1359.05,1667100,1359.05
2012-12-14,1328.00,1356.90,1324.45,1352.70,1165800,1352.70
2012-12-13,1328.00,1346.50,1315.10,1325.35,1735000,1325.35
2012-12-12,1329.95,1330.40,1312.05,1326.35,1361400,1326.35
2012-12-11,1328.10,1339.90,1310.10,1325.40,1604200,1325.40
2012-12-10,1325.10,1335.80,1315.25,1322.85,1626700,1322.85
2012-12-07,1368.00,1370.00,1321.20,1328.75,2048700,1328.75
2012-12-06,1342.50,1379.00,1331.00,1364.10,1480500,1364.10
2012-12-05,1325.20,1340.00,1325.20,1334.70,1248000,1334.70
2012-12-04,1321.60,1328.40,1309.25,1322.10,926800,1322.10
2012-12-03,1314.00,1324.90,1304.50,1321.60,1363400,1321.60
2012-11-30,1314.00,1324.60,1300.15,1319.90,1793900,1319.90
2012-11-29,1291.10,1314.00,1290.00,1310.20,2647200,1310.20
2012-11-28,1290.05,1290.05,1290.05,1290.05,000,1290.05
2012-11-27,1272.00,1294.00,1268.45,1290.05,1637800,1290.05
2012-11-26,1262.00,1271.65,1247.10,1265.80,1352100,1265.80
2012-11-23,1262.90,1262.90,1245.00,1256.75,976000,1256.75
2012-11-22,1243.00,1269.00,1242.45,1257.05,1652900,1257.05
2012-11-21,1220.00,1240.80,1218.45,1236.35,1140400,1236.35
2012-11-20,1224.60,1232.65,1213.70,1218.95,2456700,1218.95
2012-11-19,1226.50,1230.00,1202.80,1214.30,1287100,1214.30
2012-11-16,1239.20,1243.65,1221.90,1226.25,1981800,1226.25
2012-11-15,1214.00,1240.00,1211.00,1232.25,1973800,1232.25
2012-11-14,1226.45,1226.45,1226.45,1226.45,000,1226.45
2012-11-13,1226.45,1226.45,1226.45,1226.45,000,1226.45
2012-11-12,1219.00,1234.90,1215.10,1226.45,971400,1226.45
2012-11-09,1222.50,1232.95,1207.80,1215.10,981200,1215.10
2012-11-08,1216.00,1229.90,1211.45,1222.50,1257400,1222.50
2012-11-07,1215.00,1243.70,1215.00,1232.05,1846100,1232.05
2012-11-06,1212.00,1224.45,1205.35,1220.15,1118600,1220.15
2012-11-05,1214.40,1218.75,1200.50,1214.25,940000,1214.25
2012-11-02,1227.70,1228.00,1212.50,1215.50,1524700,1215.50
2012-11-01,1183.00,1209.75,1177.00,1207.15,1354500,1207.15
2012-10-31,1184.45,1186.90,1165.55,1182.60,1780500,1182.60
2012-10-30,1223.00,1238.90,1171.75,1184.70,2739200,1184.70
2012-10-29,1232.00,1239.70,1212.75,1221.75,1149400,1221.75
2012-10-26,1238.05,1238.05,1238.05,1238.05,000,1238.05
2012-10-25,1219.90,1243.00,1218.00,1238.05,1857600,1238.05
2012-10-24,1222.25,1222.25,1222.25,1222.25,000,1222.25
2012-10-23,1219.00,1228.90,1213.50,1222.25,1380800,1222.25
2012-10-22,1194.00,1228.00,1189.55,1223.75,2275000,1223.75
2012-10-19,1200.00,1210.80,1186.00,1202.25,2690000,1202.25
2012-10-18,1157.25,1209.00,1148.05,1202.35,4139000,1202.35
2012-10-17,1155.00,1159.50,1125.20,1153.95,2644700,1153.95
2012-10-16,1133.50,1169.70,1133.50,1145.90,4501100,1145.90
2012-10-15,1125.00,1126.00,1108.60,1119.10,1834100,1119.10
2012-10-12,1135.00,1143.65,1115.20,1119.70,1938400,1119.70
2012-10-11,1110.00,1140.00,1083.85,1133.70,2441800,1133.70
2012-10-10,1119.90,1124.00,1102.10,1106.80,1638900,1106.80
2012-10-09,1146.00,1152.00,1122.10,1128.40,1685200,1128.40
2012-10-08,1148.00,1148.00,1121.00,1130.95,2390600,1130.95
2012-10-05,1155.75,1161.90,1008.50,1142.95,2657500,1142.95
2012-10-04,1123.00,1151.85,1123.00,1140.80,2439900,1140.80
2012-10-03,1130.70,1135.85,1108.55,1113.40,2489100,1113.40
2012-10-02,1130.70,1130.70,1130.70,1130.70,000,1130.70
2012-10-01,1136.00,1138.30,1121.15,1130.70,1280100,1130.70
2012-09-28,1142.00,1150.90,1130.65,1136.00,1748800,1136.00
2012-09-27,1134.00,1143.35,1120.10,1128.80,2323100,1128.80
2012-09-26,1097.45,1136.00,1085.25,1126.80,3724700,1126.80
2012-09-25,1144.00,1160.80,1088.05,1101.95,5739200,1101.95
2012-09-24,1120.25,1174.50,1120.25,1132.65,4289300,1132.65
2012-09-21,1048.95,1129.70,1048.95,1124.65,5542900,1124.65
2012-09-20,1049.75,1058.80,1038.65,1044.40,1796300,1044.40
2012-09-19,1073.40,1073.40,1073.40,1073.40,000,1073.40
2012-09-18,1054.70,1085.45,1047.10,1073.40,2559300,1073.40
2012-09-17,1031.45,1061.00,1022.00,1057.50,5883800,1057.50
2012-09-14,975.00,1013.00,971.00,1009.90,4716500,1009.90
2012-09-13,958.90,959.90,944.55,948.05,1765200,948.05
2012-09-12,960.00,966.50,942.05,956.00,2002000,956.00
2012-09-11,945.00,960.80,941.00,952.85,2563200,952.85
2012-09-10,980.00,984.00,950.15,952.95,1690700,952.95
2012-09-07,968.60,979.80,960.30,976.85,2937600,976.85
2012-09-06,932.00,956.50,928.15,948.70,3427900,948.70
2012-09-05,967.00,968.50,927.25,930.25,5304800,930.25
2012-09-04,981.00,984.90,966.85,978.30,2944000,978.30
2012-09-03,998.15,1008.30,974.45,977.60,2772700,977.60
2012-08-31,1012.90,1014.95,988.55,991.80,2735700,991.80
2012-08-30,1020.00,1027.15,1004.05,1013.25,2645100,1013.25
2012-08-29,1019.00,1029.00,1007.00,1018.45,1685800,1018.45
2012-08-28,1042.00,1042.00,1007.10,1017.25,3011800,1017.25
2012-08-27,1080.00,1080.00,1035.00,1039.10,2287200,1039.10
2012-08-24,1088.10,1088.15,1065.55,1075.45,1564000,1075.45
2012-08-23,1114.00,1118.50,1089.00,1094.65,1601500,1094.65
2012-08-22,1106.45,1119.85,1100.10,1108.00,1065900,1108.00
