Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,206.60,206.60,206.60,206.60,000,206.60
2012-12-24,204.00,207.50,204.00,206.60,18700,206.60
2012-12-21,204.00,207.45,204.00,205.85,17000,205.85
2012-12-20,207.80,217.00,203.25,204.80,33400,204.80
2012-12-19,210.95,213.30,206.25,207.45,58600,207.45
2012-12-18,212.55,216.00,209.50,210.35,86800,210.35
2012-12-17,209.95,214.00,209.20,212.25,32200,212.25
2012-12-14,209.30,212.00,206.50,209.30,28200,209.30
2012-12-13,214.50,215.30,210.30,212.45,52700,212.45
2012-12-12,216.70,219.95,213.35,214.55,110100,214.55
2012-12-11,206.75,217.00,205.85,215.10,121800,215.10
2012-12-10,205.35,209.80,203.55,205.05,15900,205.05
2012-12-07,207.65,210.45,204.20,205.40,21800,205.40
2012-12-06,209.75,210.25,205.15,206.90,22100,206.90
2012-12-05,208.80,211.00,206.15,209.05,47400,209.05
2012-12-04,204.70,210.60,202.30,207.95,47600,207.95
2012-12-03,207.45,211.85,203.00,204.70,73900,204.70
2012-11-30,206.50,209.70,205.00,207.40,59300,207.40
2012-11-29,203.85,206.95,203.15,205.50,24800,205.50
2012-11-28,203.80,203.80,203.80,203.80,000,203.80
2012-11-27,199.00,208.80,199.00,203.80,66400,203.80
2012-11-26,201.40,204.70,200.00,200.55,26900,200.55
2012-11-23,200.00,202.40,198.75,200.50,20700,200.50
2012-11-22,200.70,201.00,198.10,199.75,26200,199.75
2012-11-21,202.00,203.00,198.35,199.35,23600,199.35
2012-11-20,203.00,203.00,198.00,201.10,217900,201.10
2012-11-19,202.00,205.00,200.00,201.70,69000,201.70
2012-11-16,200.90,204.45,197.50,202.00,63600,202.00
2012-11-15,194.90,204.00,193.25,200.25,40200,200.25
2012-11-14,196.50,196.50,196.50,196.50,000,196.50
2012-11-13,196.50,196.50,196.50,196.50,000,196.50
2012-11-12,196.75,198.30,195.00,196.50,27000,196.50
2012-11-09,197.25,204.40,195.10,196.00,275700,196.00
2012-11-08,195.70,199.60,192.10,195.10,102500,195.10
2012-11-07,196.45,199.45,195.50,197.40,18100,197.40
2012-11-06,194.00,197.00,193.15,196.00,61100,196.00
2012-11-05,195.75,199.95,193.60,194.05,35700,194.05
2012-11-02,194.00,198.75,193.60,195.75,37000,195.75
2012-11-01,200.05,202.70,195.55,196.50,43500,196.50
2012-10-31,196.20,204.85,192.30,199.80,112900,199.80
2012-10-30,196.10,197.25,193.25,196.10,56000,196.10
2012-10-29,196.90,199.95,195.25,197.15,94400,197.15
2012-10-26,214.70,214.70,214.70,214.70,000,214.70
2012-10-25,224.05,225.80,211.80,214.70,420700,214.70
2012-10-24,224.65,224.65,224.65,224.65,000,224.65
2012-10-23,226.00,227.80,223.55,224.65,25000,224.65
2012-10-22,227.85,233.20,222.00,225.85,43700,225.85
