Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,26.30,26.30,26.30,26.30,000,26.30
2012-12-24,26.10,26.50,26.10,26.30,888600,26.30
2012-12-21,25.95,26.65,25.85,26.10,1422100,26.10
2012-12-20,26.55,26.55,26.05,26.15,1096000,26.15
2012-12-19,26.40,26.60,26.20,26.25,1157000,26.25
2012-12-18,26.60,26.60,26.20,26.35,861700,26.35
2012-12-17,26.65,26.65,26.15,26.30,830500,26.30
2012-12-14,26.90,26.90,26.15,26.40,770100,26.40
2012-12-13,26.90,26.95,26.30,26.40,920100,26.40
2012-12-12,27.00,27.05,26.05,26.60,3225700,26.60
2012-12-11,27.60,27.75,26.45,26.80,2755700,26.80
2012-12-10,27.75,28.05,27.45,27.55,2215300,27.55
2012-12-07,27.65,28.35,27.35,27.95,5067500,27.95
2012-12-06,27.50,27.90,27.00,27.60,3544000,27.60
2012-12-05,27.45,27.55,27.00,27.25,6843000,27.25
2012-12-04,27.60,27.90,26.90,27.20,2867500,27.20
2012-12-03,27.05,27.60,26.90,27.40,2321900,27.40
2012-11-30,26.75,27.30,26.40,26.80,9700800,26.80
2012-11-29,27.25,27.35,26.55,26.65,1571700,26.65
2012-11-28,27.00,27.00,27.00,27.00,000,27.00
2012-11-27,27.00,27.20,26.75,27.00,1018500,27.00
2012-11-26,27.40,27.40,26.65,26.90,1145000,26.90
2012-11-23,27.00,27.50,26.50,27.00,2327300,27.00
2012-11-22,26.95,26.95,26.40,26.60,646400,26.60
2012-11-21,27.70,27.70,26.20,26.65,2713800,26.65
2012-11-20,26.85,27.30,26.30,26.95,1391700,26.95
2012-11-19,26.90,27.15,26.55,26.95,999400,26.95
2012-11-16,28.40,28.70,26.20,26.60,6695800,26.60
2012-11-15,28.85,29.80,27.90,28.20,5328700,28.20
2012-11-14,28.30,28.30,28.30,28.30,000,28.30
2012-11-13,28.30,28.30,28.30,28.30,000,28.30
2012-11-12,29.50,29.50,28.00,28.30,2788300,28.30
2012-11-09,29.25,29.60,29.05,29.15,662000,29.15
2012-11-08,29.80,29.80,29.10,29.40,903900,29.40
2012-11-07,29.75,30.05,29.30,29.80,676200,29.80
2012-11-06,29.60,29.70,29.10,29.25,874400,29.25
2012-11-05,29.70,29.95,29.25,29.45,557300,29.45
2012-11-02,30.00,30.20,29.50,29.65,641800,29.65
2012-11-01,30.25,30.55,29.60,29.85,724900,29.85
2012-10-31,29.30,29.80,29.20,29.65,673300,29.65
2012-10-30,30.35,30.40,28.90,29.25,1349400,29.25
2012-10-29,30.25,30.65,29.80,30.10,692100,30.10
2012-10-26,30.50,30.50,30.50,30.50,000,30.50
2012-10-25,30.10,30.70,30.10,30.50,675200,30.50
2012-10-24,30.35,30.35,30.35,30.35,000,30.35
2012-10-23,31.05,31.10,30.15,30.35,720800,30.35
2012-10-22,31.05,31.30,30.80,30.90,528400,30.90
2012-10-19,31.50,31.80,30.75,31.25,1025300,31.25
2012-10-18,31.00,31.50,30.70,31.20,985300,31.20
2012-10-17,31.85,31.90,30.65,30.85,1462100,30.85
2012-10-16,32.60,32.80,31.35,31.55,1316600,31.55
2012-10-15,32.15,32.90,32.10,32.45,1428200,32.45
2012-10-12,32.50,33.30,32.00,32.20,5036600,32.20
2012-10-11,31.30,32.40,31.30,32.30,2209300,32.30
2012-10-10,31.85,31.85,31.10,31.20,1004200,31.20
2012-10-09,31.75,32.20,31.60,31.85,1025400,31.85
2012-10-08,31.80,32.15,31.10,31.50,1344100,31.50
2012-10-05,32.50,32.55,31.30,31.70,1447100,31.70
2012-10-04,32.10,32.60,32.10,32.30,1732900,32.30
2012-10-03,32.35,32.60,31.70,31.95,1637600,31.95
2012-10-02,32.10,32.10,32.10,32.10,000,32.10
2012-10-01,32.05,32.35,31.95,32.10,1626000,32.10
2012-09-28,31.70,32.30,31.65,31.80,1967900,31.80
2012-09-27,31.10,32.15,30.50,31.45,8884400,31.45
2012-09-26,31.10,31.75,30.35,31.20,3403400,31.20
2012-09-25,32.25,32.45,31.05,31.35,5289600,31.35
2012-09-24,32.60,33.85,32.45,32.90,6919600,32.90
2012-09-21,31.90,32.50,31.80,32.15,4266100,32.15
2012-09-20,31.40,32.60,31.20,31.70,4029600,31.70
2012-09-19,31.45,31.45,31.45,31.45,000,31.45
2012-09-18,30.05,31.90,29.80,31.45,5514900,31.45
2012-09-17,30.55,30.70,29.20,30.00,3240900,30.00
