Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,971.55,971.55,971.55,971.55,000,971.55
2012-12-24,994.65,994.70,964.00,971.55,11000,971.55
2012-12-21,985.00,1018.00,973.40,994.70,84000,994.70
2012-12-20,1008.05,1008.05,974.45,984.10,31700,984.10
2012-12-19,988.95,1024.65,984.00,1008.10,112900,1008.10
2012-12-18,949.25,984.00,949.25,976.15,87400,976.15
2012-12-17,932.00,953.00,930.00,949.25,53900,949.25
2012-12-14,927.00,945.00,910.05,930.65,158400,930.65
2012-12-13,910.55,934.00,910.55,926.80,110100,926.80
2012-12-12,902.25,921.95,902.25,910.75,29600,910.75
2012-12-11,909.95,926.00,908.00,911.35,180400,911.35
2012-12-10,903.50,921.00,903.50,913.00,76500,913.00
2012-12-07,917.40,917.40,900.20,906.75,31400,906.75
2012-12-06,902.35,912.50,882.25,908.05,32600,908.05
2012-12-05,867.70,929.00,860.00,893.45,100300,893.45
2012-12-04,847.05,878.45,847.05,865.00,76200,865.00
2012-12-03,873.20,878.60,860.00,861.85,37500,861.85
2012-11-30,844.05,865.00,844.00,859.30,28000,859.30
2012-11-29,842.55,864.00,835.00,856.20,14000,856.20
2012-11-28,833.90,833.90,833.90,833.90,000,833.90
2012-11-27,826.05,858.75,826.05,833.90,40600,833.90
2012-11-26,828.30,860.00,818.10,829.30,50700,829.30
2012-11-23,849.50,852.00,828.00,833.40,15900,833.40
2012-11-22,840.50,852.80,835.00,837.40,240500,837.40
2012-11-21,845.00,846.00,838.05,840.00,256400,840.00
2012-11-20,844.00,857.90,839.00,849.95,115000,849.95
2012-11-19,841.00,865.00,841.00,854.65,52000,854.65
2012-11-16,846.35,868.00,846.35,851.05,63700,851.05
2012-11-15,865.00,868.95,850.35,859.15,55100,859.15
2012-11-14,870.00,870.00,870.00,870.00,000,870.00
2012-11-13,870.00,870.00,870.00,870.00,000,870.00
2012-11-12,868.20,877.95,867.05,870.00,55200,870.00
2012-11-09,881.85,881.85,862.35,868.05,6800,868.05
2012-11-08,869.95,880.00,860.05,875.50,26600,875.50
2012-11-07,880.00,888.00,870.10,872.70,14100,872.70
2012-11-06,871.00,881.85,866.00,878.10,39800,878.10
2012-11-05,851.00,876.70,850.25,869.30,87700,869.30
2012-11-02,869.40,869.40,858.00,861.20,29400,861.20
2012-11-01,861.05,879.00,859.30,860.30,20100,860.30
2012-10-31,840.00,874.80,839.05,868.85,51900,868.85
2012-10-30,847.45,856.00,840.00,841.10,10500,841.10
2012-10-29,857.05,868.75,845.00,847.25,30700,847.25
2012-10-26,861.20,861.20,861.20,861.20,000,861.20
2012-10-25,843.45,863.90,835.25,861.20,172400,861.20
2012-10-24,843.80,843.80,843.80,843.80,000,843.80
2012-10-23,843.55,857.10,834.10,843.80,124100,843.80
2012-10-22,850.00,870.00,836.85,843.95,26600,843.95
2012-10-19,852.00,863.95,846.65,856.40,64900,856.40
2012-10-18,850.00,852.00,840.05,849.70,74000,849.70
2012-10-17,845.05,850.00,843.00,846.35,29200,846.35
2012-10-16,850.00,850.00,840.00,844.30,36900,844.30
2012-10-15,869.90,880.00,845.50,849.60,22200,849.60
2012-10-12,850.95,875.00,842.00,869.95,170900,869.95
2012-10-11,850.25,853.05,836.00,848.20,124400,848.20
2012-10-10,850.00,856.00,842.35,850.90,73800,850.90
2012-10-09,839.55,858.40,825.35,856.40,22900,856.40
2012-10-08,831.95,848.90,830.10,837.50,10500,837.50
2012-10-05,845.00,847.60,817.60,832.95,30200,832.95
2012-10-04,821.00,845.50,821.00,838.60,36400,838.60
2012-10-03,803.00,824.00,803.00,819.50,268100,819.50
2012-10-02,802.90,802.90,802.90,802.90,000,802.90
2012-10-01,809.80,873.05,796.00,802.90,52500,802.90
