Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,1313.50,1313.50,1313.50,1313.50,000,1313.50
2012-12-24,1288.00,1316.40,1277.20,1313.50,26700,1313.50
2012-12-21,1298.95,1299.00,1260.00,1273.30,1190300,1273.30
2012-12-20,1310.00,1335.00,1291.35,1299.75,142700,1299.75
2012-12-19,1300.00,1410.00,1295.10,1300.15,807400,1300.15
2012-12-18,1285.05,1295.05,1280.00,1286.75,28900,1286.75
2012-12-17,1292.05,1299.00,1282.00,1292.95,33900,1292.95
2012-12-14,1280.00,1304.00,1270.00,1291.60,15700,1291.60
2012-12-13,1305.00,1310.00,1268.90,1290.45,35100,1290.45
2012-12-12,1290.00,1311.00,1290.00,1303.45,15800,1303.45
2012-12-11,1325.00,1325.05,1300.10,1310.95,26100,1310.95
2012-12-10,1333.80,1333.95,1309.00,1315.85,22000,1315.85
2012-12-07,1337.05,1359.65,1321.10,1333.80,21100,1333.80
2012-12-06,1380.00,1380.00,1320.10,1346.55,7900,1346.55
2012-12-05,1374.95,1380.00,1355.00,1363.85,8100,1363.85
2012-12-04,1370.00,1380.00,1357.70,1365.00,9400,1365.00
2012-12-03,1370.00,1385.00,1360.00,1369.80,77700,1369.80
2012-11-30,1380.00,1384.00,1365.05,1377.15,20400,1377.15
2012-11-29,1388.70,1389.00,1346.00,1361.95,222100,1361.95
2012-11-28,1368.20,1368.20,1368.20,1368.20,000,1368.20
2012-11-27,1385.75,1385.75,1362.05,1368.20,20900,1368.20
2012-11-26,1450.00,1450.00,1356.65,1362.75,17600,1362.75
2012-11-23,1334.00,1375.00,1334.00,1364.90,10400,1364.90
2012-11-22,1337.00,1347.00,1320.05,1327.25,16800,1327.25
2012-11-21,1348.00,1350.00,1320.05,1336.90,18600,1336.90
2012-11-20,1350.00,1359.50,1335.00,1345.25,8800,1345.25
2012-11-19,1380.00,1380.00,1331.65,1346.60,6600,1346.60
2012-11-16,1384.50,1384.60,1354.00,1358.85,18900,1358.85
2012-11-15,1372.90,1387.00,1364.70,1369.90,55500,1369.90
2012-11-14,1371.15,1371.15,1371.15,1371.15,000,1371.15
2012-11-13,1371.15,1371.15,1371.15,1371.15,000,1371.15
2012-11-12,1301.60,1389.00,1301.60,1371.15,24300,1371.15
2012-11-09,1310.00,1318.50,1302.05,1309.85,9100,1309.85
2012-11-08,1300.85,1315.00,1293.00,1303.40,12600,1303.40
2012-11-07,1280.10,1330.00,1280.05,1322.80,25200,1322.80
2012-11-06,1261.70,1305.00,1254.95,1300.00,15400,1300.00
2012-11-05,1291.00,1294.55,1235.00,1261.65,9900,1261.65
2012-11-02,1286.05,1300.00,1282.00,1288.65,4400,1288.65
2012-11-01,1281.10,1309.00,1271.35,1291.00,17300,1291.00
2012-10-31,1270.00,1324.60,1270.00,1284.75,13400,1284.75
2012-10-30,1327.00,1333.50,1262.50,1274.55,16900,1274.55
2012-10-29,1330.00,1352.00,1308.30,1332.20,42700,1332.20
