Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,22.25,22.25,22.25,22.25,000,22.25
2012-12-24,22.65,22.70,22.10,22.25,63900,22.25
2012-12-21,22.75,22.90,22.25,22.25,229700,22.25
2012-12-20,23.50,23.50,22.60,22.75,93500,22.75
2012-12-19,23.50,23.60,22.85,23.20,293600,23.20
2012-12-18,22.20,23.65,22.15,23.05,691100,23.05
2012-12-17,22.30,22.45,22.00,22.10,129200,22.10
2012-12-14,22.30,22.55,22.00,22.30,159300,22.30
2012-12-13,22.45,22.65,22.20,22.30,176400,22.30
2012-12-12,22.90,23.05,22.50,22.55,80600,22.55
2012-12-11,23.10,23.25,22.35,22.65,307200,22.65
2012-12-10,23.50,23.55,22.75,23.05,134000,23.05
2012-12-07,23.90,23.90,23.20,23.25,230100,23.25
2012-12-06,23.90,23.90,22.85,23.20,127200,23.20
2012-12-05,23.05,23.25,22.80,23.00,112900,23.00
2012-12-04,23.60,24.00,22.65,22.80,884400,22.80
2012-12-03,23.40,23.65,23.05,23.55,183700,23.55
2012-11-30,24.00,24.10,23.45,23.60,290900,23.10
2012-11-29,23.90,24.00,23.30,23.90,898200,23.39
2012-11-28,23.50,23.50,23.50,23.50,000,23.00
2012-11-27,24.25,24.40,23.40,23.50,678300,23.00
2012-11-26,22.45,24.25,22.45,24.05,2864800,23.54
2012-11-23,21.80,22.70,21.75,22.45,248000,21.97
2012-11-22,21.35,22.15,21.00,21.65,323400,21.19
2012-11-21,21.80,21.80,21.40,21.45,42500,21.00
2012-11-20,21.75,22.10,21.50,21.60,62400,21.14
2012-11-19,22.30,22.30,21.75,21.80,92500,21.34
2012-11-16,22.10,22.70,21.80,22.10,1736300,21.63
2012-11-15,22.45,22.45,21.70,22.20,283100,21.73
2012-11-14,22.10,22.10,22.10,22.10,000,21.63
2012-11-13,22.10,22.10,22.10,22.10,000,21.63
2012-11-12,22.55,22.70,22.00,22.10,41200,21.63
2012-11-09,22.50,22.55,22.10,22.35,180300,21.88
2012-11-08,22.80,23.00,22.10,22.25,385100,21.78
2012-11-07,22.50,23.00,22.20,22.80,484800,22.32
2012-11-06,22.55,22.65,22.25,22.40,183600,21.93
2012-11-05,22.75,22.95,22.25,22.45,205500,21.97
2012-11-02,22.50,22.75,22.25,22.55,210600,22.07
2012-11-01,22.20,22.20,21.95,22.00,83400,21.53
2012-10-31,22.35,22.35,21.75,22.05,183900,21.58
2012-10-30,22.60,22.60,21.70,22.00,920600,21.53
2012-10-29,22.40,22.70,22.35,22.50,472600,22.02
2012-10-26,23.05,23.05,23.05,23.05,000,22.56
2012-10-25,23.40,23.40,22.70,23.05,497700,22.56
2012-10-24,22.90,22.90,22.90,22.90,000,22.41
2012-10-23,23.10,23.60,22.75,22.90,1484700,22.41
2012-10-22,22.55,23.00,22.40,22.90,255100,22.41
2012-10-19,23.00,23.70,22.35,22.55,1013300,22.07
2012-10-18,22.90,23.20,22.55,23.00,1148600,22.51
2012-10-17,22.65,22.85,22.10,22.70,388600,22.22
2012-10-16,23.00,23.25,22.15,22.25,916000,21.78
2012-10-15,22.05,22.80,22.00,22.60,399000,22.12
2012-10-12,22.70,22.85,22.15,22.30,487500,21.83
2012-10-11,22.00,22.70,21.75,22.50,609800,22.02
2012-10-10,22.15,22.15,21.70,22.00,527000,21.53
2012-10-09,22.45,22.50,21.60,22.10,2668300,21.63
2012-10-08,22.10,22.50,21.70,22.30,1911400,21.83
2012-10-05,21.20,22.95,21.10,21.85,7863900,21.39
2012-10-04,20.95,21.35,20.40,20.65,1152700,20.21
2012-10-03,20.95,21.40,20.50,20.95,2122000,20.51
2012-10-02,20.50,20.50,20.50,20.50,000,20.07
2012-10-01,19.80,20.90,19.60,20.50,1263600,20.07
2012-09-28,19.50,19.90,19.50,19.80,273000,19.38
2012-09-27,19.40,19.75,19.35,19.45,138500,19.04
2012-09-26,19.80,19.90,19.40,19.50,163100,19.09
2012-09-25,19.45,19.95,19.20,19.80,376200,19.38
2012-09-24,19.60,20.45,19.20,19.35,562600,18.94
2012-09-21,19.80,20.00,19.25,19.45,477800,19.04
2012-09-20,19.60,20.00,19.45,19.70,171500,19.28
2012-09-19,19.80,19.80,19.80,19.80,000,19.38
2012-09-18,19.55,20.25,19.45,19.80,476400,19.38
2012-09-17,19.55,19.80,19.15,19.65,277700,19.23
2012-09-14,20.00,20.00,19.25,19.40,284200,18.99
2012-09-13,19.55,20.00,19.40,19.60,239600,19.18
2012-09-12,20.35,20.50,19.50,19.60,208400,19.18
2012-09-11,20.00,20.50,19.80,20.35,261000,19.92
2012-09-10,20.60,20.60,19.95,20.05,196500,19.63
2012-09-07,20.00,20.35,19.65,20.10,1035900,19.67
2012-09-06,19.20,19.70,18.60,19.35,831000,18.94
2012-09-05,18.40,18.80,17.80,18.65,1216000,18.25
2012-09-04,17.80,18.90,17.65,18.15,1510000,17.77
2012-09-03,17.80,17.80,17.60,17.80,112300,17.42
2012-08-31,17.80,17.85,17.50,17.60,96300,17.23
2012-08-30,17.55,18.25,17.45,17.85,216300,17.47
2012-08-29,17.80,18.25,17.60,17.65,104400,17.28
2012-08-28,19.00,19.65,17.55,17.70,267800,17.33
2012-08-27,18.10,18.60,17.75,17.80,157200,17.42
2012-08-24,18.40,18.60,17.85,17.90,154100,17.52
2012-08-23,18.65,18.80,18.10,18.20,279300,17.81
2012-08-22,18.45,18.90,18.40,18.70,68100,18.30
2012-08-21,18.55,18.85,18.40,18.45,83900,18.06
2012-08-20,18.70,18.70,18.70,18.70,000,18.30
2012-08-17,18.80,19.00,18.65,18.70,118200,18.30
2012-08-16,18.65,19.00,18.60,18.75,80900,18.35
2012-08-15,18.65,18.65,18.65,18.65,000,18.25
2012-08-14,18.50,18.70,18.35,18.65,40000,18.25
2012-08-13,18.40,18.70,18.20,18.45,83700,18.06
2012-08-10,18.75,18.80,18.25,18.30,216900,17.91
2012-08-09,18.60,18.90,18.45,18.50,82200,18.11
2012-08-08,19.05,19.10,18.25,18.50,371900,18.11
2012-08-07,18.90,19.10,18.80,18.95,89300,18.55
2012-08-06,19.30,19.30,18.65,18.85,277900,18.45
2012-08-03,18.60,19.30,18.60,19.00,187100,18.60
2012-08-02,19.00,19.15,18.60,18.80,83400,18.40
2012-08-01,19.05,19.55,18.60,18.75,188500,18.35
2012-07-31,19.60,19.60,18.95,19.20,120300,18.79
2012-07-30,18.25,19.60,18.15,19.45,298000,19.04
2012-07-27,18.80,19.05,18.20,18.25,152100,17.86
2012-07-26,19.00,19.35,18.50,18.60,177800,18.21
2012-07-25,19.30,19.30,19.00,19.15,122300,18.74
2012-07-24,19.30,19.65,18.90,19.45,277700,19.04
2012-07-23,19.55,19.60,19.00,19.05,176000,18.65
2012-07-20,19.75,19.80,19.40,19.65,283000,19.23
2012-07-19,19.65,20.30,19.55,19.65,491900,19.23
2012-07-18,19.50,19.70,19.35,19.60,234900,19.18
2012-07-17,19.95,19.95,19.50,19.55,352600,19.14
2012-07-16,20.00,20.90,19.70,19.85,2398900,19.43
2012-07-13,20.55,20.70,20.10,20.15,523200,19.72
2012-07-12,20.80,20.80,20.25,20.35,384400,19.92
2012-07-11,21.15,21.70,20.70,20.75,2329700,20.31
2012-07-10,20.60,21.25,20.60,20.80,1069800,20.36
2012-07-09,21.45,21.70,20.60,20.90,307700,20.46
2012-07-06,22.00,22.50,21.40,21.50,1921200,21.04
2012-07-05,21.15,21.75,21.15,21.50,250700,21.04
2012-07-04,21.15,22.30,21.15,21.45,307100,21.00
2012-07-03,20.75,21.80,20.75,21.40,419300,20.95
2012-07-02,20.80,21.00,20.50,20.95,452500,20.51
2012-06-29,20.50,20.80,20.35,20.65,161900,20.21
2012-06-28,20.80,20.80,20.35,20.45,142500,20.02
2012-06-27,20.40,20.75,20.35,20.45,100000,20.02
2012-06-26,20.70,20.95,20.30,20.45,63300,20.02
2012-06-25,20.60,21.05,20.25,20.65,190100,20.21
2012-06-22,20.25,20.90,20.15,20.50,342600,20.07
2012-06-21,20.10,20.70,20.10,20.50,86600,20.07
2012-06-20,20.75,20.85,20.50,20.60,73000,20.16
2012-06-19,20.60,20.80,20.50,20.65,75700,20.21
2012-06-18,21.90,21.90,20.30,20.65,225600,20.21
2012-06-15,21.70,22.00,21.55,21.60,76600,21.14
2012-06-14,21.75,21.95,21.70,21.70,30900,21.24
2012-06-13,22.30,22.30,21.70,21.80,37000,21.34
2012-06-12,22.00,22.25,21.75,22.10,152000,21.63
2012-06-11,22.20,22.30,21.85,22.00,202700,21.53
2012-06-08,22.00,22.25,21.75,22.00,435700,21.53
2012-06-07,22.25,22.45,21.95,22.30,176100,21.83
2012-06-06,22.30,22.30,21.90,22.20,203200,21.73
2012-06-05,22.40,22.70,21.30,22.00,120300,21.53
2012-06-04,21.95,22.55,21.50,22.50,73800,22.02
2012-06-01,22.55,22.75,22.10,22.45,140200,21.97
2012-05-31,22.30,22.95,21.75,22.80,121800,22.32
2012-05-30,22.25,22.85,22.10,22.50,47800,22.02
2012-05-29,21.90,22.60,21.90,22.55,92700,22.07
2012-05-28,21.50,22.15,21.50,22.00,129800,21.53
2012-05-25,21.75,22.05,21.65,22.00,127700,21.53
2012-05-24,21.70,22.05,21.55,21.95,69400,21.48
2012-05-23,21.75,22.25,21.45,21.65,44700,21.19
2012-05-22,22.00,22.25,21.75,22.00,141200,21.53
2012-05-21,21.70,22.00,21.55,21.85,58600,21.39
2012-05-18,20.15,22.00,20.15,21.70,54300,21.24
2012-05-17,21.90,22.10,21.50,21.75,53000,21.29
2012-05-16,22.05,22.15,21.70,21.80,55100,21.34
2012-05-15,22.30,22.55,21.60,22.20,240600,21.73
2012-05-14,22.25,23.00,22.25,22.50,133500,22.02
2012-05-11,22.50,22.70,22.25,22.25,104000,21.78
2012-05-10,22.20,22.70,22.20,22.55,69800,22.07
2012-05-09,22.50,22.65,21.90,22.25,86300,21.78
2012-05-08,23.60,23.60,22.50,22.60,62800,22.12
2012-05-07,23.00,23.55,22.10,23.15,208500,22.66
2012-05-04,23.85,24.10,23.30,23.40,67200,22.90
2012-05-03,24.30,24.85,24.00,24.25,112200,23.74
2012-05-02,25.30,25.30,24.30,24.55,217800,24.03
2012-05-01,24.80,24.80,24.80,24.80,000,24.27
2012-04-30,24.60,24.90,24.25,24.70,93700,24.18
2012-04-27,24.50,24.60,24.20,24.25,105600,23.74
2012-04-26,24.30,24.90,24.20,24.25,48100,23.74
2012-04-25,24.30,24.90,24.20,24.55,146500,24.03
2012-04-24,25.30,25.40,24.20,24.35,156000,23.83
2012-04-23,24.35,26.25,24.35,25.40,1125900,24.86
2012-04-20,24.50,24.90,24.20,24.25,290800,23.74
2012-04-19,24.95,25.25,24.50,24.70,137700,24.18
2012-04-18,25.70,25.95,24.65,24.80,180100,24.27
2012-04-17,25.65,28.60,24.30,25.35,1384400,24.81
