Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,643.25,643.25,643.25,643.25,000,643.25
2012-12-24,656.50,656.50,641.10,643.25,2100,643.25
2012-12-21,651.85,652.95,636.60,639.90,5000,639.90
2012-12-20,655.50,655.50,646.40,650.65,1100,650.65
2012-12-19,648.00,654.00,642.30,649.70,6500,649.70
2012-12-18,651.00,651.00,640.00,644.15,12700,644.15
2012-12-17,659.90,659.90,645.10,650.65,2300,650.65
2012-12-14,638.05,648.80,635.00,644.85,2200,644.85
2012-12-13,664.90,664.90,639.00,641.05,6000,641.05
2012-12-12,657.95,658.55,642.00,648.65,17300,648.65
2012-12-11,660.05,668.00,642.80,648.65,6600,648.65
2012-12-10,661.00,670.90,658.00,661.40,8300,661.40
2012-12-07,662.50,674.00,658.00,660.35,9900,660.35
2012-12-06,695.00,695.00,658.30,661.05,6300,661.05
2012-12-05,672.95,675.00,651.25,668.85,6200,668.85
2012-12-04,675.00,679.70,665.00,668.00,4900,668.00
2012-12-03,676.55,683.00,665.55,666.10,7000,666.10
2012-11-30,682.80,682.80,663.35,665.60,5400,665.60
2012-11-29,689.95,689.95,665.00,669.55,12900,669.55
2012-11-28,675.15,675.15,675.15,675.15,000,675.15
2012-11-27,677.00,683.85,671.20,675.15,30700,675.15
2012-11-26,680.00,690.05,676.05,677.75,4000,677.75
2012-11-23,681.90,687.40,672.70,679.30,4600,679.30
2012-11-22,685.00,688.90,679.35,681.90,24300,681.90
2012-11-21,693.95,693.95,670.00,681.85,3700,681.85
2012-11-20,698.00,700.40,676.60,680.05,10900,680.05
2012-11-19,685.00,707.00,680.00,689.05,35200,689.05
2012-11-16,668.00,691.75,665.00,677.10,26700,677.10
2012-11-15,650.00,669.90,645.10,667.40,13600,667.40
2012-11-14,640.45,640.45,640.45,640.45,000,640.45
2012-11-13,640.45,640.45,640.45,640.45,000,640.45
2012-11-12,637.00,643.70,634.35,640.45,5000,640.45
2012-11-09,628.00,637.45,623.10,627.00,6200,627.00
2012-11-08,638.00,641.95,620.00,626.00,8000,626.00
2012-11-07,645.00,650.00,633.10,636.20,11200,636.20
2012-11-06,649.80,650.00,635.05,646.30,7000,646.30
2012-11-05,632.60,654.75,632.60,639.50,2700,639.50
2012-11-02,643.15,649.70,626.25,643.80,7200,643.80
2012-11-01,635.55,654.00,635.55,647.20,6900,647.20
2012-10-31,630.00,643.75,630.00,635.60,2500,635.60
2012-10-30,630.00,647.90,627.00,632.15,3800,632.15
2012-10-29,650.00,659.80,635.00,635.90,2400,635.90
2012-10-26,648.15,648.15,648.15,648.15,000,648.15
2012-10-25,660.00,660.00,645.00,648.15,3100,648.15
2012-10-24,650.10,650.10,650.10,650.10,000,650.10
2012-10-23,655.15,660.05,650.00,650.10,2900,650.10
2012-10-22,640.95,663.00,632.70,659.70,13900,659.70
2012-10-19,639.90,658.65,621.20,644.35,31700,644.35
2012-10-18,620.00,644.35,615.00,639.85,6500,639.85
2012-10-17,617.00,625.00,615.55,620.15,1500,620.15
2012-10-16,621.75,632.95,618.20,623.20,2400,623.20
2012-10-15,627.00,638.05,622.55,626.90,4100,626.90
2012-10-12,588.95,649.90,588.95,633.10,29600,633.10
