Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,49.15,49.15,49.15,49.15,000,49.15
2012-12-24,46.60,49.50,46.30,49.15,1925400,49.15
2012-12-21,48.75,51.75,45.70,46.20,2411200,46.20
2012-12-20,50.30,50.65,48.05,48.75,1086200,48.75
2012-12-19,51.10,51.50,49.50,49.70,1179400,49.70
2012-12-18,52.30,52.40,50.70,50.95,1094200,50.95
2012-12-17,52.00,52.70,51.55,51.90,709900,51.90
2012-12-14,52.15,52.90,51.60,51.85,888300,51.85
2012-12-13,54.05,54.80,51.80,52.30,959600,52.30
2012-12-12,55.00,56.00,53.85,54.05,913200,54.05
2012-12-11,55.80,56.55,54.45,55.25,1666600,55.25
2012-12-10,59.05,59.50,55.00,55.15,3339900,55.15
2012-12-07,61.50,62.80,60.65,60.95,957300,60.95
2012-12-06,61.80,62.50,60.85,61.05,1082000,61.05
2012-12-05,62.80,63.50,60.75,61.30,1054500,61.30
2012-12-04,63.80,64.50,62.00,62.25,434200,62.25
2012-12-03,64.10,65.00,63.50,63.90,577500,63.90
2012-11-30,61.00,64.35,60.30,63.95,1523300,63.95
2012-11-29,61.00,61.30,59.85,60.55,453300,60.55
2012-11-28,60.75,60.75,60.75,60.75,000,60.75
2012-11-27,60.75,61.40,59.75,60.75,422600,60.75
2012-11-26,61.20,61.20,60.00,60.50,190000,60.50
2012-11-23,62.70,63.05,60.20,60.70,690800,60.70
2012-11-22,63.50,63.55,60.90,61.45,543800,61.45
2012-11-21,61.90,65.40,61.70,63.00,979600,63.00
2012-11-20,62.35,63.25,61.25,62.80,657600,62.80
2012-11-19,63.00,63.30,60.75,61.35,677600,61.35
2012-11-16,64.70,64.70,62.40,62.85,460900,62.85
2012-11-15,65.65,65.65,63.55,64.40,373200,64.40
2012-11-14,64.60,64.60,64.60,64.60,000,64.60
2012-11-13,64.60,64.60,64.60,64.60,000,64.60
2012-11-12,65.10,65.20,64.00,64.60,272700,64.60
2012-11-09,65.75,66.15,64.10,64.60,401000,64.60
2012-11-08,66.25,66.80,65.40,65.75,655500,65.75
2012-11-07,66.10,67.75,65.10,66.95,2059400,66.95
2012-11-06,65.25,65.55,64.75,65.35,334400,65.35
2012-11-05,64.10,65.95,64.10,65.25,678900,65.25
2012-11-02,68.00,68.65,63.30,64.10,2196900,64.10
2012-11-01,68.75,69.20,67.75,68.50,620000,68.50
2012-10-31,67.55,68.80,66.55,68.25,488000,68.25
2012-10-30,68.60,68.90,66.45,67.15,620300,67.15
2012-10-29,67.40,69.00,67.05,68.60,617000,68.60
2012-10-26,67.30,67.30,67.30,67.30,000,67.30
2012-10-25,67.95,68.50,66.60,67.30,698900,67.30
2012-10-24,67.60,67.60,67.60,67.60,000,67.60
2012-10-23,68.40,68.95,67.00,67.60,395100,67.60
2012-10-22,69.90,69.95,68.50,69.05,719400,69.05
2012-10-19,70.80,71.05,69.00,69.55,1164600,69.55
2012-10-18,71.40,71.75,70.05,70.60,1209700,70.60
