Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,925.05,925.05,925.05,925.05,000,925.05
2012-12-24,925.00,928.00,921.25,925.05,1400,925.05
2012-12-21,922.05,935.00,922.05,925.70,200,925.70
2012-12-20,920.00,944.00,914.70,929.10,900,929.10
2012-12-19,909.10,945.00,909.10,923.90,900,923.90
2012-12-18,904.95,905.00,900.00,904.85,300,904.85
2012-12-17,900.05,905.00,900.00,900.70,800,900.70
2012-12-14,920.00,920.00,900.00,903.40,800,903.40
2012-12-13,935.05,937.95,912.10,915.75,200,915.75
2012-12-12,938.00,940.00,929.95,940.00,000,940.00
2012-12-11,944.50,948.05,944.00,947.95,200,947.95
2012-12-10,997.50,997.50,942.00,946.95,400,946.95
2012-12-07,997.50,997.50,939.00,949.00,2100,949.00
2012-12-06,989.00,1000.00,939.00,942.10,200,942.10
2012-12-05,925.00,970.00,925.00,959.40,900,959.40
2012-12-04,955.00,955.00,939.00,950.00,000,950.00
2012-12-03,960.00,960.00,927.05,939.15,200,939.15
2012-11-30,968.00,968.00,950.55,953.65,100,953.65
2012-11-29,935.00,988.45,935.00,967.30,300,967.30
2012-11-28,954.00,954.00,954.00,954.00,000,954.00
2012-11-27,960.00,968.00,935.00,954.00,500,954.00
2012-11-26,945.05,960.00,935.00,955.80,200,955.80
2012-11-23,965.05,973.60,965.00,965.20,100,965.20
2012-11-22,950.10,950.55,950.00,950.00,100,950.00
2012-11-21,950.00,966.00,950.00,955.30,300,955.30
2012-11-20,955.05,961.00,951.10,955.30,100,955.30
2012-11-19,990.00,990.00,940.00,950.70,700,950.70
2012-11-16,993.90,999.90,960.40,974.55,400,974.55
2012-11-15,990.10,999.70,975.00,976.50,700,976.50
2012-11-14,997.95,997.95,997.95,997.95,000,997.95
2012-11-13,997.95,997.95,997.95,997.95,000,997.95
2012-11-12,950.00,1050.00,941.00,997.95,15100,997.95
2012-11-09,922.05,939.30,905.25,917.85,300,917.85
2012-11-08,935.00,935.00,915.05,930.00,400,930.00
2012-11-07,935.95,940.00,916.20,932.85,700,932.85
2012-11-06,921.00,939.50,916.00,935.45,600,935.45
2012-11-05,940.00,940.00,915.00,921.95,200,921.95
2012-11-02,904.15,929.40,904.10,918.25,1300,918.25
2012-11-01,901.00,910.95,901.00,910.45,100,910.45
2012-10-31,902.00,902.00,900.00,900.00,600,900.00
2012-10-30,905.00,909.00,900.00,903.95,100,903.95
2012-10-29,900.10,918.00,900.00,900.05,200,900.05
2012-10-26,903.35,903.35,903.35,903.35,000,903.35
