Date,Open,High,Low,Close,Volume,Adj Close
2013-01-23,381.05,381.05,351.15,359.20,1589000,359.20
2013-01-22,379.05,384.75,370.75,372.55,726700,372.55
2013-01-21,387.05,390.25,377.30,381.15,604000,381.15
2013-01-18,382.35,393.00,381.90,385.50,1017300,385.50
2013-01-17,379.95,386.00,377.25,381.85,1093700,381.85
2013-01-16,383.95,385.25,378.00,379.45,1543400,379.45
2013-01-15,382.00,388.75,376.60,384.85,1287800,384.85
2013-01-14,364.50,382.95,357.05,381.05,1226100,381.05
2013-01-11,365.50,369.50,361.05,363.90,607500,363.90
2013-01-10,370.05,371.00,360.15,365.80,819600,365.80
2013-01-09,367.55,372.00,366.60,368.80,966400,368.80
2013-01-08,363.15,367.40,360.00,365.05,888900,365.05
2013-01-07,364.95,369.45,361.80,364.30,940200,364.30
2013-01-04,362.80,365.60,358.60,364.60,576500,364.60
2013-01-03,362.40,365.00,356.40,362.10,1041000,362.10
2013-01-02,361.00,366.85,357.30,360.30,1487500,360.30
2013-01-01,345.35,362.85,345.00,359.60,1767200,359.60
2012-12-31,338.55,347.55,336.95,343.00,846600,343.00
2012-12-28,338.60,343.95,335.50,339.25,779900,339.25
2012-12-27,339.00,345.85,334.80,336.90,1225500,336.90
2012-12-26,330.05,342.40,327.50,340.65,834100,340.65
2012-12-25,328.75,328.75,328.75,328.75,000,328.75
2012-12-24,333.10,336.65,324.40,328.75,682900,328.75
2012-12-21,328.00,337.80,328.00,333.70,1354400,333.70
2012-12-20,328.50,333.15,320.15,331.50,662100,331.50
2012-12-19,325.00,332.00,323.15,327.95,1889700,327.95
2012-12-18,314.00,323.00,305.20,321.60,2043500,321.60
2012-12-17,311.95,315.40,307.40,312.55,503400,312.55
2012-12-14,303.40,311.45,301.00,309.90,983600,309.90
2012-12-13,310.05,312.40,301.20,303.60,955900,303.60
2012-12-12,300.25,311.50,300.00,308.55,1288400,308.55
2012-12-11,306.00,311.50,299.45,305.15,1501000,305.15
2012-12-10,294.95,306.30,292.95,305.65,1932000,305.65
2012-12-07,295.10,298.70,290.55,293.65,897000,293.65
2012-12-06,297.80,297.80,286.95,293.75,995400,293.75
2012-12-05,284.05,292.25,284.05,290.15,1568500,290.15
2012-12-04,280.15,284.80,278.10,283.65,1023500,283.65
2012-12-03,282.00,282.75,278.10,280.10,548300,280.10
2012-11-30,277.20,282.70,277.10,280.65,1158500,280.65
2012-11-29,273.20,276.90,273.20,275.90,924100,275.90
2012-11-28,272.85,272.85,272.85,272.85,000,272.85
2012-11-27,272.00,275.00,270.35,272.85,471100,272.85
2012-11-26,271.00,272.90,269.10,271.60,272800,271.60
2012-11-23,269.00,271.70,268.00,270.80,458100,270.80
2012-11-22,267.00,270.30,264.15,268.75,536300,268.75
2012-11-21,266.00,268.40,263.10,266.40,753000,266.40
2012-11-20,273.05,275.90,264.00,266.30,711800,266.30
2012-11-19,274.15,275.55,269.05,272.65,313400,272.65
2012-11-16,275.35,281.25,272.20,273.45,478100,273.45
2012-11-15,282.00,282.00,275.05,278.80,583400,278.80
2012-11-14,283.25,283.25,283.25,283.25,000,283.25
2012-11-13,283.25,283.25,283.25,283.25,000,283.25
2012-11-12,284.00,285.40,281.10,283.25,376600,283.25
2012-11-09,294.90,294.90,282.10,283.40,700200,283.40
2012-11-08,285.00,292.85,283.20,291.20,832800,291.20
2012-11-07,278.15,290.60,278.00,288.40,1031900,288.40
2012-11-06,279.00,279.80,276.20,278.85,416400,278.85
2012-11-05,282.05,284.90,276.10,279.40,590700,279.40
2012-11-02,280.30,284.00,278.30,283.20,818100,283.20
2012-11-01,277.00,281.40,275.20,279.65,430300,279.65
2012-10-31,272.95,277.90,270.70,276.50,720200,276.50
2012-10-30,280.40,284.85,272.00,272.95,1551700,272.95
2012-10-29,287.00,289.90,269.25,279.40,4089400,279.40
2012-10-26,297.45,297.45,297.45,297.45,000,297.45
2012-10-25,299.05,302.00,295.45,297.45,1196400,297.45
2012-10-24,298.05,298.05,298.05,298.05,000,298.05
2012-10-23,300.25,303.00,297.00,298.05,270500,298.05
2012-10-22,302.50,303.70,296.80,301.20,431200,301.20
2012-10-19,301.85,304.40,297.80,301.70,442000,301.70
2012-10-18,297.00,303.80,295.00,302.95,400400,302.95
2012-10-17,301.05,301.45,292.20,295.05,602500,295.05
2012-10-16,305.00,306.00,296.50,298.00,378600,298.00
2012-10-15,302.75,304.95,299.40,303.20,269400,303.20
2012-10-12,301.80,307.50,300.00,301.95,632500,301.95
2012-10-11,290.10,303.00,290.10,301.40,513000,301.40
2012-10-10,294.60,295.90,291.20,294.60,415800,294.60
2012-10-09,300.00,301.95,293.15,296.25,456200,296.25
2012-10-08,297.05,303.50,293.05,297.55,958200,297.55
2012-10-05,307.20,308.30,293.60,296.90,855000,296.90
2012-10-04,306.25,309.80,304.10,305.30,940600,305.30
2012-10-03,310.10,313.40,303.60,304.90,798600,304.90
2012-10-02,309.60,309.60,309.60,309.60,000,309.60
2012-10-01,312.00,314.80,307.00,309.60,802700,309.60
2012-09-28,308.70,313.80,308.00,311.20,1372400,311.20
2012-09-27,298.20,308.70,297.00,305.05,2213300,305.05
2012-09-26,301.00,304.00,295.30,301.50,710700,301.50
2012-09-25,303.90,306.65,293.50,302.00,1296800,302.00
2012-09-24,298.20,310.00,298.20,299.00,1947800,299.00
2012-09-21,287.55,307.60,287.55,302.45,2171800,302.45
2012-09-20,290.00,297.30,283.25,285.75,1894900,285.75
2012-09-19,296.50,296.50,296.50,296.50,000,296.50
2012-09-18,281.00,299.45,280.05,296.50,1415900,296.50
2012-09-17,273.80,282.55,272.65,280.90,1071500,280.90
2012-09-14,263.40,272.80,263.40,270.10,909400,270.10
2012-09-13,263.70,265.50,259.00,260.35,679000,260.35
2012-09-12,260.85,264.85,260.00,263.10,587800,263.10
2012-09-11,256.45,261.00,255.55,259.25,603700,259.25
2012-09-10,262.30,262.40,256.35,258.35,367200,258.35
2012-09-07,257.60,262.65,257.60,259.25,736100,259.25
2012-09-06,254.80,259.60,253.55,255.20,568700,255.20
2012-09-05,261.70,261.95,253.55,255.00,654700,255.00
2012-09-04,255.00,263.85,254.10,262.30,417500,262.30
2012-09-03,255.10,258.95,254.60,255.55,346100,255.55
2012-08-31,256.95,261.80,253.30,255.30,652400,255.30
2012-08-30,258.00,258.00,253.80,256.90,739600,256.90
2012-08-29,266.80,266.90,257.30,259.50,589400,259.50
2012-08-28,265.95,267.95,261.10,265.15,306200,265.15
2012-08-27,272.35,274.45,265.10,266.45,353400,266.45
2012-08-24,280.05,280.45,272.00,272.60,385300,272.60
2012-08-23,281.00,284.00,279.05,281.30,530200,281.30
2012-08-22,276.00,280.95,275.10,279.15,431700,279.15
2012-08-21,277.55,279.50,273.25,277.75,310000,277.75
2012-08-20,276.75,276.75,276.75,276.75,000,276.75
2012-08-17,279.00,280.50,274.55,276.75,389300,276.75
2012-08-16,276.75,281.80,275.60,278.25,615000,278.25
2012-08-15,275.30,275.30,275.30,275.30,000,275.30
2012-08-14,273.80,279.00,271.00,275.30,943300,275.30
2012-08-13,270.60,274.40,266.15,271.25,881500,271.25
2012-08-10,280.00,280.60,271.00,271.90,792300,271.90
2012-08-09,285.00,285.95,278.00,279.95,890900,279.95
2012-08-08,291.90,291.90,284.10,284.95,663100,284.95
2012-08-07,288.00,291.50,286.20,288.55,845400,288.55
2012-08-06,292.00,294.05,286.30,287.45,581300,287.45
2012-08-03,293.05,296.05,286.00,289.10,767900,289.10
2012-08-02,295.20,299.80,294.00,296.85,417500,296.85
2012-08-01,296.30,300.90,295.10,297.65,676700,297.65
2012-07-31,299.30,299.75,288.40,297.90,927700,297.90
2012-07-30,295.55,297.85,289.05,296.35,1171500,296.35
2012-07-27,314.00,316.20,288.00,290.45,2451300,290.45
2012-07-26,319.55,320.90,305.60,308.00,636200,308.00
2012-07-25,318.05,321.75,315.00,318.10,294800,318.10
2012-07-24,320.75,324.00,320.00,321.00,220100,321.00
2012-07-23,323.85,323.90,317.90,320.40,283600,320.40
2012-07-20,326.05,328.25,320.10,324.55,326200,324.55
2012-07-19,330.05,335.00,323.10,325.85,380800,325.85
2012-07-18,325.00,331.70,314.00,329.80,279300,329.80
2012-07-17,334.95,337.75,327.00,329.50,674600,329.50
2012-07-16,337.00,337.85,332.30,333.65,406500,333.65
2012-07-13,341.00,342.45,336.30,337.75,934400,337.75
2012-07-12,343.05,344.80,338.50,340.85,270500,340.85
2012-07-11,349.65,349.65,343.15,345.00,742500,345.00
2012-07-10,348.80,349.00,343.15,347.80,686400,347.80
2012-07-09,350.00,350.40,343.80,344.85,276300,344.85
2012-07-06,355.00,355.85,348.80,351.95,434300,351.95
2012-07-05,353.80,356.65,350.10,354.60,530100,354.60
2012-07-04,355.30,356.90,342.25,353.50,1076100,353.50
2012-07-03,348.10,355.00,348.00,352.50,1234500,352.50
2012-07-02,348.95,351.90,344.50,347.90,816700,347.90
2012-06-29,352.00,352.00,345.00,347.05,969800,347.05
2012-06-28,346.90,348.95,340.45,345.40,484200,345.40
2012-06-27,348.75,348.75,341.35,344.20,233500,344.20
2012-06-26,342.45,346.45,341.80,344.60,149800,344.60
2012-06-25,345.95,352.40,340.50,343.05,335300,343.05
2012-06-22,340.05,349.70,338.15,344.65,705200,344.65
2012-06-21,336.00,342.00,329.05,341.45,443500,341.45
2012-06-20,335.05,342.40,335.05,341.60,259000,334.60
2012-06-19,338.05,339.75,327.30,334.50,581000,327.65
2012-06-18,352.25,355.00,335.80,340.60,496700,333.62
2012-06-15,349.95,352.40,345.70,349.75,305600,342.58
2012-06-14,354.05,357.90,345.00,348.10,363200,340.97
2012-06-13,358.35,361.05,352.10,356.00,723900,348.70
2012-06-12,347.45,359.90,345.60,358.45,473700,351.10
2012-06-11,356.35,362.00,346.20,349.05,481300,341.90
2012-06-08,341.50,356.00,341.00,353.60,432100,346.35
2012-06-07,343.00,352.70,340.35,349.00,515400,341.85
2012-06-06,334.15,345.70,334.15,343.10,575600,336.07
2012-06-05,335.40,341.00,330.85,336.75,422600,329.85
2012-06-04,329.00,335.00,324.20,333.00,265500,326.18
2012-06-01,329.00,343.85,329.00,333.20,680900,326.37
2012-05-31,315.05,348.90,315.05,340.85,1358500,333.87
2012-05-30,330.95,330.95,317.55,319.80,259500,313.25
2012-05-29,333.00,337.70,329.15,331.35,544400,324.56
2012-05-28,321.55,332.00,321.55,329.95,420300,323.19
2012-05-25,316.05,322.80,313.80,320.50,376900,313.93
2012-05-24,311.00,317.90,310.60,315.85,374900,309.38
2012-05-23,305.95,314.00,304.35,311.95,408500,305.56
2012-05-22,319.15,323.60,305.50,307.65,516800,301.35
2012-05-21,313.60,320.75,313.60,318.00,310600,311.48
2012-05-18,306.85,316.00,302.10,315.05,494000,308.59
2012-05-17,308.00,315.00,302.00,307.80,757600,301.49
2012-05-16,316.90,316.90,304.55,307.50,565000,301.20
2012-05-15,314.05,322.85,314.05,320.80,426600,314.23
2012-05-14,319.95,321.95,310.25,317.05,698500,310.55
2012-05-11,314.00,322.00,309.00,317.25,706900,310.75
2012-05-10,315.00,317.40,309.10,313.65,782400,307.22
2012-05-09,329.05,333.80,311.05,313.60,894300,307.17
2012-05-08,339.00,343.85,325.30,330.40,449200,323.63
2012-05-07,325.80,341.00,319.10,339.20,895600,332.25
2012-05-04,334.00,340.00,323.20,329.10,958700,322.36
2012-05-03,347.00,347.50,329.70,333.95,586800,327.11
2012-05-02,353.50,358.60,346.55,348.50,721400,341.36
2012-05-01,352.60,352.60,352.60,352.60,000,345.37
2012-04-30,339.00,360.90,338.00,353.50,3258900,346.26
2012-04-27,331.30,336.00,322.00,330.70,2137400,323.92
2012-04-26,340.70,340.70,326.60,331.30,677200,324.51
2012-04-25,348.85,350.70,337.00,338.85,470100,331.91
2012-04-24,348.00,351.90,344.00,346.60,355500,339.50
2012-04-23,356.35,360.95,345.00,346.20,441800,339.11
2012-04-20,363.00,366.10,356.50,357.60,418200,350.27
2012-04-19,373.90,373.90,362.25,365.75,244800,358.26
2012-04-18,379.70,381.35,370.10,371.80,404900,364.18
2012-04-17,380.90,383.00,368.25,378.00,605300,370.25
2012-04-16,368.90,379.00,368.05,377.35,329000,369.62
2012-04-13,371.95,375.90,366.00,369.25,529800,361.68
2012-04-12,365.00,369.80,365.00,368.55,316800,361.00
2012-04-11,361.05,368.80,359.70,363.70,261000,356.25
2012-04-10,366.05,368.50,358.10,365.20,315800,357.72
2012-04-09,369.95,372.00,362.60,364.50,196900,357.03
2012-04-06,372.40,372.40,372.40,372.40,000,364.77
2012-04-05,372.40,372.40,372.40,372.40,000,364.77
2012-04-04,363.05,376.00,363.05,372.40,507400,364.77
2012-04-03,367.05,370.60,363.55,366.15,285100,358.65
2012-04-02,389.70,389.70,360.75,367.00,308900,359.48
