Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,732.00,732.00,732.00,732.00,000,732.00
2012-12-24,730.50,741.95,726.40,732.00,11600,732.00
2012-12-21,767.00,767.00,728.00,734.00,29500,734.00
2012-12-20,755.05,774.90,745.15,749.30,24100,749.30
2012-12-19,719.05,768.00,711.00,750.45,34400,750.45
2012-12-18,715.00,724.35,707.00,722.45,26100,722.45
2012-12-17,706.00,713.40,702.35,707.85,3400,707.85
2012-12-14,714.25,719.70,702.00,706.55,5400,706.55
2012-12-13,730.00,730.00,704.10,707.60,6400,707.60
2012-12-12,781.00,781.00,720.25,724.75,23900,724.75
2012-12-11,715.05,734.95,715.05,718.00,18400,718.00
2012-12-10,720.85,726.60,713.10,715.65,8200,715.65
2012-12-07,728.95,728.95,713.15,715.90,8800,715.90
2012-12-06,739.00,739.00,715.00,716.45,16600,716.45
2012-12-05,729.75,737.00,722.00,725.90,9700,725.90
2012-12-04,735.00,739.80,721.00,722.85,12900,722.85
2012-12-03,749.00,751.65,735.00,735.90,20600,735.90
2012-11-30,715.00,749.00,712.20,730.45,47100,730.45
2012-11-29,663.00,729.00,661.10,715.15,56400,715.15
2012-11-28,669.25,669.25,669.25,669.25,000,669.25
2012-11-27,669.60,677.05,665.60,669.25,7200,669.25
2012-11-26,670.00,671.95,664.85,669.50,5700,669.50
2012-11-23,669.95,673.00,664.00,670.25,6800,670.25
2012-11-22,667.00,676.50,665.10,670.10,5600,670.10
2012-11-21,658.25,674.90,658.25,665.35,5000,665.35
2012-11-20,674.05,674.05,660.75,661.70,7700,661.70
2012-11-19,679.00,679.00,668.00,670.10,6500,670.10
2012-11-16,675.00,679.95,670.00,671.60,8500,671.60
2012-11-15,678.00,678.00,660.40,673.75,6400,673.75
2012-11-14,671.55,671.55,671.55,671.55,000,671.55
2012-11-13,671.55,671.55,671.55,671.55,000,671.55
2012-11-12,676.00,680.00,657.05,671.55,9700,671.55
2012-11-09,674.95,688.70,671.10,675.15,13400,675.15
2012-11-08,675.00,684.10,668.00,672.45,7600,672.45
2012-11-07,688.05,690.00,674.00,677.70,9500,677.70
2012-11-06,675.00,692.70,666.55,686.25,18300,686.25
2012-11-05,675.00,686.35,672.15,673.75,13400,673.75
2012-11-02,667.90,679.40,667.30,673.30,20100,673.30
2012-11-01,646.00,670.00,646.00,665.20,17200,665.20
