Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,120.80,120.80,120.80,120.80,000,120.80
2012-12-24,123.00,124.70,120.10,120.80,38000,120.80
2012-12-21,121.30,121.30,117.10,120.05,36600,120.05
2012-12-20,118.65,121.10,118.50,120.20,21500,120.20
2012-12-19,123.00,124.00,117.60,118.95,22900,118.95
2012-12-18,120.10,122.40,119.00,121.60,20000,121.60
2012-12-17,120.20,121.90,118.40,119.80,26800,119.80
2012-12-14,119.60,122.85,119.00,121.15,28900,121.15
2012-12-13,122.00,124.70,119.35,119.90,125600,119.90
2012-12-12,125.60,125.60,121.55,121.95,27800,121.95
2012-12-11,128.00,128.45,123.70,124.75,26500,124.75
2012-12-10,128.70,128.95,126.40,127.55,27300,127.55
2012-12-07,131.45,132.45,127.70,128.50,65300,128.50
2012-12-06,130.25,131.40,126.00,130.10,83600,130.10
2012-12-05,129.80,132.00,127.60,129.05,98000,129.05
2012-12-04,124.00,134.70,121.75,128.75,369300,128.75
2012-12-03,123.20,124.90,122.20,123.25,45500,123.25
2012-11-30,124.75,126.40,121.60,122.55,71700,122.55
2012-11-29,124.00,126.40,122.10,123.20,71800,123.20
2012-11-28,125.20,125.20,125.20,125.20,000,125.20
2012-11-27,125.00,127.00,121.60,125.20,115700,125.20
2012-11-26,124.25,127.90,121.50,124.20,79100,124.20
2012-11-23,124.20,129.75,122.50,123.10,54800,123.10
2012-11-22,125.15,125.50,121.70,123.55,48600,123.55
2012-11-21,119.70,126.40,118.25,124.00,124900,124.00
2012-11-20,124.35,125.20,117.00,118.60,71500,118.60
2012-11-19,126.80,131.40,121.80,123.20,351800,123.20
2012-11-16,115.00,137.45,113.00,124.55,783200,124.55
2012-11-15,112.45,121.30,111.05,115.85,96000,115.85
2012-11-14,112.05,112.05,112.05,112.05,000,112.05
2012-11-13,112.05,112.05,112.05,112.05,000,112.05
2012-11-12,114.80,114.80,107.65,112.05,22000,112.05
2012-11-09,119.55,120.95,114.15,114.75,27400,114.75
2012-11-08,122.50,122.50,117.20,118.60,37700,118.60
2012-11-07,120.00,124.74,119.61,121.88,193900,121.88
2012-11-06,116.95,120.78,116.40,119.87,123700,119.87
2012-11-05,572.95,602.90,519.30,577.35,11800,577.35
2012-11-02,593.00,609.00,591.50,602.50,32200,602.50
2012-11-01,572.00,594.00,572.00,591.35,21000,591.35
2012-10-31,2745.00,2875.00,2745.00,2860.00,10400,2860.00
2012-10-30,559.95,565.00,547.15,550.50,3900,550.50
2012-10-29,560.00,572.00,547.00,553.90,8600,553.90
2012-10-26,558.05,558.05,558.05,558.05,000,558.05
2012-10-25,568.95,573.00,556.00,558.05,2600,558.05
2012-10-24,563.50,563.50,563.50,563.50,000,563.50
2012-10-23,560.00,579.75,560.00,563.50,2600,563.50
2012-10-22,566.10,577.00,560.15,572.25,800,572.25
2012-10-19,575.00,578.90,566.05,569.95,1400,569.95
2012-10-18,570.40,584.00,570.40,574.85,3900,574.85
2012-10-17,575.00,593.30,570.00,572.70,10300,572.70
2012-10-16,565.00,591.00,562.50,571.15,17800,571.15
2012-10-15,575.00,575.00,560.00,560.00,1100,560.00
