Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,1193.05,1193.05,1193.05,1193.05,000,1193.05
2012-12-24,1190.00,1196.95,1175.00,1193.05,7500,1193.05
2012-12-21,1188.00,1197.00,1175.75,1184.90,8800,1184.90
2012-12-20,1162.00,1198.75,1162.00,1187.25,5700,1187.25
2012-12-19,1175.00,1222.00,1173.15,1194.10,30500,1194.10
2012-12-18,1156.65,1187.95,1156.65,1174.25,5500,1174.25
2012-12-17,1182.00,1189.20,1163.40,1170.20,47200,1170.20
2012-12-14,1188.70,1190.00,1163.05,1181.50,27600,1181.50
2012-12-13,1188.00,1197.80,1174.05,1188.70,13400,1188.70
2012-12-12,1224.00,1224.00,1170.00,1177.30,73600,1177.30
2012-12-11,1260.00,1272.00,1191.05,1198.25,43600,1198.25
2012-12-10,1209.15,1215.00,1185.20,1201.95,59600,1201.95
2012-12-07,1200.05,1211.85,1185.20,1196.20,17700,1196.20
2012-12-06,1228.90,1228.90,1185.05,1192.90,4800,1192.90
2012-12-05,1191.15,1228.00,1191.15,1207.90,18200,1207.90
2012-12-04,1192.00,1204.80,1181.35,1203.00,15300,1203.00
2012-12-03,1187.00,1201.00,1181.10,1184.60,30900,1184.60
2012-11-30,1203.45,1214.35,1182.00,1186.25,9500,1186.25
2012-11-29,1180.20,1222.00,1180.20,1211.20,4100,1211.20
2012-11-28,1189.95,1189.95,1189.95,1189.95,000,1189.95
2012-11-27,1172.65,1206.40,1172.65,1189.95,24900,1189.95
2012-11-26,1192.05,1209.00,1191.50,1196.30,32100,1196.30
2012-11-23,1215.00,1215.00,1175.00,1191.50,11000,1191.50
2012-11-22,1193.10,1233.00,1193.10,1213.80,28300,1213.80
2012-11-21,1175.00,1215.00,1156.70,1206.55,11100,1206.55
2012-11-20,1199.85,1210.00,1194.30,1199.80,116600,1199.80
2012-11-19,1197.05,1205.00,1191.10,1198.20,60700,1198.20
2012-11-16,1185.05,1201.00,1177.25,1199.10,12000,1199.10
2012-11-15,1179.45,1207.15,1172.20,1180.55,34500,1180.55
2012-11-14,1180.85,1180.85,1180.85,1180.85,000,1180.85
2012-11-13,1180.85,1180.85,1180.85,1180.85,000,1180.85
2012-11-12,1184.05,1190.00,1175.20,1180.85,5700,1180.85
2012-11-09,1200.05,1225.00,1170.00,1172.95,32600,1172.95
2012-11-08,1200.05,1213.30,1195.20,1204.45,84000,1204.45
2012-11-07,1206.00,1222.00,1191.80,1213.30,134800,1213.30
2012-11-06,1195.05,1222.00,1181.00,1204.45,120900,1204.45
2012-11-05,1212.00,1228.85,1197.40,1199.90,90600,1199.90
2012-11-02,1230.00,1247.00,1219.05,1225.30,127200,1225.30
2012-11-01,1235.00,1235.50,1220.30,1230.65,10200,1230.65
2012-10-31,1214.80,1234.00,1208.00,1229.95,21100,1229.95
2012-10-30,1240.00,1247.00,1181.10,1207.00,78400,1207.00
2012-10-29,1285.05,1286.00,1244.00,1250.05,63300,1250.05
2012-10-26,1293.75,1293.75,1293.75,1293.75,000,1293.75
2012-10-25,1280.60,1299.00,1280.60,1293.75,8200,1293.75
2012-10-24,1280.75,1280.75,1280.75,1280.75,000,1280.75
2012-10-23,1295.00,1300.00,1276.00,1280.75,6100,1280.75
2012-10-22,1291.20,1304.00,1260.00,1299.70,21000,1299.70
2012-10-19,1304.95,1324.00,1281.00,1297.95,44200,1297.95
2012-10-18,1279.95,1308.00,1275.00,1303.25,51900,1303.25
2012-10-17,1249.00,1275.95,1238.15,1274.45,38300,1274.45
2012-10-16,1270.00,1285.25,1230.00,1239.10,44900,1239.10
2012-10-15,1241.95,1269.90,1234.00,1262.65,20400,1262.65
2012-10-12,1237.70,1250.00,1232.10,1243.85,13800,1243.85
2012-10-11,1239.65,1250.00,1225.00,1241.00,15000,1241.00
2012-10-10,1221.35,1234.20,1220.00,1230.25,4900,1230.25
2012-10-09,1238.00,1238.25,1226.00,1233.00,46600,1233.00
2012-10-08,1223.40,1248.00,1223.00,1225.40,36500,1225.40
2012-10-05,1240.30,1245.00,1221.00,1223.95,6300,1223.95
2012-10-04,1235.00,1250.00,1225.00,1235.75,18300,1235.75
2012-10-03,1242.05,1260.00,1220.05,1232.25,31700,1232.25
2012-10-02,1239.75,1239.75,1239.75,1239.75,000,1239.75
2012-10-01,1209.85,1246.00,1206.35,1239.75,20600,1239.75
2012-09-28,1208.00,1218.00,1111.00,1208.55,60600,1208.55
2012-09-27,1195.00,1210.00,1174.95,1187.05,245200,1187.05
2012-09-26,1185.00,1195.00,1180.00,1185.65,40400,1185.65
2012-09-25,1187.45,1207.00,1166.75,1183.40,79200,1183.40
2012-09-24,1230.00,1232.00,1180.00,1185.15,57600,1185.15
2012-09-21,1208.80,1240.00,1191.70,1224.40,147000,1224.40
2012-09-20,1190.40,1216.00,1170.00,1208.80,99800,1208.80
2012-09-19,1201.20,1201.20,1201.20,1201.20,000,1201.20
2012-09-18,1200.00,1215.00,1195.00,1201.20,37900,1201.20
2012-09-17,1181.00,1211.00,1172.20,1195.70,87800,1195.70
2012-09-14,1184.00,1199.85,1170.10,1180.60,15900,1180.60
2012-09-13,1197.00,1216.00,1175.00,1176.80,24100,1176.80
2012-09-12,1202.45,1210.60,1180.00,1187.40,30500,1187.40
2012-09-11,1219.00,1224.90,1195.35,1202.45,8700,1202.45
2012-09-10,1225.05,1230.00,1212.00,1216.15,24300,1216.15
2012-09-07,1232.00,1240.00,1225.00,1230.85,33800,1230.85
2012-09-06,1231.95,1245.00,1222.35,1231.30,20800,1220.50
2012-09-05,1242.75,1245.00,1212.25,1219.75,5600,1209.05
2012-09-04,1254.65,1254.65,1235.05,1241.00,23200,1230.11
2012-09-03,1258.90,1258.90,1233.25,1247.20,2600,1236.26
2012-08-31,1240.00,1258.80,1228.95,1241.00,19500,1230.11
2012-08-30,1250.65,1257.00,1228.55,1248.80,26300,1237.85
2012-08-29,1241.00,1268.00,1241.00,1259.80,39900,1248.75
2012-08-28,1234.70,1263.00,1217.30,1247.70,12000,1236.76
2012-08-27,1231.00,1240.00,1215.40,1230.05,27500,1219.26
2012-08-24,1256.10,1259.45,1217.00,1226.60,13500,1215.84
2012-08-23,1264.85,1265.00,1251.05,1257.60,46400,1246.57
2012-08-22,1279.00,1280.30,1246.00,1264.45,25200,1253.36
2012-08-21,1259.75,1260.95,1240.00,1259.65,22900,1248.60
2012-08-20,1259.65,1259.65,1259.65,1259.65,000,1248.60
2012-08-17,1250.00,1265.90,1250.00,1259.65,6600,1248.60
2012-08-16,1259.00,1264.90,1250.00,1253.70,3500,1242.70
2012-08-15,1258.50,1258.50,1258.50,1258.50,000,1247.46
2012-08-14,1264.85,1265.00,1255.10,1258.50,8900,1247.46
2012-08-13,1265.00,1270.00,1242.10,1265.60,6700,1254.50
2012-08-10,1246.75,1274.00,1245.05,1261.20,22600,1250.14
2012-08-09,1278.05,1279.85,1255.35,1261.30,4000,1250.24
2012-08-08,1290.05,1290.05,1236.00,1278.05,27200,1266.84
2012-08-07,1240.00,1320.00,1240.00,1274.20,28800,1263.02
2012-08-06,1280.00,1299.50,1255.00,1269.10,122900,1257.97
2012-08-03,1271.05,1301.95,1259.95,1271.75,28600,1260.60
2012-08-02,1144.60,1304.70,1144.60,1291.75,61500,1280.42
2012-08-01,1175.05,1226.00,1170.20,1221.50,75500,1210.79
2012-07-31,1144.75,1178.00,1121.00,1162.10,474100,1151.91
2012-07-30,1225.15,1244.85,1130.55,1146.20,137000,1136.15
2012-07-27,1244.90,1279.00,1225.90,1237.35,11300,1226.50
2012-07-26,1260.05,1263.00,1230.95,1248.50,15100,1237.55
2012-07-25,1280.05,1280.10,1246.20,1257.50,82500,1246.47
2012-07-24,1326.95,1326.95,1274.85,1279.30,23800,1268.08
2012-07-23,1305.00,1314.85,1280.00,1300.90,8500,1289.49
2012-07-20,1320.60,1327.95,1302.25,1309.90,5500,1298.41
2012-07-19,1323.50,1329.85,1318.00,1324.95,25400,1313.33
2012-07-18,1335.05,1337.95,1308.00,1318.50,11900,1306.94
2012-07-17,1332.05,1341.00,1310.25,1327.70,32000,1316.05
2012-07-16,1334.95,1349.05,1330.05,1338.25,37000,1326.51
2012-07-13,1329.00,1345.00,1323.70,1336.10,12000,1324.38
2012-07-12,1317.80,1357.00,1314.95,1334.25,31300,1322.55
2012-07-11,1348.00,1348.00,1308.60,1317.80,19500,1306.24
2012-07-10,1347.95,1351.00,1327.05,1331.90,16400,1320.22
