Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,14.80,14.80,14.80,14.80,000,14.80
2012-12-24,14.80,14.80,14.80,14.80,000,14.80
2012-12-21,14.50,15.00,14.50,14.80,700,14.80
2012-12-20,14.55,15.50,14.55,15.35,200,15.35
2012-12-19,15.50,15.50,15.50,15.50,900,15.50
2012-12-18,14.60,15.60,14.60,15.00,500,15.00
2012-12-17,15.10,15.10,14.40,14.40,000,14.40
2012-12-14,15.15,15.15,15.00,15.00,2800,15.00
2012-12-13,15.35,15.75,15.15,15.15,1100,15.15
2012-12-12,15.30,15.60,15.15,15.40,200,15.40
2012-12-11,15.95,15.95,15.25,15.40,5300,15.40
2012-12-10,15.00,16.10,15.00,15.15,10900,15.15
2012-12-07,14.75,16.00,14.75,15.80,7700,15.80
2012-12-06,15.80,15.95,14.80,15.40,6500,15.40
2012-12-05,15.25,16.00,15.25,15.70,216000,15.70
2012-12-04,16.00,16.00,14.55,15.00,103400,15.00
2012-12-03,15.10,15.45,14.70,15.05,4100,15.05
2012-11-30,15.50,16.25,14.55,15.10,7800,15.10
2012-11-29,16.15,16.15,15.35,15.40,1100,15.40
2012-11-28,16.15,16.15,16.15,16.15,000,16.15
2012-11-27,15.50,16.15,15.50,16.15,2300,16.15
2012-11-26,15.55,15.55,15.50,15.50,1000,15.50
2012-11-23,15.50,16.00,15.25,15.55,102100,15.55
2012-11-22,15.15,16.00,15.15,15.55,100600,15.55
2012-11-21,16.05,16.05,16.00,16.00,210200,16.00
2012-11-20,16.05,16.05,16.00,16.00,100500,16.00
2012-11-19,16.05,16.05,15.60,15.60,300,15.60
2012-11-16,15.50,15.60,15.50,15.55,300,15.55
2012-11-15,15.60,15.60,15.60,15.60,000,15.60
2012-11-14,15.60,15.60,15.60,15.60,000,15.60
2012-11-13,15.60,15.60,15.60,15.60,000,15.60
2012-11-12,16.85,16.85,15.40,15.60,2600,15.60
2012-11-09,15.50,18.00,14.50,15.90,20800,15.90
2012-11-08,15.50,16.15,15.50,15.55,1100,15.55
2012-11-07,15.50,16.15,15.50,16.15,1000,16.15
2012-11-06,15.05,16.05,15.00,16.05,4300,16.05
2012-11-05,15.00,15.95,15.00,15.95,8700,15.95
2012-11-02,15.05,15.60,15.00,15.60,8200,15.60
2012-11-01,15.50,16.00,15.10,15.65,400,15.65
2012-10-31,15.45,15.45,14.75,15.40,5700,15.40
2012-10-30,15.60,15.75,15.15,15.25,900,15.25
2012-10-29,16.70,16.70,15.50,15.60,54200,15.60
2012-10-26,16.35,16.35,16.35,16.35,000,16.35
2012-10-25,16.25,16.90,16.15,16.35,55500,16.35
2012-10-24,16.70,16.70,16.70,16.70,000,16.70
2012-10-23,16.50,16.70,16.25,16.70,400,16.70
2012-10-22,17.00,17.00,16.35,16.50,600,16.50
2012-10-19,16.95,16.95,16.25,16.85,1200,16.85
2012-10-18,16.20,17.00,16.20,16.75,200,16.75
2012-10-17,16.75,16.75,16.30,16.65,200,16.65
2012-10-16,16.75,16.75,16.75,16.75,100,16.75
2012-10-15,17.50,17.50,16.55,16.85,400,16.85
2012-10-12,17.00,17.00,16.50,16.55,1100,16.55
2012-10-11,16.40,17.80,16.40,17.00,2900,17.00
2012-10-10,17.00,17.00,16.30,16.60,2100,16.60
2012-10-09,17.00,17.00,16.55,16.70,2700,16.70
2012-10-08,17.10,17.10,16.60,16.75,000,16.75
2012-10-05,18.15,18.15,16.55,17.00,2800,17.00
2012-10-04,17.50,18.00,17.30,17.70,1200,17.70
2012-10-03,17.50,17.85,17.05,17.05,200,17.05
2012-10-02,17.30,17.30,17.30,17.30,000,17.30
2012-10-01,17.30,17.30,17.30,17.30,100,17.30
2012-09-28,17.65,18.00,17.00,17.20,151700,17.20
2012-09-27,17.85,17.85,17.05,17.85,500,17.85
2012-09-26,17.50,17.80,17.50,17.80,500,17.80
2012-09-25,17.40,18.25,17.40,18.05,114500,18.05
2012-09-24,17.10,17.65,16.55,17.65,1000,17.65
2012-09-21,16.10,17.00,16.10,17.00,1200,17.00
2012-09-20,17.60,17.60,17.00,17.00,000,17.00
2012-09-19,17.00,17.00,17.00,17.00,000,17.00
2012-09-18,17.50,17.50,16.50,17.00,1600,17.00
2012-09-17,16.50,17.50,16.50,17.10,600,17.10
2012-09-14,16.55,17.00,16.25,16.40,5400,16.40
2012-09-13,16.10,17.45,16.10,16.70,1600,16.70
2012-09-12,16.80,17.25,16.70,17.10,600,17.00
2012-09-11,17.00,17.00,16.70,16.70,500,16.60
2012-09-10,17.50,17.50,16.70,17.00,1100,16.90
2012-09-07,17.00,17.45,17.00,17.00,200,16.90
2012-09-06,17.50,17.85,16.25,17.50,1700,17.40
2012-09-05,17.90,17.90,17.90,17.90,000,17.80
2012-09-04,17.00,17.95,16.60,17.10,4000,17.00
2012-09-03,18.90,18.90,17.00,17.95,1100,17.85
2012-08-31,16.90,17.50,16.75,17.50,1200,17.40
2012-08-30,17.50,17.50,17.50,17.50,000,17.40
2012-08-29,17.20,17.50,17.20,17.50,400,17.40
2012-08-28,16.85,17.50,16.80,17.45,2400,17.35
2012-08-27,16.50,17.85,16.50,17.50,2700,17.40
2012-08-24,17.50,17.90,17.10,17.50,1000,17.40
2012-08-23,18.00,18.00,16.75,17.50,15200,17.40
2012-08-22,18.00,19.00,17.55,18.50,300,18.39
2012-08-21,17.80,18.75,17.75,18.35,400,18.24
2012-08-20,18.00,18.00,18.00,18.00,000,17.89
2012-08-17,18.00,19.70,17.55,18.00,2400,17.89
2012-08-16,18.90,18.90,18.90,18.90,000,18.79
2012-08-15,18.90,18.90,18.90,18.90,000,18.79
2012-08-14,18.90,18.90,18.90,18.90,000,18.79
2012-08-13,18.90,18.90,18.90,18.90,000,18.79
2012-08-10,18.50,18.95,18.50,18.90,000,18.79
2012-08-09,18.80,18.95,18.00,18.00,100,17.89
2012-08-08,18.00,18.95,18.00,18.55,200,18.44
2012-08-07,17.85,19.80,17.85,17.90,000,17.80
2012-08-06,17.50,20.00,17.25,18.10,200,17.99
2012-08-03,17.85,18.40,17.80,18.40,200,18.29
2012-08-02,18.00,18.95,18.00,18.50,11200,18.39
2012-08-01,19.10,19.10,18.50,18.50,7800,18.39
2012-07-31,19.00,20.25,18.85,19.50,10400,19.39
2012-07-30,19.50,19.90,18.85,19.90,000,19.78
2012-07-27,19.00,20.25,18.50,20.00,16600,19.88
2012-07-26,17.60,18.90,17.60,18.80,100,18.69
2012-07-25,18.50,18.50,18.05,18.05,000,17.94
2012-07-24,17.35,19.00,17.35,18.90,175100,18.79
2012-07-23,18.25,18.95,17.65,17.95,400,17.85
2012-07-20,17.50,19.00,17.10,18.25,5800,18.14
2012-07-19,18.10,18.95,17.25,17.50,2500,17.40
2012-07-18,18.50,19.00,18.00,18.00,1600,17.89
2012-07-17,18.50,20.35,18.10,18.45,1000,18.34
2012-07-16,19.45,19.45,19.45,19.45,000,19.34
2012-07-13,18.60,19.50,18.50,19.45,3600,19.34
2012-07-12,18.50,18.90,18.30,18.90,000,18.79
2012-07-11,20.95,20.95,18.85,18.85,600,18.74
2012-07-10,19.50,19.50,18.90,19.30,1500,19.19
2012-07-09,19.45,19.75,19.10,19.70,5100,19.58
2012-07-06,20.00,20.05,19.00,19.30,2500,19.19
2012-07-05,18.85,19.75,18.85,19.70,1900,19.58
2012-07-04,18.50,20.30,18.25,19.50,3700,19.39
2012-07-03,19.50,19.60,19.50,19.50,000,19.39
2012-07-02,18.50,19.00,18.20,19.00,100,18.89
2012-06-29,19.00,19.00,18.70,18.70,700,18.59
2012-06-28,19.00,20.00,18.20,19.00,4300,18.89
2012-06-27,18.50,19.75,18.50,19.70,1000,19.58
2012-06-26,19.50,19.50,18.60,19.00,700,18.89
2012-06-25,19.50,20.20,19.50,19.75,700,19.63
2012-06-22,18.20,20.00,18.20,19.00,200,18.89
2012-06-21,19.00,20.00,19.00,19.05,3000,18.94
2012-06-20,19.50,20.00,19.05,20.00,342400,19.88
2012-06-19,19.50,19.50,19.00,19.00,100,18.89
2012-06-18,20.00,20.15,19.15,19.70,8200,19.58
2012-06-15,19.50,20.25,19.50,20.05,000,19.93
2012-06-14,21.90,21.90,18.80,19.00,1400,18.89
2012-06-13,19.50,20.00,19.00,19.65,4800,19.54
2012-06-12,18.95,20.10,18.95,20.00,000,19.88
2012-06-11,19.40,20.25,19.20,19.20,3000,19.09
2012-06-08,20.45,20.45,19.20,20.30,200,20.18
2012-06-07,19.55,20.50,19.40,19.50,100,19.39
2012-06-06,20.00,20.95,19.50,19.70,1100,19.58
2012-06-05,20.50,20.50,20.50,20.50,000,20.38
2012-06-04,19.50,20.50,19.50,20.50,2000,20.38
2012-06-01,19.50,20.45,19.50,20.45,000,20.33
2012-05-31,20.45,20.50,19.20,19.50,1000,19.39
2012-05-30,20.50,20.50,20.00,20.50,000,20.38
2012-05-29,19.50,21.00,19.50,20.75,200,20.63
2012-05-28,20.25,20.50,19.25,19.25,600,19.14
2012-05-25,22.95,24.00,19.75,20.25,000,20.13
2012-05-24,21.00,21.50,21.00,21.10,502400,20.98
2012-05-23,20.50,21.25,19.30,20.55,1900,20.43
2012-05-22,20.50,20.50,20.50,20.50,200,20.38
2012-05-21,19.25,20.50,19.25,19.85,200,19.73
2012-05-18,19.55,19.55,19.25,19.25,1100,19.14
2012-05-17,20.15,21.45,20.10,20.10,500,19.98
2012-05-16,20.50,21.85,20.50,20.75,9600,20.63
2012-05-15,22.00,23.00,20.15,20.50,400,20.38
2012-05-14,21.95,21.95,20.55,20.60,600,20.48
2012-05-11,19.50,21.60,19.50,21.00,502900,20.88
2012-05-10,21.50,22.75,19.20,20.00,11100,19.88
2012-05-09,20.50,21.00,20.50,21.00,250000,20.88
2012-05-08,21.95,21.95,20.50,20.50,2100,20.38
2012-05-07,20.50,20.75,20.00,20.10,800,19.98
2012-05-04,20.45,20.45,20.45,20.45,500,20.33
2012-05-03,21.95,21.95,20.10,20.45,400,20.33
2012-05-02,21.50,22.00,20.95,20.95,200,20.83
