Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,150.35,150.35,150.35,150.35,000,150.35
2012-12-24,149.40,151.50,148.00,150.35,72200,150.35
2012-12-21,149.95,149.95,147.00,148.05,57900,148.05
2012-12-20,150.50,153.90,150.00,150.55,106400,150.55
2012-12-19,150.00,151.05,148.10,149.45,66400,149.45
2012-12-18,146.00,151.00,145.15,149.70,70300,149.70
2012-12-17,149.40,149.70,147.35,147.95,35600,147.95
2012-12-14,147.50,150.45,145.05,148.35,80300,148.35
2012-12-13,151.15,152.55,146.35,147.40,83400,147.40
2012-12-12,148.25,153.45,147.70,150.95,181700,150.95
2012-12-11,148.80,151.00,145.60,147.20,70900,147.20
2012-12-10,149.35,151.65,147.95,148.85,91200,148.85
2012-12-07,151.70,152.85,147.80,148.30,80700,148.30
2012-12-06,155.60,155.60,150.55,152.05,84700,152.05
2012-12-05,154.75,154.85,151.00,154.10,150200,154.10
2012-12-04,154.00,155.55,152.60,153.75,207200,153.75
2012-12-03,148.80,154.00,148.25,153.05,341200,153.05
2012-11-30,150.00,154.00,145.10,150.30,588700,150.30
2012-11-29,143.50,151.00,142.85,148.75,449100,148.75
2012-11-28,143.20,143.20,143.20,143.20,000,143.20
2012-11-27,143.95,144.35,143.00,143.20,55000,143.20
2012-11-26,144.25,145.00,142.65,143.35,190800,143.35
2012-11-23,140.00,144.70,138.80,142.70,207700,142.70
2012-11-22,139.00,140.35,138.65,139.50,39900,139.50
2012-11-21,139.90,140.10,138.40,139.15,48800,139.15
2012-11-20,138.55,139.95,138.00,138.55,108300,138.55
2012-11-19,139.20,139.70,137.20,138.05,64900,138.05
2012-11-16,138.35,139.65,137.50,137.90,166500,137.90
2012-11-15,141.90,141.90,138.00,138.35,81000,138.35
2012-11-14,140.50,140.50,140.50,140.50,000,140.50
2012-11-13,140.50,140.50,140.50,140.50,000,140.50
2012-11-12,141.95,142.35,140.00,140.50,58500,140.50
2012-11-09,142.85,143.90,141.00,141.45,77100,141.45
2012-11-08,143.00,145.30,140.90,142.75,166300,142.75
2012-11-07,143.50,148.85,143.00,144.65,670200,144.65
2012-11-06,138.70,143.35,138.70,142.60,142100,142.60
2012-11-05,141.25,141.25,138.50,139.45,76000,139.45
