Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,308.60,308.60,308.60,308.60,000,308.60
2012-12-24,306.70,311.45,303.40,308.60,1965500,308.60
2012-12-21,314.05,314.85,305.90,307.35,3412900,307.35
2012-12-20,313.10,318.40,309.35,316.90,3050300,316.90
2012-12-19,313.30,318.85,313.30,316.05,4695600,316.05
2012-12-18,300.10,314.30,300.00,313.40,6648800,313.40
2012-12-17,309.00,311.10,299.55,300.55,7154100,300.55
2012-12-14,318.05,319.25,308.45,312.45,3633800,312.45
2012-12-13,311.50,320.00,310.35,317.80,6296900,317.80
2012-12-12,317.50,317.50,307.70,311.90,6207100,311.90
2012-12-11,318.10,321.00,312.00,314.20,5482900,314.20
2012-12-10,325.50,326.00,315.60,317.90,3314100,317.90
2012-12-07,324.90,330.00,320.25,322.45,4662300,322.45
2012-12-06,334.40,334.40,321.15,324.70,5205700,324.70
2012-12-05,330.00,333.30,326.60,330.40,3956100,330.40
2012-12-04,330.00,333.70,327.65,332.45,4535600,332.45
2012-12-03,337.50,340.00,330.35,331.15,3917100,331.15
2012-11-30,333.65,340.70,324.80,337.00,9948200,337.00
2012-11-29,326.00,332.35,325.50,330.35,9879200,330.35
2012-11-28,326.70,326.70,326.70,326.70,000,326.70
2012-11-27,312.50,331.55,310.50,326.70,11696900,326.70
2012-11-26,307.95,311.50,306.70,310.25,3862400,310.25
2012-11-23,309.95,312.00,303.40,305.45,3644200,305.45
2012-11-22,307.30,311.55,305.15,307.80,5261700,307.80
2012-11-21,309.00,310.20,303.50,307.40,4747200,307.40
2012-11-20,311.00,312.50,305.50,309.00,7594500,309.00
2012-11-19,303.70,311.00,303.55,309.50,8406600,309.50
2012-11-16,292.15,303.95,292.15,301.40,11860200,301.40
2012-11-15,285.25,296.05,285.20,290.30,10584800,290.30
2012-11-14,280.00,280.00,280.00,280.00,000,280.00
2012-11-13,280.00,280.00,280.00,280.00,000,280.00
2012-11-12,273.60,283.00,272.70,280.00,3450700,280.00
2012-11-09,275.90,279.50,274.95,275.80,2366900,275.80
2012-11-08,268.00,277.90,267.70,277.05,6950700,277.05
2012-11-07,271.00,280.95,269.35,271.10,12240100,271.10
2012-11-06,273.40,276.65,270.60,273.75,1922900,273.75
2012-11-05,275.50,277.50,271.05,273.50,1356000,273.50
2012-11-02,283.05,284.00,274.50,274.95,2871300,274.95
2012-11-01,270.80,281.90,269.20,281.15,4017100,281.15
2012-10-31,270.00,273.25,267.00,269.65,1959600,269.65
2012-10-30,270.75,274.50,268.80,270.20,1946900,270.20
2012-10-29,266.65,271.00,266.10,269.80,3054800,269.80
2012-10-26,269.65,269.65,269.65,269.65,000,269.65
2012-10-25,271.50,273.65,268.50,269.65,3321400,269.65
2012-10-24,271.20,271.20,271.20,271.20,000,271.20
2012-10-23,271.95,274.70,270.05,271.20,2352500,271.20
2012-10-22,266.00,272.45,264.80,271.90,3136200,271.90
2012-10-19,263.00,267.95,261.20,267.10,4030400,267.10
2012-10-18,268.30,269.80,263.20,265.90,5058800,265.90
2012-10-17,269.25,272.00,266.10,270.55,5009900,270.55
2012-10-16,260.10,269.70,260.10,267.65,4984900,267.65
2012-10-15,260.55,264.50,256.50,264.05,4358800,264.05
2012-10-12,267.00,269.00,258.20,260.35,3560700,260.35
2012-10-11,263.00,269.45,262.00,267.30,2728000,267.30
2012-10-10,264.50,266.50,261.20,262.05,2853400,262.05
2012-10-09,272.55,272.75,264.25,265.30,4150900,265.30
2012-10-08,267.05,276.60,266.00,270.45,6108400,270.45
2012-10-05,271.30,271.75,215.80,265.75,2898300,265.75
2012-10-04,267.50,273.35,267.50,269.75,3512100,269.75
2012-10-03,266.50,269.50,264.35,265.30,3107600,265.30
2012-10-02,265.05,265.05,265.05,265.05,000,265.05
2012-10-01,265.15,267.60,262.60,265.05,2477100,265.05
2012-09-28,264.85,267.00,262.20,265.45,5210900,265.45
2012-09-27,266.40,269.80,260.00,261.40,5375500,261.40
2012-09-26,274.00,275.55,262.00,265.20,8122500,265.20
2012-09-25,279.40,280.00,273.65,275.60,4039700,275.60
2012-09-24,280.00,283.00,273.00,279.00,9164400,279.00
2012-09-21,271.00,280.45,270.75,279.25,10420900,279.25
2012-09-20,266.00,272.65,265.15,268.25,6482100,268.25
2012-09-19,268.20,268.20,268.20,268.20,000,268.20
2012-09-18,266.00,271.00,265.55,268.20,8476500,268.20
2012-09-17,260.20,268.00,256.85,264.75,8519400,264.75
2012-09-14,258.50,259.85,253.60,255.10,6840900,255.10
2012-09-13,259.40,260.00,250.95,253.55,6028900,253.55
2012-09-12,260.15,262.30,258.05,260.75,5517600,260.75
2012-09-11,259.00,262.30,255.75,261.60,3564500,261.60
2012-09-10,254.15,261.75,254.15,261.05,3984400,261.05
