Date,Open,High,Low,Close,Volume,Adj Close
2013-01-23,230.10,232.20,228.30,231.00,2545600,231.00
2013-01-22,232.00,233.15,229.30,230.50,3528400,230.50
2013-01-21,226.40,233.50,226.25,232.05,5777600,232.05
2013-01-18,226.00,229.00,224.20,226.45,7153600,226.45
2013-01-17,226.20,227.40,222.00,225.05,3942200,225.05
2013-01-16,228.05,229.90,225.10,225.40,2079000,225.40
2013-01-15,230.00,232.00,228.10,228.95,2446100,228.95
2013-01-14,227.25,230.50,225.75,229.25,2407200,229.25
2013-01-11,231.50,233.00,226.00,226.85,3322600,226.85
2013-01-10,237.50,238.30,231.15,231.90,4174800,231.90
2013-01-09,243.25,244.90,235.95,236.90,3021200,236.90
2013-01-08,239.55,245.70,237.75,243.90,2987600,243.90
2013-01-07,243.50,244.30,238.50,239.80,2327600,239.80
2013-01-04,237.45,243.65,236.60,242.80,3206200,242.80
2013-01-03,239.65,240.95,236.10,238.80,3392900,238.80
2013-01-02,235.80,239.90,235.50,238.05,3817600,238.05
2013-01-01,230.25,233.85,229.30,232.60,2652700,232.60
2012-12-31,226.25,229.60,226.25,228.25,1136400,228.25
2012-12-28,227.30,228.90,225.10,227.50,1817300,227.50
2012-12-27,230.70,232.00,225.85,226.05,3464900,226.05
2012-12-26,228.00,231.60,227.95,230.20,1308400,230.20
2012-12-25,227.60,227.60,227.60,227.60,000,227.60
2012-12-24,228.00,229.90,225.70,227.60,2705800,227.60
2012-12-21,230.10,230.80,226.85,227.65,2202000,227.65
2012-12-20,231.00,232.80,228.60,232.00,1992600,232.00
2012-12-19,232.80,234.95,231.20,233.55,5112400,233.55
2012-12-18,221.30,230.75,221.30,230.20,4786500,230.20
2012-12-17,224.80,226.20,220.35,220.90,5109800,220.90
2012-12-14,228.25,229.90,223.00,224.90,4714700,224.90
2012-12-13,232.00,233.80,226.70,227.95,4599900,227.95
2012-12-12,239.00,240.60,231.30,232.45,6411900,232.45
2012-12-11,245.00,245.00,234.25,237.30,3108400,237.30
2012-12-10,243.65,246.00,242.05,243.50,2069000,243.50
2012-12-07,243.90,247.75,241.05,243.00,3541600,243.00
2012-12-06,238.70,243.95,234.55,241.75,3127800,241.75
2012-12-05,240.00,241.45,236.10,237.45,3330200,237.45
2012-12-04,238.25,242.40,236.75,237.60,4022400,237.60
2012-12-03,233.10,239.25,232.00,237.85,4058200,237.85
2012-11-30,224.45,236.00,224.00,234.35,7268600,234.35
2012-11-29,224.60,224.95,220.30,222.15,6749900,222.15
2012-11-28,223.90,223.90,223.90,223.90,000,223.90
2012-11-27,222.55,224.40,222.00,223.90,2469500,223.90
2012-11-26,225.00,225.95,220.25,221.15,2833900,221.15
2012-11-23,222.05,225.50,222.05,224.70,2438300,224.70
2012-11-22,223.00,224.80,219.40,221.30,2901600,221.30
2012-11-21,229.20,229.45,220.75,222.20,3018100,222.20
2012-11-20,230.85,231.70,226.85,228.15,1309700,228.15
2012-11-19,231.00,232.80,228.00,229.15,1891100,229.15
2012-11-16,234.00,236.75,229.00,230.30,1967600,230.30
2012-11-15,230.00,235.80,229.40,235.35,3486100,235.35
2012-11-14,232.00,232.00,232.00,232.00,000,232.00
2012-11-13,232.00,232.00,232.00,232.00,000,232.00
2012-11-12,231.55,234.50,230.50,232.00,1649000,232.00
2012-11-09,236.10,239.60,231.55,232.25,2805800,232.25
2012-11-08,235.50,238.50,233.10,237.95,1924900,237.95
2012-11-07,231.75,237.85,231.75,236.95,2525500,236.95
2012-11-06,229.35,233.70,229.35,232.75,1905700,232.75
2012-11-05,228.30,232.90,228.30,230.65,2247500,230.65
2012-11-02,228.70,231.80,227.85,229.45,2992500,229.45
2012-11-01,224.20,227.40,223.20,226.55,1913600,226.55
2012-10-31,227.95,228.75,224.05,224.80,2373000,224.80
2012-10-30,226.45,231.25,222.20,228.80,8386200,228.80
2012-10-29,243.50,245.10,226.20,226.90,10955000,226.90
2012-10-26,240.55,240.55,240.55,240.55,000,240.55
2012-10-25,238.10,242.00,238.10,240.55,3523500,240.55
2012-10-24,239.50,239.50,239.50,239.50,000,239.50
2012-10-23,240.10,244.50,239.25,239.50,2077300,239.50
2012-10-22,240.00,244.40,238.25,241.85,2802300,241.85
2012-10-19,248.35,248.40,240.80,242.30,3658400,242.30
2012-10-18,249.00,249.10,245.00,247.05,3173500,247.05
2012-10-17,246.00,248.40,244.20,247.55,2793800,247.55
2012-10-16,250.00,252.70,243.90,244.65,3819600,244.65
2012-10-15,245.25,250.30,241.10,249.20,3789200,249.20
2012-10-12,251.50,254.50,244.65,245.40,4152900,245.40
2012-10-11,245.00,253.20,241.55,251.65,7021300,251.65
2012-10-10,248.00,248.00,243.50,245.15,3114200,245.15
2012-10-09,256.50,257.70,248.10,250.25,4740400,250.25
2012-10-08,263.50,263.50,252.60,254.35,3714000,254.35
2012-10-05,270.00,272.35,225.00,263.90,10830200,263.90
2012-10-04,251.50,267.80,251.50,266.25,12462500,266.25
2012-10-03,251.35,252.75,247.30,249.90,4242900,249.90
2012-10-02,251.60,251.60,251.60,251.60,000,251.60
2012-10-01,247.00,252.50,246.90,251.60,3923300,251.60
2012-09-28,250.00,252.45,244.50,246.95,3813700,246.95
2012-09-27,253.00,254.60,247.05,248.10,6506300,248.10
2012-09-26,250.20,253.95,247.10,253.45,10769600,253.45
2012-09-25,250.90,256.00,242.60,253.70,15633600,253.70
2012-09-24,234.45,251.50,233.00,247.85,17413800,247.85
2012-09-21,219.00,233.55,218.50,232.40,11665600,232.40
2012-09-20,220.65,221.00,215.00,216.15,4427700,216.15
2012-09-19,225.00,225.00,225.00,225.00,000,225.00
2012-09-18,214.00,226.00,213.55,225.00,8539600,225.00
2012-09-17,208.50,215.85,207.70,213.55,6638100,213.55
2012-09-14,204.75,206.40,203.00,204.80,5053100,204.80
2012-09-13,196.80,201.80,196.75,200.50,5299400,200.50
2012-09-12,201.30,202.35,195.10,197.55,7405400,197.55
2012-09-11,196.90,201.50,196.00,200.90,5596800,200.90
2012-09-10,203.50,204.00,197.10,198.05,7302500,198.05
2012-09-07,205.00,206.80,203.10,204.95,3617200,204.95
2012-09-06,204.80,205.75,200.75,201.20,6854000,201.20
2012-09-05,217.00,217.00,207.00,207.65,6459500,203.97
2012-09-04,215.80,219.40,214.10,218.85,2509100,214.97
2012-09-03,215.20,217.40,214.65,216.15,1484600,212.32
2012-08-31,218.80,219.40,211.60,213.25,4566300,209.47
2012-08-30,215.35,223.00,213.40,219.10,4019800,215.22
2012-08-29,222.60,223.65,214.25,216.65,3756800,212.81
2012-08-28,223.50,224.80,221.55,222.80,2473900,218.85
2012-08-27,232.20,233.20,224.50,225.30,2825500,221.31
2012-08-24,231.50,234.40,228.50,231.05,2382000,226.96
2012-08-23,233.00,234.70,232.20,233.25,2499200,229.12
2012-08-22,230.90,235.30,230.15,232.35,2738300,228.23
2012-08-21,230.00,232.50,229.70,231.85,1569800,227.74
2012-08-20,229.45,229.45,229.45,229.45,000,225.38
2012-08-17,231.00,232.40,226.85,229.45,2101700,225.38
2012-08-16,232.00,234.45,229.30,230.25,1797000,226.17
2012-08-15,231.90,231.90,231.90,231.90,000,227.79
2012-08-14,233.50,235.00,229.55,231.90,2494200,227.79
2012-08-13,229.10,233.20,227.05,232.55,2225800,228.43
2012-08-10,230.50,231.00,226.75,229.10,1414700,225.04
2012-08-09,232.10,235.55,227.75,231.30,2899600,227.20
2012-08-08,232.05,234.95,230.25,231.65,3768100,227.54
2012-08-07,229.10,232.80,228.05,232.05,2712900,227.94
2012-08-06,227.55,230.40,226.40,229.20,2521100,225.14
2012-08-03,221.00,225.90,217.70,225.15,4970200,221.16
2012-08-02,220.60,223.85,218.70,223.45,3130100,219.49
2012-08-01,215.80,220.95,214.60,220.40,3187500,216.49
2012-07-31,217.10,217.50,210.30,215.65,3634100,211.83
2012-07-30,209.25,216.90,209.00,216.50,3627000,212.66
2012-07-27,215.50,216.20,206.60,207.80,4350500,204.12
2012-07-26,217.00,219.40,210.55,211.95,6848100,208.19
2012-07-25,216.05,219.45,215.10,216.25,2071500,212.42
2012-07-24,219.10,220.70,215.55,217.70,2479900,213.84
2012-07-23,225.75,226.00,218.70,219.40,3330600,215.51
2012-07-20,239.00,239.90,227.50,228.10,6338800,224.06
2012-07-19,233.20,236.90,232.90,234.85,4324800,230.69
2012-07-18,225.00,231.15,222.10,229.20,2620500,225.14
2012-07-17,231.55,232.15,225.50,226.40,1722800,222.39
2012-07-16,234.50,234.50,229.60,230.35,1523700,226.27
2012-07-13,231.00,233.10,229.80,231.55,2014800,227.45
2012-07-12,232.00,234.90,229.35,231.10,2868800,227.00
2012-07-11,235.05,235.15,231.45,232.30,2505700,228.18
2012-07-10,232.10,236.50,232.10,235.75,2227300,231.57
2012-07-09,236.00,236.00,232.25,234.30,2602200,230.15
2012-07-06,237.00,237.20,232.60,236.25,4365500,232.06
2012-07-05,234.00,237.10,233.05,235.65,2765100,231.47
2012-07-04,233.10,234.65,231.70,233.15,2852700,229.02
2012-07-03,236.70,236.95,230.30,231.15,3105700,227.05
2012-07-02,234.45,236.70,231.70,235.10,3784800,230.93
2012-06-29,224.00,233.00,223.55,232.45,8257200,228.33
2012-06-28,221.10,223.65,219.70,221.05,7875100,217.13
2012-06-27,221.90,221.90,219.50,220.45,3642700,216.54
2012-06-26,217.50,220.60,217.20,219.20,2999200,215.32
2012-06-25,223.00,224.40,216.80,217.45,4132700,213.60
2012-06-22,220.25,225.40,218.05,220.80,5556600,216.89
2012-06-21,216.80,223.80,216.10,222.80,7973300,218.85
2012-06-20,213.10,217.65,212.80,215.00,5312700,211.19
2012-06-19,213.10,214.85,210.45,211.55,4730600,207.80
2012-06-18,221.50,222.95,212.70,213.90,4673600,210.11
2012-06-15,218.20,219.65,215.10,218.50,3685200,214.63
2012-06-14,220.90,221.75,216.30,217.45,3442200,213.60
2012-06-13,219.20,223.40,217.05,221.20,3855800,217.28
