Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,457.45,457.45,457.45,457.45,000,457.45
2012-12-24,457.70,460.80,452.50,457.45,113200,457.45
2012-12-21,454.25,459.70,449.95,455.35,180000,455.35
2012-12-20,453.80,460.90,445.30,456.70,226500,456.70
2012-12-19,464.00,464.50,454.25,455.90,163300,455.90
2012-12-18,455.45,463.25,453.00,456.25,250700,456.25
2012-12-17,450.10,457.50,448.25,453.70,75800,453.70
2012-12-14,446.00,452.60,440.30,450.00,104700,450.00
2012-12-13,437.95,448.95,437.95,445.90,161200,445.90
2012-12-12,445.05,446.90,438.05,439.80,269500,439.80
2012-12-11,446.40,452.05,444.70,447.50,308600,447.50
2012-12-10,445.00,454.35,443.10,451.35,126200,451.35
2012-12-07,454.20,459.65,445.80,449.55,345300,449.55
2012-12-06,478.90,478.90,452.50,457.45,195100,457.45
2012-12-05,478.95,484.75,470.30,472.50,84200,472.50
2012-12-04,474.90,491.75,470.05,474.65,178400,474.65
2012-12-03,458.15,469.80,458.10,467.45,84100,467.45
2012-11-30,455.05,463.35,454.10,461.75,75200,461.75
2012-11-29,461.00,468.00,456.20,458.35,39800,458.35
2012-11-28,459.25,459.25,459.25,459.25,000,459.25
2012-11-27,468.90,468.90,453.05,459.25,66700,459.25
2012-11-26,474.05,477.85,463.10,466.05,50800,466.05
2012-11-23,491.95,492.95,475.00,481.05,72500,481.05
2012-11-22,491.75,495.50,490.05,492.30,39900,492.30
2012-11-21,490.50,495.60,489.00,491.75,95600,491.75
2012-11-20,493.60,494.00,488.15,490.35,43800,490.35
2012-11-19,489.05,492.70,487.50,490.30,51800,490.30
2012-11-16,490.05,494.50,488.40,489.50,50500,489.50
2012-11-15,488.40,493.75,488.40,492.30,60300,492.30
2012-11-14,491.15,491.15,491.15,491.15,000,491.15
2012-11-13,491.15,491.15,491.15,491.15,000,491.15
2012-11-12,482.60,493.50,482.60,491.15,60600,491.15
2012-11-09,488.20,493.95,488.20,490.70,54000,490.70
2012-11-08,497.95,497.95,485.10,491.90,88700,491.90
2012-11-07,492.90,494.00,487.25,489.65,56300,489.65
2012-11-06,493.90,493.95,486.20,490.55,58300,490.55
2012-11-05,498.85,498.95,489.90,491.20,68000,491.20
2012-11-02,495.45,495.45,489.10,493.05,66000,493.05
2012-11-01,498.95,498.95,490.50,492.75,49000,492.75
2012-10-31,497.00,497.00,491.55,492.60,54200,492.60
2012-10-30,494.80,498.50,491.10,495.60,60900,495.60
2012-10-29,495.60,496.00,490.20,494.35,75600,494.35
2012-10-26,496.80,496.80,496.80,496.80,000,496.80
2012-10-25,494.30,498.80,491.50,496.80,135200,496.80
2012-10-24,494.30,494.30,494.30,494.30,000,494.30
2012-10-23,496.30,499.80,493.50,494.30,57300,494.30
2012-10-22,495.10,505.00,495.10,499.30,81900,499.30
2012-10-19,497.50,501.00,496.50,498.25,63800,498.25
2012-10-18,498.40,504.90,498.10,499.80,101300,499.80
2012-10-17,503.20,503.20,496.50,499.50,143500,499.50
2012-10-16,506.50,507.85,497.00,500.20,102300,500.20
2012-10-15,505.05,507.95,501.25,503.10,143500,503.10
2012-10-12,499.65,513.90,496.00,504.40,292900,504.40
2012-10-11,496.05,500.80,495.00,499.75,108900,499.75
2012-10-10,496.55,501.00,494.20,497.90,129700,497.90
2012-10-09,501.60,502.40,494.15,497.05,102800,497.05
2012-10-08,486.15,499.90,486.15,496.20,103700,496.20
2012-10-05,494.30,503.00,493.05,497.10,108000,497.10
2012-10-04,495.95,503.35,492.60,498.90,182900,498.90
2012-10-03,501.00,502.80,489.10,493.50,113800,493.50
2012-10-02,499.80,499.80,499.80,499.80,000,499.80
2012-10-01,499.85,504.90,497.00,499.80,120100,499.80
2012-09-28,492.60,501.95,488.00,498.80,139400,498.80
2012-09-27,472.25,496.50,470.05,492.10,211100,492.10
2012-09-26,468.05,474.95,468.00,473.25,120300,473.25
2012-09-25,468.95,476.35,468.45,474.05,99500,474.05
2012-09-24,470.00,473.20,465.10,468.70,140200,468.70
2012-09-21,460.25,470.90,460.25,469.45,217200,469.45
2012-09-20,457.95,464.75,457.40,462.90,160300,462.90
2012-09-19,465.65,465.65,465.65,465.65,000,465.65
2012-09-18,459.80,467.90,458.00,465.65,172200,465.65
2012-09-17,463.50,469.75,440.55,465.50,288500,465.00
