Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,29.00,29.00,29.00,29.00,000,29.00
2012-12-24,29.35,29.75,28.90,29.00,46500,29.00
2012-12-21,30.45,30.50,29.00,29.15,50900,29.15
2012-12-20,30.20,30.85,29.80,30.10,54000,30.10
2012-12-19,30.85,31.10,30.20,30.35,64200,30.35
2012-12-18,30.25,30.50,30.05,30.35,55000,30.35
2012-12-17,30.55,31.15,29.90,30.05,63700,30.05
2012-12-14,30.75,31.60,30.40,30.60,113100,30.60
2012-12-13,30.60,31.20,29.80,30.05,51800,30.05
2012-12-12,30.65,31.20,30.40,30.60,46600,30.60
2012-12-11,31.00,32.20,30.40,30.70,99600,30.70
2012-12-10,32.30,32.60,31.00,31.20,107500,31.20
2012-12-07,31.20,33.40,30.85,32.25,376400,32.25
2012-12-06,31.00,31.75,30.60,31.00,132200,31.00
2012-12-05,30.70,31.35,30.60,30.70,76600,30.70
2012-12-04,30.70,31.25,30.30,30.45,103700,30.45
2012-12-03,29.70,31.20,29.55,30.45,149200,30.45
2012-11-30,29.30,30.25,29.10,29.45,103200,29.45
2012-11-29,29.25,29.40,28.75,29.00,55300,29.00
2012-11-28,28.95,28.95,28.95,28.95,000,28.95
2012-11-27,29.35,29.80,28.75,28.95,44800,28.95
2012-11-26,28.50,30.30,28.35,29.10,84300,29.10
2012-11-23,28.65,28.75,28.25,28.40,24800,28.40
2012-11-22,29.45,29.45,28.35,28.50,20000,28.50
2012-11-21,28.50,29.20,28.05,28.80,37900,28.80
2012-11-20,29.05,29.30,28.40,28.55,39300,28.55
2012-11-19,29.80,29.95,28.70,28.80,59400,28.80
2012-11-16,29.90,30.00,29.35,29.75,72700,29.75
2012-11-15,29.30,30.00,29.25,29.75,44100,29.75
2012-11-14,29.35,29.35,29.35,29.35,000,29.35
2012-11-13,29.35,29.35,29.35,29.35,000,29.35
2012-11-12,30.00,30.30,29.20,29.35,65200,29.35
2012-11-09,30.30,30.80,29.60,30.00,57100,30.00
2012-11-08,30.40,30.85,29.20,30.35,46000,30.35
2012-11-07,30.20,31.35,30.20,30.55,87300,30.55
2012-11-06,30.35,30.90,30.10,30.25,45600,30.25
2012-11-05,30.60,31.10,30.30,30.55,66800,30.55
2012-11-02,30.60,31.25,30.40,30.70,82200,30.70
2012-11-01,30.35,30.90,30.20,30.55,80000,30.55
2012-10-31,30.40,30.60,29.50,30.15,51200,30.15
2012-10-30,30.55,31.25,30.00,30.10,77800,30.10
2012-10-29,30.75,31.70,30.20,30.80,123200,30.80
2012-10-26,31.45,31.45,31.45,31.45,000,31.45
2012-10-25,32.00,32.00,31.30,31.45,40800,31.45
2012-10-24,31.65,31.65,31.65,31.65,000,31.65
2012-10-23,31.70,32.65,31.50,31.65,71300,31.65
2012-10-22,31.55,32.20,31.55,31.75,51100,31.75
2012-10-19,32.40,32.60,31.55,31.70,78700,31.70
2012-10-18,31.80,33.40,31.80,32.40,157200,32.40
2012-10-17,32.60,32.75,31.70,31.90,88600,31.90
2012-10-16,31.90,34.00,31.70,32.10,180500,32.10
2012-10-15,34.50,34.50,33.20,33.45,117000,33.45
2012-10-12,35.55,36.25,33.60,34.25,189800,34.25
2012-10-11,35.30,36.45,34.25,35.70,640700,35.70
2012-10-10,35.80,36.75,33.75,34.70,715200,34.70
2012-10-09,32.00,36.80,31.75,35.50,1877400,35.50
2012-10-08,32.25,32.70,31.50,31.70,90000,31.70
2012-10-05,33.35,33.70,31.20,32.15,151300,32.15
2012-10-04,32.50,33.40,31.95,32.70,280400,32.70
2012-10-03,31.70,32.65,31.65,31.80,126500,31.80
2012-10-02,31.80,31.80,31.80,31.80,000,31.80
2012-10-01,31.55,32.10,31.00,31.80,124800,31.80
2012-09-28,33.00,33.40,31.60,31.70,301200,31.70
2012-09-27,31.50,33.45,31.20,32.75,522200,32.75
2012-09-26,31.00,31.65,30.55,30.85,126400,30.85
2012-09-25,32.25,32.25,30.10,30.70,209300,30.70
2012-09-24,32.45,34.00,31.45,31.85,230900,31.85
2012-09-21,30.25,33.80,30.05,32.70,859100,32.70
2012-09-20,30.45,30.70,29.70,29.80,125100,29.80
2012-09-19,30.50,30.50,30.50,30.50,000,30.50
2012-09-18,29.50,31.20,29.50,30.50,306900,30.50
2012-09-17,29.65,30.40,29.65,29.75,102100,29.75
2012-09-14,30.00,30.00,29.50,29.60,76300,29.60
2012-09-13,29.75,30.55,29.20,29.35,77800,29.35
2012-09-12,29.80,30.25,29.25,29.50,111000,29.50
2012-09-11,29.90,30.50,29.55,29.70,82100,29.70
2012-09-10,30.85,31.80,29.50,29.65,123700,29.65
2012-09-07,29.95,29.95,29.25,29.75,35500,29.75
2012-09-06,29.50,30.10,28.90,29.05,56500,29.05
2012-09-05,30.00,30.15,29.30,29.45,54900,29.45
2012-09-04,29.60,30.90,29.20,29.90,160600,29.90
2012-09-03,29.50,29.95,29.10,29.30,45800,29.30
2012-08-31,30.00,30.25,29.20,29.35,51400,29.35
2012-08-30,29.10,30.30,28.85,30.00,90200,30.00
2012-08-29,29.50,29.90,28.85,29.30,63100,29.30
2012-08-28,31.50,31.50,29.10,29.45,75800,29.45
2012-08-27,30.90,32.50,30.60,30.85,86900,30.85
2012-08-24,33.90,33.90,31.60,32.35,72300,32.35
2012-08-23,33.50,34.80,33.20,33.40,63900,33.40
2012-08-22,33.70,34.40,33.35,33.45,59400,33.45
2012-08-21,34.00,34.40,33.60,33.80,45200,33.80
2012-08-20,33.90,33.90,33.90,33.90,000,33.90
2012-08-17,34.90,35.20,33.75,33.90,68600,33.90
2012-08-16,33.65,35.20,33.60,34.60,156000,34.60
2012-08-15,34.00,34.00,34.00,34.00,000,34.00
2012-08-14,34.20,34.35,33.40,34.00,90300,34.00
2012-08-13,33.90,34.50,33.15,33.75,117000,33.75
2012-08-10,34.15,34.90,33.00,33.35,118200,33.35
2012-08-09,35.10,35.70,34.20,34.40,105900,34.40
2012-08-08,34.80,36.30,34.15,35.30,238200,35.30
2012-08-07,34.55,35.60,33.90,34.35,179800,34.35
2012-08-06,34.90,35.40,33.75,34.20,74000,34.20
2012-08-03,34.80,35.45,34.00,34.55,139600,34.55
2012-08-02,34.65,36.35,34.65,35.00,125000,35.00
2012-08-01,34.70,35.95,34.15,35.00,110500,35.00
2012-07-31,34.10,35.80,34.10,34.75,101100,34.75
2012-07-30,34.15,35.75,32.80,34.15,119800,34.15
2012-07-27,32.20,34.60,32.05,33.10,240400,33.10
2012-07-26,33.20,33.40,31.50,31.70,95900,31.70
2012-07-25,34.00,34.00,32.45,33.00,95600,33.00
2012-07-24,35.30,35.90,33.90,34.05,124000,34.05
2012-07-23,35.40,36.20,34.90,35.15,147100,35.15
2012-07-20,37.10,37.70,35.85,36.05,88900,36.05
2012-07-19,37.30,38.40,36.85,37.20,184200,37.20
2012-07-18,37.35,37.95,35.60,36.70,232800,36.70
2012-07-17,39.10,39.45,37.05,37.35,120600,37.35
2012-07-16,39.40,39.90,38.55,38.70,136600,38.70
2012-07-13,38.70,40.45,38.50,38.70,245600,38.70
2012-07-12,39.50,39.95,35.80,38.25,400700,38.25
2012-07-11,39.50,41.75,39.50,39.70,277000,39.70
2012-07-10,39.00,42.15,39.00,41.00,473300,41.00
2012-07-09,43.10,43.20,39.00,39.45,469400,39.45
2012-07-06,42.90,44.65,42.00,43.25,1153900,43.25
2012-07-05,37.90,43.15,37.10,42.20,1810900,42.20
2012-07-04,32.00,37.70,32.00,37.10,1347800,37.10
2012-07-03,30.30,32.40,30.15,31.85,324000,31.85
2012-07-02,30.00,30.55,29.10,30.15,104800,30.15
2012-06-29,29.30,29.90,29.10,29.25,135800,29.25
2012-06-28,29.70,29.70,28.60,28.85,86400,28.85
2012-06-27,28.80,29.40,28.30,28.75,90200,28.75
2012-06-26,27.90,29.45,27.75,28.55,245900,28.55
2012-06-25,27.85,29.30,27.25,28.05,124600,28.05
2012-06-22,27.25,27.75,26.70,27.40,39700,27.40
2012-06-21,27.20,27.65,26.30,27.35,31600,27.35
2012-06-20,27.50,27.90,27.10,27.40,43000,27.40
2012-06-19,27.40,27.80,27.05,27.35,56900,27.35
2012-06-18,26.95,27.55,25.60,27.35,141600,27.35
2012-06-15,27.65,27.95,26.50,26.80,97700,26.80
2012-06-14,28.20,28.85,27.15,27.70,258800,27.70
2012-06-13,28.25,28.65,27.55,27.85,134500,27.85
2012-06-12,27.75,28.80,27.60,28.25,307300,28.25
2012-06-11,25.00,29.00,24.60,27.75,741800,27.75
2012-06-08,25.10,25.50,24.50,24.90,122000,24.90
