Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,280.30,280.30,280.30,280.30,000,280.30
2012-12-24,282.00,282.00,276.10,280.30,278000,280.30
2012-12-21,290.00,290.00,277.30,280.00,542300,280.00
2012-12-20,287.05,292.25,286.30,289.60,691400,289.60
2012-12-19,287.95,290.90,286.00,286.80,323800,286.80
2012-12-18,288.95,291.95,283.50,287.05,215300,287.05
2012-12-17,285.85,288.90,283.95,287.65,223900,287.65
2012-12-14,284.90,286.40,282.80,285.30,200500,285.30
2012-12-13,285.10,290.60,282.25,283.25,516500,283.25
2012-12-12,285.05,287.25,282.45,284.85,216500,284.85
2012-12-11,289.00,291.50,282.25,284.35,343400,284.35
2012-12-10,288.30,290.30,285.05,288.30,368200,288.30
2012-12-07,285.55,292.45,284.30,286.50,591500,286.50
2012-12-06,289.60,289.85,282.00,285.40,528800,285.40
2012-12-05,291.60,294.05,285.60,287.20,434500,287.20
2012-12-04,296.00,296.00,289.25,290.60,489800,290.60
2012-12-03,286.00,294.95,285.50,294.05,1337800,294.05
2012-11-30,289.10,292.40,285.45,286.50,708600,286.50
2012-11-29,282.45,289.60,281.90,288.05,733200,288.05
2012-11-28,281.85,281.85,281.85,281.85,000,281.85
2012-11-27,281.85,283.90,280.60,281.85,233100,281.85
2012-11-26,277.15,283.50,276.70,279.55,341200,279.55
2012-11-23,282.00,283.85,275.15,276.90,383500,276.90
2012-11-22,278.35,285.90,278.25,282.45,764000,282.45
2012-11-21,274.65,281.00,272.10,276.65,601300,276.65
2012-11-20,286.65,286.65,275.95,279.00,439900,279.00
2012-11-19,293.05,296.65,280.30,282.90,1151600,282.90
2012-11-16,310.10,321.80,285.70,291.40,1756200,291.40
2012-11-15,294.00,311.15,293.30,306.90,1135700,306.90
2012-11-14,296.10,296.10,296.10,296.10,000,296.10
2012-11-13,296.10,296.10,296.10,296.10,000,296.10
2012-11-12,296.80,299.90,292.50,296.10,342800,296.10
2012-11-09,300.60,303.50,294.35,295.20,585300,295.20
2012-11-08,285.95,304.25,284.80,300.65,1548100,300.65
2012-11-07,285.35,292.00,284.65,288.50,628600,288.50
2012-11-06,276.15,287.35,276.15,284.85,569000,284.85
2012-11-05,275.00,280.95,274.00,277.10,426600,277.10
2012-11-02,279.85,279.90,274.30,276.10,336500,276.10
2012-11-01,267.05,278.40,265.20,277.35,824600,277.35
2012-10-31,261.15,267.70,261.00,265.50,947500,265.50
2012-10-30,263.20,265.80,256.55,259.20,430400,259.20
2012-10-29,258.35,265.00,256.80,262.80,229700,262.80
2012-10-26,260.85,260.85,260.85,260.85,000,260.85
2012-10-25,264.90,264.90,260.00,260.85,309000,260.85
2012-10-24,263.10,263.10,263.10,263.10,000,263.10
2012-10-23,266.00,266.00,262.00,263.10,134400,263.10
2012-10-22,268.00,268.00,262.45,263.85,248000,263.85
2012-10-19,268.65,272.35,266.35,267.60,516100,267.60
2012-10-18,268.65,269.50,266.00,266.60,271200,266.60
2012-10-17,270.70,271.30,264.05,266.95,248100,266.95
2012-10-16,269.70,274.30,268.00,268.55,263500,268.55
2012-10-15,271.00,272.35,267.00,267.95,261700,267.95
2012-10-12,275.00,276.65,270.05,270.75,321700,270.75
2012-10-11,261.30,275.00,261.30,272.15,264100,272.15
2012-10-10,282.00,282.45,271.20,272.20,507200,272.20
2012-10-09,269.00,283.70,269.00,281.40,1309000,281.40
2012-10-08,273.00,276.40,268.35,269.50,347600,269.50
2012-10-05,284.00,284.00,271.55,273.40,267400,273.40
2012-10-04,285.95,287.55,279.85,280.65,220300,280.65
2012-10-03,286.05,289.75,285.00,286.10,620100,286.10
2012-10-02,284.40,284.40,284.40,284.40,000,284.40
2012-10-01,277.90,285.00,276.10,284.40,641500,284.40
2012-09-28,275.90,278.55,273.05,274.80,247200,274.80
2012-09-27,280.00,280.95,274.00,274.75,481000,274.75
2012-09-26,274.00,282.85,274.00,279.35,281600,279.35
2012-09-25,273.80,282.50,272.05,278.25,547900,278.25
2012-09-24,276.00,280.30,271.75,273.05,241200,273.05
2012-09-21,273.25,278.75,272.00,275.80,305400,275.80
2012-09-20,272.00,279.35,270.35,273.20,252500,273.20
2012-09-19,275.20,275.20,275.20,275.20,000,275.20
2012-09-18,262.65,285.80,262.65,275.20,559800,275.20
2012-09-17,270.00,282.95,264.10,280.40,669900,280.40
2012-09-14,271.05,271.05,266.60,269.00,603800,269.00
2012-09-13,274.05,275.85,265.25,266.70,314300,266.70
2012-09-12,271.40,279.00,271.40,274.10,234400,274.10
2012-09-11,273.05,277.25,271.10,276.00,335500,276.00
2012-09-10,275.50,278.90,272.05,273.05,540700,273.05
2012-09-07,266.55,273.75,260.70,271.20,521700,271.20
2012-09-06,262.25,267.75,260.80,264.25,301300,264.25
2012-09-05,268.90,268.90,262.50,264.30,246800,264.30
2012-09-04,266.25,269.00,261.70,268.40,591500,268.40
2012-09-03,264.25,268.70,262.00,265.95,1128800,265.95
2012-08-31,248.10,263.85,248.00,262.65,1722300,262.65
2012-08-30,245.50,250.90,243.00,248.35,270300,248.35
2012-08-29,246.55,248.15,243.35,245.80,178200,245.80
2012-08-28,251.00,251.00,243.60,246.00,501300,246.00
2012-08-27,252.15,253.25,248.00,249.55,223900,249.55
2012-08-24,251.00,252.35,248.00,251.15,290200,251.15
2012-08-23,247.90,255.50,246.00,250.40,815600,250.40
