Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,284.15,284.15,284.15,284.15,000,284.15
2012-12-24,285.05,290.00,282.30,284.15,5800,284.15
2012-12-21,284.00,289.00,284.00,287.15,5200,287.15
2012-12-20,284.90,289.00,282.85,288.10,6200,288.10
2012-12-19,285.95,286.05,283.00,285.00,9400,285.00
2012-12-18,282.85,290.05,281.10,283.00,35800,283.00
2012-12-17,272.95,282.75,272.95,280.45,15600,280.45
2012-12-14,275.50,280.90,269.05,272.80,17400,272.80
2012-12-13,289.75,289.80,278.40,279.50,10000,279.50
2012-12-12,290.95,291.00,285.00,286.90,2100,286.90
2012-12-11,290.05,293.95,286.00,288.75,7000,288.75
2012-12-10,292.80,293.00,287.25,288.20,8100,288.20
2012-12-07,293.55,295.00,289.50,292.85,8600,292.85
2012-12-06,304.00,304.00,292.05,293.55,14300,293.55
2012-12-05,294.70,295.00,290.25,291.85,23900,291.85
2012-12-04,300.05,300.05,292.15,293.25,7800,293.25
2012-12-03,293.00,299.65,292.00,294.00,40500,294.00
2012-11-30,294.00,294.00,290.20,291.80,19500,291.80
2012-11-29,292.30,299.00,290.30,292.55,17700,292.55
2012-11-28,292.80,292.80,292.80,292.80,000,292.80
2012-11-27,296.70,304.00,288.00,292.80,26100,292.80
2012-11-26,302.45,305.00,295.25,296.60,23500,296.60
2012-11-23,300.00,307.00,295.65,304.30,57500,304.30
2012-11-22,284.50,306.20,283.05,298.55,115300,298.55
2012-11-21,279.90,285.50,278.00,282.80,20400,280.30
2012-11-20,289.45,289.50,278.70,279.90,5400,277.43
2012-11-19,292.05,295.10,283.70,287.40,50300,284.86
2012-11-16,283.20,291.50,283.15,289.95,23300,287.39
2012-11-15,284.00,293.10,275.00,288.45,32900,285.90
2012-11-14,279.55,279.55,279.55,279.55,000,277.08
2012-11-13,279.55,279.55,279.55,279.55,000,277.08
2012-11-12,278.70,284.25,273.00,279.55,28100,277.08
2012-11-09,272.25,280.20,269.15,271.00,9600,268.60
2012-11-08,275.00,279.35,270.15,273.75,6300,271.33
