Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,2027.30,2027.30,2027.30,2027.30,000,2027.30
2012-12-24,2008.65,2050.00,2005.50,2027.30,700,2027.30
2012-12-21,2060.00,2060.00,2025.00,2034.10,100,2034.10
2012-12-20,2050.00,2087.90,2040.00,2049.20,1000,2049.20
2012-12-19,2093.00,2107.90,2064.00,2074.20,11200,2074.20
2012-12-18,2000.00,2139.95,2000.00,2094.15,12700,2094.15
2012-12-17,2027.35,2040.00,2005.05,2024.75,600,2024.75
2012-12-14,1980.00,2049.00,1980.00,2041.60,1800,2041.60
2012-12-13,1978.80,2014.90,1978.80,1998.25,1200,1998.25
2012-12-12,2025.80,2034.65,2001.00,2006.20,2900,2006.20
2012-12-11,2010.10,2024.95,2010.10,2017.45,1100,2017.45
2012-12-10,1986.05,2027.95,1984.00,2022.00,3900,2022.00
2012-12-07,2048.00,2060.05,2001.00,2022.30,1800,2022.30
2012-12-06,2030.00,2049.00,1975.00,2026.50,11200,2026.50
2012-12-05,1979.95,2009.00,1958.00,1999.45,7200,1999.45
2012-12-04,1910.00,1989.00,1910.00,1970.65,13500,1970.65
2012-12-03,1925.15,1959.00,1920.00,1930.00,12300,1930.00
2012-11-30,1978.00,1999.00,1938.50,1968.65,14000,1968.65
2012-11-29,1960.00,2028.00,1705.85,1979.55,26000,1979.55
2012-11-28,1994.35,1994.35,1994.35,1994.35,000,1994.35
2012-11-27,2009.50,2037.75,1981.00,1994.35,38700,1994.35
2012-11-26,2000.50,2060.00,1949.25,2003.15,99800,2003.15
2012-11-23,2012.00,2091.40,1875.10,1989.80,440900,1989.80
2012-11-22,1600.00,2059.55,1600.00,2059.55,249000,2059.55
2012-11-21,1717.95,1724.95,1687.05,1716.30,1200,1716.30
2012-11-20,1680.15,1700.00,1672.25,1674.95,400,1674.95
2012-11-19,1677.20,1714.45,1677.20,1684.40,200,1684.40
2012-11-16,1675.10,1717.85,1675.00,1690.00,1000,1690.00
2012-11-15,1699.90,1710.00,1680.05,1695.05,200,1695.05
2012-11-14,1683.15,1683.15,1683.15,1683.15,000,1683.15
2012-11-13,1683.15,1683.15,1683.15,1683.15,000,1683.15
2012-11-12,1671.20,1714.90,1671.20,1683.15,200,1683.15
2012-11-09,1700.00,1709.00,1675.00,1683.30,800,1683.30
2012-11-08,1712.40,1712.40,1690.25,1704.95,000,1704.95
2012-11-07,1697.90,1725.00,1690.00,1704.65,600,1704.65
2012-11-06,1801.00,1801.00,1670.00,1678.30,1300,1678.30
2012-11-05,1700.00,1723.65,1680.00,1687.75,600,1687.75
2012-11-02,1749.90,1749.90,1707.00,1713.65,800,1713.65
2012-11-01,1733.30,1740.00,1701.10,1707.80,1500,1707.80
2012-10-31,1727.50,1766.15,1726.00,1742.45,800,1742.45
2012-10-30,1765.00,1770.00,1670.00,1737.35,2900,1737.35
2012-10-29,1740.00,1774.00,1739.95,1765.50,1000,1765.50
2012-10-26,1741.50,1741.50,1741.50,1741.50,000,1741.50
2012-10-25,1759.95,1759.95,1740.00,1741.50,300,1741.50
2012-10-24,1754.00,1754.00,1754.00,1754.00,000,1754.00
2012-10-23,1753.05,1769.95,1750.00,1754.00,4000,1754.00
2012-10-22,1748.00,1780.00,1748.00,1774.35,900,1774.35
2012-10-19,1779.70,1779.95,1745.00,1758.45,700,1758.45
2012-10-18,1761.90,1785.00,1755.00,1772.45,1000,1772.45
2012-10-17,1794.00,1794.00,1742.00,1757.25,1200,1757.25
2012-10-16,1732.00,1770.00,1732.00,1760.40,1200,1760.40
2012-10-15,1749.95,1750.00,1725.10,1739.70,100,1739.70
2012-10-12,1735.95,1760.00,1710.00,1754.00,2500,1754.00
2012-10-11,1710.00,1725.00,1700.00,1713.60,2300,1713.60
2012-10-10,1705.50,1719.90,1705.00,1711.70,600,1711.70
2012-10-09,1745.80,1750.05,1700.00,1705.25,1400,1705.25
2012-10-08,1725.20,1768.00,1725.00,1735.45,500,1735.45
2012-10-05,1730.00,1770.00,1721.15,1751.65,1000,1751.65
2012-10-04,1730.05,1768.00,1730.00,1754.35,1200,1754.35
2012-10-03,1750.00,1756.00,1710.50,1721.85,500,1721.85
2012-10-02,1729.25,1729.25,1729.25,1729.25,000,1729.25
2012-10-01,1703.00,1747.00,1703.00,1729.25,1600,1729.25
2012-09-28,1690.00,1740.00,1644.10,1720.30,600,1720.30
2012-09-27,1730.05,1733.05,1686.00,1698.00,2600,1698.00
2012-09-26,1728.95,1749.00,1726.75,1737.50,2500,1737.50
2012-09-25,1719.95,1734.00,1701.00,1720.35,2600,1720.35
2012-09-24,1700.05,1713.20,1671.45,1707.75,4200,1707.75
2012-09-21,1695.05,1719.00,1684.00,1692.25,800,1692.25
2012-09-20,1715.55,1720.00,1693.95,1705.15,800,1705.15
2012-09-19,1710.60,1710.60,1710.60,1710.60,000,1710.60
2012-09-18,1700.00,1729.90,1675.10,1710.60,21300,1710.60
2012-09-17,1699.95,1743.95,1681.05,1703.15,1200,1703.15
2012-09-14,1722.25,1730.00,1690.00,1703.25,800,1703.25
2012-09-13,1725.05,1734.00,1701.00,1710.60,1100,1710.60
2012-09-12,1714.00,1739.30,1714.00,1730.80,1100,1730.80
2012-09-11,1710.05,1739.85,1710.05,1731.00,1300,1731.00
2012-09-10,1700.00,1748.95,1696.05,1737.10,32700,1737.10
2012-09-07,1720.10,1734.55,1700.05,1715.25,3900,1715.25
2012-09-06,1702.70,1720.00,1688.35,1709.20,6300,1709.20
2012-09-05,1686.10,1740.00,1651.75,1687.70,38400,1687.70
2012-09-04,1780.00,1830.00,1525.05,1683.40,123200,1683.40
2012-09-03,1975.00,1985.00,1885.75,1906.30,5200,1906.30
2012-08-31,1955.05,1985.00,1955.05,1979.25,900,1979.25
2012-08-30,1959.95,1980.00,1936.55,1975.65,200,1975.65
2012-08-29,1999.95,1999.95,1930.00,1974.95,800,1974.95
2012-08-28,1980.00,1988.00,1950.00,1950.50,200,1950.50
2012-08-27,1985.15,2010.05,1951.00,1971.00,1100,1971.00
2012-08-24,2012.05,2025.00,1975.00,1989.85,1700,1989.85
2012-08-23,2020.25,2068.50,2020.25,2032.40,100,2032.40
2012-08-22,2042.20,2083.95,2000.30,2026.00,100,2026.00
2012-08-21,2000.00,2075.00,1984.05,2038.25,1300,2038.25
2012-08-20,2019.85,2019.85,2019.85,2019.85,000,2019.85
2012-08-17,2000.00,2024.00,1981.55,2019.85,100,2019.85
2012-08-16,2020.00,2029.95,1975.00,2010.05,000,2010.05
2012-08-15,2018.85,2018.85,2018.85,2018.85,000,2018.85
2012-08-14,2039.95,2039.95,1976.00,2018.85,800,2018.85
2012-08-13,1990.30,2010.05,1976.00,1996.75,1000,1996.75
2012-08-10,2028.95,2028.95,1991.00,2011.50,300,2011.50
2012-08-09,1992.00,2029.70,1990.00,2002.40,300,2002.40
2012-08-08,2035.00,2049.00,2000.00,2025.55,800,2025.55
2012-08-07,2014.85,2037.70,1975.00,2016.15,1100,2016.15
2012-08-06,1982.00,2038.00,1950.70,2012.25,1900,2012.25
2012-08-03,1964.95,2015.00,1951.50,1982.55,700,1982.55
2012-08-02,1975.00,1989.95,1961.00,1971.45,000,1971.45
2012-08-01,1927.15,2020.95,1927.15,1978.50,1100,1978.50
2012-07-31,1947.95,1985.00,1930.00,1963.00,900,1963.00
