Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,387.20,387.20,387.20,387.20,000,387.20
2012-12-24,391.40,405.10,384.00,387.20,3700,387.20
2012-12-21,382.30,393.95,381.65,382.70,6400,382.70
2012-12-20,385.00,394.00,381.05,391.20,15400,391.20
2012-12-19,406.00,410.70,384.75,386.05,30700,386.05
2012-12-18,403.00,413.00,400.00,405.15,27600,405.15
2012-12-17,378.10,404.00,378.10,401.75,53700,401.75
2012-12-14,380.00,382.00,373.55,379.25,21100,379.25
2012-12-13,385.00,391.00,373.35,380.60,34700,380.60
2012-12-12,390.70,393.25,384.20,386.20,4900,386.20
2012-12-11,396.40,399.40,386.00,389.20,6100,389.20
2012-12-10,394.00,401.75,392.00,396.95,7900,396.95
2012-12-07,401.95,403.00,394.00,395.55,8000,395.55
2012-12-06,418.00,418.00,395.00,400.40,4600,400.40
2012-12-05,407.00,407.00,397.40,399.00,7800,399.00
2012-12-04,394.05,405.00,394.05,400.00,12900,400.00
2012-12-03,402.00,402.00,393.10,395.05,7600,395.05
2012-11-30,398.35,404.00,397.40,399.50,6900,399.50
2012-11-29,398.95,405.90,398.00,399.90,11000,399.90
2012-11-28,403.25,403.25,403.25,403.25,000,403.25
2012-11-27,401.05,408.00,400.20,403.25,12400,403.25
2012-11-26,392.20,408.80,392.20,401.60,32700,401.60
2012-11-23,398.85,398.85,385.10,389.35,14600,389.35
2012-11-22,381.30,405.50,381.00,395.15,46000,395.15
2012-11-21,406.85,408.20,382.25,386.50,35000,386.50
2012-11-20,410.00,414.00,405.00,407.45,11900,407.45
2012-11-19,400.00,411.00,395.00,403.60,17200,403.60
2012-11-16,410.00,410.00,397.95,400.20,14100,400.20
2012-11-15,409.65,419.30,403.00,408.80,26100,408.80
2012-11-14,407.10,407.10,407.10,407.10,000,407.10
2012-11-13,407.10,407.10,407.10,407.10,000,407.10
2012-11-12,403.00,410.95,403.00,407.10,4200,407.10
2012-11-09,412.00,412.90,406.00,407.20,11100,407.20
2012-11-08,407.80,414.95,404.30,407.35,13000,407.35
2012-11-07,407.90,419.65,403.00,410.55,21500,410.55
2012-11-06,410.00,410.00,399.00,403.10,6600,403.10
2012-11-05,410.00,416.00,403.00,404.45,13100,404.45
2012-11-02,419.30,426.80,400.10,415.30,98900,415.30
2012-11-01,401.65,422.95,401.65,415.45,80600,415.45
2012-10-31,408.90,412.00,402.90,405.30,11500,405.30
2012-10-30,411.00,419.40,403.60,408.00,10000,408.00
2012-10-29,417.05,423.00,411.10,414.70,2100,414.70
2012-10-26,421.75,421.75,421.75,421.75,000,421.75
2012-10-25,438.00,438.00,420.10,421.75,10200,421.75
2012-10-24,425.70,425.70,425.70,425.70,000,425.70
2012-10-23,438.00,438.85,421.00,425.70,8800,425.70
2012-10-22,428.60,438.00,421.00,435.85,14300,435.85
2012-10-19,424.80,431.30,420.00,426.15,9100,426.15
2012-10-18,411.15,424.55,411.00,421.55,6300,421.55
2012-10-17,420.95,422.65,412.60,415.05,12400,415.05
2012-10-16,425.40,432.50,416.55,420.80,13900,420.80
2012-10-15,428.35,436.45,421.00,426.70,36900,426.70
2012-10-12,436.00,436.00,426.50,429.35,11400,429.35
2012-10-11,429.80,434.40,425.25,431.95,9500,431.95
2012-10-10,432.15,439.30,425.35,430.70,12500,430.70
2012-10-09,444.95,444.95,433.25,434.70,19100,434.70
2012-10-08,435.00,442.95,435.00,438.95,8700,438.95
2012-10-05,440.95,443.90,430.85,437.20,19100,437.20
2012-10-04,450.40,450.40,438.00,439.35,21300,439.35
2012-10-03,438.10,448.05,438.05,445.70,23600,445.70
2012-10-02,444.15,444.15,444.15,444.15,000,444.15
2012-10-01,452.40,452.45,442.00,444.15,5700,444.15
2012-09-28,437.00,456.00,437.00,447.40,26500,447.40
