Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,346.95,346.95,346.95,346.95,000,346.95
2012-12-24,345.50,351.90,340.55,346.95,587800,346.95
2012-12-21,349.50,349.50,342.05,343.80,571700,343.80
2012-12-20,356.95,359.00,347.00,349.90,750800,349.90
2012-12-19,349.50,359.85,347.60,357.65,1119000,357.65
2012-12-18,345.30,351.40,342.05,350.25,548300,350.25
2012-12-17,352.00,355.00,343.35,344.90,748400,344.90
2012-12-14,351.45,356.70,348.50,350.95,769100,350.95
2012-12-13,354.50,358.15,350.60,351.45,219500,351.45
2012-12-12,362.00,362.40,353.00,353.85,322600,353.85
2012-12-11,357.70,363.00,354.80,359.65,480200,359.65
2012-12-10,358.90,360.75,350.90,356.70,400900,356.70
2012-12-07,362.00,365.90,357.95,358.20,908200,358.20
2012-12-06,356.50,362.65,353.90,360.60,1403700,360.60
2012-12-05,349.70,360.75,348.95,358.70,664000,358.70
2012-12-04,344.90,352.55,344.00,349.70,795400,349.70
2012-12-03,345.00,347.00,341.30,343.90,826800,343.90
2012-11-30,340.00,349.50,336.80,347.50,909600,347.50
2012-11-29,329.35,339.25,326.95,336.60,855100,336.60
2012-11-28,328.35,328.35,328.35,328.35,000,328.35
2012-11-27,316.20,330.90,316.20,328.35,1563200,328.35
2012-11-26,320.15,322.70,315.00,315.45,956900,315.45
2012-11-23,326.00,327.60,319.35,321.45,781200,321.45
2012-11-22,327.20,328.70,324.55,325.95,573500,325.95
2012-11-21,327.05,329.30,324.10,328.65,572900,328.65
2012-11-20,328.00,331.00,324.05,326.40,339300,326.40
2012-11-19,327.20,332.25,323.50,328.05,623300,328.05
2012-11-16,332.40,332.70,326.90,329.05,475900,329.05
2012-11-15,334.00,334.90,328.45,330.70,854100,330.70
2012-11-14,333.30,333.30,333.30,333.30,000,333.30
2012-11-13,333.30,333.30,333.30,333.30,000,333.30
2012-11-12,339.00,341.00,331.55,333.30,422700,333.30
2012-11-09,342.50,342.50,335.40,338.40,918800,338.40
2012-11-08,340.80,343.90,338.45,339.15,993100,339.15
2012-11-07,339.85,341.80,339.20,339.85,675000,339.85
2012-11-06,339.95,342.40,338.10,341.45,599400,341.45
2012-11-05,339.50,340.95,337.20,339.80,463000,339.80
2012-11-02,339.00,342.05,335.20,336.05,909700,336.05
2012-11-01,338.00,340.25,336.15,337.90,879100,337.90
2012-10-31,335.40,340.55,335.40,337.55,418200,337.55
2012-10-30,342.60,343.00,337.00,338.10,463000,338.10
2012-10-29,345.20,348.90,342.00,342.60,169800,342.60
2012-10-26,350.50,350.50,350.50,350.50,000,350.50
2012-10-25,351.80,352.00,346.60,350.50,779000,350.50
2012-10-24,348.55,348.55,348.55,348.55,000,348.55
2012-10-23,346.05,350.20,343.00,348.55,792700,348.55
2012-10-22,337.20,343.00,335.65,342.40,753400,342.40
2012-10-19,347.00,347.65,337.05,339.65,716200,339.65
2012-10-18,346.00,348.10,342.45,347.05,757700,347.05
2012-10-17,347.40,347.40,342.25,344.45,438000,344.45
2012-10-16,350.00,351.50,343.55,345.50,1009900,345.50
2012-10-15,348.20,353.10,348.20,349.85,542700,349.85
2012-10-12,354.95,358.45,350.45,351.15,571200,351.15
2012-10-11,351.00,356.80,351.00,352.80,858600,352.80
2012-10-10,357.40,357.40,350.10,351.70,987900,351.70
2012-10-09,356.25,360.55,351.60,357.40,1459600,357.40
2012-10-08,358.90,362.50,354.10,355.35,577600,355.35
2012-10-05,361.00,362.85,336.80,356.50,1009200,356.50
2012-10-04,354.40,368.80,352.55,359.85,2313100,359.85
2012-10-03,351.10,355.50,347.25,348.05,658700,348.05
2012-10-02,351.50,351.50,351.50,351.50,000,351.50
2012-10-01,354.50,354.50,350.20,351.50,767200,351.50
2012-09-28,347.85,358.50,345.00,348.70,659900,348.70
2012-09-27,353.50,354.00,345.10,346.85,1311100,346.85
2012-09-26,349.80,353.50,347.40,351.85,963500,351.85
2012-09-25,346.50,350.85,343.55,349.35,1126300,349.35
2012-09-24,350.00,352.80,342.75,344.85,1243400,344.85
2012-09-21,343.20,351.20,340.90,347.30,2557200,347.30
2012-09-20,334.00,348.10,333.50,345.30,1821800,345.30
2012-09-19,337.45,337.45,337.45,337.45,000,337.45
2012-09-18,340.00,343.80,335.10,337.45,1230400,337.45
2012-09-17,355.10,357.30,338.00,338.75,2333200,338.75
2012-09-14,375.20,376.90,346.40,350.20,4282100,350.20
2012-09-13,350.00,356.45,350.00,354.70,1117400,354.70
2012-09-12,347.00,350.00,344.30,347.55,539300,347.55
2012-09-11,343.00,353.20,343.00,349.20,1697200,349.20
2012-09-10,344.90,345.00,340.15,342.50,760100,342.50
2012-09-07,355.40,355.40,335.60,345.10,2757500,345.10
2012-09-06,349.40,349.90,343.00,347.30,631900,347.30
2012-09-05,351.00,353.60,342.40,345.45,1073100,345.45
2012-09-04,342.90,349.50,339.40,346.95,701300,346.95
2012-09-03,335.10,342.30,329.20,340.90,612400,340.90
2012-08-31,349.00,349.00,332.15,334.85,734100,334.85
