Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,244.65,244.65,244.65,244.65,000,244.65
2012-12-24,242.90,246.00,242.00,244.65,111000,244.65
2012-12-21,243.00,247.00,242.50,244.95,77800,244.95
2012-12-20,242.20,251.80,240.10,246.45,97300,246.45
2012-12-19,245.05,249.95,240.00,246.45,183000,246.45
2012-12-18,245.20,249.95,245.20,246.60,119100,246.60
2012-12-17,245.20,253.00,245.20,247.00,97600,247.00
2012-12-14,251.20,256.00,248.45,249.75,2500,249.75
2012-12-13,250.65,260.00,249.00,249.85,9500,249.85
2012-12-12,247.25,259.95,247.25,250.65,109400,250.65
2012-12-11,251.95,256.00,250.40,251.50,38500,251.50
2012-12-10,251.10,257.15,251.10,253.70,2300,253.70
2012-12-07,251.25,261.20,251.25,254.95,4400,254.95
2012-12-06,256.00,263.95,247.95,259.10,3400,259.10
2012-12-05,261.00,265.35,255.60,256.10,6700,256.10
2012-12-04,254.05,265.00,254.05,259.40,8000,259.40
2012-12-03,257.10,263.40,254.50,261.95,30600,261.95
2012-11-30,259.20,266.95,257.30,258.20,8700,258.20
2012-11-29,253.05,271.00,253.05,264.15,5700,264.15
2012-11-28,261.05,261.05,261.05,261.05,000,261.05
2012-11-27,251.15,262.00,251.15,261.05,3700,261.05
2012-11-26,257.00,260.80,257.00,258.10,6200,258.10
2012-11-23,251.25,263.95,251.25,257.90,700,257.90
2012-11-22,260.50,260.50,255.50,257.30,5200,257.30
2012-11-21,252.25,262.00,252.25,261.15,300,261.15
2012-11-20,261.35,263.00,254.95,258.55,1800,258.55
2012-11-19,247.10,264.00,247.10,261.40,3800,261.40
2012-11-16,256.55,262.90,256.55,258.00,6200,258.00
2012-11-15,255.65,263.60,255.65,262.25,1200,262.25
2012-11-14,261.50,261.50,261.50,261.50,000,261.50
2012-11-13,261.50,261.50,261.50,261.50,000,261.50
2012-11-12,255.00,262.00,255.00,261.50,2100,261.50
2012-11-09,255.20,263.70,255.20,261.35,400,261.35
2012-11-08,251.25,264.00,251.25,263.00,300,263.00
2012-11-07,262.95,264.00,261.20,261.50,1700,261.50
2012-11-06,254.75,264.20,254.75,260.35,300,260.35
2012-11-05,261.00,262.65,260.10,262.65,100,262.65
2012-11-02,253.90,263.00,253.90,262.50,200,262.50
2012-11-01,255.00,262.85,255.00,260.15,300,260.15
2012-10-31,253.35,263.95,253.35,260.05,1200,260.05
2012-10-30,252.45,265.00,232.00,260.05,3500,260.05
2012-10-29,257.00,264.80,257.00,260.30,600,260.30
2012-10-26,262.55,262.55,262.55,262.55,000,262.55
2012-10-25,258.00,270.80,258.00,262.55,600,262.55
2012-10-24,265.15,265.15,265.15,265.15,000,265.15
2012-10-23,267.00,268.80,259.00,265.15,7700,265.15
2012-10-22,265.05,268.70,255.65,265.60,2600,265.60
2012-10-19,259.00,268.00,259.00,265.05,5100,265.05
2012-10-18,257.00,272.00,257.00,266.95,1200,266.95
2012-10-17,255.00,290.00,255.00,264.30,8700,264.30
2012-10-16,265.50,272.00,265.50,266.70,2000,266.70
2012-10-15,259.00,271.00,259.00,270.40,4300,270.40
2012-10-12,255.00,270.65,255.00,266.10,1800,266.10
2012-10-11,260.05,269.00,260.05,266.35,900,266.35
2012-10-10,260.65,277.00,260.65,267.00,1600,267.00
2012-10-09,270.40,272.00,265.10,268.75,4700,268.75
2012-10-08,270.05,271.55,266.10,268.50,5200,268.50
2012-10-05,258.00,271.00,258.00,269.90,31800,269.90
2012-10-04,266.00,267.95,262.55,264.45,3600,264.45
2012-10-03,261.10,270.00,261.10,265.55,29200,265.55
2012-10-02,267.80,267.80,267.80,267.80,000,267.80
2012-10-01,268.60,270.50,265.50,267.80,13100,267.80
2012-09-28,262.50,277.90,262.50,268.55,11900,268.55
2012-09-27,263.00,278.40,263.00,270.95,23900,270.95
2012-09-26,259.30,267.50,259.30,262.65,18100,262.65
2012-09-25,262.95,267.40,255.00,266.15,9400,266.15
2012-09-24,241.25,261.95,241.25,260.00,19400,260.00
2012-09-21,251.00,262.00,251.00,259.15,14700,259.15
2012-09-20,250.00,261.00,250.00,259.35,21000,259.35
2012-09-19,250.85,250.85,250.85,250.85,000,250.85
2012-09-18,220.00,256.00,220.00,250.85,15000,250.85
2012-09-17,246.00,252.00,245.10,250.25,9700,250.25
2012-09-14,241.55,249.80,241.55,245.15,2800,245.15
2012-09-13,246.05,250.00,244.00,246.45,34800,246.45
2012-09-12,220.00,252.00,220.00,248.25,4100,248.25
2012-09-11,241.10,252.00,241.10,250.15,5000,250.15
2012-09-10,244.80,251.60,244.80,249.90,2600,249.90
2012-09-07,240.05,250.80,240.05,248.20,25600,248.20
2012-09-06,241.00,251.90,241.00,248.25,20200,248.25
2012-09-05,240.30,252.25,240.30,246.75,31500,246.75
2012-09-04,237.60,249.00,237.60,246.20,51400,246.20
2012-09-03,238.95,247.95,237.05,241.75,5100,241.75
2012-08-31,244.90,246.95,231.15,236.15,458500,236.15
2012-08-30,230.00,246.00,225.35,244.95,2067800,244.95
2012-08-29,230.40,232.50,230.00,230.05,27700,230.05
2012-08-28,236.65,237.00,230.00,233.45,66900,233.45
2012-08-27,236.25,240.00,236.25,237.25,15000,237.25
2012-08-24,236.20,243.00,236.05,240.00,2200,240.00
2012-08-23,237.25,239.00,236.65,237.05,500,237.05
2012-08-22,237.20,240.00,237.20,237.80,400,237.80
2012-08-21,237.25,240.00,237.25,239.50,600,239.50
2012-08-20,238.30,238.30,238.30,238.30,000,238.30
2012-08-17,237.00,240.85,237.00,238.30,25000,238.30
2012-08-16,240.00,240.75,238.25,239.00,16900,239.00
2012-08-15,242.05,242.05,242.05,242.05,000,242.05
2012-08-14,241.10,245.00,241.10,242.05,500,242.05
2012-08-13,211.15,245.00,211.15,243.05,6400,243.05
2012-08-10,230.40,254.00,230.40,244.95,30100,244.95
2012-08-09,240.85,244.00,240.50,241.00,1900,241.00
2012-08-08,240.85,242.70,240.85,241.65,800,241.65
2012-08-07,239.05,243.25,239.05,242.15,1400,242.15
2012-08-06,239.65,243.00,239.65,241.05,2100,241.05
2012-08-03,240.25,242.65,240.25,240.85,200,240.85
2012-08-02,240.10,248.40,240.10,246.55,18600,246.55
2012-08-01,245.65,247.00,243.00,244.25,900,244.25
2012-07-31,241.45,247.50,241.45,247.00,6300,247.00
2012-07-30,238.15,243.00,238.15,242.05,1500,242.05
2012-07-27,236.00,245.00,236.00,240.05,2600,240.05
2012-07-26,240.60,241.10,238.75,240.20,2500,240.20
2012-07-25,242.40,243.00,240.05,240.70,700,240.70
2012-07-24,240.05,245.40,240.05,242.70,23300,242.70
2012-07-23,240.05,241.80,240.05,240.05,1100,240.05
2012-07-20,240.05,241.75,240.05,240.20,500,240.20
2012-07-19,240.05,242.40,240.05,240.60,100,240.60
2012-07-18,240.00,242.40,240.00,241.85,600,241.85
2012-07-17,243.80,247.00,240.60,241.55,1900,241.55
2012-07-16,240.00,243.00,240.00,242.05,17000,242.05
2012-07-13,240.10,242.95,240.00,240.60,1200,240.60
2012-07-12,240.00,242.40,239.80,241.65,4200,241.65
2012-07-11,249.00,249.00,240.60,243.40,7900,243.40
2012-07-10,240.70,250.55,240.70,246.45,18100,246.45
2012-07-09,243.20,248.50,243.20,245.55,5000,245.55
2012-07-06,240.60,249.30,240.60,246.75,15600,246.75
2012-07-05,240.00,242.40,240.00,240.25,2100,240.25
2012-07-04,240.00,241.45,240.00,240.00,1300,240.00
2012-07-03,240.00,241.50,240.00,240.50,1300,240.50
2012-07-02,240.05,241.90,239.80,240.85,28000,240.85
2012-06-29,216.30,240.50,216.30,239.15,57000,239.15
2012-06-28,240.35,244.80,229.00,238.10,636800,238.10
2012-06-27,240.00,242.95,240.00,241.25,1400,241.25
2012-06-26,241.00,244.00,240.40,241.50,6000,241.50
2012-06-25,238.10,246.90,238.10,240.45,4000,240.45
2012-06-22,233.00,243.50,233.00,241.70,700,241.70
2012-06-21,241.00,244.45,241.00,241.90,300,241.90
2012-06-20,240.40,244.65,240.40,241.45,1500,241.45
2012-06-19,231.00,245.85,231.00,242.10,4500,242.10
2012-06-18,240.10,246.80,240.10,242.85,7400,242.85
2012-06-15,240.10,246.55,240.10,243.20,800,243.20
2012-06-14,242.00,247.60,242.00,243.95,1700,243.95
2012-06-13,242.35,246.90,241.40,242.20,2000,242.20
2012-06-12,240.40,246.70,240.40,245.40,500,245.40
2012-06-11,241.00,250.70,241.00,245.10,3100,245.10
2012-06-08,244.00,252.00,241.25,247.70,6900,247.70
2012-06-07,240.50,250.40,240.50,247.60,800,247.60
2012-06-06,240.10,250.00,240.10,247.10,1700,247.10
2012-06-05,240.20,245.95,240.20,243.80,600,243.80
2012-06-04,237.00,246.60,237.00,244.05,1600,244.05
2012-06-01,244.00,254.95,243.10,244.95,5800,244.95
2012-05-31,236.10,257.10,236.10,253.95,32200,253.95
2012-05-30,247.00,249.80,242.00,246.00,5400,246.00
2012-05-29,243.20,250.80,243.10,247.35,1200,247.35
2012-05-28,241.05,249.30,241.05,246.45,3100,246.45
2012-05-25,242.00,247.90,240.10,246.90,27500,246.90
2012-05-24,235.40,244.60,235.40,242.85,6600,242.85
2012-05-23,236.00,245.95,236.00,240.10,17900,240.10
2012-05-22,241.05,247.00,240.65,241.90,12500,241.90
2012-05-21,242.15,248.25,242.05,244.55,5500,244.55
2012-05-18,235.05,246.80,235.05,244.65,6300,244.65
2012-05-17,240.00,244.90,240.00,242.25,2300,242.25
2012-05-16,238.00,244.90,238.00,240.55,11800,240.55
2012-05-15,240.70,250.50,240.10,243.35,2700,243.35
2012-05-14,237.00,251.00,237.00,247.70,7800,247.70
2012-05-11,238.10,248.00,238.10,241.40,2900,241.40
2012-05-10,240.00,248.00,240.00,243.95,500,243.95
2012-05-09,239.20,248.00,239.20,245.35,2400,245.35
2012-05-08,244.40,255.95,244.40,246.05,5900,246.05
2012-05-07,242.00,252.95,241.65,248.10,5300,248.10
2012-05-04,244.00,255.90,242.40,246.55,6400,246.55
2012-05-03,255.55,255.75,247.10,249.55,18400,249.55
2012-05-02,249.00,259.00,249.00,255.15,72500,255.15
2012-05-01,252.70,252.70,252.70,252.70,000,252.70
2012-04-30,252.95,255.50,247.70,253.30,18900,253.30
2012-04-27,246.40,255.00,246.40,254.15,5300,254.15
2012-04-26,241.00,251.70,241.00,248.50,155100,248.50
2012-04-25,247.00,254.00,243.25,245.80,13300,245.80
2012-04-24,244.00,254.95,244.00,252.70,17500,252.70
2012-04-23,243.00,252.00,243.00,249.15,3800,249.15
2012-04-20,250.35,253.00,243.30,249.70,8900,249.70
2012-04-19,248.00,257.00,247.00,254.65,10500,254.65
2012-04-18,254.70,257.80,251.60,252.80,14200,252.80
2012-04-17,255.40,255.70,252.15,254.50,4300,254.50
2012-04-16,249.10,258.00,249.10,255.30,24300,255.30
2012-04-13,255.00,259.50,253.40,257.75,16800,257.75
2012-04-12,251.55,257.00,249.00,254.90,7400,254.90
2012-04-11,248.00,256.65,248.00,255.55,16900,255.55
2012-04-10,246.50,258.00,246.40,253.45,3600,253.45
2012-04-09,252.00,258.80,251.20,252.50,800,252.50
2012-04-06,254.70,254.70,254.70,254.70,000,254.70
2012-04-05,254.70,254.70,254.70,254.70,000,254.70
2012-04-04,248.00,257.40,248.00,254.70,6700,254.70
2012-04-03,248.00,258.40,248.00,254.80,5400,254.80
2012-04-02,242.70,254.40,242.70,253.15,18200,253.15
2012-03-30,241.55,251.00,241.55,249.45,16000,249.45
2012-03-29,240.00,244.00,240.00,241.55,64200,241.55
2012-03-28,234.00,246.70,234.00,241.95,42500,241.95
2012-03-27,241.00,243.95,240.00,240.05,71700,240.05
2012-03-26,245.20,251.90,240.00,240.55,76300,240.55
2012-03-23,247.40,258.05,242.40,251.30,82100,251.30
2012-03-22,252.50,271.30,250.00,253.00,20600,253.00
2012-03-21,250.25,258.90,249.55,254.00,11700,254.00
2012-03-20,238.00,254.80,238.00,251.75,24600,251.75
2012-03-19,256.50,256.50,242.85,243.60,81700,243.60
