Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,100.55,100.55,100.55,100.55,000,100.55
2012-12-24,104.80,107.65,99.40,100.55,823300,100.55
2012-12-21,100.15,104.95,98.00,101.60,1429000,101.60
2012-12-20,110.00,111.40,99.15,100.85,1637300,100.85
2012-12-19,96.10,112.40,94.55,110.00,4424100,110.00
2012-12-18,85.80,97.20,83.60,94.85,1308100,94.85
2012-12-17,83.05,86.85,82.80,85.45,302600,85.45
2012-12-14,81.95,83.90,80.10,82.85,185300,82.85
2012-12-13,81.60,85.35,79.55,80.35,373400,80.35
2012-12-12,78.85,81.90,77.30,80.80,93300,80.80
2012-12-11,80.50,80.80,76.70,78.30,61200,78.30
2012-12-10,82.65,82.65,79.40,79.80,57800,79.80
2012-12-07,81.90,83.70,80.50,81.65,217300,81.65
2012-12-06,78.10,82.00,78.10,81.05,539700,81.05
2012-12-05,74.00,78.90,73.15,77.20,379000,77.20
2012-12-04,72.00,74.60,71.65,72.25,70600,72.25
2012-12-03,73.50,73.65,72.00,72.40,58800,72.40
2012-11-30,70.10,74.35,70.10,73.20,302900,73.20
2012-11-29,71.25,72.00,69.90,70.65,98700,70.65
2012-11-28,70.40,70.40,70.40,70.40,000,70.40
2012-11-27,67.30,72.90,66.65,70.40,214000,70.40
2012-11-26,66.55,67.65,65.70,66.55,39200,66.55
2012-11-23,68.00,68.75,65.65,66.85,50000,66.85
2012-11-22,67.60,69.70,67.30,67.60,44200,67.60
2012-11-21,66.70,69.80,65.65,67.60,88500,67.60
2012-11-20,68.85,68.85,65.20,65.60,49400,65.60
2012-11-19,69.20,69.90,67.00,67.80,40200,67.80
2012-11-16,72.50,73.05,68.40,69.15,68000,69.15
2012-11-15,73.00,73.40,70.50,72.15,85700,72.15
2012-11-14,72.35,72.35,72.35,72.35,000,72.35
2012-11-13,72.35,72.35,72.35,72.35,000,72.35
2012-11-12,72.30,73.50,70.50,72.35,152400,72.35
2012-11-09,70.50,75.20,69.90,72.15,645200,72.15
2012-11-08,67.00,71.15,66.25,69.25,232600,69.25
2012-11-07,67.95,69.80,66.15,67.70,173700,67.70
2012-11-06,67.10,68.80,65.50,67.45,117400,67.45
2012-11-05,70.40,70.85,67.30,68.00,173500,68.00
2012-11-02,67.75,71.70,67.45,69.85,314900,69.85
2012-11-01,65.55,68.50,65.05,66.65,73700,66.65
2012-10-31,64.95,66.85,63.30,65.45,41900,65.45
2012-10-30,67.05,67.70,64.15,65.05,64700,65.05
2012-10-29,67.00,69.90,66.00,67.40,51000,67.40
2012-10-26,70.75,70.75,70.75,70.75,000,70.75
2012-10-25,72.50,74.90,69.85,70.75,444300,70.75
2012-10-24,72.75,72.75,72.75,72.75,000,72.75
2012-10-23,66.10,76.90,66.10,72.75,1840500,72.75
2012-10-22,68.15,68.90,65.75,66.00,44400,66.00
2012-10-19,66.00,69.40,65.20,68.15,154200,68.15
2012-10-18,62.80,65.90,62.80,65.15,23000,65.15
2012-10-17,63.10,64.95,62.35,62.95,10100,62.95
2012-10-16,64.90,65.80,62.50,62.95,25600,62.95
2012-10-15,65.00,66.10,62.80,63.70,39000,63.70
2012-10-12,66.00,67.10,65.00,65.10,29600,65.10
2012-10-11,62.50,66.90,61.20,65.70,94400,65.70
2012-10-10,65.50,65.50,62.00,62.95,50800,62.95
2012-10-09,65.20,68.00,65.00,66.25,57300,66.25
2012-10-08,65.25,67.35,61.65,65.20,46600,65.20
2012-10-05,67.65,70.30,63.50,64.95,200500,64.95
2012-10-04,61.60,68.50,61.05,66.40,196400,66.40
2012-10-03,61.00,62.00,60.00,61.30,24100,61.30
2012-10-02,60.65,60.65,60.65,60.65,000,60.65
2012-10-01,59.00,61.40,58.50,60.65,31500,60.65
2012-09-28,58.00,60.55,58.00,59.05,26000,59.05
2012-09-27,61.00,61.00,58.00,58.65,31000,58.65
2012-09-26,60.90,61.85,59.00,59.80,59900,59.80
2012-09-25,60.00,62.95,59.25,59.85,84200,59.85
2012-09-24,59.80,62.95,59.70,60.00,114700,60.00
2012-09-21,55.50,60.90,54.85,60.00,202200,60.00
2012-09-20,52.55,56.70,51.30,55.20,83900,55.20
2012-09-19,53.95,53.95,53.95,53.95,000,53.95
2012-09-18,53.00,54.90,51.70,53.95,172100,53.95
2012-09-17,49.20,53.30,49.20,52.95,197200,52.95
2012-09-14,47.60,48.90,47.60,48.50,37100,48.50
2012-09-13,47.50,48.00,47.30,47.50,18500,47.50
2012-09-12,48.00,48.75,47.00,47.55,54300,47.55
2012-09-11,47.10,48.30,46.10,47.35,21100,47.35
2012-09-10,48.80,48.80,47.05,47.50,37000,47.50
2012-09-07,47.30,48.55,47.25,47.85,18400,47.85
2012-09-06,46.95,47.85,46.10,47.65,15000,47.65
2012-09-05,47.60,47.75,46.20,46.45,9100,46.45
2012-09-04,47.45,47.85,46.30,46.45,41900,46.45
2012-09-03,47.80,48.00,47.05,47.35,42300,47.35
2012-08-31,47.55,48.40,46.60,46.95,42000,46.95
2012-08-30,48.10,48.10,47.10,47.90,22300,47.90
2012-08-29,47.50,49.40,47.40,47.70,58800,47.70
2012-08-28,47.50,48.75,46.05,46.70,26800,46.70
2012-08-27,47.10,48.00,46.30,46.75,19000,46.75
2012-08-24,47.10,47.90,47.00,47.10,22200,47.10
2012-08-23,48.30,48.50,47.20,48.15,35400,48.15
2012-08-22,47.20,48.75,46.10,47.65,69800,47.65
2012-08-21,46.75,48.00,46.35,46.95,28700,46.95
2012-08-20,46.55,46.55,46.55,46.55,000,46.55
2012-08-17,47.50,48.40,45.95,46.55,34900,46.55
2012-08-16,49.70,49.70,45.90,47.35,25900,47.35
2012-08-15,47.85,47.85,47.85,47.85,000,47.85
2012-08-14,48.60,48.60,47.65,47.85,43800,47.85
2012-08-13,47.80,49.45,47.80,48.45,11100,48.45
2012-08-10,49.90,50.90,47.60,47.85,66000,47.85
2012-08-09,51.80,51.85,49.30,49.85,22400,49.85
2012-08-08,51.60,54.50,50.85,51.55,241300,51.55
2012-08-07,49.10,51.95,49.10,50.20,91500,50.20
2012-08-06,48.70,50.95,48.10,49.90,40000,49.90
2012-08-03,47.35,48.70,47.25,48.15,4200,48.15
2012-08-02,47.80,48.85,47.35,48.00,6100,48.00
2012-08-01,47.00,47.95,47.00,47.35,52400,47.35
2012-07-31,47.90,48.40,47.10,47.35,18100,47.35
2012-07-30,44.90,48.90,44.90,47.95,23700,47.95
2012-07-27,50.50,50.90,48.10,48.55,12300,47.05
2012-07-26,50.40,50.40,47.80,49.45,18600,47.92
2012-07-25,50.20,50.90,50.10,50.30,6300,48.75
2012-07-24,50.15,51.00,50.15,50.70,8100,49.13
2012-07-23,51.05,51.05,49.40,50.15,8600,48.60
2012-07-20,51.60,52.00,51.10,51.45,8100,49.86
2012-07-19,53.50,53.50,51.10,51.60,12900,50.01
2012-07-18,52.70,54.50,51.50,52.40,41600,50.78
2012-07-17,52.30,52.90,51.45,51.75,8800,50.15
2012-07-16,51.65,53.00,51.10,52.05,10600,50.44
2012-07-13,53.90,54.30,50.90,52.30,19800,50.68
2012-07-12,53.95,53.95,52.15,53.00,20000,51.36
