Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,492.20,492.20,492.20,492.20,000,492.20
2012-12-24,491.00,494.00,487.00,492.20,11300,492.20
2012-12-21,495.60,495.60,488.65,490.45,22300,490.45
2012-12-20,499.90,499.90,492.60,495.65,11800,495.65
2012-12-19,494.95,499.45,488.15,497.65,76200,497.65
2012-12-18,499.00,499.00,491.05,493.85,23000,493.85
2012-12-17,500.00,501.75,495.05,497.65,13500,497.65
2012-12-14,499.95,501.00,494.60,498.65,36000,498.65
2012-12-13,444.90,505.00,444.90,495.95,61400,495.95
2012-12-12,502.90,505.00,492.10,494.05,25500,494.05
2012-12-11,495.00,503.00,491.00,498.95,218600,498.95
2012-12-10,498.90,498.90,494.20,495.35,22900,495.35
2012-12-07,497.85,497.90,492.05,495.75,29500,495.75
2012-12-06,491.15,495.95,488.05,494.45,218900,494.45
2012-12-05,489.10,493.95,485.25,488.40,19400,488.40
2012-12-04,493.00,497.00,487.15,488.90,42700,488.90
2012-12-03,501.95,501.95,490.50,494.00,35800,494.00
2012-11-30,498.90,503.80,491.20,498.20,129400,498.20
2012-11-29,485.80,497.25,484.00,493.20,87500,493.20
2012-11-28,484.20,484.20,484.20,484.20,000,484.20
2012-11-27,489.95,492.90,483.20,484.20,27500,484.20
2012-11-26,482.00,493.00,482.00,488.75,33000,488.75
2012-11-23,480.10,491.00,480.10,483.80,56400,483.80
2012-11-22,473.30,479.40,473.00,478.05,202100,478.05
2012-11-21,480.50,481.40,474.00,475.35,12300,475.35
2012-11-20,476.25,484.00,476.05,481.85,121900,481.85
2012-11-19,477.50,478.40,471.05,475.65,23200,475.65
2012-11-16,466.00,479.90,462.25,477.05,258400,477.05
2012-11-15,470.00,472.95,466.00,469.40,63400,469.40
2012-11-14,460.65,460.65,460.65,460.65,000,460.65
2012-11-13,460.65,460.65,460.65,460.65,000,460.65
2012-11-12,461.25,468.15,458.50,460.65,106600,460.65
2012-11-09,472.95,472.95,462.70,465.80,198600,465.80
2012-11-08,468.00,475.00,465.80,469.65,83300,469.65
2012-11-07,483.00,485.00,467.50,468.90,159600,468.90
2012-11-06,479.85,482.75,475.00,479.95,135100,479.95
2012-11-05,475.10,477.90,470.40,472.55,46000,472.55
2012-11-02,479.05,483.90,473.10,474.90,41400,474.90
2012-11-01,484.05,485.00,476.30,477.00,56400,477.00
2012-10-31,481.95,486.75,475.45,483.65,13100,483.65
2012-10-30,494.00,494.00,481.00,484.35,21400,484.35
2012-10-29,492.00,494.80,485.45,489.10,32400,489.10
2012-10-26,490.90,490.90,490.90,490.90,000,490.90
2012-10-25,486.85,495.00,482.00,490.90,46300,490.90
2012-10-24,482.45,482.45,482.45,482.45,000,482.45
2012-10-23,488.80,488.80,479.00,482.45,64800,482.45
2012-10-22,485.50,490.90,482.00,488.85,29500,488.85
2012-10-19,488.55,490.55,485.00,485.50,170600,485.50
2012-10-18,490.40,494.00,486.10,488.45,75900,488.45
2012-10-17,495.20,499.40,487.40,488.50,98000,488.50
2012-10-16,491.00,502.00,488.15,495.60,80500,495.60
2012-10-15,500.00,500.00,486.00,490.55,22500,490.55
2012-10-12,501.00,505.40,492.00,493.55,37600,493.55
2012-10-11,505.00,507.75,495.20,500.60,77200,500.60
2012-10-10,511.00,514.40,501.10,504.35,116400,504.35
2012-10-09,494.20,524.90,494.15,509.80,380900,509.80
2012-10-08,489.00,496.00,486.00,492.30,234300,492.30
2012-10-05,483.00,498.00,480.05,486.25,308400,486.25
2012-10-04,475.95,481.45,473.25,477.70,62300,477.70
2012-10-03,480.00,480.00,470.60,472.95,104600,472.95
2012-10-02,477.00,477.00,477.00,477.00,000,477.00
2012-10-01,479.65,483.00,475.00,477.00,112000,477.00
2012-09-28,482.80,488.85,473.40,475.75,99600,475.75
2012-09-27,485.00,485.00,470.00,480.45,58400,480.45
2012-09-26,474.85,488.00,470.00,478.25,72900,478.25
2012-09-25,475.00,478.00,468.00,470.20,102600,470.20
2012-09-24,482.00,493.30,472.25,474.00,51200,474.00
2012-09-21,486.65,490.20,477.60,480.15,118000,480.15
2012-09-20,487.00,493.00,482.80,484.10,18400,484.10
2012-09-19,488.15,488.15,488.15,488.15,000,488.15
2012-09-18,489.05,493.75,476.20,488.15,49700,488.15
2012-09-17,504.00,504.00,489.10,490.65,27800,490.65
2012-09-14,489.25,496.80,487.50,488.80,20200,488.80
2012-09-13,490.20,498.50,486.60,487.95,57300,487.95
2012-09-12,490.05,497.90,487.00,490.95,25800,490.95
2012-09-11,490.00,503.00,488.10,490.05,18500,490.05
2012-09-10,498.15,499.95,490.00,496.15,16000,496.15
2012-09-07,506.70,509.65,494.60,497.50,34300,497.50
2012-09-06,505.00,509.65,500.00,505.00,125400,505.00
2012-09-05,503.05,507.00,500.65,502.90,51400,502.90
2012-09-04,508.00,510.00,503.25,506.65,37500,506.65
2012-09-03,502.50,509.50,501.00,504.35,141200,504.35
2012-08-31,489.50,505.00,485.00,501.00,217300,501.00
2012-08-30,488.00,490.90,483.00,489.50,182800,489.50
2012-08-29,489.00,491.65,486.00,487.95,10900,487.95
2012-08-28,490.05,493.10,485.10,488.45,25800,488.45
2012-08-27,485.10,493.70,482.05,489.55,46400,489.55
