Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,879.45,879.45,879.45,879.45,000,879.45
2012-12-24,888.00,896.70,872.30,879.45,75100,879.45
2012-12-21,889.20,894.90,880.55,886.75,151800,886.75
2012-12-20,886.95,889.85,880.00,886.65,28900,886.65
2012-12-19,877.95,890.00,871.60,887.30,67300,887.30
2012-12-18,872.20,877.00,866.90,873.10,42400,873.10
2012-12-17,866.95,878.00,846.10,870.40,153300,870.40
2012-12-14,842.05,880.00,842.05,862.20,81200,862.20
2012-12-13,851.85,878.00,843.65,859.25,114600,859.25
2012-12-12,848.30,857.80,842.00,847.05,140700,847.05
2012-12-11,845.80,852.55,840.40,845.90,127100,845.90
2012-12-10,858.35,858.35,839.95,843.40,25900,843.40
2012-12-07,846.95,852.00,839.50,848.70,193300,848.70
2012-12-06,853.20,856.70,832.55,838.80,41900,838.80
2012-12-05,853.05,855.00,841.50,848.00,27300,848.00
2012-12-04,847.00,855.00,841.00,853.30,23300,853.30
2012-12-03,847.05,866.80,838.20,847.00,448000,847.00
2012-11-30,834.85,839.50,816.70,836.85,147400,836.85
2012-11-29,834.95,834.95,812.30,822.20,26200,822.20
2012-11-28,820.15,820.15,820.15,820.15,000,820.15
2012-11-27,859.85,859.85,819.00,820.15,85600,820.15
2012-11-26,975.00,975.00,820.10,823.85,26600,823.85
2012-11-23,829.95,829.95,811.20,821.40,112700,821.40
2012-11-22,805.00,839.00,802.10,817.20,211800,817.20
2012-11-21,796.05,810.55,791.10,795.35,157200,795.35
2012-11-20,805.00,808.50,777.00,800.30,389000,800.30
2012-11-19,806.00,825.00,786.80,795.55,268000,795.55
2012-11-16,836.60,836.65,814.10,819.20,35400,819.20
2012-11-15,825.80,849.00,821.95,828.20,274400,828.20
2012-11-14,831.90,831.90,831.90,831.90,000,831.90
2012-11-13,831.90,831.90,831.90,831.90,000,831.90
2012-11-12,849.95,849.95,830.00,831.90,40000,831.90
2012-11-09,834.40,850.00,825.00,843.65,59600,843.65
2012-11-08,848.95,849.00,825.10,828.90,277500,828.90
2012-11-07,894.35,908.00,851.00,859.90,579200,859.90
2012-11-06,890.00,898.50,880.10,887.80,82100,887.80
2012-11-05,876.95,908.00,866.55,889.65,168100,889.65
2012-11-02,850.00,873.75,850.00,868.70,30200,868.70
2012-11-01,870.40,876.30,860.25,864.70,29200,864.70
2012-10-31,860.05,876.20,855.00,871.20,27900,871.20
2012-10-30,846.05,867.00,846.05,859.55,19100,859.55
2012-10-29,860.05,868.25,852.25,857.45,61800,857.45
2012-10-26,875.90,875.90,875.90,875.90,000,875.90
2012-10-25,852.00,882.00,852.00,875.90,176100,875.90
2012-10-24,865.30,865.30,865.30,865.30,000,865.30
2012-10-23,850.30,870.00,850.30,865.30,80500,865.30
2012-10-22,850.15,862.65,850.15,860.35,36200,860.35
2012-10-19,860.00,874.00,849.00,850.90,68300,850.90
2012-10-18,869.35,876.15,861.40,868.00,61900,868.00
2012-10-17,856.95,867.80,844.50,865.10,43700,865.10
2012-10-16,857.95,857.95,848.00,850.20,46500,850.20
2012-10-15,854.75,855.00,842.80,850.55,70000,850.55
2012-10-12,832.95,845.00,828.00,842.00,76600,842.00
2012-10-11,867.10,867.10,824.05,825.25,71200,825.25
2012-10-10,850.05,860.00,845.25,857.10,425600,857.10
2012-10-09,848.00,860.00,844.00,854.55,37700,854.55
2012-10-08,825.20,848.00,815.50,840.95,277700,840.95
2012-10-05,854.80,854.80,814.05,819.40,81700,819.40
2012-10-04,859.70,859.75,828.00,830.35,65300,830.35
2012-10-03,855.05,864.95,852.00,859.75,65900,859.75
2012-10-02,850.30,850.30,850.30,850.30,000,850.30
2012-10-01,880.00,892.45,845.55,850.30,107200,850.30
2012-09-28,829.00,883.10,829.00,873.60,200700,873.60
2012-09-27,857.65,860.00,835.85,844.20,66500,844.20
2012-09-26,837.90,859.35,831.05,846.60,96400,846.60
2012-09-25,841.90,841.90,820.00,832.65,308500,832.65
2012-09-24,866.00,870.50,822.00,828.65,164700,828.65
2012-09-21,843.00,872.00,843.00,861.05,110800,861.05
2012-09-20,837.95,845.85,822.15,836.55,170700,836.55
2012-09-19,841.30,841.30,841.30,841.30,000,841.30
2012-09-18,867.95,885.95,830.20,841.30,157300,841.30
2012-09-17,915.00,915.00,862.05,868.45,94400,868.45
2012-09-14,929.95,930.00,892.00,897.20,130700,897.20
2012-09-13,946.75,947.00,912.30,919.55,33300,919.55
2012-09-12,959.80,966.00,920.00,938.35,231600,938.35
2012-09-11,924.95,956.20,919.95,946.30,186800,946.30
2012-09-10,908.00,920.00,900.55,915.30,110000,915.30
2012-09-07,896.95,908.90,875.00,897.70,41300,897.70
2012-09-06,896.05,905.00,880.00,885.95,22200,885.95
2012-09-05,913.95,913.95,888.55,902.60,31300,902.60
2012-09-04,895.00,909.90,895.00,902.55,72500,902.55
2012-09-03,907.05,917.50,888.15,904.50,103200,904.50
2012-08-31,898.90,923.50,890.05,907.00,134700,907.00
2012-08-30,878.25,897.00,878.00,895.00,75500,895.00
2012-08-29,881.50,889.00,877.95,881.40,52500,881.40
2012-08-28,886.75,890.00,878.00,881.45,85000,881.45
2012-08-27,874.95,889.50,874.95,883.00,24700,883.00
2012-08-24,855.20,893.80,855.20,875.55,61700,875.55
2012-08-23,880.00,887.70,865.30,870.95,22800,870.95
2012-08-22,865.00,889.85,865.00,877.75,45300,877.75
2012-08-21,877.00,889.00,851.00,862.85,58300,862.85
2012-08-20,875.75,875.75,875.75,875.75,000,875.75
2012-08-17,865.00,879.75,865.00,875.75,15500,875.75
2012-08-16,869.05,869.70,851.00,864.15,93000,864.15
2012-08-15,869.05,869.05,869.05,869.05,000,869.05
2012-08-14,875.00,879.00,858.10,869.05,56600,869.05
2012-08-13,880.00,884.90,875.10,879.90,28500,879.90
2012-08-10,872.00,882.35,861.00,876.15,43800,876.15
2012-08-09,885.15,908.95,869.00,873.10,38900,873.10
2012-08-08,884.05,900.00,875.00,897.20,94200,897.20
2012-08-07,901.90,930.00,880.10,885.45,144500,885.45
2012-08-06,897.00,910.00,872.20,903.05,136900,903.05
2012-08-03,888.15,900.00,888.15,897.70,13100,897.70
2012-08-02,906.80,912.00,888.00,896.15,26300,896.15
2012-08-01,899.80,909.00,887.95,903.20,154100,903.20
2012-07-31,866.95,896.50,861.35,881.80,97800,881.80
2012-07-30,870.00,877.00,852.40,867.65,17700,867.65
2012-07-27,877.95,890.00,856.00,860.55,35400,860.55
2012-07-26,860.50,878.90,856.90,870.25,226900,870.25
2012-07-25,857.00,869.00,848.00,860.10,18900,852.60
2012-07-24,860.00,874.00,847.95,854.40,77800,846.95
2012-07-23,877.75,890.00,856.00,860.50,124400,853.00
2012-07-20,877.00,890.00,869.00,881.05,217200,873.37
2012-07-19,865.00,904.00,854.95,873.65,602100,866.03
2012-07-18,835.00,874.50,833.00,870.30,674500,862.71
2012-07-17,804.80,847.30,803.00,832.80,1000600,825.54
2012-07-16,782.70,804.20,775.35,799.80,48600,792.83
2012-07-13,779.95,785.00,774.85,782.70,106200,775.87
2012-07-12,765.00,784.00,765.00,780.00,179900,773.20
2012-07-11,765.05,768.75,760.45,765.10,15600,758.43
2012-07-10,768.10,782.10,758.00,763.45,63500,756.79
2012-07-09,765.00,780.90,756.75,774.25,114700,767.50
2012-07-06,760.00,772.00,760.00,767.95,9100,761.25
2012-07-05,760.20,768.00,760.00,765.00,140000,758.33
2012-07-04,759.05,774.00,755.10,761.80,68300,755.16
2012-07-03,776.00,777.95,749.75,755.15,67700,748.57
2012-07-02,771.65,778.00,766.00,772.95,10200,766.21
2012-06-29,769.00,778.60,764.00,770.25,66400,763.53
2012-06-28,765.75,775.90,761.05,765.65,16100,758.97
2012-06-27,765.10,774.95,760.00,764.50,45400,757.83
2012-06-26,779.05,782.00,761.10,770.10,37800,763.38
2012-06-25,786.95,794.40,774.25,778.05,52700,771.27
2012-06-22,764.95,797.40,756.00,784.05,116200,777.21
2012-06-21,749.75,774.50,745.00,765.45,81800,758.78
2012-06-20,721.10,747.00,721.00,744.90,376800,738.40
2012-06-19,729.80,737.00,718.55,720.80,12400,714.51
2012-06-18,720.10,730.05,715.00,723.00,65400,716.70
2012-06-15,712.60,727.60,710.05,723.10,15300,716.79
2012-06-14,724.00,728.60,720.00,723.75,8700,717.44
2012-06-13,728.90,733.80,721.15,724.10,27500,717.79
2012-06-12,725.05,738.10,721.75,725.95,15400,719.62
2012-06-11,745.00,745.00,718.00,725.55,95700,719.22
2012-06-08,734.45,747.90,726.10,733.60,34000,727.20
2012-06-07,718.00,739.35,713.00,733.60,99900,727.20
2012-06-06,734.85,738.85,715.10,724.10,105300,717.79
2012-06-05,716.05,735.00,715.95,730.30,45400,723.93
2012-06-04,721.55,728.95,715.00,717.75,53500,711.49
2012-06-01,739.75,739.75,726.05,728.35,6200,722.00
2012-05-31,731.00,734.00,725.50,730.80,2800,724.43
2012-05-30,745.95,745.95,731.00,732.00,4400,725.62
2012-05-29,750.30,754.05,728.00,733.20,66200,726.81
2012-05-28,757.00,757.00,742.00,750.25,3500,743.71
2012-05-25,739.15,765.00,739.10,745.15,8500,738.65
2012-05-24,735.45,751.00,727.00,742.45,43800,735.98
2012-05-23,741.05,744.00,728.10,736.00,25700,729.58
2012-05-22,755.00,773.80,738.05,743.55,107400,737.07
2012-05-21,799.20,799.20,761.55,766.60,14800,759.92
2012-05-18,771.00,796.85,771.00,788.45,178500,781.57
2012-05-17,785.00,802.00,770.05,786.70,123300,779.84
2012-05-16,801.00,809.00,772.00,782.35,101900,775.53
2012-05-15,770.00,810.00,766.00,802.80,159400,795.80
2012-05-14,774.00,774.00,760.00,766.00,174400,759.32
2012-05-11,757.95,770.80,750.00,765.55,151600,758.87
2012-05-10,725.35,764.00,714.35,758.85,575000,752.23
2012-05-09,735.25,740.00,725.25,734.60,10800,728.19
2012-05-08,746.95,751.00,735.05,740.15,13100,733.70
2012-05-07,725.15,745.90,725.15,742.45,14500,735.98
2012-05-04,730.00,736.00,728.00,734.75,10000,728.34
2012-05-03,723.25,736.00,721.25,735.00,58300,728.59
2012-05-02,733.35,740.00,711.95,724.15,41900,717.84
2012-05-01,728.00,728.00,728.00,728.00,000,721.65
2012-04-30,734.00,739.40,725.10,730.85,10700,724.48
2012-04-27,730.10,738.90,725.10,734.15,5800,727.75
2012-04-26,727.10,736.00,727.10,734.10,10900,727.70
2012-04-25,737.80,745.05,726.50,729.95,17000,723.58
2012-04-24,723.00,736.65,720.00,729.80,26700,723.44
2012-04-23,728.75,734.70,711.10,729.95,201800,723.58
2012-04-20,730.10,734.30,720.60,725.60,156600,719.27
2012-04-19,711.10,755.00,704.00,742.80,189700,736.32
2012-04-18,714.90,721.00,702.30,717.75,17500,711.49
2012-04-17,708.65,715.00,695.05,703.30,15600,697.17
2012-04-16,712.00,718.95,691.25,701.15,134200,695.04
2012-04-13,729.45,729.95,709.00,711.40,12400,705.20
2012-04-12,725.00,732.00,713.20,715.55,25100,709.31
2012-04-11,733.30,733.30,712.00,726.20,57700,719.87
2012-04-10,736.00,736.00,708.40,722.45,45000,716.15
2012-04-09,733.00,733.00,719.00,721.70,58700,715.41
2012-04-06,733.45,733.45,733.45,733.45,000,727.05
2012-04-05,733.45,733.45,733.45,733.45,000,727.05
2012-04-04,736.10,745.00,731.10,733.45,12500,727.05
2012-04-03,751.50,759.00,735.20,739.50,47500,733.05
2012-04-02,763.90,769.50,745.10,750.15,32700,743.61
2012-03-30,747.95,769.00,740.30,758.50,83400,751.89
2012-03-29,730.15,779.95,720.30,746.20,101100,739.69
2012-03-28,739.70,749.70,732.00,740.80,37400,734.34
2012-03-27,725.00,739.40,723.00,732.70,13600,726.31
2012-03-26,758.00,758.00,725.00,731.70,51300,725.32
2012-03-23,720.05,775.00,720.00,752.65,55400,746.09
2012-03-22,725.00,728.95,720.00,720.45,48300,714.17
2012-03-21,700.05,730.00,700.00,721.15,189300,714.86
2012-03-20,696.45,724.90,696.45,708.45,53300,702.27
2012-03-19,715.00,715.00,694.50,700.25,35400,694.14
2012-03-16,755.65,774.20,684.65,714.80,269100,708.57
2012-03-15,749.30,763.10,730.00,754.85,53700,748.27
2012-03-14,708.05,753.90,708.05,747.55,145900,741.03
2012-03-13,699.00,720.00,699.00,708.80,128100,702.62
2012-03-12,709.65,712.90,699.15,701.50,38300,695.38
2012-03-09,692.90,717.00,688.10,700.05,240600,693.95
2012-03-08,710.90,710.90,710.90,710.90,000,704.70
2012-03-07,690.35,714.70,690.35,698.90,12300,692.81
2012-03-06,687.05,703.85,685.00,697.00,25100,690.92
2012-03-05,669.00,712.35,669.00,694.20,11400,688.15
2012-03-02,711.00,720.00,707.25,708.45,21000,702.27
2012-03-01,729.85,730.00,705.05,710.90,7900,704.70
2012-02-29,687.30,732.75,687.30,726.10,103600,719.77
2012-02-28,690.20,699.75,681.25,692.70,24400,686.66
2012-02-27,689.30,707.00,685.30,690.20,295300,684.18
2012-02-24,696.50,704.00,685.00,696.70,50500,690.62
2012-02-23,690.05,700.00,680.05,694.35,115000,688.30
2012-02-22,707.05,718.75,686.05,693.00,32200,686.96
2012-02-21,719.05,719.05,698.60,710.30,40600,704.11
2012-02-20,713.25,713.25,713.25,713.25,000,707.03
2012-02-17,712.00,723.00,710.00,713.25,41400,707.03
2012-02-16,720.55,720.55,705.30,712.35,78600,706.14
2012-02-15,729.90,733.90,710.10,719.30,326600,713.03
2012-02-14,712.40,734.80,700.00,724.85,197000,718.53
2012-02-13,699.95,714.00,698.00,706.90,275600,700.74
2012-02-10,679.95,709.10,679.95,695.35,219400,689.29
2012-02-09,663.95,675.20,655.50,673.45,981500,667.58
2012-02-08,662.00,667.75,649.00,666.85,319400,661.04
2012-02-07,675.00,678.40,651.05,660.15,400200,654.39
2012-02-06,684.00,690.00,665.30,674.35,114100,668.47
2012-02-03,667.35,682.00,661.25,678.90,472800,672.98
2012-02-02,664.30,667.50,656.15,665.80,72200,659.99
2012-02-01,666.00,667.40,654.05,655.35,35000,649.64
2012-01-31,654.05,666.95,648.00,661.60,86000,655.83
2012-01-30,664.00,664.30,640.55,655.45,48400,649.73
2012-01-27,639.85,661.50,638.00,655.55,130900,649.83
2012-01-26,636.35,636.35,636.35,636.35,000,630.80
2012-01-25,632.00,639.90,620.00,636.35,69100,630.80
2012-01-24,640.00,643.00,629.50,631.85,102900,626.34
2012-01-23,648.00,656.35,634.75,639.05,128900,633.48
2012-01-20,648.10,659.45,644.50,649.45,164200,643.79
2012-01-19,658.85,658.85,645.00,651.05,258000,645.37
2012-01-18,657.10,667.40,648.00,650.15,72000,644.48
2012-01-17,667.00,671.90,657.00,664.65,137000,658.85
2012-01-16,672.00,675.80,660.00,663.85,77500,658.06
2012-01-13,674.00,679.75,670.00,673.95,160600,668.07
2012-01-12,681.30,681.40,673.05,679.50,590800,673.57
2012-01-11,686.95,687.50,679.25,681.00,177300,675.06
2012-01-10,698.50,698.50,678.10,684.20,55100,678.23
2012-01-09,689.70,695.00,680.10,693.20,4800,687.16
2012-01-06,699.95,725.05,679.05,680.40,90200,674.47
2012-01-05,697.80,699.00,680.20,691.20,15900,685.17
2012-01-04,697.00,700.00,690.20,692.25,48100,686.21
2012-01-03,706.05,713.35,694.70,697.45,40900,691.37
2012-01-02,699.85,714.00,693.70,706.05,23600,699.89
2011-12-30,681.45,707.00,670.00,704.35,48600,698.21
2011-12-29,665.00,706.15,663.00,693.95,126100,687.90
2011-12-28,648.00,672.50,648.00,664.15,132600,658.36
2011-12-27,670.05,674.00,654.00,655.60,14600,649.88
2011-12-26,677.95,679.70,655.00,667.50,232800,661.68
2011-12-23,725.00,725.00,632.00,659.20,98700,653.45
2011-12-22,709.55,716.00,700.00,706.90,108800,700.74
2011-12-21,712.00,715.35,700.00,705.35,79900,699.20
2011-12-20,702.35,716.95,702.30,710.40,37800,704.21
2011-12-19,703.00,713.00,703.00,709.45,15400,703.26
2011-12-16,716.80,717.00,709.00,710.25,73300,704.06
2011-12-15,700.00,721.35,700.00,710.90,37100,704.70
2011-12-14,705.15,710.25,695.20,708.00,44200,701.83
2011-12-13,695.50,706.00,695.50,703.85,7400,697.71
2011-12-12,700.00,702.90,695.00,700.05,23900,693.95
2011-12-09,699.95,700.00,694.00,696.00,124600,689.93
2011-12-08,708.75,708.75,696.15,700.60,62900,694.49
2011-12-07,699.95,709.40,695.00,705.00,62900,698.85
2011-12-06,698.45,698.45,698.45,698.45,000,692.36
2011-12-05,699.00,704.85,696.50,698.45,54800,692.36
2011-12-02,706.05,712.70,698.00,700.05,63200,693.95
2011-12-01,735.60,735.60,704.00,705.00,77200,698.85
2011-11-30,715.55,718.95,703.00,705.65,172800,699.50
2011-11-29,723.00,724.30,712.00,715.60,47200,709.36
2011-11-28,716.20,724.00,712.00,715.10,69600,708.86
2011-11-25,722.00,726.00,715.05,716.15,8300,709.91
2011-11-24,717.05,724.70,710.05,718.90,28500,712.63
2011-11-23,720.65,736.35,710.00,716.35,43600,710.10
2011-11-22,712.25,719.80,710.00,716.50,71400,710.25
2011-11-21,715.65,720.95,706.75,715.75,18800,709.51
2011-11-18,714.05,724.80,712.50,715.45,26700,709.21
2011-11-17,731.60,731.60,713.00,719.50,122500,713.23
2011-11-16,718.65,727.40,712.60,725.80,81100,719.47
2011-11-15,729.95,734.50,711.55,724.85,413400,718.53
2011-11-14,730.00,741.45,715.00,731.90,100500,725.52
2011-11-11,750.05,751.70,720.50,723.00,107000,716.70
2011-11-09,762.30,774.00,757.60,760.80,21800,754.17
2011-11-08,767.95,771.00,759.80,766.80,24700,760.11
2011-11-04,758.05,764.70,756.40,763.00,38900,756.35
