Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,127.45,127.45,127.45,127.45,000,127.45
2012-12-24,129.00,129.90,127.20,127.45,5500,127.45
2012-12-21,129.75,129.90,128.50,128.80,8700,128.80
2012-12-20,131.00,131.65,129.75,130.15,13400,130.15
2012-12-19,130.00,132.30,130.00,131.35,24600,131.35
2012-12-18,130.70,131.00,129.05,129.45,12900,129.45
2012-12-17,130.65,132.00,129.35,129.90,18300,129.90
2012-12-14,131.50,132.00,130.25,130.65,8200,130.65
2012-12-13,133.45,133.90,131.15,131.40,8100,131.40
2012-12-12,133.65,133.90,131.70,132.20,8600,132.20
2012-12-11,135.30,136.90,133.50,133.70,18900,133.70
2012-12-10,135.50,137.00,135.00,135.70,15700,135.70
2012-12-07,137.85,138.50,134.00,134.25,26900,134.25
2012-12-06,137.00,139.00,135.30,137.05,20100,137.05
2012-12-05,139.50,143.90,134.50,136.35,140000,136.35
2012-12-04,132.75,141.05,131.75,138.60,178200,138.60
2012-12-03,131.50,134.00,131.00,132.25,30800,132.25
2012-11-30,133.60,133.80,131.00,131.30,33400,131.30
2012-11-29,134.70,137.50,132.00,133.15,41800,133.15
2012-11-28,133.10,133.10,133.10,133.10,000,133.10
2012-11-27,132.05,135.50,132.00,133.10,42600,133.10
2012-11-26,133.00,133.00,131.10,131.45,19200,131.45
2012-11-23,137.95,137.95,131.10,131.85,47400,131.85
2012-11-22,132.95,134.50,131.00,133.45,34600,133.45
2012-11-21,135.00,136.45,131.90,132.40,36100,132.40
2012-11-20,141.20,143.40,133.50,134.50,174900,134.50
2012-11-19,130.30,144.90,130.00,139.75,337300,139.75
2012-11-16,134.50,138.20,130.50,131.35,71100,131.35
2012-11-15,126.00,132.90,123.00,131.75,25200,131.75
2012-11-14,126.25,126.25,126.25,126.25,000,126.25
2012-11-13,126.25,126.25,126.25,126.25,000,126.25
2012-11-12,128.60,128.60,125.20,126.25,7200,126.25
2012-11-09,127.20,128.80,126.65,127.05,8700,127.05
2012-11-08,128.20,129.35,125.55,127.70,8800,127.70
2012-11-07,127.50,131.90,126.20,129.50,18100,129.50
2012-11-06,126.95,127.85,125.95,127.30,9700,127.30
2012-11-05,130.05,131.40,127.00,127.20,14000,127.20
2012-11-02,134.00,134.00,129.55,130.80,17000,130.80
2012-11-01,133.60,135.80,131.50,132.30,74300,132.30
2012-10-31,129.20,133.00,129.20,130.90,31500,130.90
2012-10-30,131.00,134.95,127.70,129.70,62000,129.70
2012-10-29,132.40,134.00,128.30,129.15,14900,129.15
2012-10-26,138.60,138.60,138.60,138.60,000,138.60
2012-10-25,136.00,140.10,136.00,138.60,48300,138.60
2012-10-24,135.05,135.05,135.05,135.05,000,135.05
2012-10-23,133.50,140.90,132.55,135.05,118300,135.05
2012-10-22,130.90,133.50,128.05,131.75,17500,131.75
2012-10-19,134.45,138.40,129.50,130.60,65200,130.60
2012-10-18,122.20,141.30,122.20,136.35,275100,136.35
2012-10-17,123.00,123.75,121.50,123.10,7400,123.10
2012-10-16,122.50,123.75,122.45,123.00,11900,123.00
2012-10-15,121.00,124.50,120.95,122.15,4300,122.15
2012-10-12,124.00,125.75,122.00,122.60,19300,122.60
2012-10-11,118.05,124.50,117.85,122.65,16000,122.65
2012-10-10,120.00,120.90,118.00,118.50,6900,118.50
2012-10-09,120.45,121.80,118.85,121.00,7800,121.00
2012-10-08,122.95,122.95,118.05,118.70,5400,118.70
2012-10-05,125.90,126.00,118.00,120.90,18600,120.90
2012-10-04,126.05,126.85,122.75,123.40,21800,123.40
2012-10-03,118.95,129.50,116.70,125.25,82700,125.25
2012-10-02,118.90,118.90,118.90,118.90,000,118.90
2012-10-01,119.40,119.50,118.50,118.90,4300,118.90
2012-09-28,118.90,119.50,117.70,118.90,6900,118.90
2012-09-27,118.10,119.20,117.35,118.00,4900,118.00
2012-09-26,119.20,119.85,117.50,118.90,11900,118.90
2012-09-25,114.65,119.20,114.50,118.90,9600,118.90
2012-09-24,113.85,116.80,113.00,115.85,17300,115.85
2012-09-21,111.50,114.00,111.50,113.45,10500,113.45
2012-09-20,110.05,112.80,109.05,112.15,5500,112.15
2012-09-19,111.50,111.50,111.50,111.50,000,111.50
2012-09-18,112.10,112.10,111.00,111.50,3800,111.50
2012-09-17,112.10,113.00,111.00,111.55,5300,111.55
2012-09-14,113.95,113.95,111.00,112.10,6400,112.10
2012-09-13,111.05,113.00,111.00,112.65,5900,112.65
2012-09-12,111.05,113.25,111.00,112.85,8000,112.85
2012-09-11,108.95,115.80,107.60,112.20,41800,112.20
2012-09-10,110.85,110.85,105.65,108.20,5800,108.20
2012-09-07,107.50,111.00,106.30,108.30,22300,108.30
2012-09-06,106.00,106.75,105.10,105.60,3900,105.60
2012-09-05,106.00,107.80,106.00,106.00,3800,106.00
2012-09-04,105.00,107.70,105.00,105.90,2000,105.90
2012-09-03,105.05,106.85,105.00,105.35,3300,105.35
2012-08-31,106.00,107.00,104.50,105.85,11300,105.85
2012-08-30,108.10,108.25,105.00,107.05,6400,107.05
2012-08-29,107.05,109.60,107.00,107.75,5400,107.75
2012-08-28,109.05,111.50,107.00,108.10,6500,108.10
2012-08-27,111.50,112.45,110.10,110.60,2900,110.60
2012-08-24,112.10,112.70,110.35,110.40,7700,110.40
2012-08-23,112.10,113.10,111.80,112.95,6500,112.95
2012-08-22,111.40,113.50,111.40,111.80,3700,111.80
2012-08-21,114.00,114.00,110.70,111.90,6500,111.90
2012-08-20,112.15,112.15,112.15,112.15,000,112.15
2012-08-17,112.00,113.00,111.55,112.15,2800,112.15
2012-08-16,111.70,113.55,111.25,112.80,2700,112.80
2012-08-15,111.85,111.85,111.85,111.85,000,111.85
2012-08-14,112.15,114.40,111.00,111.85,3000,111.85
2012-08-13,111.15,112.65,110.75,111.70,1400,111.70
2012-08-10,113.05,113.80,112.00,112.50,2300,112.50
