Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,58.10,58.10,58.10,58.10,000,58.10
2012-12-24,58.00,59.00,57.65,58.10,1300,58.10
2012-12-21,58.05,58.50,58.00,58.00,3300,58.00
2012-12-20,61.00,61.25,58.10,58.45,4600,58.45
2012-12-19,60.45,61.00,59.10,59.40,8500,59.40
2012-12-18,64.95,64.95,59.05,60.30,114100,60.30
2012-12-17,58.00,59.70,57.55,59.20,63700,59.20
2012-12-14,58.10,59.10,58.00,58.20,94200,58.20
2012-12-13,58.40,59.40,58.40,58.50,54800,58.50
2012-12-12,58.50,58.80,58.00,58.15,5500,58.15
2012-12-11,60.25,60.25,58.05,58.50,6900,58.50
2012-12-10,60.50,61.00,59.15,60.00,6900,60.00
2012-12-07,60.05,64.15,60.05,61.05,174300,61.05
2012-12-06,57.00,59.50,57.00,58.90,17500,58.90
2012-12-05,56.80,58.10,56.00,57.50,7400,57.50
2012-12-04,57.80,58.10,56.80,57.00,10500,57.00
2012-12-03,59.50,59.70,57.60,58.00,8700,58.00
2012-11-30,58.50,59.20,57.45,58.70,7300,58.70
2012-11-29,59.95,59.95,58.00,59.15,6400,59.15
2012-11-28,58.95,58.95,58.95,58.95,000,58.95
2012-11-27,57.75,59.90,57.20,58.95,8200,58.95
2012-11-26,58.00,58.90,56.35,57.75,333500,57.75
2012-11-23,59.00,59.00,56.75,58.55,9700,58.55
2012-11-22,58.90,58.90,56.35,57.10,3500,57.10
2012-11-21,58.90,58.90,56.05,56.90,12500,56.90
2012-11-20,59.00,59.50,56.50,57.05,10100,57.05
2012-11-19,59.70,61.20,57.05,59.10,15000,59.10
2012-11-16,60.60,61.50,59.00,60.05,9900,60.05
2012-11-15,60.75,61.75,59.70,60.40,5000,60.40
2012-11-14,59.85,59.85,59.85,59.85,000,59.85
2012-11-13,59.85,59.85,59.85,59.85,000,59.85
2012-11-12,60.25,61.00,59.50,59.85,10400,59.85
2012-11-09,62.05,63.00,60.40,60.55,14500,60.55
2012-11-08,62.55,63.90,61.15,62.05,32800,62.05
2012-11-07,69.00,69.00,62.80,63.35,466300,63.35
2012-11-06,60.50,71.00,60.00,67.90,319800,67.90
2012-11-05,60.50,61.60,59.95,60.00,6400,60.00
2012-11-02,62.50,63.50,60.00,60.40,13300,60.40
2012-11-01,59.80,60.05,59.50,60.00,2600,60.00
2012-10-31,59.50,60.80,59.50,60.20,9500,60.20
2012-10-30,60.00,63.00,59.65,60.10,14500,60.10
2012-10-29,59.75,60.20,59.50,59.50,3000,59.50
2012-10-26,60.05,60.05,60.05,60.05,000,60.05
2012-10-25,59.60,60.75,58.40,60.05,3900,60.05
2012-10-24,59.50,59.50,59.50,59.50,000,59.50
2012-10-23,59.60,61.90,59.50,59.50,3400,59.50
2012-10-22,58.40,61.35,51.25,60.00,3400,60.00
2012-10-19,61.70,62.70,59.75,60.80,14900,60.80
2012-10-18,60.10,62.90,60.00,61.40,17700,61.40
2012-10-17,60.00,61.10,58.50,59.20,10600,59.20
2012-10-16,61.00,61.00,60.00,60.00,1500,60.00
2012-10-15,61.50,62.00,59.10,60.10,5200,60.10
2012-10-12,63.95,63.95,59.50,62.00,13700,62.00
2012-10-11,60.00,62.25,58.25,60.50,7900,60.50
2012-10-10,61.00,62.25,58.50,59.20,13100,59.20
2012-10-09,61.05,63.00,60.10,61.55,6500,61.55
2012-10-08,62.05,62.95,61.05,61.40,3200,61.40
2012-10-05,63.40,64.40,60.05,62.60,11500,62.60
2012-10-04,64.50,66.50,62.00,63.25,31000,63.25
2012-10-03,60.00,65.50,60.00,64.60,27300,64.60
2012-10-02,62.10,62.10,62.10,62.10,000,62.10
2012-10-01,60.50,62.45,60.50,62.10,13600,62.10
2012-09-28,58.20,62.00,58.20,60.20,16300,60.20
2012-09-27,56.00,59.75,54.55,58.70,15600,58.70
2012-09-26,55.35,57.85,55.15,57.25,4100,57.25
2012-09-25,57.40,57.40,55.10,56.10,2800,56.10
2012-09-24,56.00,58.75,54.75,57.35,28400,57.35
2012-09-21,51.25,56.50,51.25,55.10,16600,55.10
2012-09-20,53.05,55.20,52.50,52.80,2100,52.80
2012-09-19,54.10,54.10,54.10,54.10,000,54.10
2012-09-18,55.00,55.80,53.15,54.10,4600,54.10
2012-09-17,52.10,53.90,52.10,53.50,1700,53.50
2012-09-14,53.05,53.45,51.80,52.30,5300,52.30
2012-09-13,56.00,56.00,52.70,52.80,14600,52.80
2012-09-12,56.00,57.25,53.95,56.45,37400,56.45
2012-09-11,55.00,55.45,53.45,55.25,8500,55.25
2012-09-10,54.80,55.70,52.80,55.20,10000,55.20
2012-09-07,51.15,53.75,50.75,53.10,39600,53.10
2012-09-06,50.40,51.85,50.15,50.90,245600,50.90
2012-09-05,51.75,51.75,50.05,50.75,12500,50.75
2012-09-04,49.00,51.75,49.00,51.10,1800,51.10
2012-09-03,50.10,50.95,49.60,49.65,300,49.65
2012-08-31,53.50,53.50,50.45,51.00,500,51.00
2012-08-30,50.40,53.20,50.10,50.45,1700,50.45
2012-08-29,50.50,51.50,50.10,50.60,4700,50.60
2012-08-28,51.00,51.05,50.00,50.55,3100,50.55
2012-08-27,51.05,51.75,50.50,51.45,1300,51.45
2012-08-24,53.00,53.75,51.00,51.00,2500,51.00
2012-08-23,53.00,53.00,51.00,51.80,3700,51.80
2012-08-22,51.50,52.50,51.50,51.55,4600,51.55
2012-08-21,51.40,51.40,50.50,51.00,32100,51.00
2012-08-20,50.90,50.90,50.90,50.90,000,50.90
2012-08-17,51.00,51.00,50.35,50.90,2300,50.90
2012-08-16,50.95,51.00,50.20,50.60,40100,50.60
2012-08-15,50.75,50.75,50.75,50.75,000,50.75
2012-08-14,51.00,51.50,50.10,50.75,2900,50.75
2012-08-13,50.40,51.00,50.20,50.30,700,50.30
2012-08-10,50.50,51.00,50.00,50.90,17300,50.90
2012-08-09,50.00,51.00,49.00,50.15,1800,50.15
2012-08-08,51.00,51.10,49.65,50.80,7100,50.80
2012-08-07,50.05,51.00,50.05,50.90,1500,50.90
2012-08-06,50.20,51.45,50.05,50.75,2400,50.75
2012-08-03,53.00,53.00,49.20,50.95,12200,50.95
2012-08-02,50.05,51.85,49.05,49.60,800,49.60
2012-08-01,50.25,50.80,49.60,50.15,3200,50.15
2012-07-31,50.50,52.00,49.40,50.00,7400,50.00
2012-07-30,51.45,51.50,50.55,51.00,6100,51.00
2012-07-27,50.00,52.25,50.00,51.65,29000,51.65
2012-07-26,50.75,50.75,48.95,50.35,15000,50.35
2012-07-25,50.50,50.80,49.00,49.50,3900,49.50
2012-07-24,52.05,52.05,49.55,49.95,2200,49.95
2012-07-23,49.25,50.90,48.25,49.25,20900,49.25
