Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,412.55,412.55,412.55,412.55,000,412.55
2012-12-24,405.80,413.80,404.10,412.55,687500,412.55
2012-12-21,421.00,421.40,406.05,407.90,581800,407.90
2012-12-20,425.10,426.50,418.50,421.90,365100,421.90
2012-12-19,424.90,429.65,422.90,425.95,571500,425.95
2012-12-18,419.85,424.90,413.55,423.50,686000,423.50
2012-12-17,417.50,423.05,416.20,418.90,604700,418.90
2012-12-14,412.40,419.95,409.20,418.80,933400,418.80
2012-12-13,429.60,432.80,413.30,415.40,765700,415.40
2012-12-12,435.00,435.00,426.30,429.35,704900,429.35
2012-12-11,435.00,445.00,422.15,432.35,1400200,432.35
2012-12-10,430.65,437.00,427.90,433.10,715300,433.10
2012-12-07,439.00,441.80,427.75,430.10,805600,430.10
2012-12-06,424.20,439.80,422.00,438.25,2307000,438.25
2012-12-05,419.70,426.40,415.60,421.35,742300,421.35
2012-12-04,418.70,424.90,414.00,417.70,773800,417.70
2012-12-03,416.75,422.50,411.30,420.25,1305300,420.25
2012-11-30,419.05,421.00,410.50,414.45,906900,414.45
2012-11-29,402.30,419.00,400.50,416.85,2038500,416.85
2012-11-28,399.50,399.50,399.50,399.50,000,399.50
2012-11-27,383.95,400.85,383.95,399.50,1436500,399.50
2012-11-26,387.85,388.00,379.50,382.60,455300,382.60
2012-11-23,389.00,389.85,380.15,384.90,355400,384.90
2012-11-22,383.55,390.75,380.10,388.55,535300,388.55
2012-11-21,378.25,384.90,376.50,382.50,480000,382.50
2012-11-20,389.35,390.55,374.10,378.05,596600,378.05
2012-11-19,394.90,395.90,385.40,387.10,556600,387.10
2012-11-16,388.10,404.80,386.20,394.00,1155000,394.00
2012-11-15,386.00,392.35,382.00,388.45,347400,388.45
2012-11-14,392.80,392.80,392.80,392.80,000,392.80
2012-11-13,392.80,392.80,392.80,392.80,000,392.80
2012-11-12,390.25,394.80,386.60,392.80,442400,392.80
2012-11-09,398.95,402.40,388.80,390.25,479600,390.25
2012-11-08,399.70,402.80,395.10,398.30,757100,398.30
2012-11-07,402.95,408.35,400.60,404.15,669500,404.15
2012-11-06,397.95,403.90,395.40,402.55,530000,402.55
2012-11-05,397.05,405.70,396.25,399.35,810600,399.35
2012-11-02,386.95,398.80,385.90,396.95,850800,396.95
2012-11-01,387.10,388.40,377.15,385.85,732500,385.85
2012-10-31,376.95,388.45,367.50,386.60,1639600,386.60
2012-10-30,385.25,389.50,375.15,377.10,418900,377.10
2012-10-29,385.40,391.15,381.10,386.55,506500,386.55
2012-10-26,394.25,394.25,394.25,394.25,000,394.25
2012-10-25,395.05,402.30,392.40,394.25,797500,394.25
2012-10-24,396.10,396.10,396.10,396.10,000,396.10
2012-10-23,399.85,403.40,393.65,396.10,476300,396.10
2012-10-22,396.00,401.85,393.70,399.40,456900,399.40
2012-10-19,403.00,407.40,393.20,398.20,1234100,398.20
2012-10-18,382.10,404.90,382.10,403.25,1636600,403.25
2012-10-17,386.60,387.90,378.15,381.35,539300,381.35
2012-10-16,393.00,394.45,381.50,384.90,911900,384.90
2012-10-15,391.60,396.45,387.50,392.45,1197800,392.45
2012-10-12,373.90,395.70,373.45,390.90,2003500,390.90
2012-10-11,368.05,375.45,365.40,374.50,719200,374.50
2012-10-10,364.95,371.85,363.70,367.00,572400,367.00
2012-10-09,367.50,371.50,363.20,368.75,566600,368.75
2012-10-08,371.10,375.00,362.60,365.30,684600,365.30
2012-10-05,378.85,379.60,368.00,371.10,1086100,371.10
2012-10-04,377.95,383.45,372.05,374.20,729900,374.20
2012-10-03,370.00,377.90,367.00,376.40,1196700,376.40
2012-10-02,369.75,369.75,369.75,369.75,000,369.75
2012-10-01,360.05,371.85,356.35,369.75,893300,369.75
2012-09-28,359.70,368.15,357.35,359.20,919500,359.20
2012-09-27,358.50,364.35,354.90,357.55,1110900,357.55
2012-09-26,359.70,364.60,354.05,357.55,915100,357.55
2012-09-25,349.10,361.20,343.35,359.70,1308700,359.70
2012-09-24,345.10,357.45,343.55,348.65,857300,348.65
2012-09-21,339.05,349.40,338.90,344.65,578600,344.65
2012-09-20,347.00,347.00,335.75,337.15,373000,337.15
2012-09-19,347.35,347.35,347.35,347.35,000,347.35
2012-09-18,347.95,353.90,345.00,347.35,517200,347.35
2012-09-17,353.75,358.00,342.30,347.25,801400,347.25
2012-09-14,349.30,354.95,345.75,351.60,526900,351.60
2012-09-13,345.00,351.90,344.05,346.50,547000,346.50
2012-09-12,348.00,349.80,341.20,344.40,656700,344.40
2012-09-11,341.00,349.00,335.30,347.40,1092500,347.40
2012-09-10,327.00,341.00,323.80,338.90,1103800,338.90
2012-09-07,323.00,328.35,322.30,323.25,545000,323.25
2012-09-06,316.25,323.45,311.50,319.50,565000,319.50
2012-09-05,324.00,326.80,314.50,315.85,464300,315.85
2012-09-04,324.95,327.30,321.50,324.45,438500,324.45
2012-09-03,315.60,326.00,315.05,324.00,573100,324.00
2012-08-31,315.00,319.00,311.25,313.30,458100,313.30
2012-08-30,309.50,319.35,307.20,316.15,1171700,316.15
2012-08-29,314.75,317.50,308.75,310.05,423700,310.05
2012-08-28,312.85,317.80,307.30,313.70,561200,313.70
2012-08-27,321.00,322.75,310.55,312.15,374500,312.15
2012-08-24,319.75,323.90,315.15,320.05,680900,320.05
2012-08-23,321.00,328.40,320.00,321.80,416000,321.80
2012-08-22,323.70,324.05,318.10,320.55,685400,320.55
2012-08-21,321.00,326.40,316.10,324.40,666100,324.40
2012-08-20,321.60,321.60,321.60,321.60,000,321.60
