Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,307.35,307.35,307.35,307.35,000,307.35
2012-12-24,309.40,310.50,305.10,307.35,113000,307.35
2012-12-21,309.75,310.50,304.00,309.40,693000,309.40
2012-12-20,307.40,311.45,304.70,310.10,594800,310.10
2012-12-19,309.65,312.00,305.50,306.80,439000,306.80
2012-12-18,305.80,308.45,297.70,307.45,233100,307.45
2012-12-17,308.05,310.70,302.00,304.55,216100,304.55
2012-12-14,306.65,311.00,304.65,306.70,256800,306.70
2012-12-13,309.00,319.45,307.55,309.00,493900,309.00
2012-12-12,320.50,321.40,311.10,312.55,329900,312.55
2012-12-11,320.45,324.05,314.55,320.55,526800,320.55
2012-12-10,328.30,328.80,317.25,320.10,521800,320.10
2012-12-07,327.00,330.00,321.60,325.85,972400,325.85
2012-12-06,323.75,327.00,310.80,324.55,1194900,324.55
2012-12-05,315.05,324.10,310.00,319.10,1476400,319.10
2012-12-04,318.00,321.70,312.55,315.00,1202500,315.00
2012-12-03,310.05,317.50,308.00,316.00,1450700,316.00
2012-11-30,308.95,313.45,303.15,309.75,684000,309.75
2012-11-29,296.10,308.45,295.15,307.00,1189000,307.00
2012-11-28,293.70,293.70,293.70,293.70,000,293.70
2012-11-27,281.00,294.90,280.05,293.70,1042900,293.70
2012-11-26,280.45,283.15,278.05,279.45,636200,279.45
2012-11-23,278.95,279.40,275.25,278.50,133900,278.50
2012-11-22,278.10,281.90,275.10,279.45,217900,279.45
2012-11-21,277.80,280.00,272.00,276.70,287100,276.70
2012-11-20,279.95,279.95,271.80,274.30,272400,274.30
2012-11-19,281.95,282.50,275.10,276.70,234900,276.70
2012-11-16,278.00,287.15,276.00,279.75,788500,279.75
2012-11-15,276.20,279.90,273.30,277.70,354300,277.70
2012-11-14,276.65,276.65,276.65,276.65,000,276.65
2012-11-13,276.65,276.65,276.65,276.65,000,276.65
2012-11-12,277.80,278.30,274.15,276.65,500800,276.65
2012-11-09,276.15,280.85,274.00,275.05,957200,275.05
2012-11-08,273.05,277.50,272.75,275.10,583800,275.10
2012-11-07,282.60,282.60,274.60,275.35,953400,275.35
2012-11-06,281.90,284.50,278.15,280.05,751400,280.05
2012-11-05,286.70,290.30,279.25,280.70,470100,280.70
2012-11-02,285.50,292.00,284.40,288.00,1734500,288.00
2012-11-01,276.05,283.40,274.75,282.55,1844600,282.55
2012-10-31,273.05,276.25,267.30,274.65,1040900,274.65
2012-10-30,282.05,282.05,270.05,272.40,1305100,272.40
2012-10-29,286.00,288.35,278.30,279.35,2393400,279.35
2012-10-26,330.45,330.45,330.45,330.45,000,330.45
2012-10-25,339.85,345.35,327.30,330.45,868500,330.45
2012-10-24,342.60,342.60,342.60,342.60,000,342.60
2012-10-23,339.00,346.50,336.10,342.60,286500,342.60
2012-10-22,335.00,342.90,335.00,339.55,367700,339.55
2012-10-19,326.50,340.00,326.50,339.00,350500,339.00
2012-10-18,321.00,332.00,318.15,330.55,927500,330.55
2012-10-17,317.25,324.40,316.50,320.80,229000,320.80
2012-10-16,324.00,326.85,315.85,316.85,140500,316.85
2012-10-15,333.45,333.45,320.60,321.80,153400,321.80
2012-10-12,321.15,333.60,321.15,328.65,223500,328.65
2012-10-11,318.90,331.90,316.00,330.30,171900,330.30
2012-10-10,326.50,332.00,317.30,318.90,201500,318.90
2012-10-09,332.05,333.95,326.00,330.50,125700,330.50
2012-10-08,331.00,337.30,328.50,330.30,113900,330.30
2012-10-05,334.90,337.75,324.60,332.20,176200,332.20
2012-10-04,340.00,340.85,333.55,334.65,104500,334.65
2012-10-03,339.10,342.20,335.00,336.75,202000,336.75
2012-10-02,339.00,339.00,339.00,339.00,000,339.00
2012-10-01,332.10,343.25,332.00,339.00,480600,339.00
2012-09-28,323.65,334.20,321.20,331.65,702900,331.65
2012-09-27,331.80,332.45,320.10,322.95,322600,322.95
2012-09-26,333.25,338.90,330.05,331.75,234400,331.75
2012-09-25,334.00,338.70,330.40,334.40,844700,334.40
2012-09-24,330.00,333.80,324.10,329.60,197200,329.60
2012-09-21,319.00,332.90,319.00,330.65,497600,330.65
2012-09-20,316.80,319.80,310.00,315.95,298600,315.95
2012-09-19,321.60,321.60,321.60,321.60,000,321.60
2012-09-18,331.00,334.15,316.00,321.60,451400,321.60
2012-09-17,316.00,333.00,316.00,330.90,766900,330.90
2012-09-14,295.10,307.50,295.10,305.35,278100,305.35
2012-09-13,295.75,297.00,290.15,294.50,95000,294.50
2012-09-12,299.15,301.90,296.30,298.60,118200,298.60
2012-09-11,303.00,303.50,294.50,297.40,178400,297.40
2012-09-10,309.80,311.50,301.85,303.20,63000,303.20
2012-09-07,304.00,306.60,299.20,305.35,76000,305.35
2012-09-06,299.65,302.95,294.50,296.95,73000,296.95
2012-09-05,300.15,303.50,296.00,298.85,46200,298.85
2012-09-04,306.50,306.60,300.00,302.65,93700,302.65
2012-09-03,308.05,309.75,301.05,302.65,74300,302.65
2012-08-31,307.45,310.20,302.00,306.50,68800,306.50
2012-08-30,303.90,311.80,298.95,309.70,134200,309.70
2012-08-29,309.90,313.20,303.00,304.35,67700,304.35
2012-08-28,313.80,315.45,307.50,309.00,61300,309.00
2012-08-27,319.70,319.70,313.05,313.75,51900,313.75
2012-08-24,315.05,320.00,314.20,315.35,71600,315.35
2012-08-23,320.00,322.75,317.30,320.70,206800,320.70
2012-08-22,317.25,321.00,312.10,318.90,224700,318.90
2012-08-21,313.65,317.00,311.00,316.55,163700,316.55
2012-08-20,312.15,312.15,312.15,312.15,000,312.15
2012-08-17,314.90,319.50,307.00,312.15,233500,312.15
2012-08-16,303.00,314.40,301.00,312.05,191500,312.05
2012-08-15,306.60,306.60,306.60,306.60,000,306.60
2012-08-14,305.95,308.80,303.35,306.60,62500,306.60
2012-08-13,303.00,307.00,297.00,305.15,131700,305.15
2012-08-10,301.30,303.95,298.40,300.15,67500,300.15
2012-08-09,303.05,306.00,301.60,303.10,67200,303.10
2012-08-08,306.00,306.00,299.95,302.40,97300,302.40
2012-08-07,305.00,306.75,295.40,298.95,214600,298.95
2012-08-06,301.95,307.80,301.95,304.60,220000,304.60
2012-08-03,301.50,303.25,300.00,301.90,260600,301.90
2012-08-02,305.10,308.40,301.00,302.75,104400,302.75
2012-08-01,299.90,308.50,298.05,307.00,222300,307.00
2012-07-31,288.00,300.20,285.00,297.95,206100,297.95
2012-07-30,284.15,286.90,281.90,285.10,332300,285.10
2012-07-27,286.85,292.70,279.00,283.15,407100,283.15
2012-07-26,288.50,288.50,280.50,285.15,111600,285.15
2012-07-25,294.80,295.60,285.60,288.00,107500,288.00
2012-07-24,303.00,303.00,294.80,296.35,391400,296.35
2012-07-23,307.00,307.00,299.30,300.40,169100,300.40
2012-07-20,306.10,310.50,306.10,308.60,229100,308.60
2012-07-19,310.00,312.85,305.10,308.70,415100,308.70
2012-07-18,300.25,308.85,297.55,307.70,173000,307.70
2012-07-17,301.05,302.95,296.90,299.20,119700,299.20
2012-07-16,303.90,305.50,299.25,300.00,64500,300.00
2012-07-13,304.50,305.00,300.15,301.25,29400,301.25
2012-07-12,299.85,306.20,296.10,304.55,97000,304.55
2012-07-11,303.70,306.80,301.00,302.75,110900,302.75
2012-07-10,303.85,310.00,303.35,307.10,82000,302.10
2012-07-09,303.00,306.70,299.95,302.00,96300,297.08
2012-07-06,309.10,309.25,301.00,302.80,140400,297.87
2012-07-05,303.00,311.00,303.00,308.90,363400,303.87
