Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,269.90,269.90,269.90,269.90,000,269.90
2012-12-24,265.00,275.00,265.00,269.90,27200,269.90
2012-12-21,279.40,280.00,273.80,274.90,23000,274.90
2012-12-20,281.90,281.90,271.20,279.40,26500,279.40
2012-12-19,277.20,284.80,275.20,279.40,79300,279.40
2012-12-18,275.00,281.80,269.70,274.35,165100,274.35
2012-12-17,267.55,277.00,266.15,274.55,138100,274.55
2012-12-14,261.10,279.00,261.05,264.55,279200,264.55
2012-12-13,250.25,292.70,250.25,263.00,946200,263.00
2012-12-12,244.10,256.50,244.10,255.50,21800,255.50
2012-12-11,253.40,256.95,249.25,251.75,22700,251.75
2012-12-10,245.45,253.05,242.00,252.15,32800,252.15
2012-12-07,251.85,256.40,241.00,245.45,74300,245.45
2012-12-06,241.70,255.00,241.70,248.35,15600,248.35
2012-12-05,242.95,250.00,240.25,241.70,32000,241.70
2012-12-04,234.00,246.80,234.00,242.95,13900,242.95
2012-12-03,236.25,255.00,236.25,242.75,40000,242.75
2012-11-30,240.55,251.00,240.55,248.35,82800,248.35
2012-11-29,230.00,244.65,230.00,237.90,32900,237.90
2012-11-28,233.75,233.75,233.75,233.75,000,233.75
2012-11-27,230.10,241.00,230.10,233.75,558100,233.75
2012-11-26,230.10,236.50,230.10,234.50,10800,234.50
2012-11-23,230.00,234.70,229.00,229.40,7600,229.40
2012-11-22,231.00,235.90,230.50,231.00,3000,231.00
2012-11-21,228.10,235.90,228.10,230.90,5400,230.90
2012-11-20,231.50,235.95,230.00,230.50,11800,230.50
2012-11-19,230.50,239.90,230.50,233.55,7600,233.55
2012-11-16,230.50,245.90,230.50,236.35,701200,236.35
2012-11-15,229.50,237.80,229.50,236.35,10200,236.35
2012-11-14,230.30,230.30,230.30,230.30,000,230.30
2012-11-13,230.30,230.30,230.30,230.30,000,230.30
2012-11-12,226.35,233.90,226.35,230.30,609300,230.30
2012-11-09,228.50,235.85,227.10,227.90,5300,227.90
2012-11-08,229.00,234.00,228.50,232.35,12100,232.35
2012-11-07,226.00,236.90,226.00,234.30,30300,234.30
2012-11-06,227.00,233.60,227.00,230.15,9000,230.15
2012-11-05,226.05,232.00,226.05,228.25,17300,228.25
2012-11-02,220.10,232.00,220.10,226.05,14100,226.05
2012-11-01,218.00,227.00,218.00,225.80,9200,225.80
2012-10-31,230.00,235.00,213.90,220.55,111600,220.55
2012-10-30,232.00,235.00,224.80,226.05,9500,226.05
2012-10-29,230.05,241.50,230.05,234.60,60000,234.60
2012-10-26,234.50,234.50,234.50,234.50,000,234.50
2012-10-25,230.10,235.00,228.10,234.50,13100,234.50
2012-10-24,233.70,233.70,233.70,233.70,000,233.70
2012-10-23,225.00,235.00,225.00,233.70,12800,233.70
2012-10-22,228.90,235.00,227.00,231.55,25900,231.55
2012-10-19,228.00,235.00,228.00,228.90,15900,228.90
2012-10-18,220.00,236.00,220.00,233.65,50700,233.65
2012-10-17,222.00,225.00,220.55,224.05,11200,224.05
2012-10-16,206.60,228.95,206.60,221.90,21700,221.90
2012-10-15,210.85,230.00,210.85,223.65,16800,223.65
2012-10-12,225.00,233.95,225.00,228.30,15100,228.30
2012-10-11,235.00,240.00,228.00,228.85,270300,228.85
2012-10-10,242.00,242.00,226.00,232.10,12900,232.10
2012-10-09,220.10,239.80,220.10,234.60,64500,234.60
2012-10-08,217.75,235.70,217.75,224.55,14100,224.55
2012-10-05,235.85,240.00,225.00,231.90,25300,231.90
2012-10-04,225.00,241.00,225.00,235.25,35800,235.25
2012-10-03,221.05,236.80,221.05,234.90,63700,234.90
2012-10-02,227.15,227.15,227.15,227.15,000,227.15
2012-10-01,213.50,228.00,213.00,227.15,40600,227.15
2012-09-28,214.50,220.70,214.50,218.00,19200,218.00
2012-09-27,215.05,223.00,214.00,215.20,16400,215.20
2012-09-26,205.50,220.00,205.50,215.20,115400,215.20
2012-09-25,216.55,219.50,209.25,215.80,6700,215.80
2012-09-24,214.50,221.00,214.50,218.05,25300,218.05
2012-09-21,216.05,219.70,212.20,215.35,13900,215.35
2012-09-20,214.50,219.95,214.50,215.75,10200,215.75
2012-09-19,220.25,220.25,220.25,220.25,000,220.25
2012-09-18,210.25,224.00,210.25,220.25,19800,220.25
2012-09-17,225.00,225.00,214.25,219.00,14200,219.00
2012-09-14,219.05,223.80,218.95,221.10,34700,221.10
2012-09-13,209.50,233.50,209.50,219.05,337400,219.05
2012-09-12,209.00,217.95,209.00,214.90,58600,214.90
2012-09-11,211.00,218.50,211.00,215.35,9800,215.35
2012-09-10,214.25,221.00,214.25,217.85,13200,217.85
2012-09-07,209.00,214.80,209.00,213.00,8800,213.00
2012-09-06,205.00,210.90,203.20,207.75,5800,207.75
2012-09-05,198.20,207.90,198.20,203.55,4300,203.55
2012-09-04,192.05,209.90,192.05,205.90,4200,205.90
2012-09-03,190.25,212.95,190.25,205.60,3100,205.60
2012-08-31,192.50,210.00,192.50,206.05,8500,206.05
2012-08-30,192.80,207.30,192.80,205.00,3000,205.00
2012-08-29,200.05,207.90,200.05,205.15,6000,205.15
2012-08-28,202.05,209.80,202.05,206.50,3300,206.50
2012-08-27,208.00,212.70,202.60,204.20,7800,204.20
2012-08-24,206.25,215.50,206.25,208.00,34500,208.00
2012-08-23,218.85,230.80,215.05,215.95,37000,215.95
2012-08-22,200.50,238.90,200.50,226.60,79600,226.60
2012-08-21,215.25,221.80,208.10,209.15,17800,209.15
2012-08-20,218.40,218.40,218.40,218.40,000,218.40
2012-08-17,215.00,221.80,215.00,218.40,12800,218.40
2012-08-16,214.10,221.00,214.10,219.40,11600,219.40
