Date,Open,High,Low,Close,Volume,Adj Close
2013-01-23,406.00,410.80,404.45,406.10,1517100,406.10
2013-01-22,404.00,407.55,402.50,405.30,1193800,405.30
2013-01-21,410.10,411.80,402.10,404.00,1340000,404.00
2013-01-18,408.70,413.15,408.05,409.80,1809400,409.80
2013-01-17,416.00,416.95,406.60,407.40,1493800,407.40
2013-01-16,418.25,423.95,414.50,416.05,1360500,416.05
2013-01-15,417.20,422.90,415.70,418.80,1540500,418.80
2013-01-14,422.00,422.00,414.60,416.30,1573600,416.30
2013-01-11,427.05,428.45,420.00,421.50,839000,421.50
2013-01-10,430.10,431.80,424.00,425.45,1595100,425.45
2013-01-09,432.90,435.00,426.25,428.40,2631400,428.40
2013-01-08,426.80,431.90,423.85,429.50,3215100,429.50
2013-01-07,419.90,429.70,417.60,424.35,2172200,424.35
2013-01-04,420.00,421.50,415.25,416.15,1589400,416.15
2013-01-03,421.10,422.30,416.05,417.85,1107300,417.85
2013-01-02,419.80,425.00,417.00,420.45,2136200,420.45
2013-01-01,416.00,420.80,415.50,417.45,727800,417.45
2012-12-31,417.20,419.10,413.30,414.25,654200,414.25
2012-12-28,418.00,421.85,415.45,416.40,702900,416.40
2012-12-27,422.70,424.40,413.65,415.10,1538100,415.10
2012-12-26,419.65,423.90,419.50,420.25,708300,420.25
2012-12-25,418.75,418.75,418.75,418.75,000,418.75
2012-12-24,421.00,424.20,415.25,418.75,972200,418.75
2012-12-21,424.70,430.10,418.10,419.75,1318400,419.75
2012-12-20,420.00,429.50,418.75,424.85,2775700,424.85
2012-12-19,414.70,420.75,413.40,419.85,1840200,419.85
2012-12-18,411.00,417.00,410.10,412.30,1254800,412.30
2012-12-17,405.95,410.95,403.00,409.25,877300,409.25
2012-12-14,407.25,410.50,402.05,403.00,1224600,403.00
2012-12-13,416.25,418.20,404.95,406.90,947300,406.90
2012-12-12,419.80,419.80,410.55,415.25,1429000,415.25
2012-12-11,419.95,423.00,411.20,416.30,2524200,416.30
2012-12-10,409.00,419.00,409.00,417.35,1913100,417.35
2012-12-07,413.25,414.95,406.25,410.70,1278700,410.70
2012-12-06,416.50,416.90,407.20,411.75,1409200,411.75
2012-12-05,415.00,416.00,411.15,414.55,1245800,414.55
2012-12-04,411.80,420.60,410.10,411.35,1667100,411.35
2012-12-03,416.90,416.90,409.10,413.55,1311400,413.55
2012-11-30,409.90,416.90,406.30,414.65,2875500,414.65
2012-11-29,394.00,407.50,391.65,404.55,5320400,404.55
2012-11-28,390.80,390.80,390.80,390.80,000,390.80
2012-11-27,383.00,393.50,381.55,390.80,2350600,390.80
2012-11-26,380.25,384.80,378.50,381.60,764300,381.60
2012-11-23,387.00,387.40,378.60,381.70,974400,381.70
2012-11-22,395.50,395.50,384.15,387.25,2337300,387.25
2012-11-21,380.00,392.75,380.00,389.40,3367300,389.40
2012-11-20,384.00,384.70,377.15,379.85,716200,379.85
2012-11-19,381.80,384.70,378.95,382.70,1102300,382.70
2012-11-16,387.00,390.45,377.85,379.55,1503700,379.55
2012-11-15,393.70,398.00,386.05,388.80,1454500,388.80
2012-11-14,392.05,392.05,392.05,392.05,000,392.05
2012-11-13,392.05,392.05,392.05,392.05,000,392.05
2012-11-12,393.55,396.40,391.00,392.05,574000,392.05
2012-11-09,393.80,397.40,392.15,393.40,975800,393.40
2012-11-08,393.70,400.50,390.10,393.40,1558100,393.40
2012-11-07,397.70,400.95,393.10,396.35,2523800,396.35
2012-11-06,394.50,398.90,389.05,396.85,9964100,396.85
2012-11-05,379.40,386.00,377.20,380.20,3798800,380.20
2012-11-02,379.50,380.95,375.50,377.00,2104400,377.00
2012-11-01,365.10,376.25,365.10,375.30,1523700,375.30
2012-10-31,356.80,365.30,354.95,363.30,1203300,363.30
2012-10-30,358.00,359.25,353.20,354.65,573800,354.65
2012-10-29,355.95,360.80,355.95,359.95,710500,359.95
2012-10-26,361.95,361.95,361.95,361.95,000,361.95
2012-10-25,364.10,366.95,360.30,361.95,1741300,361.95
2012-10-24,365.80,365.80,365.80,365.80,000,365.80
2012-10-23,363.10,368.40,363.10,365.80,1058000,365.80
2012-10-22,358.00,365.25,358.00,364.50,1104800,364.50
2012-10-19,363.00,364.50,356.90,359.10,1235700,359.10
2012-10-18,362.50,365.90,361.35,362.95,1166800,362.95
2012-10-17,365.10,366.35,358.60,361.80,735900,361.80
2012-10-16,370.55,370.95,361.60,363.10,1018300,363.10
2012-10-15,362.00,370.10,360.80,369.75,1284800,369.75
2012-10-12,361.90,366.10,361.25,364.10,1106100,364.10
2012-10-11,369.25,370.40,357.35,360.25,2736200,360.25
2012-10-10,372.00,376.50,365.00,367.30,1757200,367.30
2012-10-09,369.80,374.50,367.65,371.90,1134900,371.90
2012-10-08,364.00,371.00,363.00,367.40,1298700,367.40
2012-10-05,369.20,370.80,320.30,364.25,4565900,364.25
2012-10-04,379.90,382.25,363.90,366.05,4661000,366.05
2012-10-03,379.50,385.45,379.05,381.05,2073400,381.05
2012-10-02,378.90,378.90,378.90,378.90,000,378.90
2012-10-01,382.00,387.20,378.20,378.90,1100700,378.90
2012-09-28,369.60,382.10,365.10,380.10,3138500,380.10
2012-09-27,375.00,375.95,369.30,371.45,1693600,371.45
2012-09-26,363.00,374.70,363.00,373.45,2759500,373.45
2012-09-25,355.00,365.60,355.00,363.00,3822200,363.00
2012-09-24,360.10,364.00,352.50,355.60,3217300,355.60
2012-09-21,361.20,366.95,358.30,361.30,3633900,361.30
2012-09-20,363.00,364.30,356.80,360.90,2283700,360.90
2012-09-19,364.75,364.75,364.75,364.75,000,364.75
2012-09-18,369.70,373.95,363.90,364.75,1185500,364.75
2012-09-17,369.00,371.00,357.30,369.70,3307400,369.70
2012-09-14,375.00,375.00,366.75,369.30,2461100,369.30
2012-09-13,379.50,379.85,366.35,369.60,4000600,369.60
2012-09-12,392.00,392.00,377.85,379.50,2700700,379.50
2012-09-11,387.90,391.95,387.05,389.55,1344000,389.55
2012-09-10,394.95,395.40,385.25,387.15,2883100,387.15
2012-09-07,378.00,382.90,375.70,381.30,2121000,381.30
2012-09-06,373.80,378.65,371.55,375.00,1184700,375.00
2012-09-05,376.10,382.10,372.25,373.60,939200,373.60
2012-09-04,384.90,384.90,378.10,379.75,1149100,379.75
2012-09-03,377.25,386.55,377.25,384.80,2102700,384.80
2012-08-31,372.00,383.10,371.95,376.45,3405100,376.45
2012-08-30,368.70,374.90,365.60,372.30,2867400,372.30
2012-08-29,369.95,372.85,365.75,366.45,1687200,366.45
2012-08-28,370.00,371.75,362.50,367.75,1314100,367.75
2012-08-27,367.70,371.95,364.85,368.15,998500,368.15
2012-08-24,364.00,367.95,361.20,366.65,1811500,366.65
2012-08-23,363.85,367.90,361.50,364.10,1848800,364.10
2012-08-22,361.30,364.00,359.00,360.30,1371300,360.30
2012-08-21,356.45,365.40,356.05,359.95,2452200,359.95
2012-08-20,354.95,354.95,354.95,354.95,000,354.95
2012-08-17,357.00,358.60,352.10,354.95,1742400,354.95
2012-08-16,351.75,360.45,350.40,356.00,2587700,356.00
2012-08-15,349.50,349.50,349.50,349.50,000,349.50
2012-08-14,347.55,352.90,347.55,349.50,786700,349.50
2012-08-13,346.65,352.95,346.65,349.90,740700,349.90
2012-08-10,349.40,355.95,346.65,349.95,1006500,349.95
2012-08-09,352.25,353.95,349.45,351.95,1178900,351.95
2012-08-08,352.05,354.95,350.10,351.05,1206000,351.05
2012-08-07,352.25,353.95,350.20,351.75,837200,351.75
