Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,1190.15,1190.15,1190.15,1190.15,000,1190.15
2012-12-24,1191.05,1210.05,1180.00,1190.15,25600,1190.15
2012-12-21,1188.00,1192.10,1178.00,1182.45,13000,1182.45
2012-12-20,1174.85,1189.90,1163.00,1181.00,11200,1181.00
2012-12-19,1167.00,1194.95,1165.00,1174.70,12900,1174.70
2012-12-18,1168.00,1178.25,1162.00,1172.15,9200,1172.15
2012-12-17,1168.00,1186.00,1160.10,1161.95,5100,1161.95
2012-12-14,1178.90,1195.10,1165.00,1171.30,17300,1171.30
2012-12-13,1174.95,1180.00,1166.65,1174.40,6400,1174.40
2012-12-12,1170.95,1199.90,1152.85,1177.60,16000,1177.60
2012-12-11,1179.00,1213.00,1157.35,1172.85,29500,1172.85
2012-12-10,1135.00,1224.40,1126.00,1185.95,48700,1185.95
2012-12-07,1143.15,1155.00,1126.00,1137.90,10600,1137.90
2012-12-06,1135.00,1175.00,1130.00,1137.50,15700,1137.50
2012-12-05,1146.00,1154.80,1125.50,1134.25,7200,1134.25
2012-12-04,1148.00,1168.00,1142.00,1145.75,10100,1145.75
2012-12-03,1130.00,1170.00,1129.65,1146.25,15500,1146.25
2012-11-30,1111.95,1136.00,1106.05,1128.45,15000,1128.45
2012-11-29,1083.00,1110.00,1075.10,1100.65,17400,1100.65
2012-11-28,1091.80,1091.80,1091.80,1091.80,000,1091.80
2012-11-27,1115.00,1126.00,1078.90,1091.80,4000,1091.80
2012-11-26,1110.00,1125.00,1090.00,1102.95,3600,1102.95
2012-11-23,1084.70,1110.00,1075.00,1100.70,2900,1100.70
2012-11-22,1097.00,1110.00,1070.00,1089.60,2200,1089.60
2012-11-21,1103.00,1116.70,1086.95,1092.80,3700,1092.80
2012-11-20,1133.00,1139.90,1106.00,1110.05,12400,1110.05
2012-11-19,1122.10,1128.80,1101.00,1109.25,1600,1109.25
2012-11-16,1130.50,1159.90,1115.00,1120.30,5400,1120.30
2012-11-15,1134.75,1134.75,1120.80,1128.55,5200,1128.55
2012-11-14,1111.15,1111.15,1111.15,1111.15,000,1111.15
2012-11-13,1111.15,1111.15,1111.15,1111.15,000,1111.15
2012-11-12,1124.55,1124.55,1105.00,1111.15,2200,1111.15
2012-11-09,1134.00,1134.00,1106.00,1109.10,3100,1109.10
2012-11-08,1118.05,1130.00,1114.00,1117.80,2100,1117.80
2012-11-07,1133.05,1145.00,1121.00,1124.30,3900,1124.30
2012-11-06,1149.90,1149.90,1120.40,1132.55,4100,1132.55
2012-11-05,1155.10,1159.10,1137.75,1144.80,6800,1144.80
2012-11-02,1139.95,1158.00,1128.05,1154.50,44300,1154.50
2012-11-01,1122.00,1148.00,1108.25,1124.70,17600,1124.70
2012-10-31,1104.25,1133.90,1099.00,1114.75,6100,1114.75
2012-10-30,1104.20,1138.95,1095.00,1110.15,6900,1110.15
2012-10-29,1081.55,1119.00,1081.55,1109.35,8300,1109.35
2012-10-26,1098.90,1098.90,1098.90,1098.90,000,1098.90
2012-10-25,1100.05,1111.00,1092.00,1098.90,17500,1098.90
2012-10-24,1101.15,1101.15,1101.15,1101.15,000,1101.15
2012-10-23,1070.00,1109.00,1069.95,1101.15,13900,1101.15
2012-10-22,1086.00,1086.00,1051.00,1080.35,7100,1080.35
2012-10-19,1101.00,1101.00,1065.00,1067.25,9400,1067.25
2012-10-18,1101.00,1110.00,1090.00,1096.05,9300,1096.05
2012-10-17,1134.00,1135.00,1092.00,1100.50,16000,1100.50
2012-10-16,1100.00,1160.00,1100.00,1117.95,59300,1117.95
2012-10-15,1156.00,1190.15,1106.85,1115.35,68400,1115.35
2012-10-12,1133.00,1160.00,1128.00,1142.05,30500,1142.05
2012-10-11,1129.90,1174.80,1125.00,1133.30,84200,1133.30
2012-10-10,1133.00,1133.00,1115.00,1125.85,15600,1125.85
2012-10-09,1114.60,1135.00,1111.00,1123.70,5500,1123.70
2012-10-08,1127.45,1135.95,1111.00,1113.70,4700,1113.70
2012-10-05,1125.00,1148.00,1111.00,1124.20,12400,1124.20
2012-10-04,1139.15,1152.55,1114.05,1121.20,9000,1121.20
2012-10-03,1161.00,1170.00,1130.00,1134.85,15000,1134.85
2012-10-02,1165.80,1165.80,1165.80,1165.80,000,1165.80
2012-10-01,1099.75,1187.30,1099.75,1165.80,50800,1165.80
2012-09-28,1122.00,1134.90,1085.00,1101.65,91700,1101.65
2012-09-27,1112.20,1140.00,1112.20,1120.95,10600,1120.95
