Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,320.95,320.95,320.95,320.95,000,320.95
2012-12-24,314.00,324.10,313.00,320.95,105700,320.95
2012-12-21,322.00,322.00,312.30,315.10,97100,315.10
2012-12-20,321.50,326.90,320.30,322.50,65600,322.50
2012-12-19,322.05,327.50,321.20,326.35,69900,326.35
2012-12-18,329.90,329.90,322.15,325.70,74800,325.70
2012-12-17,329.00,331.40,326.30,327.75,44000,327.75
2012-12-14,325.05,331.00,321.30,329.20,321300,329.20
2012-12-13,327.80,332.80,323.55,326.50,130900,326.50
2012-12-12,311.50,328.50,310.25,325.85,545600,325.85
2012-12-11,315.00,315.05,308.15,310.65,259100,310.65
2012-12-10,309.55,314.50,309.00,312.15,210000,312.15
2012-12-07,310.70,310.70,307.10,308.00,267200,308.00
2012-12-06,311.00,313.00,307.30,308.50,440300,308.50
2012-12-05,309.00,310.90,304.40,308.15,466900,308.15
2012-12-04,314.60,314.60,307.00,310.45,312600,310.45
2012-12-03,317.00,324.00,309.00,314.60,55900,314.60
2012-11-30,313.75,334.00,310.55,314.75,215300,314.75
2012-11-29,307.70,316.80,305.00,313.70,618600,313.70
2012-11-28,305.60,305.60,305.60,305.60,000,305.60
2012-11-27,301.15,309.00,301.10,305.60,279300,305.60
2012-11-26,303.05,307.00,298.00,302.55,268500,302.55
2012-11-23,304.30,304.30,301.90,303.40,46400,303.40
2012-11-22,305.10,309.55,300.55,304.25,178200,304.25
2012-11-21,307.00,307.00,301.60,305.65,40200,305.65
2012-11-20,306.40,308.45,298.10,306.70,39600,306.70
2012-11-19,307.95,308.00,305.10,307.35,17900,307.35
2012-11-16,305.50,310.50,305.15,305.30,106000,305.30
2012-11-15,311.85,311.85,307.00,308.45,8100,308.45
2012-11-14,310.85,310.85,310.85,310.85,000,310.85
2012-11-13,310.85,310.85,310.85,310.85,000,310.85
2012-11-12,308.10,313.10,307.05,310.85,40700,310.85
2012-11-09,308.15,310.80,302.35,309.15,23000,309.15
2012-11-08,309.05,311.00,306.65,310.55,30700,310.55
2012-11-07,310.00,311.00,306.30,310.65,154800,310.65
2012-11-06,311.60,311.85,307.70,310.60,21000,310.60
2012-11-05,310.05,312.90,305.45,312.25,100000,312.25
2012-11-02,320.00,320.00,309.10,309.40,108000,309.40
2012-11-01,311.50,317.00,306.60,315.85,76300,315.85
