Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,259.30,259.30,259.30,259.30,000,259.30
2012-12-24,254.00,261.95,254.00,259.30,26700,259.30
2012-12-21,261.00,261.90,256.25,258.65,56300,258.65
2012-12-20,263.70,263.95,259.95,262.60,20000,262.60
2012-12-19,262.50,264.40,260.50,262.00,23900,262.00
2012-12-18,265.00,265.00,259.50,262.10,39000,262.10
2012-12-17,259.70,261.00,257.00,260.25,84700,260.25
2012-12-14,257.30,260.90,255.25,257.15,34100,257.15
2012-12-13,253.10,258.80,253.10,256.50,47800,256.50
2012-12-12,253.60,264.70,253.50,254.80,84000,254.80
2012-12-11,258.00,259.75,254.00,255.15,36600,255.15
2012-12-10,266.90,266.95,257.00,258.65,74200,258.65
2012-12-07,266.00,268.25,263.05,263.80,562900,263.80
2012-12-06,271.75,272.05,266.50,267.95,126600,267.95
2012-12-05,272.00,273.50,266.15,268.00,117800,268.00
2012-12-04,274.40,274.45,271.00,271.45,56700,271.45
2012-12-03,276.00,283.40,272.20,274.90,163600,274.90
2012-11-30,279.70,279.70,272.00,274.50,653900,274.50
2012-11-29,274.00,280.00,274.00,276.90,39200,276.90
2012-11-28,271.10,271.10,271.10,271.10,000,271.10
2012-11-27,273.80,281.70,268.10,271.10,1342500,271.10
2012-11-26,270.35,279.85,265.30,272.65,51900,272.65
2012-11-23,272.00,273.50,269.00,270.20,21500,270.20
2012-11-22,273.60,275.00,270.50,272.55,80800,272.55
2012-11-21,276.85,276.85,270.00,275.15,54100,275.15
2012-11-20,273.20,280.00,273.20,276.75,87700,276.75
2012-11-19,275.60,290.00,272.25,275.00,65300,275.00
2012-11-16,271.25,277.85,271.25,275.40,50300,275.40
2012-11-15,277.00,279.00,272.50,273.10,45500,273.10
2012-11-14,277.55,277.55,277.55,277.55,000,277.55
2012-11-13,277.55,277.55,277.55,277.55,000,277.55
2012-11-12,279.95,280.30,275.25,277.55,16900,277.55
2012-11-09,278.10,281.00,275.05,277.95,15600,277.95
2012-11-08,277.05,282.95,275.30,280.05,17900,280.05
2012-11-07,282.55,283.85,279.10,279.75,13600,279.75
2012-11-06,280.50,285.90,277.15,281.30,57000,281.30
2012-11-05,280.00,282.45,276.15,281.10,28800,281.10
2012-11-02,275.00,278.85,274.55,277.00,43600,277.00
2012-11-01,288.70,288.70,274.00,277.10,69300,277.10
2012-10-31,277.70,288.35,269.30,283.00,106500,283.00
2012-10-30,282.35,282.35,276.50,277.70,42400,277.70
2012-10-29,277.70,282.00,277.50,279.75,25500,279.75
2012-10-26,278.30,278.30,278.30,278.30,000,278.30
2012-10-25,280.00,282.80,277.30,278.30,87400,278.30
2012-10-24,279.85,279.85,279.85,279.85,000,279.85
2012-10-23,279.00,282.00,273.90,279.85,51600,279.85
2012-10-22,288.50,296.00,278.15,282.40,242500,282.40
2012-10-19,285.00,287.60,281.00,286.85,26200,286.85
2012-10-18,280.20,287.90,280.15,285.90,25100,285.90
2012-10-17,287.10,290.80,278.55,280.15,27300,280.15
2012-10-16,288.90,289.25,285.25,288.00,25300,288.00
2012-10-15,292.80,292.80,285.25,286.70,9900,286.70
2012-10-12,294.15,294.85,289.00,290.00,46900,290.00
2012-10-11,304.00,304.00,289.00,293.10,192700,293.10
2012-10-10,295.50,296.45,285.15,288.85,109400,288.85
2012-10-09,270.00,303.00,267.95,295.30,47000,295.30
2012-10-08,296.95,304.00,292.55,295.15,110900,295.15
2012-10-05,291.20,299.80,291.20,295.55,83600,295.55
2012-10-04,295.35,299.95,293.25,298.65,32100,298.65
2012-10-03,296.05,297.45,293.00,295.05,91300,295.05
2012-10-02,295.90,295.90,295.90,295.90,000,295.90
2012-10-01,290.00,297.80,288.00,295.90,115400,295.90
2012-09-28,287.00,293.00,286.05,288.00,55200,288.00
2012-09-27,287.00,290.00,283.15,287.30,113600,287.30
2012-09-26,286.00,286.00,282.00,283.20,12000,283.20
2012-09-25,281.70,289.50,281.70,285.85,36600,285.85
2012-09-24,290.00,292.50,285.15,286.25,57100,286.25
2012-09-21,284.00,292.50,280.15,289.35,101800,289.35
2012-09-20,278.95,285.00,276.00,280.15,116300,280.15
2012-09-19,278.95,278.95,278.95,278.95,000,278.95
2012-09-18,278.60,279.90,272.30,278.95,116100,278.95
2012-09-17,278.00,280.00,275.00,278.90,42600,278.90
2012-09-14,279.75,280.00,273.80,276.20,34400,276.20
