Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,446.80,446.80,446.80,446.80,000,446.80
2012-12-24,449.45,454.90,444.10,446.80,22500,446.80
2012-12-21,443.25,452.90,438.00,447.55,187600,447.55
2012-12-20,449.90,449.90,442.90,445.50,36600,445.50
2012-12-19,450.05,454.00,446.75,448.75,50300,448.75
2012-12-18,448.00,451.90,435.00,448.30,91000,448.30
2012-12-17,449.85,452.00,445.00,447.35,77200,447.35
2012-12-14,436.95,446.90,433.00,445.25,101200,445.25
2012-12-13,446.95,449.90,436.10,437.55,72200,437.55
2012-12-12,445.95,454.45,439.00,447.15,87100,447.15
2012-12-11,454.90,458.00,437.60,444.90,165000,444.90
2012-12-10,429.10,452.00,428.35,450.20,461300,450.20
2012-12-07,431.00,434.45,427.10,428.45,81100,428.45
2012-12-06,433.00,435.90,425.00,428.70,168500,428.70
2012-12-05,419.45,434.80,413.90,428.75,278300,428.75
2012-12-04,417.70,420.10,414.60,416.40,51300,416.40
2012-12-03,423.00,425.00,416.50,417.25,63100,417.25
2012-11-30,414.00,425.00,412.00,421.55,160900,421.55
2012-11-29,410.00,413.00,405.05,411.00,45000,411.00
2012-11-28,408.80,408.80,408.80,408.80,000,408.80
2012-11-27,404.65,410.45,403.55,408.80,63000,408.80
2012-11-26,397.00,405.00,396.00,403.10,41000,403.10
2012-11-23,397.05,397.80,393.75,396.80,21200,396.80
2012-11-22,393.05,397.60,392.15,394.15,95500,394.15
2012-11-21,393.00,396.00,391.10,394.30,119800,394.30
2012-11-20,393.30,396.35,391.20,392.55,29400,392.55
2012-11-19,396.50,397.90,390.00,393.25,81200,393.25
2012-11-16,400.05,400.05,394.00,395.60,30600,395.60
2012-11-15,400.20,400.20,395.10,396.65,32600,396.65
2012-11-14,397.40,397.40,397.40,397.40,000,397.40
2012-11-13,397.40,397.40,397.40,397.40,000,397.40
2012-11-12,408.70,408.70,396.10,397.40,44200,397.40
2012-11-09,405.00,412.00,397.15,400.40,445700,400.40
2012-11-08,399.45,404.80,399.45,402.80,104200,402.80
2012-11-07,398.95,408.00,398.20,403.95,110900,403.95
2012-11-06,394.55,399.40,393.35,398.15,35900,398.15
