Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,55.05,55.05,55.05,55.05,000,55.05
2012-12-24,56.80,56.80,50.00,55.05,182200,55.05
2012-12-21,55.85,55.85,54.80,54.95,358800,54.95
2012-12-20,56.70,56.70,55.40,55.60,300600,55.60
2012-12-19,57.00,57.50,56.25,56.75,1004100,56.75
2012-12-18,55.90,56.35,55.10,55.75,582800,55.75
2012-12-17,48.65,58.70,48.65,55.85,537600,55.85
2012-12-14,56.25,56.70,55.65,56.30,664700,56.30
2012-12-13,57.65,57.65,55.50,55.70,465400,55.70
2012-12-12,56.80,58.30,56.25,56.55,508100,56.55
2012-12-11,59.50,59.90,57.15,57.50,997300,57.50
2012-12-10,59.50,60.70,59.00,59.40,1633600,59.40
2012-12-07,57.15,59.70,57.00,59.20,2135400,59.20
2012-12-06,56.75,57.50,55.75,57.10,763500,57.10
2012-12-05,56.45,57.65,55.55,56.05,1068000,56.05
2012-12-04,55.65,58.40,55.40,55.85,1179800,55.85
2012-12-03,52.20,58.00,52.20,55.65,1962600,55.65
2012-11-30,52.35,52.90,52.00,52.00,624700,52.00
2012-11-29,52.00,52.85,50.40,52.05,1308600,52.05
2012-11-28,50.45,50.45,50.45,50.45,000,50.45
2012-11-27,50.40,51.30,50.25,50.45,561000,50.45
2012-11-26,50.30,50.95,48.20,50.20,960000,50.20
2012-11-23,50.50,51.60,50.00,50.20,658000,50.20
2012-11-22,54.90,54.90,50.00,51.20,1651500,51.20
2012-11-21,61.50,61.50,60.25,61.15,1726400,61.15
2012-11-20,59.40,62.35,59.00,60.90,3567700,60.90
2012-11-19,59.30,60.00,58.90,59.00,2239300,59.00
2012-11-16,60.00,60.05,58.55,59.10,1447900,59.10
2012-11-15,59.90,60.10,59.40,59.90,1872200,59.90
2012-11-14,59.50,59.50,59.50,59.50,000,59.50
2012-11-13,59.50,59.50,59.50,59.50,000,59.50
2012-11-12,59.40,61.20,59.10,59.50,2587600,59.50
2012-11-09,59.25,59.50,58.75,59.05,255600,59.05
2012-11-08,59.80,59.80,58.90,59.25,367700,59.25
2012-11-07,59.35,60.00,58.70,59.50,532800,59.50
2012-11-06,58.80,59.30,58.30,58.90,503500,58.90
2012-11-05,62.00,62.00,58.25,58.75,1442600,58.75
2012-11-02,59.25,60.00,59.05,59.65,868500,59.65
2012-11-01,57.00,59.20,57.00,58.75,783900,58.75
2012-10-31,56.25,57.15,56.05,56.75,200500,56.75
2012-10-30,57.00,57.60,55.65,56.15,167300,56.15
2012-10-29,56.10,57.40,53.50,56.85,143400,56.85
2012-10-26,57.95,57.95,57.95,57.95,000,57.95
2012-10-25,58.30,58.40,57.35,57.95,399500,57.95
2012-10-24,57.75,57.75,57.75,57.75,000,57.75
2012-10-23,57.70,59.90,57.50,57.75,341800,57.75
2012-10-22,58.60,58.60,57.75,58.00,620100,58.00
2012-10-19,59.10,59.10,57.45,58.60,231500,58.60
2012-10-18,57.45,59.60,57.35,59.10,460400,59.10
2012-10-17,57.80,57.80,57.00,57.45,101500,57.45
2012-10-16,58.70,58.85,57.00,57.15,197100,57.15
2012-10-15,59.80,60.00,58.05,58.25,642500,58.25
2012-10-12,54.10,59.40,54.00,59.00,1526200,59.00
2012-10-11,47.50,57.45,47.50,57.20,303300,57.20
2012-10-10,56.40,57.00,55.35,56.10,354600,56.10
2012-10-09,57.10,57.50,56.50,57.05,458000,57.05
2012-10-08,57.40,58.00,56.45,56.90,336100,56.90
2012-10-05,57.75,57.75,56.15,57.40,504800,57.40
2012-10-04,58.00,58.40,56.10,56.75,986700,56.75
2012-10-03,53.40,57.50,52.90,57.10,1345300,57.10
2012-10-02,53.30,53.30,53.30,53.30,000,53.30
