Date,Open,High,Low,Close,Volume,Adj Close
2013-01-23,492.00,499.85,490.50,493.65,200700,493.65
2013-01-22,492.80,494.00,488.00,492.10,154000,492.10
2013-01-21,485.15,496.25,485.00,488.60,196100,488.60
2013-01-18,506.00,507.40,487.50,490.10,397400,490.10
2013-01-17,519.95,524.85,505.00,507.30,123900,507.30
2013-01-16,524.00,530.00,516.05,518.75,99000,518.75
2013-01-15,526.25,529.50,514.35,520.20,275500,520.20
2013-01-14,511.25,533.80,511.25,526.90,61100,526.90
2013-01-11,525.00,529.00,513.50,515.95,25300,515.95
2013-01-10,531.45,533.40,512.35,521.90,304100,521.90
2013-01-09,533.60,537.00,527.60,529.60,79200,529.60
2013-01-08,535.90,535.90,520.15,528.75,142700,528.75
2013-01-07,537.85,538.00,528.20,535.45,207600,535.45
2013-01-04,541.00,541.20,531.25,538.00,208600,538.00
2013-01-03,521.00,542.40,518.20,537.25,150300,537.25
2013-01-02,520.90,521.45,515.30,519.00,122700,519.00
2013-01-01,521.50,524.00,517.30,519.35,24000,519.35
2012-12-31,523.00,528.00,513.15,519.40,150600,519.40
2012-12-28,519.45,525.00,514.75,523.10,182000,523.10
2012-12-27,510.05,516.00,506.00,514.55,114200,514.55
2012-12-26,504.55,514.00,501.10,510.05,112700,510.05
2012-12-25,500.70,500.70,500.70,500.70,000,500.70
2012-12-24,504.40,510.00,498.10,500.70,256400,500.70
2012-12-21,508.45,509.90,499.10,505.60,90100,505.60
2012-12-20,509.85,509.90,485.00,508.45,78100,508.45
2012-12-19,506.15,511.00,506.15,509.90,146900,509.90
2012-12-18,507.80,511.00,505.00,507.70,84500,507.70
2012-12-17,505.50,510.05,504.05,507.00,84900,507.00
2012-12-14,504.20,507.00,501.00,504.25,132200,504.25
2012-12-13,506.05,510.00,498.00,500.90,109800,500.90
2012-12-12,504.35,514.90,500.10,504.90,674700,504.90
2012-12-11,509.95,510.00,496.00,503.95,88100,503.95
2012-12-10,500.25,510.00,500.15,509.55,91400,509.55
2012-12-07,501.50,509.95,501.50,505.85,440300,505.85
2012-12-06,504.75,505.00,492.05,499.95,81000,499.95
2012-12-05,489.95,504.90,481.10,498.10,279500,498.10
2012-12-04,492.70,492.75,483.25,485.95,70200,485.95
2012-12-03,485.40,492.70,485.40,487.70,93400,487.70
2012-11-30,476.00,488.70,475.00,485.35,449500,485.35
2012-11-29,469.10,482.60,464.55,476.40,405100,476.40
2012-11-28,466.25,466.25,466.25,466.25,000,466.25
2012-11-27,471.90,479.80,464.00,466.25,187300,466.25
2012-11-26,464.00,473.00,461.00,469.20,265700,469.20
2012-11-23,466.45,468.00,461.80,464.00,86300,464.00
2012-11-22,460.00,465.95,457.25,463.15,135100,463.15
2012-11-21,457.20,461.00,415.00,458.50,163900,458.50
2012-11-20,462.95,462.95,452.30,459.80,75600,459.80
2012-11-19,455.55,463.45,455.00,456.95,142400,456.95
2012-11-16,467.00,467.90,456.30,460.05,292100,460.05
2012-11-15,472.05,477.95,460.50,463.90,411700,463.90
2012-11-14,471.75,471.75,471.75,471.75,000,471.75
2012-11-13,471.75,471.75,471.75,471.75,000,471.75
2012-11-12,485.15,485.85,465.05,471.75,276400,471.75
2012-11-09,485.55,490.45,469.35,482.50,182200,482.50
2012-11-08,488.85,491.50,481.00,483.35,66300,483.35
2012-11-07,486.95,493.10,483.50,489.20,117100,489.20
2012-11-06,478.05,488.00,474.70,486.60,167800,486.60
2012-11-05,487.45,487.65,475.00,483.50,58400,483.50
2012-11-02,482.15,488.80,476.10,480.00,98400,480.00
2012-11-01,490.00,490.00,478.75,480.15,95600,480.15
2012-10-31,485.30,494.00,484.00,488.80,19600,488.80
2012-10-30,487.00,490.00,482.25,487.35,39100,487.35
2012-10-29,488.25,491.50,482.00,486.60,62400,486.60
2012-10-26,488.90,488.90,488.90,488.90,000,488.90
2012-10-25,493.85,493.85,486.25,488.90,80400,488.90
2012-10-24,489.80,489.80,489.80,489.80,000,489.80
2012-10-23,490.35,496.50,485.90,489.80,158600,489.80
2012-10-22,500.25,504.45,485.10,488.80,323400,488.80
2012-10-19,507.00,507.00,495.10,502.80,122400,502.80
2012-10-18,498.70,511.00,498.70,506.85,941700,506.85
2012-10-17,496.95,500.30,494.00,498.70,171700,498.70
2012-10-16,494.00,537.60,489.00,492.90,136800,492.90
2012-10-15,487.20,495.00,482.45,490.35,181100,490.35
2012-10-12,496.20,501.45,482.35,487.20,255400,487.20
2012-10-11,492.85,499.00,492.00,496.00,461800,496.00
2012-10-10,514.00,514.00,484.90,495.10,355500,495.10
2012-10-09,506.00,517.50,506.00,511.15,179700,511.15
2012-10-08,510.40,513.90,499.25,505.60,154800,505.60
2012-10-05,512.40,512.45,494.00,509.80,227600,509.80
2012-10-04,513.00,517.95,505.10,510.60,526700,510.60
2012-10-03,512.00,514.40,501.00,506.85,389500,506.85
2012-10-02,507.90,507.90,507.90,507.90,000,507.90
2012-10-01,508.95,513.35,502.00,507.90,151500,507.90
2012-09-28,500.00,518.60,482.30,505.25,578000,505.25
2012-09-27,504.05,509.80,472.00,489.80,868400,489.80
2012-09-26,480.15,510.00,477.65,503.45,1662900,503.45
2012-09-25,482.20,489.00,472.00,478.60,359000,478.60
2012-09-24,488.95,489.00,471.40,479.85,429200,479.85
2012-09-21,477.40,486.50,476.85,482.40,519100,482.40
2012-09-20,480.00,482.50,470.10,476.65,217700,476.65
2012-09-19,480.50,480.50,480.50,480.50,000,480.50
2012-09-18,464.80,484.45,464.80,480.50,607200,480.50
2012-09-17,455.05,468.90,455.05,464.45,202700,464.45
2012-09-14,456.00,464.00,452.00,453.35,296000,453.35
