Date,Open,High,Low,Close,Volume,Adj Close
2012-11-22,124.55,125.80,121.55,122.85,875600,122.85
2012-11-21,124.40,124.75,122.60,124.50,254800,124.50
2012-11-20,123.00,126.00,123.00,123.85,605000,123.85
2012-11-19,126.00,126.60,123.75,124.95,188500,124.95
2012-11-16,130.00,130.00,124.80,125.60,453900,125.60
2012-11-15,126.20,129.45,125.25,129.15,1080400,129.15
2012-11-14,125.30,125.30,125.30,125.30,000,125.30
2012-11-13,125.30,125.30,125.30,125.30,000,125.30
2012-11-12,128.00,128.90,124.80,125.30,502200,125.30
2012-11-09,128.80,129.75,124.60,128.00,763000,128.00
2012-11-08,129.30,129.50,127.05,128.80,576900,128.80
2012-11-07,127.95,128.90,127.05,128.45,892000,128.45
2012-11-06,127.50,128.65,126.85,127.45,701600,127.45
2012-11-05,125.00,127.75,125.00,127.30,1422500,127.30
2012-11-02,125.00,125.80,124.50,124.95,730200,124.95
2012-11-01,124.65,125.35,124.05,124.50,657700,124.50
2012-10-31,124.60,126.10,123.65,124.35,564400,124.35
2012-10-30,126.50,126.50,123.55,124.60,925300,123.95
2012-10-29,130.00,130.65,123.30,125.30,2126800,124.65
2012-10-26,132.80,132.80,132.80,132.80,000,132.11
2012-10-25,133.00,134.80,132.15,132.80,1554400,132.11
2012-10-24,133.00,133.00,133.00,133.00,000,132.31
2012-10-23,130.50,133.95,130.50,133.00,1806600,132.31
2012-10-22,130.00,131.70,129.80,130.45,1309200,129.77
2012-10-19,131.95,133.80,129.40,130.20,1457900,129.52
2012-10-18,132.30,132.65,130.75,131.80,1518300,131.11
2012-10-17,135.25,136.15,131.60,132.10,820500,131.41
2012-10-16,135.00,138.90,133.75,134.60,1231700,133.90
2012-10-15,136.00,137.45,134.10,134.55,988900,133.85
2012-10-12,131.50,136.00,131.00,135.30,1218000,134.59
2012-10-11,129.80,131.75,128.25,130.55,707000,129.87
2012-10-10,131.45,132.55,129.15,129.65,348900,128.97
2012-10-09,132.50,133.00,130.80,131.25,449100,130.57
2012-10-08,134.85,136.50,131.50,132.05,906700,131.36
2012-10-05,129.00,133.80,127.60,132.90,1461400,132.21
2012-10-04,129.00,130.20,128.50,128.95,1047000,128.28
2012-10-03,127.75,130.55,127.75,128.85,2056700,128.18
2012-10-02,128.00,128.00,128.00,128.00,000,127.33
2012-10-01,129.15,129.15,126.40,128.00,798300,127.33
2012-09-28,124.25,132.00,124.25,128.00,1628400,127.33
2012-09-27,126.00,126.00,123.25,124.10,759100,123.45
2012-09-26,124.70,124.70,122.90,124.25,1224500,123.60
2012-09-25,125.10,125.10,123.75,124.50,1672400,123.85
2012-09-24,125.05,126.20,124.55,124.85,1757200,124.20
2012-09-21,126.40,126.55,123.55,125.50,1990000,124.85
2012-09-20,124.50,125.65,122.50,124.10,1291200,123.45
2012-09-19,124.75,124.75,124.75,124.75,000,124.10
2012-09-18,124.30,125.50,122.50,124.75,1087700,124.10
2012-09-17,128.35,128.45,123.30,124.35,2996200,123.70
2012-09-14,127.00,129.45,126.40,127.25,2221000,126.59
2012-09-13,133.05,133.05,126.30,127.05,970800,126.39
2012-09-12,131.45,131.50,128.20,128.65,887900,127.98
2012-09-11,131.70,131.70,128.40,130.85,995500,130.17
2012-09-10,129.80,132.50,128.65,129.35,1329400,128.68
2012-09-07,128.60,129.80,127.60,128.50,962400,127.83
2012-09-06,127.95,128.80,127.00,127.60,1377700,126.93
