Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,153.30,153.30,153.30,153.30,000,153.30
2012-12-24,152.05,157.70,152.05,153.30,520300,153.30
2012-12-21,156.65,158.10,151.20,151.95,932400,151.95
2012-12-20,156.00,164.30,150.15,158.70,2780100,158.70
2012-12-19,148.00,155.70,146.00,153.70,1884400,153.70
2012-12-18,148.00,148.80,141.00,146.75,918400,146.75
2012-12-17,137.00,149.50,135.50,146.60,1913900,146.60
2012-12-14,131.40,137.45,130.80,136.35,459600,136.35
2012-12-13,135.35,135.65,128.55,130.40,400700,130.40
2012-12-12,133.00,136.50,131.35,134.30,331800,134.30
2012-12-11,137.40,138.60,129.60,133.10,522700,133.10
2012-12-10,136.00,138.40,134.50,136.70,332300,136.70
2012-12-07,142.00,142.00,132.90,134.65,575500,134.65
2012-12-06,139.35,142.75,134.65,141.40,1007100,141.40
2012-12-05,139.00,140.75,134.60,137.80,548800,137.80
2012-12-04,141.50,142.60,136.00,138.05,1032900,138.05
2012-12-03,133.60,141.50,132.20,139.35,1622600,139.35
2012-11-30,134.70,135.70,131.05,132.20,442800,132.20
2012-11-29,136.70,141.00,131.50,133.40,1997700,133.40
2012-11-28,134.90,134.90,134.90,134.90,000,134.90
2012-11-27,136.00,138.70,133.70,134.90,758200,134.90
2012-11-26,129.30,139.35,128.60,134.50,1329700,134.50
2012-11-23,125.50,131.85,124.45,128.00,917100,128.00
2012-11-22,127.70,129.50,122.80,125.25,889400,125.25
2012-11-21,116.50,125.75,116.25,125.20,2399500,125.20
2012-11-20,122.15,124.60,113.90,114.35,684200,114.35
2012-11-19,124.50,126.35,118.90,121.10,439200,121.10
2012-11-16,133.00,134.00,121.50,123.90,858800,123.90
2012-11-15,131.90,135.30,125.25,131.85,1128500,131.85
2012-11-14,125.00,125.00,125.00,125.00,000,125.00
2012-11-13,125.00,125.00,125.00,125.00,000,125.00
2012-11-12,112.80,125.00,111.65,125.00,1758300,125.00
2012-11-09,118.40,121.90,112.80,113.65,530000,113.65
2012-11-08,114.00,123.10,111.00,117.80,1192200,117.80
2012-11-07,109.00,116.30,107.50,114.50,737600,114.50
2012-11-06,101.70,106.85,101.20,106.85,285300,106.85
2012-11-05,103.65,105.75,101.00,101.80,204700,101.80
2012-11-02,101.50,104.75,100.25,102.60,305400,102.60
2012-11-01,99.80,102.50,96.15,100.75,488200,100.75
2012-10-31,93.15,97.95,91.00,97.95,457000,97.95
2012-10-30,97.95,101.30,92.60,93.30,478500,93.30
2012-10-29,102.00,105.40,96.05,96.90,358100,96.90
2012-10-26,105.00,108.90,100.95,101.10,408500,101.10
2012-10-25,108.00,112.50,104.90,106.25,290500,106.25
2012-10-24,110.40,110.40,110.40,110.40,000,110.40
2012-10-23,117.50,119.15,110.40,110.40,841100,110.40
2012-10-22,118.55,119.40,112.25,116.20,617500,116.20
2012-10-19,114.05,117.00,112.25,117.00,744400,117.00
2012-10-18,108.50,113.25,104.10,111.45,830600,111.45
2012-10-17,108.80,108.80,100.40,107.90,2569600,107.90
2012-10-16,103.65,103.65,103.65,103.65,587300,103.65
2012-10-15,98.75,98.75,98.75,98.75,547100,98.75
2012-10-12,90.60,94.05,90.00,94.05,9103200,94.05
2012-10-11,89.60,94.55,89.60,89.60,779200,89.60
2012-10-10,100.70,101.80,94.30,94.30,1385400,94.30
2012-10-09,94.40,99.25,91.95,99.25,1838900,99.25
2012-10-08,87.70,95.35,84.45,94.55,2018500,94.55
2012-10-05,82.40,88.55,80.60,86.70,2196000,86.70
2012-10-04,73.45,80.50,72.70,80.50,2130400,80.50
2012-10-03,73.50,73.55,72.10,73.20,124700,73.20
2012-10-02,73.15,73.15,73.15,73.15,000,73.15
2012-10-01,72.00,73.55,71.50,73.15,210500,73.15
2012-09-28,73.15,73.50,70.80,71.20,144400,71.20
2012-09-27,71.50,73.60,71.50,72.85,409600,72.85
2012-09-26,72.95,73.65,70.20,70.90,205900,70.90
2012-09-25,73.30,73.80,71.60,72.55,305700,72.55
2012-09-24,73.30,73.90,71.70,72.10,127400,72.10
