Date, Open , High, Low , Close,Volume,Adj Close
2012-12-31,155.8,159.25,154.15,156.3,712553,156.6
2012-12-28,157.65,160.9,153.55,155.3,1262226,155.8
2012-12-27,162.9,164.5,154.5,157.55,2434489,156.85
2012-12-26,155.7,161.2,153.7,160.85,1633156,160
2012-12-24,153.55,157.8,152.5,153.55,837808,153.2
2012-12-21,157,158,151,152.15,1768263,152.05
2012-12-20,155,164.4,150.1,157,5204010,158.45
2012-12-19,147.75,155.6,146,153.35,3120522,153.55
2012-12-18,148,149,140.6,146.85,2096508,146.65
2012-12-17,136.95,149.95,135.95,146.8,3794340,146.9
2012-12-14,131.95,137.7,130.9,136.9,1089349,136.35
2012-12-13,135.55,135.8,128.3,131,949117,130.4
2012-12-12,133.5,136.5,131.2,135,814961,134.6
2012-12-11,137.05,138.7,129.45,132.4,1039222,132.95
2012-12-10,135.9,138.25,134.5,136,727201,136.5
2012-12-07,141.85,141.85,132.55,134.5,1144297,135.2
2012-12-06,138.9,142.65,134.55,140.45,2129036,141
2012-12-05,138.95,140.8,134.5,137.3,1494970,137.75
2012-12-04,142,142.75,136.1,137.3,1497187,137.8
2012-12-03,133.45,141.5,132.25,141,2104716,139.55
2012-11-30,134.75,135.65,131.05,132.85,957837,132.25
2012-11-29,136.05,141.5,131.5,133.3,2355920,133.35
2012-11-27,135,138.8,134.05,135.25,2267492,135
2012-11-26,129.2,139.7,128.5,133.7,3342316,134.2
2012-11-23,125.8,132,124.55,128,2427966,128.35
2012-11-22,126,129.45,122.5,125.2,2034329,125.5
2012-11-21,115.9,126,115.9,126,4511053,125.3
2012-11-20,121.55,124.55,114,114.6,1163581,114.55
2012-11-19,125.35,126.45,119,120.75,900123,120.8
2012-11-16,132.7,134.5,121.05,124,1581241,123.6
2012-11-15,130,135.45,125.05,132.1,2142914,132.25
2012-11-13,128.65,134.7,126.4,129.9,2100257,132.2
2012-11-12,114.65,124.9,112.2,124.9,3641262,124.9
2012-11-09,119.4,122,112.55,113.7,1401298,113.55
2012-11-08,113.4,123,111.9,117.35,2550311,117.55
2012-11-07,108.9,116.5,107.5,114.45,1799467,114.4
2012-11-06,101.95,106.7,101.9,106.7,649473,106.7
2012-11-05,101,105.7,98.55,100.95,387682,101.65
2012-11-02,101.3,104.9,100.05,102.4,920360,102.75
2012-11-01,100.05,102.95,96.5,100.5,1202317,100.75
2012-10-31,93.05,98.05,90.65,98.05,911523,98.05
2012-10-30,96.1,101.4,92.55,93.25,986894,93.4
2012-10-29,103,105.5,95.9,97,863851,97.3
2012-10-26,108.15,109,100.6,100.6,1194296,100.9
2012-10-25,107,112.45,104.9,107.5,726397,105.85
2012-10-23,118.2,119.3,110.4,110.4,754879,110.4
2012-10-22,120.7,121.7,112.1,115.3,1126032,116.2
2012-10-19,116.8,116.8,112.55,116.8,1394944,116.8
2012-10-18,107.7,112.9,104,112.9,1818058,111.25
2012-10-17,108.85,108.85,100.3,106.4,6216083,107.55
2012-10-16,103.7,103.7,103.7,103.7,340229,103.7
2012-10-15,98.8,98.8,98.8,98.8,153194,98.8
2012-10-12,93,94.1,92.8,94.1,855822,94.1
2012-10-11,90.05,94.45,89.6,89.6,1528410,89.65
2012-10-10,100.7,103.6,94.3,94.3,2294670,94.3
2012-10-09,94.95,99.25,92.05,99.25,3635463,99.25
2012-10-08,87.7,95.4,84.6,92.7,4476301,94.55
2012-10-05,83,88.6,80.5,87.4,4119047,86.75
2012-10-04,73.55,80.55,72.65,80.55,3126079,80.55
2012-10-03,73.9,74,72.1,73.4,225205,73.25
2012-10-01,71.95,73.65,71,73.5,315268,73.2
2012-09-28,73.4,73.5,70.8,70.9,184546,71.3
2012-09-27,71.3,73.6,71.25,72.95,265776,72.55
2012-09-26,73.2,73.65,70,70.3,356573,70.8
2012-09-25,72.25,73.8,71.5,72.95,406323,72.45
2012-09-24,72.05,73.9,71.7,72.3,178716,72.15
2012-09-21,71.1,73.8,71.1,72,136329,72.05
2012-09-20,70.15,73.75,70.15,72.75,41543,73.3
2012-09-18,73.2,73.9,73,73.4,107542,73.35
2012-09-17,73.1,74.2,72,73.5,109226,73.3
2012-09-14,72.95,73.9,71,72.3,46856,72.45
2012-09-13,71.5,73.4,70.35,71,12884,70.75
2012-09-12,73,73,71.35,72,15355,72
2012-09-11,72.1,74,72.05,72.5,31970,72.7
2012-09-10,77.8,77.9,73,73.25,69720,73.15
2012-09-08,73,74.95,72.5,74,6478,74.45
2012-09-07,70.4,74,70.25,73,26308,72
2012-09-06,71.5,73.7,68.2,68.2,14643,69.5
2012-09-05,72,73.95,70.6,70.6,14601,71.5
2012-09-04,71.8,73.4,71.8,72.5,19808,72.55
2012-09-03,75.15,75.95,72.35,72.35,30482,72.9
2012-08-31,79.45,79.45,72.25,75.85,57420,74.9
2012-08-30,74.2,76.5,74,76,33968,76.05
2012-08-29,76,76,74,74.2,31893,74.5
2012-08-28,75.1,77.9,72.3,75,64812,75.75
2012-08-27,77,77.5,75.15,76,6553,75.95
2012-08-24,75.65,80.2,75.3,77.75,20962,76.45
2012-08-23,77.9,79.45,75.5,75.5,12113,76.4
2012-08-22,78.75,79.6,76.5,77,51219,77.1
