Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,5.80,5.80,5.80,5.80,000,5.80
2012-12-24,6.15,6.15,5.75,5.80,235200,5.80
2012-12-21,5.90,6.00,5.75,5.90,277900,5.90
2012-12-20,6.00,6.00,5.75,5.90,235900,5.90
2012-12-19,5.95,6.10,5.80,5.90,488900,5.90
2012-12-18,6.15,6.15,5.85,6.00,269800,6.00
2012-12-17,5.75,6.20,5.75,5.95,233400,5.95
2012-12-14,6.30,6.30,5.85,6.00,479100,6.00
2012-12-13,6.25,6.35,5.90,6.05,429700,6.05
2012-12-12,6.35,6.35,6.15,6.20,310900,6.20
2012-12-11,6.50,6.60,6.15,6.20,465400,6.20
2012-12-10,6.60,6.60,6.15,6.35,700800,6.35
2012-12-07,6.10,6.40,6.05,6.30,676700,6.30
2012-12-06,6.15,6.20,5.90,6.10,542300,6.10
2012-12-05,6.00,6.15,5.85,6.10,373700,6.10
2012-12-04,5.80,6.00,5.55,5.95,383800,5.95
2012-12-03,5.90,6.00,5.65,5.80,592400,5.80
2012-11-30,6.30,6.30,5.85,5.90,824300,5.90
2012-11-29,6.30,6.35,6.00,6.15,965100,6.15
2012-11-28,6.05,6.05,6.05,6.05,000,6.05
2012-11-27,5.90,6.05,5.85,6.05,1221900,6.05
2012-11-26,5.80,5.80,5.40,5.80,1544800,5.80
2012-11-23,5.20,5.55,5.20,5.55,1123800,5.55
2012-11-22,5.10,5.30,4.80,5.30,1677300,5.30
2012-11-21,5.15,5.35,5.00,5.05,1634800,5.05
2012-11-20,5.05,5.55,5.05,5.25,3171400,5.25
2012-11-19,5.30,5.60,5.30,5.30,988000,5.30
2012-11-16,5.80,5.90,5.55,5.55,1439100,5.55
2012-11-15,6.10,6.35,5.80,5.80,2411400,5.80
2012-11-14,5.85,5.85,5.85,5.85,000,5.85
2012-11-13,5.85,5.85,5.85,5.85,000,5.85
2012-11-12,6.05,6.05,5.85,5.85,759600,5.85
2012-11-09,6.40,6.55,6.15,6.15,2464500,6.15
2012-11-08,6.70,6.70,6.40,6.45,1676100,6.45
2012-11-07,6.85,6.95,6.65,6.70,1442900,6.70
2012-11-06,7.10,7.10,6.80,6.85,1007300,6.85
2012-11-05,7.20,7.30,6.90,7.00,1532000,7.00
2012-11-02,7.30,7.45,7.00,7.20,1509100,7.20
2012-11-01,7.40,7.60,7.10,7.30,1866000,7.30
2012-10-31,7.90,7.90,7.40,7.45,1380900,7.45
2012-10-30,8.00,8.25,7.70,7.75,1352100,7.75
2012-10-29,8.70,8.70,8.00,8.05,2946800,8.05
2012-10-26,7.95,7.95,7.95,7.95,000,7.95
2012-10-25,7.25,7.95,7.25,7.95,2936000,7.95
2012-10-24,7.60,7.60,7.60,7.60,000,7.60
2012-10-23,7.85,7.95,7.60,7.60,834300,7.60
2012-10-22,8.30,8.35,7.95,7.95,1455200,7.95
2012-10-19,8.65,8.75,8.30,8.35,2501200,8.35
2012-10-18,9.20,9.45,8.65,8.70,3701000,8.70
2012-10-17,8.75,9.15,8.35,9.10,8664300,9.10
2012-10-16,8.75,9.00,8.75,8.75,1910000,8.75
2012-10-15,9.40,9.65,9.20,9.20,417700,9.20
2012-10-12,9.05,9.65,8.95,9.65,3905400,9.65
2012-10-11,9.65,9.80,9.05,9.20,1198700,9.20
2012-10-10,9.55,9.55,8.65,9.50,2873800,9.50
2012-10-09,8.80,9.15,8.70,9.10,1299100,9.10
2012-10-08,9.00,9.15,8.60,8.75,1868800,8.75
2012-10-05,9.65,9.65,9.05,9.05,2233500,9.05
2012-10-04,9.85,9.85,9.40,9.50,1496700,9.50
2012-10-03,10.10,10.20,9.65,9.70,1392600,9.70
2012-10-02,10.05,10.05,10.05,10.05,000,10.05
2012-10-01,10.15,10.30,10.00,10.05,815100,10.05
2012-09-28,10.30,10.45,10.05,10.25,2134700,10.25
2012-09-27,10.10,10.30,9.95,10.15,1874300,10.15
2012-09-26,10.35,10.50,9.80,10.00,3218900,10.00
2012-09-25,10.05,10.30,10.05,10.30,2391800,10.30
2012-09-24,10.30,10.30,9.70,9.85,2906000,9.85
2012-09-21,8.95,9.85,8.95,9.85,7459300,9.85
2012-09-20,9.40,9.40,9.40,9.40,529400,9.40
2012-09-19,9.85,9.85,9.85,9.85,000,9.85
2012-09-18,9.85,10.50,9.85,9.85,2280500,9.85
2012-09-17,10.40,10.90,10.35,10.35,1654000,10.35
2012-09-14,11.00,11.25,10.50,10.85,3200400,10.85
2012-09-13,10.65,11.75,10.10,10.80,8864000,10.80
2012-09-12,12.30,12.45,11.05,11.05,6516000,11.05
2012-09-11,13.85,14.10,12.00,12.25,9621700,12.25
2012-09-10,14.70,14.95,13.10,13.30,6007400,13.30
2012-09-07,11.95,13.45,11.65,13.45,5193900,13.45
2012-09-06,12.25,13.00,12.25,12.25,3505400,12.25
2012-09-05,14.15,14.15,12.85,12.85,2018900,12.85
2012-09-04,13.10,13.50,13.10,13.50,436100,13.50
2012-09-03,13.00,13.15,12.60,12.90,689700,12.90
2012-08-31,13.60,13.75,12.70,12.80,1046200,12.80
2012-08-30,14.00,14.00,12.80,13.10,3941900,13.10
2012-08-29,13.35,13.35,13.00,13.35,1399500,13.35
2012-08-28,12.75,12.75,12.35,12.75,2568000,12.75
2012-08-27,11.55,12.15,11.45,12.15,1488900,12.15
2012-08-24,11.90,12.20,11.25,11.60,2497700,11.60
2012-08-23,11.85,11.85,11.05,11.80,5723300,11.80
2012-08-22,11.00,11.30,10.70,11.30,941700,11.30
2012-08-21,10.40,10.80,10.10,10.80,2524800,10.80
2012-08-20,10.30,10.30,10.30,10.30,000,10.30
2012-08-17,9.60,10.60,9.60,10.30,8491500,10.30
2012-08-16,10.10,10.15,10.10,10.10,275600,10.10
2012-08-15,10.60,10.60,10.60,10.60,000,10.60
2012-08-14,10.60,11.00,10.60,10.60,680400,10.60
2012-08-13,11.25,11.35,11.15,11.15,970600,11.15
2012-08-10,11.75,12.20,11.70,11.70,2398200,11.70
2012-08-09,12.90,13.10,12.30,12.30,1901900,12.30
2012-08-08,13.00,13.90,12.90,12.90,2814900,12.90
2012-08-07,14.95,14.95,13.55,13.55,9353700,13.55
2012-08-06,14.25,14.25,14.25,14.25,1901700,14.25
2012-08-03,12.65,13.95,12.65,13.60,13357500,13.60
2012-08-02,13.30,13.30,13.30,13.30,461300,13.30
2012-08-01,15.45,15.70,13.95,13.95,4103800,13.95
2012-07-31,16.70,18.25,15.20,15.45,10620400,15.45
2012-07-30,18.40,18.40,16.70,16.70,3803400,16.70
2012-07-27,22.85,23.50,18.30,18.55,7215400,18.55
2012-07-26,24.35,25.20,22.65,22.85,902100,22.85
2012-07-25,25.75,25.80,24.75,25.00,625100,25.00
2012-07-24,26.15,26.30,25.50,25.75,515800,25.75
2012-07-23,26.35,26.90,25.80,26.05,569400,26.05
2012-07-20,27.60,27.70,26.10,26.20,1156500,26.20
2012-07-19,28.50,28.50,27.15,27.55,542200,27.55
2012-07-18,27.50,27.60,27.10,27.35,388600,27.35
2012-07-17,28.50,28.70,27.15,27.35,328200,27.35
2012-07-16,29.00,29.20,28.10,28.20,346200,28.20
2012-07-13,29.30,29.60,28.70,28.85,362100,28.85
2012-07-12,29.75,29.85,28.75,29.10,544400,29.10
2012-07-11,29.70,31.20,29.55,29.85,1354300,29.85
2012-07-10,29.85,29.95,29.35,29.70,367000,29.70
2012-07-09,29.05,29.95,29.00,29.60,648500,29.60
2012-07-06,31.50,31.75,28.90,29.50,1297900,29.50
2012-07-05,31.40,32.10,29.10,31.60,2338900,31.60
2012-07-04,32.40,32.80,31.75,32.25,572700,32.25
2012-07-03,32.35,33.40,31.95,32.20,905100,32.20
2012-07-02,32.30,32.50,31.80,31.95,340500,31.95
2012-06-29,31.90,32.30,31.30,31.85,599700,31.85
2012-06-28,31.80,32.05,31.20,31.35,278900,31.35
2012-06-27,31.85,32.35,31.50,31.55,328300,31.55
2012-06-26,32.20,32.50,31.65,31.80,190700,31.80
