Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,21.55,21.55,21.55,21.55,000,21.55
2012-12-24,21.90,22.15,21.30,21.55,343800,21.55
2012-12-21,22.40,22.40,21.60,21.75,284600,21.75
2012-12-20,22.70,22.90,22.20,22.40,263100,22.40
2012-12-19,23.25,23.40,22.50,22.75,394200,22.75
2012-12-18,22.60,23.00,22.60,22.75,242100,22.75
2012-12-17,23.25,23.25,22.50,22.60,315900,22.60
2012-12-14,23.70,24.20,22.90,23.00,557300,23.00
2012-12-13,24.20,25.15,23.40,23.65,1888200,23.65
2012-12-12,23.20,24.50,22.80,24.05,1147000,24.05
2012-12-11,23.55,23.75,22.90,23.00,284000,23.00
2012-12-10,24.00,24.50,23.30,23.55,674600,23.55
2012-12-07,23.25,23.60,22.50,22.75,250000,22.75
2012-12-06,23.40,23.40,22.80,23.00,222300,23.00
2012-12-05,23.85,24.00,23.10,23.25,292600,23.25
2012-12-04,24.05,24.50,23.50,23.70,480900,23.70
2012-12-03,23.50,24.40,23.30,24.00,565200,24.00
2012-11-30,22.15,24.05,22.05,23.40,1018400,23.40
2012-11-29,22.50,22.70,22.00,22.10,239300,22.10
2012-11-28,22.30,22.30,22.30,22.30,000,22.30
2012-11-27,22.55,22.75,22.15,22.30,161200,22.30
2012-11-26,21.90,22.80,21.50,22.50,539100,22.50
2012-11-23,21.60,22.10,21.55,21.80,477700,21.80
2012-11-22,21.50,21.75,21.25,21.35,164300,21.35
2012-11-21,21.00,22.00,20.80,21.35,342100,21.35
2012-11-20,22.70,22.80,20.85,21.05,522800,21.05
2012-11-19,23.15,23.15,22.40,22.55,322500,22.55
2012-11-16,23.70,24.10,22.45,22.95,504900,22.95
2012-11-15,23.25,24.20,22.85,23.70,476000,23.70
2012-11-14,22.80,22.80,22.80,22.80,000,22.80
2012-11-13,22.80,22.80,22.80,22.80,000,22.80
2012-11-12,23.50,23.50,22.70,22.80,365600,22.80
2012-11-09,23.60,23.70,23.00,23.10,583900,23.10
2012-11-08,23.70,23.85,22.95,23.55,405400,23.55
2012-11-07,23.80,24.50,23.60,23.70,457800,23.70
2012-11-06,24.00,24.10,23.40,23.75,441400,23.75
2012-11-05,25.00,25.10,23.60,23.95,634700,23.95
2012-11-02,25.40,25.55,24.70,24.80,540000,24.80
2012-11-01,24.90,25.40,24.30,25.10,1193500,25.10
2012-10-31,26.20,26.80,24.55,24.90,4665600,24.90
2012-10-30,25.25,26.30,24.25,26.05,1412100,26.05
2012-10-29,25.10,25.50,24.75,25.05,492300,25.05
2012-10-26,25.25,25.25,25.25,25.25,000,25.25
2012-10-25,26.60,26.80,25.05,25.25,962700,25.25
2012-10-24,26.35,26.35,26.35,26.35,000,26.35
2012-10-23,24.20,26.55,24.20,26.35,2928000,26.35
2012-10-22,24.45,24.85,24.10,24.60,566000,24.60
2012-10-19,25.00,25.35,24.25,24.50,1133000,24.50
2012-10-18,23.25,25.00,23.00,24.85,2144000,24.85
2012-10-17,23.50,23.80,22.80,23.15,337900,23.15
2012-10-16,22.10,23.85,22.10,23.35,1212500,23.35
2012-10-15,22.00,22.30,21.85,22.15,151700,22.15
2012-10-12,21.95,22.60,21.85,22.00,309900,22.00
2012-10-11,22.25,22.25,21.75,21.80,278000,21.80
2012-10-10,21.70,22.70,21.20,22.15,544600,22.15
2012-10-09,22.30,22.45,21.80,21.85,315500,21.85
2012-10-08,22.30,22.55,21.90,22.10,203400,22.10
2012-10-05,22.60,22.90,21.45,22.35,351800,22.35
2012-10-04,23.10,23.45,22.60,22.70,490900,22.70
2012-10-03,23.40,23.50,23.05,23.20,298000,23.20
2012-10-02,23.00,23.00,23.00,23.00,000,23.00
2012-10-01,23.00,23.55,22.85,23.00,427900,23.00
2012-09-28,23.15,23.50,22.35,22.80,357500,22.80
2012-09-27,23.10,23.50,22.95,23.25,253500,23.25
2012-09-26,23.25,23.90,22.80,23.00,590000,23.00
2012-09-25,22.70,23.70,22.50,23.30,829500,23.30
2012-09-24,22.00,23.00,21.90,22.55,732400,22.55
2012-09-21,22.00,22.75,21.80,22.00,590000,22.00
2012-09-20,21.50,22.30,21.00,21.85,666900,21.85
2012-09-19,21.65,21.65,21.65,21.65,000,21.29
2012-09-18,21.20,22.00,20.75,21.65,582900,21.29
2012-09-17,22.20,22.20,20.55,20.70,577800,20.36
2012-09-14,22.00,22.30,21.50,21.65,714600,21.29
2012-09-13,22.85,22.85,21.40,21.70,509600,21.34
2012-09-12,22.00,22.85,21.80,22.30,1123300,21.93
2012-09-11,22.65,22.65,21.30,21.90,949400,21.54
2012-09-10,20.00,22.25,20.00,21.95,2982100,21.59
2012-09-07,20.00,20.20,19.70,19.90,327800,19.57
2012-09-06,19.55,20.00,19.55,19.65,135400,19.32
2012-09-05,19.85,20.30,19.70,19.85,359900,19.52
2012-09-04,19.75,20.05,19.75,19.80,220000,19.47
2012-09-03,19.50,20.20,19.50,19.95,374000,19.62
2012-08-31,19.25,20.10,19.15,19.30,448000,18.98
2012-08-30,18.90,19.55,18.65,19.35,358800,19.03
2012-08-29,18.90,19.40,18.80,18.95,301700,18.63
2012-08-28,20.00,20.00,18.70,18.85,656900,18.54
2012-08-27,20.50,20.95,19.80,19.90,499000,19.57
2012-08-24,19.90,20.90,19.80,20.60,1318800,20.26
2012-08-23,20.90,21.10,19.75,20.10,2655500,19.77
2012-08-22,19.40,20.40,19.25,20.10,1877100,19.77
2012-08-21,18.40,19.70,18.40,19.50,1249400,19.18
2012-08-20,18.25,18.25,18.25,18.25,000,17.95
2012-08-17,18.50,18.80,18.20,18.25,390200,17.95
2012-08-16,18.50,18.75,18.20,18.25,206500,17.95
2012-08-15,18.55,18.55,18.55,18.55,000,18.24
2012-08-14,19.00,19.10,18.40,18.55,240100,18.24
2012-08-13,18.20,19.10,17.85,18.85,468600,18.54
2012-08-10,17.10,18.40,17.00,17.90,545000,17.60
2012-08-09,18.00,18.50,17.50,17.60,414000,17.31
2012-08-08,18.70,18.80,18.00,18.10,553300,17.80
2012-08-07,19.85,19.95,18.65,18.80,1300900,18.49
2012-08-06,18.70,20.30,18.55,19.70,3067400,19.37
2012-08-03,18.90,19.50,18.15,18.35,958100,18.04
2012-08-02,18.65,19.30,18.60,18.70,965700,18.39
2012-08-01,16.10,18.90,16.10,18.65,1284300,18.34
2012-07-31,16.30,16.35,16.05,16.30,204100,16.03
2012-07-30,16.40,16.40,16.05,16.20,152500,15.93
2012-07-27,16.80,16.80,15.85,15.95,281700,15.68
2012-07-26,16.90,16.90,15.75,16.20,416600,15.93
2012-07-25,17.05,17.25,16.70,16.90,246900,16.62
2012-07-24,17.05,17.45,16.95,17.10,205700,16.82
2012-07-23,17.45,17.70,16.95,17.00,276200,16.72
2012-07-20,17.75,17.75,17.50,17.60,124400,17.31
2012-07-19,17.95,18.00,17.10,17.55,206200,17.26
2012-07-18,17.50,17.95,17.20,17.70,245300,17.41
2012-07-17,17.85,18.10,17.25,17.35,290900,17.06
2012-07-16,17.75,18.50,17.25,17.60,843500,17.31
2012-07-13,18.00,18.20,17.45,17.60,342400,17.31
2012-07-12,18.50,18.60,17.70,17.85,511600,17.55
2012-07-11,19.25,19.35,18.50,18.60,805000,18.29
2012-07-10,19.00,19.65,18.70,19.25,1258400,18.93
2012-07-09,18.70,19.70,18.35,18.80,1258100,18.49
2012-07-06,19.00,19.40,18.00,18.80,2053100,18.49
2012-07-05,16.70,19.25,16.70,18.80,3825300,18.49
2012-07-04,16.55,17.00,16.45,16.70,267900,16.42
2012-07-03,16.50,16.70,16.30,16.40,144000,16.13
2012-07-02,16.55,17.20,16.40,16.40,352400,16.13
2012-06-29,16.70,16.95,16.35,16.40,236400,16.13
2012-06-28,16.40,16.70,16.30,16.50,222400,16.23
2012-06-27,16.55,16.85,16.15,16.20,172000,15.93
2012-06-26,16.60,17.00,16.35,16.45,202800,16.18
2012-06-25,17.35,17.45,16.35,16.50,265600,16.23
2012-06-22,16.40,17.40,16.40,17.10,447800,16.82
2012-06-21,16.40,16.75,16.40,16.65,149100,16.37
2012-06-20,16.60,17.00,16.25,16.30,212900,16.03
2012-06-19,16.65,17.40,16.45,16.65,438600,16.37
2012-06-18,16.45,17.55,16.25,16.50,319600,16.23
