Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,112.85,112.85,112.85,112.85,000,112.85
2012-12-24,113.50,114.45,112.10,112.85,1059600,112.85
2012-12-21,116.25,116.30,112.85,113.20,1679900,113.20
2012-12-20,117.25,118.20,116.05,116.95,2865100,116.95
2012-12-19,120.00,120.55,117.05,117.70,2130000,117.70
2012-12-18,118.35,120.00,114.40,119.55,3816700,119.55
2012-12-17,119.45,119.70,117.60,118.30,1609200,118.30
2012-12-14,114.20,119.20,113.10,118.50,2467100,118.50
2012-12-13,118.75,118.90,113.65,114.10,1938400,114.10
2012-12-12,118.00,119.50,116.20,118.25,2360300,118.25
2012-12-11,121.50,122.35,115.20,116.90,3403500,116.90
2012-12-10,116.95,121.90,116.25,121.50,3689000,121.50
2012-12-07,118.30,120.00,115.50,116.65,2832800,116.65
2012-12-06,115.00,116.90,112.90,116.40,2232800,116.40
2012-12-05,112.65,115.40,112.25,114.60,2686600,114.60
2012-12-04,113.80,113.90,111.30,112.70,1732900,112.70
2012-12-03,111.85,113.60,110.75,113.30,2421500,113.30
2012-11-30,109.30,112.00,109.00,111.10,2517100,111.10
2012-11-29,107.50,109.40,107.20,108.70,2169700,108.70
2012-11-28,107.40,107.40,107.40,107.40,000,107.40
2012-11-27,104.95,107.80,104.95,107.40,1742400,107.40
2012-11-26,104.55,105.65,104.20,104.60,979200,104.60
2012-11-23,105.45,105.60,103.50,104.35,1573300,104.35
2012-11-22,105.50,106.50,104.45,105.00,1442400,105.00
2012-11-21,103.85,106.20,102.55,105.10,1747100,105.10
2012-11-20,107.45,107.85,102.90,103.65,2319900,103.65
2012-11-19,108.50,109.00,105.90,106.80,1641500,106.80
2012-11-16,112.70,113.35,106.65,108.20,1296700,108.20
2012-11-15,111.80,113.60,110.40,112.70,1732700,112.70
2012-11-14,113.35,113.35,113.35,113.35,000,113.35
2012-11-13,113.35,113.35,113.35,113.35,000,113.35
2012-11-12,112.50,114.20,110.75,113.35,1833100,113.35
2012-11-09,114.85,115.75,111.15,111.75,2559600,111.75
2012-11-08,113.60,115.40,112.50,114.55,3429100,114.55
2012-11-07,111.00,114.70,108.80,113.90,4902900,113.90
2012-11-06,109.50,111.90,109.00,110.90,6101200,110.90
2012-11-05,111.80,112.20,108.60,109.30,3182100,109.30
2012-11-02,107.00,110.80,107.00,110.50,4189200,110.50
2012-11-01,106.00,107.80,105.55,106.60,2589200,106.60
2012-10-31,105.75,106.90,104.60,106.25,1626000,106.25
2012-10-30,106.95,108.95,104.30,105.50,4101800,105.50
2012-10-29,106.50,108.25,104.50,107.50,3398700,107.50
2012-10-26,109.60,109.60,109.60,109.60,000,109.60
2012-10-25,109.05,110.20,108.40,109.60,1951900,109.60
2012-10-24,109.00,109.00,109.00,109.00,000,109.00
2012-10-23,110.00,111.00,108.45,109.00,1062800,109.00
2012-10-22,109.80,111.35,108.00,110.20,1571500,110.20
2012-10-19,111.50,112.90,109.50,110.55,3056700,110.55
2012-10-18,107.35,111.80,106.40,111.55,2953800,111.55
2012-10-17,107.20,108.45,105.50,106.80,1528100,106.80
2012-10-16,109.00,110.45,106.50,106.85,2140600,106.85
2012-10-15,107.00,109.80,106.00,109.20,2540300,109.20
2012-10-12,107.60,108.90,106.25,106.55,1710100,106.55
